object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201532889349300523,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201503209349316020,116039909,MIDDLE EAST AND NORTH AFRICA,PROMOTING JEWISH EDUCATION,1507072,WIRE/CHECK
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"QUEENSLAND BRAIN INSTITUTE, MARSHALL LABORATORY, UQ FOR LANTERN FISH PROJECT",405000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THE DOW CENTRE FOR SUSTAINABLE ENGINEERING INNOVATION, UQ FOR THE OPERATIONS OF THE DOW CENTRE.",2000000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,SUPPORT AUSTRALIAN INSTITUTE OF BUSINESS AND ECONOMICS,235000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE MCLENNAN AND HOWES COLLABORATIVE SCHOLARSHIP,60000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"ENDOWED SCHOLARSHIPS, EMERGING NEEDS, VARIOUS FACULTIES, DEPARTMENTS AND COLLEGES",59703,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE CENTRE FOR SOCIAL RESPONSIBILITY IN MINING (CSRM) AT SMI FOR RESEARCH ON THE EFFECTIVENESS AND OUTCOMES OF CERTIFICATION SCHEMES IN THE MINING SECTOR.,125000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THOMAS A. PLEIN ENDOWED SCHOLARSHIP FOR US CITIZEN(S) STUDYING IN EITHER THE SCHOOL OF BUSINESS, ECONOMICS OR LAW AT THE BUSINESS ECONOMICS AND LAW FACULTY.",27500,WIRE,FMV
201523159349300987,260069167,FUND SALARY OF PROF,10800,CHECK
201533209349315408,260833212,CHARITABLE,28934,WIRE TRANSFER
201533039349301303,912163512,SCHOOL AID,EFT
201533359349301118,841567873,Cuba,Training Support,10100,Wire Trnsfr
201533359349301118,841567873,Malawi,Training Support,11157,Wire Trnsfr
201533359349301118,841567873,Mexico,Training Support,28500,Wire Trnsfr
201533359349301118,841567873,USA Latinos,Training Support,10143,Wire Trnsfr
201513439349300141,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are a Canadian organization, all of our grants are paid in Canada, which is outside the US. Our grants are to support student organizations, federated colleges, and other Universities performing research (subgrants).",1568737,Cheque,0
201522939349300037,580593438,East Asia,American Cultural,10000,Wire
201522859349300807,954749034,SUPPORT UNIVERSITY,CASH WIRE TRANSFER
201503499349300305,237069575,"North America (including Canada and Mexico, but not the United States)",research,5241987,cheque,0
201503519349300545,730739626,Central America and the Caribbean,Ministry support,150000,Check
201503519349300545,730739626,Middle East and North Africa,Pastoral training,5032,Check
201503519349300545,730739626,Europe (Including Iceland & Greenland),Ministry networking,7800,ACH payment
201503519349300545,730739626,Sub-Saharan Africa,Church building,5011,ACH payment
201620339349301002,042111203,East Asia and the Pacific,Research,63660,wire transfer,0
201620339349301002,042111203,Europe (including Iceland and Greenland),Research,45690,check,0
201620339349301002,042111203,"North America (including Canada and Mexico, but not the United States)",Research,41587,check,0
201620339349301002,042111203,South Asia,Research,18343,check,0
201620339349301002,042111203,South America,Research,24796,wire transfer,0
201620309349300107,454135256,EUROPE (INCLUDING ICELAND & GREENLAND),DIABETES RESEARCH,79926,WIRE TRANSFER
201640359349301314,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1867000,Wire Transfer
201543459349300904,986001141,"North America (including Canada and Mexico, but not the United States)",Research,56722000,Wire Cheque Draft,0
201543459349300904,986001141,Sub-Saharan Africa,Research,685000,Wire Cheque Draft,0
201543459349300904,986001141,East Asia and the Pacific,Research,193000,Wire Cheque Draft,0
201543459349300904,986001141,South Asia,Research,128000,Wire Cheque Draft,0
201543459349300904,986001141,Central America and the Caribbean,Research,63000,Wire Cheque Draft,0
201543459349300904,986001141,South America,Research,49000,Wire Cheque Draft,0
201543459349300904,986001141,Europe (including Iceland and Greenland),Research,27000,Wire Cheque Draft,0
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,160515,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Land,52119,Check,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Land,62613,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,29747,Wire,N/A,N/A
201631049349300778,231352688,Middle East and North Africa,Housing,10542,Credit Card,N/A,N/A
201631049349300778,231352688,Middle East and North Africa,Tuition,51457,Wire,N/A,N/A
201631049349300778,231352688,Middle East and North Africa,Airfare,42994,Wire,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Tuition,41400,Wire,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Tuition,36000,Wire,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Academic,6600,Wire,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Excursions,52980,Check,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Tuition,14950,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,6263,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Internship,201396,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Housing,15299,Credit Card,N/A,N/A
201631049349300778,231352688,South America,Tuition,53010,Check,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,20800,Wire,N/A,N/A
201631049349300778,231352688,North America,Housing,37883,Credit Card,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Tuition,82269,Wire,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Tuition,8581,Wire,N/A,N/A
201631049349300778,231352688,Central America and the Caribbean,Tuition,9450,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,10394,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,9332,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,11044,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,104960,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,53412,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,30126,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,182439,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,7433,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,157020,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,75186,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,7134,Credit Card,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,148642,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,181458,Wire,N/A,N/A
201631049349300778,231352688,East Asia and the Pacific,Tuition,12000,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,10504,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,100657,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Tuition,18008,Wire,N/A,N/A
201631049349300778,231352688,Europe (Including Iceland and Greenland),Airfare,8462,Credit Card,N/A,N/A
201601379349303170,362191242,Europe (including Iceland and Greenland),Study Abroad Program,17881,Wire transfer,FMV
201631349349307653,042103547,Sub-Saharan Africa,RESEARCH,238332,WIRE
201631349349307653,042103547,North America,RESEARCH,113918,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,45356,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,32369,WIRE
201631349349307653,042103547,North America,RESEARCH,108654,CHECK
201631349349307653,042103547,Middle East and North Africa,RESEARCH,60500,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,244000,WIRE
201631349349307653,042103547,East Asia and the Pacific,RESEARCH,94211,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,45143,WIRE
201631349349307653,042103547,East Asia and the Pacific,RESEARCH,65969,WIRE
201631349349307653,042103547,East Asia and the Pacific,RESEARCH,20723,WIRE
201631349349307653,042103547,North America,RESEARCH,160491,CHECK
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,65333,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,99232,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,118387,CHECK
201631349349307653,042103547,South Asia,RESEARCH,9231,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,221722,WIRE
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,10161,WIRE
201631349349307653,042103547,South America,RESEARCH,359895,WIRE
201631349349307653,042103547,Sub-Saharan Africa,RESEARCH,94721,CHECK
201631349349307653,042103547,Europe (Including Iceland and Greenland),RESEARCH,49800,WIRE
201631349349307653,042103547,Middle East and North Africa,RESEARCH,34965,WIRE
201631349349307653,042103547,North America,RESEARCH,30279,CHECK
201631349349307653,042103547,East Asia and the Pacific,RESEARCH,103487,WIRE
201631349349307653,042103547,Sub-Saharan Africa,RESEARCH,8952,WIRE
201611349349306371,030179403,Central America and the Caribbean,General Support See Part IV See Part IV General Support,8000,check,N/A,N/A
201601329349303660,141713034,RUSSIA AND NEIGHBORING STATES,PROGRAM SERVICES,1335356,EFT
201601329349303660,141713034,EUROPE (INCLUDING ICELAND AND GREENLAND),PROGRAM SERVICES,5740005,EFT
201601329349303660,141713034,MIDDLE EAST AND NORTH AFRICA,PROGRAM SERVICES,577549,EFT
201601329349303660,141713034,SOUTH ASIA,PROGRAM SERVICES,51681,EFT
201621309349302012,350868202,North America,PROGRAM SUPPORT,20000,CHECK
201641329349303199,160743140,Sub-Saharan Africa,RESEARCH OF PROMOTING SPATIAL THINKING IN RESOURCE MGMT,22731,WIRE,0
201641329349303199,160743140,Sub-Saharan Africa,RESEARCH OF PROMOTING SPATIAL THINKING IN RESOURCE MGMT,40986,WIRE,0
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,989075,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,392775,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,152848,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,129537,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,68278,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,65884,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,64998,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,61901,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,57994,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,56800,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,52102,Wire Transfer
201600719349300405,986001062,"North America (including Canada and Mexico, but not the United States)",Research and Education,51193,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,50668,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,39278,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,31422,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,31422,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,31112,Wire Transfer
201600719349300405,986001062,Sub-Saharan Africa,Research and Education,28875,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,28797,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,28578,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,25994,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,23951,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,23567,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,20489,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,19730,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,17651,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,17453,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,15936,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,15711,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,15711,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,15390,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,15177,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,14418,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,13659,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,13659,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,13659,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,13659,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,12900,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,12900,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,12751,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,12569,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,12141,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,11783,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,11383,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,11383,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,11383,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,10015,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9915,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9865,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9427,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9427,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9427,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9106,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9106,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9106,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9106,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9106,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,9106,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,7856,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,7588,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,7588,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,7541,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,7111,Wire Transfer
