object_id,ein,BsnssNmLn1Txt,PrmryActvtsTxt,OrgPrftOrOwnrshpPct,OfcrEtcPrftOrOwnrshpPct,PhyscnsPrftOrOwnrshpPct
201903189349310175,420680452,1 CENTRAL IOWA CARDIOVASCULAR CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF CARDIAC SERVICE LINE,0.20000,0.80000
201903189349310175,420680452,2 CENTRAL IOWA ONCOLOGY CO-MANAGEMENT COMPANY,MANAGEMENT OF ONCOLOGY SERVICE LINE,0.20000,0.80000
201903189349310175,420680452,3 CENTRAL IOWA SURGICAL SERVICES CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF SURGERY SERVICE LINE,0.20000,0.73000
201903189349310175,420680452,4 IOWA DIAGNOSTIC IMAGING AND PROCEDURE CENTER LC,OUTPATIENT DIAGNOSTIC IMAGING,0.50000,0.50000
201903189349310175,420680452,5 LAKEVIEW SURGERY CENTER LC,SURGERY CENTER,0.50000,0.50000
201903189349310175,420680452,6 ORTHOPAEDIC OUTPATIENT SURGERY CENTER LC,AMBULATORY SURGERY CENTER,0.50000,0.50000
201903189349310175,420680452,7 WEST HOSPITAL ORTHOPAEDIC CO-MANAGEMENT COMPANY,MANAGEMENT OF METHODIST WEST ORTHO SERVICE LINE,0.20000,0.80000
201903189349310175,420680452,8 WEST LAKES SLEEP CENTER LLC,TREATMENT OF CHRONIC SLEEP DISORDERS,0.50000,0.50000
201913199349311456,752765566,METHODIST DIAGNOSTIC,HEALTHCARE,0.6,0.4
201913199349311456,752765566,COVENANT L-T CARE LP,HEALTHCARE,0.8276,0.1724
201913199349311456,752765566,COVENANT HP SURG CTR,HEALTHCARE,0.353,0.647
201913199349311456,752765566,COVENANT REHAB HOSP,HEALTHCARE,0.49,0.51
201933119349302203,340753531,Foundation Surgery of Middleburg,Ambulatory Surgery,0.20000,0.70000
201933119349302203,340753531,SW General Heart & Vascular Institute,Cardiovascular Services,0.40000,0.13860,0.46140
201913189349309996,362739299,2 MISSISSIPPI VALLEY SLEEP DISORDER CENTER,SLEEP STUDY CLINIC,0.51000,0.49000
201913189349309996,362739299,3 ADVANCED IMAGING CENTER LLC,DIAGNOSTIC RADIOLOGY CENTER,0.50000,0.50000
201913179349303056,150532245,1 MVEC,GASTROENTEROLOGY SERVICES,0.20000,0.00000,0.00000
201923169349300502,550526150,1 General Division Medical Office Building LLC,Medical Office Space Rental,0.79930,0.20070
201923169349300502,550526150,2 Charleston Area Radiation Therapy Centers LLC,Radiation Therapy,0.20000,0.30000
201903159349303420,540715569,CENTRAL VIRGINIA IMA,IMAGING SERVICES,0.5,0.0,0.5
201903159349303420,540715569,THE SURGERY CENTER O,OUTPATIENT SURGERY SVCS,0.5,0.01,0.49
202031509349301318,250965600,WPHO,LOCAL HEALTHCARE NETWORK,0.5,0.0078,0.4922
202001539349301720,223431049,1 CENTRAL NEW JERSEY HEART SERVICESLLC,CARDIAC CATH LAB MANAGEMENT,0.59760,0.25440
202041929349301624,470757164,LAKESIDE AMBULATORY SURGICAL CENTER LLC,AMBULATORY SURGICAL CENTER,0.6037,0.3963
202041929349301624,470757164,LAKESIDE ENDOSCOPY CENTER LLC,AMBULATORY SURGICAL CENTER,0.5337,0.4663
202041929349301624,470757164,NEBRASKA SPINE LLC,SPINE HOSPITAL,0.51,0.44
202041929349301624,470757164,BERGAN MERCY SURGICAL CENTER,AMBULATORY SURGICAL CENTER,0.5333,0.4667
201913179349303996,470378779,1 HASTINGS SURGICAL CENTER LLC,SURGICAL CENTER,0.21050,0.00000,0.16330
201913179349303996,470378779,2 HASTINGS MOB LLC,REAL ESTATE,0.51000,0.00000,0.39000
201923189349303787,112868878,STATEN ISLAND PERFOR,PERFORMING PROVIDER SYSTEM,0.5
202042409349301469,210634484,OAK & MAIN
202042409349301469,210634484,SURGICENTER LLC,MEDICAL SERVICES,0.85,0.15
202042409349301469,210634484,ELLMAC DIALYSIS LLC,MEDICAL SERVICES,0.3,0.1
202042409349301469,210634484,CLAYMOUNT
202042409349301469,210634484,DIALYSIS LLC,MEDICAL SERVICES,0.3,0.15
201933189349310178,370661223,1 METHODIST MEDICAL CENTER OF IL ORTHOPEDIC CO-MANAGEMENT COMPANY LLC,ORTHOPEDIC SERVICE LINE MANAGEMENT,0.20000,0.08000,0.72000
202002259349301610,362167060,HPMOB Limited Partnership,Owns a medical office building located on the hospital campus,0.3482,0.0,0.6518
202002259349301610,362167060,Ravine Way Surgery Center LLC,Operates an orthopaedic surgery center,0.285,0.0,0.715
202002259349301610,362167060,NorthShoreUSP Surgery Centers II LLC,Operates general surgery centers,0.5,0.0,0.5
202032279349301503,550357050,HUNTINGTON AREA MRI,PROVIDE MRI SCANS,0.49,0.51
202032279349301503,550357050,THREE GABLES SURGERY,OUTPATIENT HEALTH CARE,0.5234,0.4756
201923199349311942,951643359,COMPREHENSIVE IMAGIN,DIAGNOSTIC IMAGING CENTER,0.45,0.55
201923199349311942,951643359,ST JOSEPH PHYSICIAN,REAL ESTATE: DOCTOR OFFICES,0.59195,0.40805
201923199349311942,951643359,ST JOSEPH SATELLITE,DIALYSIS SERVICE,0.6077,0.3923
201923199349311942,951643359,PAVILION SURGERY CEN,OUTPATIENT SURGERY CENTER,0.46,0.54
201913199349302206,221487322,BERGEN RENAL CARE
201913199349302206,221487322,CENTER LLC,HEALTHCARE SERVICES,0.06,0.35
201913199349302206,221487322,BERGEN RENAL HOME PD
201913199349302206,221487322,CENTER LLC,HEALTHCARE SERVICES,0.06,0.35
201923199349301622,560554230,1 SOUTHPARK SURGERY CENTER,HEALTHCARE,0.60000,0.00000,0.40000
201903179349308575,160743134,1 LATTIMORE SERVICES ORGANIZATION LLC,MANAGEMENT SERVICES,0.29000,0.71000
202012269349300246,060646652,1 NONE,NONE
201903179349305000,570828733,1 Lowcountry Surgery Center (DBA Roper St Francis Eye Surgery),Eye Surgery,0.64650,0.35350
201913179349300716,470376552,Doctors Outpatient Surgery Center,Outpatient Surgery Center,0.51,0.0,0.49
201913179349300716,470376552,Lincoln Digestive Health Center LLC,Ambulatory Surgery Center,0.51,0.0,0.49
201913179349300716,470376552,Head and Neck Surgical Partners LLC,Ambulatory Surgery Center,0.51,0.0,0.49
202022269349301412,060646554,1 NONE,NONE
201903179349304825,160743905,Ivy Street Development Corp,Third-Party Collections Service,1,0,0
201913199349306311,440545297,KANSAS CITY ORTHOPAEDIC INSTITUTE LLC,ORTHOPAEDIC SERVICES,0.51,0.3687
201913199349306311,440545297,SAINT LUKES GI DIAGNOSTICS LLC,GASTROENTEROLOGY SERVICES,0.51,0.49
202032279349300738,060646813,1 SAINT FRANCIS GI ENDOSCOPY LLC,HEALTH CARE SERVICES - ENDOSCOPY,0.49000,0.51000
201913179349304331,141338413,Imaging Svc of NENY,Diagnostic Radiology,0.5,0.5,0.5
201913179349304331,141338413,N Country Eye Ctr,Eye center,0.3,0.3,0.3
202002269349302950,060646768,1 Central CT Endoscopy Center LLC,Endoscopy Services,0.06500,0.50000
202022279349301202,390884478,1 BELLIN ORTHOPEDIC SURGERY CENTER LLC,ORTHOPEDIC SURGERY CENTER,0.55000,0.45000
202002309349301720,141338471,1 PET SCAN LLC,IMAGING SERVICES,0.49000,0.00000,0.51000
