SkdH_FnnclAssstncPlcyInd|Financial assistance policy?
SbsdzdHlthSrvcs_ActvtsOrPrgrmsCnt|Subsidized health services; Number of activities or programs
SbsdzdHlthSrvcs_PrsnsSrvdCnt|Subsidized health services; Persons served
SbsdzdHlthSrvcs_TtlCmmntyBnftExpnsAmt|Subsidized health services; Total community benefit expense
SbsdzdHlthSrvcs_DrctOffsttngRvnAmt|Subsidized health services; Direct offsetting revenue
SbsdzdHlthSrvcs_NtCmmntyBnftExpnsAmt|Subsidized health services; Net community benefit expense
SbsdzdHlthSrvcs_TtlExpnsPct|Subsidized health services; Percent of total expense
Rsrch_ActvtsOrPrgrmsCnt|Research; Number of activities or programs
Rsrch_PrsnsSrvdCnt|Research; Persons served
Rsrch_TtlCmmntyBnftExpnsAmt|Research; Total community benefit expense
Rsrch_DrctOffsttngRvnAmt|Research; Direct offsetting revenue
Rsrch_NtCmmntyBnftExpnsAmt|Research; Net community benefit expense
Rsrch_TtlExpnsPct|Research; Percent of total expense
CshAndInKndCntrbtns_ActvtsOrPrgrmsCnt|Cash and in-kind contributions; Number of activities or programs
CshAndInKndCntrbtns_PrsnsSrvdCnt|Cash and in-kind contributions; Persons served
CshAndInKndCntrbtns_TtlCmmntyBnftExpnsAmt|Cash and in-kind contributions; Total community benefit expense
CshAndInKndCntrbtns_DrctOffsttngRvnAmt|Cash and in-kind contributions; Direct offsetting revenue
CshAndInKndCntrbtns_NtCmmntyBnftExpnsAmt|Cash and in-kind contributions; Net community benefit expense
CshAndInKndCntrbtns_TtlExpnsPct|Cash and in-kind contributions; Percent of total expense
TtlOthrBnfts_ActvtsOrPrgrmsCnt|Total Other Benefits; Number of activities or programs
TtlOthrBnfts_PrsnsSrvdCnt|Total Other Benefits; Persons served
TtlOthrBnfts_TtlCmmntyBnftExpnsAmt|Total Other Benefits; Total community benefit expense
TtlOthrBnfts_DrctOffsttngRvnAmt|Total Other Benefits; Direct offsetting revenue
TtlOthrBnfts_NtCmmntyBnftExpnsAmt|Total Other Benefits; Net community benefit expense
TtlOthrBnfts_TtlExpnsPct|Total Other Benefits; Percent of total expense
TtlCmmntyBnfts_ActvtsOrPrgrmsCnt|Total community benefits; Number of activities or programs
TtlCmmntyBnfts_PrsnsSrvdCnt|Total community benefits; Persons served
TtlCmmntyBnfts_TtlCmmntyBnftExpnsAmt|Total community benefits; Total community benefit expense
TtlCmmntyBnfts_DrctOffsttngRvnAmt|Total community benefits; Direct offsetting revenue
TtlCmmntyBnfts_NtCmmntyBnftExpnsAmt|Total community benefits; Net community benefit expense
TtlCmmntyBnfts_TtlExpnsPct|Total community benefits; Percent of total expense
