object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,ExclsnAmt
201930659349300333,350868096,HORNER CENTER MEMBERSHIPS,713940,23418,23418
201900509349300600,750827421,Change value split-int,611710,430472,430472
201940459349300519,340868798,OTHER REVENUE,611310,1072741,1072741
201940459349300519,340868798,RECOVERY OF BAD DEBTS,611310,21934,21934
201940459349300519,340868798,INTEREST INCOME STUDENT LOANS,611310,9787,9787
201930959349300208,560529953,GAIN FROM FIRE DAMAGE OF ASSET,611310,260478,260478
201930959349300208,560529953,LOSS ON DISPOSAL OF REAL ESTATE H,611310,-174984,-174984
201930959349300628,042103585,MISCELLANEOUS INCOME,900099,65019,65019
201930959349300628,042103585,ALUMNI EVENTS,900099,14938,14938
201900799349300125,941712371,Net realized/unreal.gains,900099,84501,84501
201900799349300125,941712371,Other revenue,900099,79228,79228
201940159349301154,060647016,MISCELLANEOUS INCOME,611600,116870,0,116870
201930639349300998,956002998,RENTAL REVENUE,900099,22810,22810
201900919349300850,160755807,OTHER,900099,738476,738476
201900919349300850,160755807,ICE COMPLEX FEES,532000,324000,324000
201900919349300850,160755807,KIERNAN CAMP,624410,72470,72470
201803179349304965,042702102,TRAINING & OTHER FEES,611710,57580,57580
201803179349304965,042702102,OTHER INCOME,611600,33391,33391
201803179349304965,042702102,ROOF ANTENNAE INCOME,531190,22722,22722
201910939349300726,411365561,MISC.,611600,17498,17498
201900849349300635,344431169,MTM Pharmacy CONSULTING,990009,408516,408516
201900849349300635,344431169,INTEREST ON STUDENT ACCOUNTS,990009,242873,242873
201900849349300635,344431169,Overseas Program,990009,207127,207127
201930679349301138,390833608,Service charges,611310,8250,0,0,8250
201930679349301138,390833608,Miscellaneous Revenue,611310,37317,0,0,37317
201940999349300919,350868086,Miscellaneous income,900099,2588,2588
201940999349300919,350868086,Fitness Facility,713940,325,325
201930749349301253,941339635,Bookstore,451211,16676,16676
201930749349301253,941339635,Sporting Event,711210,105,105
201833179349306403,420681049,CAMPUS SERVICES - EXTERNAL,812900,1646,1646
201921009349300802,951684793,Miscellaneous Income,611310,1566482,1566482,0,0
201940999349300529,560529999,SUMMER CONFERENCES,611710,3772540,3772540,0,0
201900929349300865,240795495,EARLY LEARNING CENTER,624410,1249389,1249389
201900929349300865,240795495,EDUCATIONAL SUPPORT SERVICES,611710,1210015,1210015
201900929349300865,240795495,CONFERENCES AND SUMMER CAMPS,721214,477925,477925
201900929349300910,390808497,CONFERENCES,721000,61499,61499
201900929349300910,390808497,LOSS FROM SUBSIDIARIES,900099,-1542799,-1542799
201900919349300525,231627436,BOOKSTORE,812900,45572,45572
201900919349300525,231627436,VENDING FEES,812900,4847,4847
201900919349300525,231627436,ALL OTHER,812900,105380,105380
201920849349300032,390806154,MISCELLANEOUS,611600,260745,260745
201930859349300928,131740445,INVESTMENT AMORTIZATION,900099,305085,305085
201930859349300928,131740445,REBATE INCOME,900099,285151,285151
201930859349300928,131740445,OTHER REVENUE,900099,255124,255124
201910889349300401,231352641,WORKSHOP FEES,900099,156220,156220
201910889349300401,231352641,ADMINISTRATIVE FEES,900099,153098,153098
201910889349300401,231352641,STUDENT LOAN INTEREST,900099,112099,112099
201901019349300135,620465076,Cafeteria,722210,5368802,5368802
201901019349300135,620465076,Curb Events Center,711300,1569947,655057,914890
201901019349300135,620465076,Ocean Way Music Studio,711300,608371,608371
201920169349300722,233069199,MISCELLANEOUS INCOME,900099,11468,11468
201920949349300927,520591661,DIGITAL PRINTING,900099,183574,183574
201920949349300927,520591661,TICKET AND EVENT INCOME,900099,34580,34580
201920949349300927,520591661,DEPOSIT FORFEITURE,900099,9150,9150
201900709349300125,340714629,LAUNDRY VENDING,812300,144848,144848
201900709349300125,340714629,PARKING,812930,38307,38307
201900709349300125,340714629,FOOTBALL PROGRAM ADVERTISING,900099,38024,10881,27143
201900779349300880,166031585,Commissions,451211,83990,0,0,83990
201900779349300880,166031585,Transcripts,611600,5543,5543,0,0
201900779349300880,166031585,Miscellaneous,900099,137268,0,0,137268
201920439349300852,112157078,INSURANCE RECOVERY,900099,10806,10806
201920439349300852,112157078,SECURITY DEPOSITS,900099,4571,4571
201920439349300852,112157078,ESCROT DEPOSITS R/E SALES,900099,2945,2945
201920999349300147,314379515,STUDENT TRIP DEPOSITS,900099,274517,274517
201920999349300147,314379515,STUDENT ACCOUNTS,900099,196053,196053
201920999349300147,314379515,ATHLETICS/ALUMNI,900099,123177,123177
201910299349301411,820309302,ANNUITY PAYMENT INCOME,900099,34913,34913
201910309349300731,731303821,MISCELLANEOUS REVENUE,900099,18907,18907
201920869349300407,363657734,Miscellaneous Income,611430,10666,10666
201901019349300965,240795441,EARLY ED TRAINING CTR,611710,169381,169381
201901019349300965,240795441,OTHER PROGRAM SERVICE,900099,161457,161457
201901019349300960,410693968,OTHER INCOME,900099,74404,74404
201910869349300216,756001300,FOOD SERVICE INVESTMENT,611710,206635,206635
201910869349300216,756001300,ROOF DAMAGE INSURANCE PAYMENT,611710,105502,105502
201910869349300216,756001300,STUDENT INSURANCE ADMIN FEES,611710,35173,35173
201910529349300116,231352692,CHILD CARE,624410,195861,195861
201910529349300116,231352692,CONFERENCES,611170,107554,54237,53317
201910529349300116,231352692,FEES AND FINES,900099,43336,43336
201900939349300820,540646523,MISCELLANEOUS,611600,65102,65102
201900939349300820,540646523,RUSSELL CLARK REALTY C,900099,25857,25857
201900939349300820,540646523,VENDING/LAUNDRY INCOME,611600,10822,10822
201910929349300631,951643992,PARKING FEES & METERS,812930,2847958,2847958
201910929349300631,951643992,PERFORMANCE GRANTS & OUTSIDE SCHOLARSHIPS,900099,1859068,1859068
201910929349300631,951643992,VENDING INCOME,900099,158529,158529
201920859349300327,560556753,MISCELLANEOUS,611710,721046,721046
201900849349301450,160743942,OTHER INCOME,531190,461846,460253,1593
201833259349300803,251186257,MISCELLANEOUS,85866,85866
201920529349300302,390988997,Discont. operations,900099,-520214,-520214
201901009349300730,900394713,Intercompany Revenue,900099,10897096,10897096
201940949349300339,042271070,MISCELLANEOUS,611600,53220,419,52801
201930859349300728,620475690,Investment return appropriated operations,900099,1625000,1625000
201930859349300728,620475690,Other income,900099,389576,389576
201920539349301007,131740469,BOOKSTORE AND OTHER COMMISSIONS,611710,92696,92696
201920539349301007,131740469,EDUCATIONAL/STUDENT PROGRAMS,900099,233728,233728
201920539349301007,131740469,OTHER REVENUE,900099,113950,113950
201900389349300330,521010577,MISCELLANEOUS,900099,7747,7747
201930369349300113,131628149,Academic Conferences,900099,423317,423317,0,0
201930369349300113,131628149,Other auxiliary,900099,111474,111474,0,0
201930369349300113,131628149,Other fees & penalties,900099,541354,541354,0,0
201910089349301006,566061483,OTHER INCOME,611600,19750,19750
201910089349301006,566061483,BOOKSTORE SALES,611600,85,85
201930949349300733,570474291,Gain - Asset Abatement,900099,6152,6152
201920639349300507,480777079,PARTNERSHIP INCOME,900099,161403,161403
201920639349300507,480777079,CATERING SERVICES UBI,722320,96646,96646
201920639349300507,480777079,CONFERENCE UBI,541900,66125,66125
201920379349300432,420680460,OTHER INCOME,611710,11253,11253
201920379349300432,420680460,ALUMNI FEES,611710,10390,10390
201920379349300432,420680460,PROGRAM SALES,511120,9870,9870
201910099349300526,386080947,CELL TOWER INCOME,517000,10000,10000
201911019349300016,237121060,MISCELLANEOUS INCOME,900099,12398,12398
201911019349300441,150545841,Fees and Admissions,900099,479413,479413
201911019349300441,150545841,Conferences,900099,210602,210602
201911019349300441,150545841,Indirect Cost Recovery,900099,144719,144719
201911019349301001,480730814,Advertising,900099,9500,9500
201930809349300813,135562314,CONFERENCE CENTER AND OTHER REVENUE,532310,3387256,3387256
201930809349300813,135562314,ATHLETIC MEMBERSHIP,900099,504200,504200
201930809349300813,135562314,FUNDS HELD BY TRUSTEES,900099,4371,4371
201833189349305598,141423161,OTHER INCOME,900099,948455,948455
201930739349300018,530196583,NON ACADEMIC REGISTRATION FEES,900099,39912,39912,0,0
201930739349300018,530196583,INTEREST INCOME-STUDENTS,900099,532231,532231,0,0
201803199349307340,942933165,SETTLEMENT,900099,69486,69486
201910329349301001,542052107,MISCELLANEOUS REV.,900099,386849,386849
201803199349303295,111631796,REBATES,900099,2494456,2494456
201803199349303295,111631796,MEDICAL PROFESSIONAL REIMBURSEMENT,900099,4498240,4498240
201803199349303295,111631796,CAFETERIA INCOME,722514,1187302,1187302
201931009349300243,750926755,Perkins Fees,522291,22970,22970
201931009349300243,750926755,ADVERTISING REVENUE,541800,7900,7900
201931009349300243,750926755,UDPM LIQUIDATION,900099,16715940,16715940
201833189349304138,363196629,PARKING,812930,2010523,2010523
201833189349304138,363196629,CAFETERIA REVENUE,722514,1570561,1570561
201833189349304138,363196629,MISCELLANEOUS,900099,125603,125603
201920379349300807,381393841,EVENT REVENUE,900099,380622,180717,199905
201930099349300013,590624401,OTHER PROGRAM REVENUE,900099,1657395,1657395
201930099349300013,590624401,STUDENT INSURANCE PREMIUMS,524292,392780,392780
201930099349300013,590624401,LESSONS/MEMBERSHIPS,900099,41876,41876
201900649349300920,420680372,MISCELLANEOUS,611710,652845,652845
201900649349300920,420680372,PRINT SHOP,900099,182707,182632,75
201900649349300920,420680372,BUSINESS OFFICE,611710,46371,46371
201940169349300519,560547511,TICKET SALES,711300,4763,4763
201940169349300009,660277396,OTHER REVENUE,900099,553237,553237,0,0
201940469349300739,131632522,MISC. REVENUE,900099,66535,66535
201940469349300739,131632522,PARKING LOT REVENUE,900099,55944,55944
201900929349300215,420680389,Finance Charges,611310,111211,111211,0,0
201900929349300215,420680389,Administrative Cost Reimbursements,611310,65848,65848,0,0
201900929349300215,420680389,Parking Fees,812930,127762,127762,0,0
201940329349301309,237373765,CONSTRUCTION,230000,44185,44185
201940329349301309,237373765,SBC TECH,541519,2690,2690
201900669349300315,541851377,MISCELLANEOUS,19732,19732
201900669349300315,541851377,TEXTBOOK SALES,2811,2811
201930569349300018,381284777,OTHER INCOME,611511,285,285
201940669349300319,731523469,MISCELLANEOUS,900099,6630,6630
201940939349300234,590859121,HURRICANE IRMA RECOVERY,900099,322781,0,0,322781
201940939349300234,590859121,WATERFRONT CAMP & REGATTA FEES,900099,220144,220144,0,0
201940939349300234,590859121,PURCHASING CARD REBATE,900099,17793,17793,0,0
201940779349300324,231352668,SALES & SERVICES,900099,215307,215307
201940779349300324,231352668,BOOKSTORE REVENUE,900099,22038,22038
201940779349300324,231352668,INCOME FROM LP INVESTMENTS,900099,-84782,-84782
201920579349300612,430652667,Credit card purchase rebates,900099,94852,94852
201920579349300612,430652667,COBRA pymnts from former employees,900099,39740,39740
201920579349300612,430652667,Child care charged to employees,900099,160697,160697
201930919349300543,362166964,CONFERENCE REVENUE,900099,488449,488449
201930919349300543,362166964,MUSIC BY THE LAKE,900099,338758,338758
201921009349300427,240795506,ENDOWMENT DRAWDOWNS,900099,1867607,1867607
201921009349300427,240795506,TEAM PROGRAM REVENUE,900099,143473,143473
201921009349300427,240795506,CAMP REVENUE,900099,55904,55904
201940789349300019,362167804,OTHER,900099,729298,729298
201910519349301206,231352620,Food/Vend/Bookstore Commissions,611310,145000,0,0,145000
201910519349301206,231352620,"Comm, Fees, & Indirect Grant Rev",611310,446000,0,0,446000
201910519349301206,231352620,Fingerprinting,611310,5000,0,5000,0
201940429349301179,420686467,PARTNERSHIP INCOME (LOSS),900099,20053,20053
201940799349300539,560767736,OTHER INCOME,900099,699893,699893
201940799349300539,560767736,CHANGE IN VALUE OF SPLIT INTE,900099,112599,112599
201940799349300539,560767736,GAIN FROM INSURANCE PROCEEDS,900099,47634,47634
201803189349302955,221487258,MISCELLANEOUS INCOME,900099,4289,4289
201940619349300704,150533545,CONFERENCE SERVICES,561499,339870,339870
201940619349300704,150533545,OTHER,246273,246273
201900229349300515,430654855,MISCELLANEOUS INCOME,611710,22210,22210
201900229349300515,430654855,MEALS/CATERING INCOME,611710,14558,14558
201900229349300515,430654855,INSURANCE RECOVERY,900099,4230,4230
201900299349300005,381359570,AUXILIARY ACTIVITIES,1030767,1030767
201900299349300005,381359570,OTHER AUXILIARY AND COMMUNITY,692861,692861
201900299349300005,381359570,GAINS ON INVESTMENTS,48881,48881
201900319349300410,310747997,Miscellaneous Receipts,900099,9938,0,0,9938
201930799349301063,650621012,OTHER INCOME,900099,20990,20990
201940819349301049,630400608,Other Income,900099,325159,325159
201940819349301049,630400608,Rebates from ANMTC Tax Credit Program,900099,1194515,1194515
201940829349300304,820200907,OTHER SERVICES,900099,690287,300208,390079
201931059349300828,042103545,CHILDREN'S CENTER,624410,600359,600359
201931059349300828,042103545,VENDING,900099,584403,584403
201803189349302700,370706154,EMPLOYEE INSURANCE PREMIUMS,900099,1066756,1066756
201803189349302700,370706154,FINES REVENUE,900099,84082,84082
201900499349300020,440545286,OTHER REVENUE,900099,421378,421378
201803189349309990,362739299,MISCELLANEOUS,900099,983412,983412
201803189349309990,362739299,SHARED SAVINGS REVENUE,900099,844309,844309
201803189349309990,362739299,CAFETERIA/FOOD SVCS,722210,42609,42609
201900499349300015,610444650,Child Dev Lab,624410,629616,629616
201900499349300015,610444650,Admin Cost Allowance,900099,64961,64961
201900499349300015,610444650,Gift Annuity Administration,900099,205804,205804
201940949349301409,510192025,INDIRECT COST RECOVERY,900099,1575466,1575466
201940949349301409,510192025,OTHER MISC. INCOME,900099,94647,94014,633
201940949349301409,510192025,DEVELOPER & MANAGMENT FEES,900099,3000,3000
201900539349300810,591407629,CHOIR AND GOSPEL TEAM REVENUE,92127,92127
201900539349300810,591407629,MISCELLANEOUS INCOME,27219,27219
201910429349300636,311601569,OTHER INCOME,900099,39881,39881
201940919349300214,160743996,OTHER SOURCES,900099,649976,649976
201940919349300214,160743996,CHEERLEADER CAMP,611620,159,0,159
201940929349300439,350867954,Finance charges,611310,314161,314161
201940979349300304,750859801,Administrative Allowances,13894,13894
201940979349300304,750859801,Athletics,57851,57851
201940979349300304,750859801,Miscellaneous,189404,189404
201930989349301213,930309970,MISCELLANEOUS,611710,77756,77756
201920639349300857,410970173,SERVICE CENTER INCOME,611710,55870,55870
201920639349300857,410970173,EDUCATIONAL EVENT REGISTRATION,611710,47312,47312
201920639349300857,410970173,OTHER INCOME,611710,19122,19122
201900329349300720,940836580,FORGIVEN DEBT,900099,50443,50443
201940939349301209,440556862,MISCELLANEOUS INCOME,900099,433704,433704
201940939349301209,440556862,FARM INCOME,111000,47791,47791
201921009349301067,920174205,OTHER INCOME,900099,32947,32947
201921009349301067,920174205,CATERING SERVICE,722320,24580,13026,11554
201900529349300605,042002060,MISCELLANEOUS,611710,16432,16432
201900529349300605,042002060,COMMISSIONS,611710,9410,9410
201920609349300512,310840764,OTHER INCOME,900099,150876,150876
201910389349301501,952882724,OTHER INCOME,611600,4478,4478
201940949349300609,741159753,0,0,0,0
201940949349300609,741159753,0,0,0,0
201940949349300609,741159753,0,0,0,0
201900539349300615,941585735,CREDIT CARD SERVICE FEES,900099,123481,123481
201900539349300615,941585735,SEOG/FWSP/PERKINS,611710,58872,58872
201900539349300615,941585735,BOOKSTORE COMMISSION,611710,17809,17809
201900529349301100,131662715,MISCELLANEOUS,900099,26921,26921
201910529349300536,431007642,OTHER SOURCES,611710,53191,53191
201910529349300536,431007642,INTEREST ON COLL/CAN L,2743,2743
201910529349300536,431007642,ACTUARIAL ADJUSTMENT O,910,910
201930099349300033,956102146,Other Miscellaneous,611600,226408,226408
201900949349301200,640428676,Counseling Income,900099,85618,85618
201900949349301200,640428676,Finance Charges,900099,30983,30983
201900949349301200,640428676,Counseling Conferences,900099,8020,8020
201940569349301059,610470593,OTHER REVENUE,611710,123583,123583
201900959349301150,350868158,Vending/food services,721000,316275,316275
201900959349301150,350868158,Commissions and Other Fees,721000,76894,76894
201900959349301150,350868158,Performing arts/choir/speech,900099,96456,96456
201930359349300343,581126894,OTHER INCOME,89465,89465
201920899349300207,340714681,SPINNAKER GLOBAL EMERGING,236000,15508,15508
201920899349300207,340714681,DAVIDSON KEMPNER INSTITUTIONAL PARTNERS LP,236000,-1858,-1858
201920899349300207,340714681,HEARTLAND MANATEE RIVERFRONT,236000,28,28
201940999349300414,362169157,THEATRE GATE RECEIPTS,711130,552194,552194
201940999349300414,362169157,PARKING FINES/FEES,812930,241967,241967
201940999349300414,362169157,ATHLETIC GATE RECEIPTS,812900,53549,53549
201940499349300614,562031568,MISC INCOME,3626,3626
201803199349316115,660234412,OTHER SOURCES,2672347,2672347
201803199349316115,660234412,INSURANCE CLAIM RECOVERY,1340150,1340150
201910949349301021,410695527,MISCELLANEOUS,611519,390568,390568
201940329349300849,370864020,Housing,721310,3182800,3182800,0,0
201940329349300849,370864020,Auxiliary Sales Unrelated,451211,20337,0,20337,0
201940329349300849,370864020,Miscellaneous Income,900099,286365,0,1530,284835
201940609349300904,430653369,COMMISSIONS,900099,24398,24398
201940609349300904,430653369,SOCCER CAMP REVENUE,611600,424262,424262
201940609349300904,430653369,OTHER CAMP REVENUE,611600,56977,56977
201940609349301024,390477970,OTHER INCOME,900099,1603119,1603119
201833169349301343,310785684,CAFETERIA,722514,1003254,1003254
201833169349301343,310785684,CMS Care Management Fees,900099,540693,540693
201833169349301343,310785684,Employee Pharmacy,446110,406548,406548
201942219349301009,050259026,TRUST DISTRIBUTIONS,900099,283276,283276
201912279349301841,640306253,EQUITY IN INVESTMENTS,900099,1062939,1062939
201912279349301841,640306253,NON-OPERATING INCOME,900099,372618,372618
201942279349303564,540506332,Physician & Other Affil. Income,621111,9320578,9320578
201942279349303564,540506332,Cafeteria Revenue,722514,3689472,3689472
201942279349303564,540506332,Roanoke City Student Health,621440,1818992,1818992
201922259349301202,060646554,OTHER OPERATING INCOME,900099,25908866,25908866
201922259349301202,060646554,PEDIATRIC ANCILLARY REVENUE,900099,9600000,9600000
201922259349301202,060646554,CAFETERIA/VENDING OTHER OPERATING,900099,2562962,2562962
201912259349302266,362167060,Cafeteria,722514,5144998,5144998
201912259349302266,362167060,Lab Reference Testing,541380,3186353,3186353
201912259349302266,362167060,Parking,812930,1477835,46550,1431285
201833189349308278,250965270,REBATES,900099,734755,734755
201833189349308278,250965270,MISCELLANEOUS,900099,268434,268434
201833189349308278,250965270,CAFETERIA REVENUE,722210,256680,256680
201813059349301236,660552714,miscellaneous,611000,2107,2107
201901359349311240,570314365,On Campus Printing,561439,172663,172663
201901359349311240,570314365,Off Campus Printing,561439,23274,23274
201901359349310525,942514843,OTHER,215,215
201922259349300417,060646652,PARKING,900099,8409109,8409109
201922259349300417,060646652,OTHER ANCILIARY SERVICES,900099,6486472,6486472
201922259349300417,060646652,CAFETERIA/VENDING,900099,3827959,3827959
201911629349300016,370662594,STUDENT LOAN INTEREST,205307,205307
201932259349300543,060646768,Dietary/Cafeteria,722210,967284,967284
201942289349300734,920021800,OTHER,8402,8402
201932259349301218,060646966,Cafeteria Revenue,722514,211814,211814
201932259349301218,060646966,Other Operating Revenue,900099,110622,110622
201932259349301218,060646966,Income (Loss) Pass Thru Entities,900003,82556,82556
201833139349301403,540506331,SALES OF NON-MEDICAL GOODS,900099,451384,451384
201833139349301403,540506331,DIETARY SALES,722210,13398,13398
201902279349301575,953432210,INVESTMENT INCOME FROM K-1'S,525990,-371349,-371349
201932249349301563,592139553,INSURANCE PROCEEDS,138034,138034
201932249349301563,592139553,OTHER MISCELLANEOUS REVENUES,25433,25433
201932249349301563,592139553,VENDING MACHINE REV,12853,12853
201942279349302714,141338471,CAFETERIA SALES,900099,1677617,1677617
201942279349302714,141338471,WELLNESS CENTER,900099,822946,822946
201942279349302714,141338471,MED SURG SUPPLIES,900099,145830,145830
201813189349300201,954506631,OTHER REVENUE,900099,5811,5811
201823189349303612,956120642,Misc. Reimbursements,387,387
201823479349301152,561388743,MISCELLANEOUS INCOME,900099,2293,2293
201942249349300934,951643307,ADVERTISING & FILMING,900099,424000,424000
201803529349300700,237102720,OTHER,611710,7628,7628
201813479349300216,161032869,MISC,403,403
201833589349300408,370706154,employee INSURANCE PREMIUMs,900099,845901,845901
201833589349300408,370706154,FINES REVENUE,900099,58165,58165
201911989349301166,850365964,MISCELLANEOUS INCOME,611600,140805,140805
201902219349300120,440577118,LOSS ON INVESTMENT IN EQUITY INVESTEE,900099,-73171,-83962,10791
201902219349300120,440577118,CHANGE IN INTEREST IN NET ASSETS OF SUBS,900099,17346000,17346000
201932269349301898,010238552,HR and IS Shared Services Rev,900099,134577375,134577375
201932269349301898,010238552,Other Revenue,900099,109835368,109835368
201932269349301898,010238552,Gain on Cash Flow Hedges,900099,2789713,2789713
201912279349301336,810351900,MISCELLANEOUS,66342,66342
201902279349302635,550357050,CAFETERIA SALES,722100,3131022,3131022
201902279349302635,550357050,EHR INCENTIVE,900099,-177914,-177914
201902279349302635,550357050,OTHER AFFILIATED ENTITIES,900099,-10113298,-10113298
201922599349301132,010211534,Escrow Refund,525920,264166,264166
201922599349301132,010211534,Legal Settlement,525990,1514000,1514000
201922599349301132,010211534,Miscellaneous,900099,838,838
201823189349306817,362166946,LEASE TO FOR-PROFIT,900099,237848,237848
201823189349306817,362166946,OTHER REVENUE,900099,5950,5950
201922279349302592,042103612,PHYSICIAN ADMIN,900099,2681703,2681703
201922279349302592,042103612,PARKING,900099,1778276,1778276
201922279349302592,042103612,CAFETERIA,900099,1259122,1259122
201901139349300445,010211484,Other Income,900099,6657,6657
201901139349300240,931139187,OTHER,900099,166821,166821
201933159349301378,161554414,MISCELLANEOUS REVENUE,611710,69085,69085
201933089349302243,952540850,OTHER INCOME,611710,108680,108680
201941349349302784,231639911,PEW/PEI OVERHEAD,900099,194250,194250
201941349349302784,231639911,ADMISSIONS APPLICATION FEES,900099,105840,105840
201941349349302784,231639911,CE STUDENT FEES,900099,81680,81680
201913019349300216,620476661,FORT SANDERS NURSING SUPPLEMENT,611600,308750,308750
201941349349303034,156019050,OTHER REVENUE,900099,208593,208593
201941349349303034,156019050,FACILITY USE,531120,94320,94320
201941349349303034,156019050,CONFERENCE & CAMPS,531120,1447,1447
201932279349301423,610444716,CAFETERIA,722210,2262841,2262841
201932279349301423,610444716,QUALITY INCENTIVE,900099,886505,886505
201932279349301423,610444716,MANAGEMENT FEES,900099,271740,271740
201922889349302017,350892672,MISCELLANEOUS,621110,2745831,441972,2303859
201922889349302017,350892672,Pharmacy Sales,621110,1733563,1733563
201922889349302017,350892672,Cafeteria / Vending,621110,3222210,3222210
201942809349300764,610510937,ATHLETICS TOURNAMENTS,711210,100520,100520
201942809349300764,610510937,OTHER REVENUE,900099,82392,82392
201942809349300764,610510937,"SPONSORSHIPS, COMMISSIONS, AND CO",711300,50562,50562
201813199349317561,111661359,EQUITY TRANSFER,900099,6277786,6277786
201813199349317561,111661359,CAFETERIA,624210,492747,492747
201813199349317561,111661359,CLINIC,621110,253664,253664
201932339349300743,340873175,PELLS GRANTS,611710,252969,252969
201932339349300743,340873175,FINANCIAL AID,611710,138000,138000
201823179349303002,430471057,STUDENT HOUSING,611710,578994,578994
201823179349303002,430471057,LAPTOP REVENUES,611710,78844,78844
201823179349303002,430471057,FEDERAL FINANCIAL AID REIMBURSEMENT,611710,81098,81098
201823449349300542,480559090,OTHER INCOME,611600,74320,74320
201941349349310144,520591667,CAFE,900099,661146,661146
201941349349310144,520591667,GARAGE,900099,314789,314789
201941349349310144,520591667,MEDICAL RECORDS,900099,93693,93693
201933099349300218,020423502,MISCELLANEOUS,900099,4825,4825
201941349349310549,953127273,GAIN ON INVOLUNTARY CONVERSION,900099,1253474,1253474
201941349349310549,953127273,OUTSIDE REVENUES,058633,853271,794638,58633
201941349349310549,953127273,STAFF PARKING,900099,413186,413186
201941349349310964,660498051,GAIN ON INSURANCE RECOVERY,2901806,2901806
201901309349301715,943185612,OTHER INCOME,900099,14512,14512
201903119349301020,136171197,TRANSITION SERVICES,551114,2575412,2575412
201903119349301020,136171197,8 EAST 102ND STREET MANAGER LLC,525990,1943,1943
201903119349301020,136171197,PARKING GARAGE,611710,2332982,2332982
201933099349301903,260069167,OTHER,63765,63765
201911359349300331,362170866,EXPENSE REIMBURSEMENT & MGMT FEES,900099,548156,548156
201911359349300331,362170866,GIFT SHOP,900099,200785,200785
201911359349300331,362170866,PARKING INCOME,900099,67742,67742
201911359349311616,042103547,RENTALS AND LEASING,532000,13978492,13978492
201911359349311616,042103547,PARKING,812930,1779444,1779444
201911359349311616,042103547,FITNESS AND RECREATIONAL SPORTS CENTER,713940,1340974,1340974
201823139349301402,350895832,EHR INCOME,900099,511265,511265
