object_id,ein,FrmAndLnRfrncDsc
201512739349300701,742358522,"PART IV, SECTION E, LINE 2A:","THE ORGANIZATION SUPPORTS THE NCMC BOARD OF TRUSTEES THROUGH THE LEASING OF A HOSPITAL BUILDING, EQUIPMENT AND BUSINESS FRANCHISE TO BANNER HEALTH SYSTEM (AN ARIZONA 501(C)(3) ORGANIZATION), WHO OPERATES THE NORTH COLORADO MEDICAL CENTER. UNDER THE TERMS OF THE CONTRACT, BANNER HEALTH SYSTEM PAYS AN ANNUAL USE CHARGE TO THE ORGANIZATION. THESE FUNDS, TOGETHER WITH OTHER CASH RESERVES, ARE USED BY THE ORGANIZATION TO PROVIDE THE NORTH COLORADO MEDICAL CENTER WITH LIQUID WORKING CAPITAL AND FUNDING FOR MAJOR AND ROUTINE CAPITAL EXPENDITURES. THE ORGANIZATION MAY BORROW MONEY TO FUND CAPITAL PROJECTS, WHICH RESULTS IN THE ORGANIZATION SERVICING THE DEBT INCURRED. IN ADDITION, THE ORGANIZATION ALSO PROVIDES GRANTS TO SUPPORT LOCAL HEALTHCARE CHARITIES. PLEASE SEE SCHEDULE A, PART I, LINE 11G FOR THE AMOUNT OF SUPPORT PROVIDED. THESE ACTIVITIES DIRECTLY FURTHER THE EXEMPT PURPOSE OF THE ORGANIZATION, WHICH IS TO PROVIDE QUALITY HEALTHCARE AT A REASONABLE COST TO THE NORTH COLORADO MEDICAL CENTER SERVICE AREA."
201512739349300701,742358522,"PART IV, SECTION E, LINE 2B:","IF THE ORGANIZATION DID NOT CONDUCT THE ACTIVITIES DESCRIBED IN SECTION E, LINE 2A, THE SUPPORTED ORGANIZATION WOULD HAVE TO DIRECTLY UNDERTAKE THE ACTIVITIES. THE SUPPORTED ORGANIZATION WAS FORMED TO PROVIDE FOR HEALTHCARE NEEDS OF THE REGION, WHICH INCLUDES THE AVAILABILITY OF HOSPITAL FACILITIES. THE SUPPORTED ORGANIZATION IS PROVIDING FOR THE HEALTHCARE NEEDS OF THE REGION THROUGH THE USE OF THE ORGANIZATION AND ITS ACTIVITIES."
201521259349301812,350868107,"Schedule A, Part II, Line 10, Other Income"
201520759349300517,611124267,"Schedule A, Part II, Line 10, Other Income"
201521339349302172,050258809,"SCHEDULE A, PART II, LINE 10"
201520789349300532,591023117,"Schedule A, Part II, Line 10, Other Income"
201520789349300532,591023117,"SCHEDULE A, PART II, EXPLANATION OF FILING"
201521359349304057,570314395,Gross Rents
201521359349304057,570314395,"Schedule A, Part I - Reason for Public Charity Status"
201540489349301704,314379584,"Schedule A, Part II, Line 10, Other Income"
201540489349301704,314379584,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201540459349300244,131624158,"Form 990, Schedule A, Line 7"
201541319349301944,050258956,"SCHEDULE A, PART II, LINE 10"
201541339349304279,160743140,"Schedule A, Part II, Line 10, Other Income"
201542109349300129,135648615,"Schedule A, Part III, Line 12","General Explanation - Other revenue represents Insurance refunds, Discounts earned, and Word of Life Ministry trips."
201541359349309134,381948285,"PART II, LINE 10"
201541689349300504,161411935,"Schedule A, Part III, Line 12, Explanation of Other Income:",Other Income from Related Activities
201500449349302610,610444650,"Schedule A, Part II, Line 10, Other Income"
201501329349302005,520595110,"SCHEDULE A, PART II"
201531209349300023,530196641,"PART II, LINE 10:"
201531209349300023,530196641,"SCHEDULE A, PART II, LINE 1:"
201511359349302631,141338587,"Schedule A, Part II, Line 10"
201521049349300112,060653264,"Schedule A, Part I, Line 7"
201521049349300112,060653264,"Schedule A, Part II, Line 10"
201521059349300737,310725957,"Schedule A, Part II, Line 10, Other Income"
201520999349300627,951643992,"SCHEDULE A, PART II"
201521319349300017,620476822,Part II Section B Line 10:
201501339349301120,046130872,REASON FOR PUBLIC CHARITY STATUS - PARTS I AND II:
201501349349303250,132584273,"SCHEDULE A, PART III, LINE 12, EXPLANATION OF OTHER INCOME:"
201511319349302071,050306206,"PART I, REASON FOR PUBLIC CHARITY STATUS:"
201531359349305158,314379537,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201541329349302134,020222182,"Schedule A, Part II, Line 10"
