object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt,IdRltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt,IdRltdOrgTxblPrtnrshp_DsprprtntAllctnsInd,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd,IdRltdOrgTxblPrtnrshp_OwnrshpPct
201612439349300026,042964630,SIOCHAIN PROPERTIES LP,143 BORDER STREET,EAST BOSTON,MA,02128,043489643,PROVIDES HOUSING FOR LOW TO MODERATE INCOME INDIVIDUALS/FAMILIES,MA,N/A,N/A,0,1
201632519349300313,611339396,1880 Pine LP,1999 Broadway Suite 1000,Denver,CO,80202,471291546,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,2000 Illinois Aurora LLC,1999 Broadway Suite 1000,Denver,CO,80202,462558442,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,2101 Telegraph Avenue Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943222935,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,2220 10th Avenue Assoc (Santana Apts),1999 Broadway Suite 1000,Denver,CO,80202,943140163,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,2698 California LP,1999 Broadway Suite 1000,Denver,CO,80202,473462784,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,2814 Fifth Street Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,680340317,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,365 Fulton LP (Parcel G),1999 Broadway Suite 1000,Denver,CO,80202,261539223,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,4707 Malden Ltd Partnership,1999 Broadway Suite 1000,Denver,CO,80202,363762788,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,5042 Winthrop Apartments LP,1999 Broadway Suite 1000,Denver,CO,80202,363855358,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,55 Laguna LP,1999 Broadway Suite 1000,Denver,CO,80202,453582721,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,901 West 63rd LP (Englewood Apartments),1999 Broadway Suite 1000,Denver,CO,80202,261233617,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Acquisition Properties Georgia I,1999 Broadway Suite 1000,Denver,CO,80202,204465851,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Acquisition Properties Georgia II,1999 Broadway Suite 1000,Denver,CO,80202,204465972,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Adamsville Green LP,1999 Broadway Suite 1000,Denver,CO,80202,262252791,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Allegre Mercy Redevelopment LLLP,1999 Broadway Suite 1000,Denver,CO,80202,453540725,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Antioch Villas LP,1999 Broadway Suite 1000,Denver,CO,80202,270194197,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Appian Way Mercy LLC,1999 Broadway Suite 1000,Denver,CO,80202,911546525,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Aromor Mercy LLC (Aromor Apartments),1999 Broadway Suite 1000,Denver,CO,80202,300296042,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Bayshore Court,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Belray Apartments,1999 Broadway Suite 1000,Denver,CO,80202,364027474,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Bennett House LP,1999 Broadway Suite 1000,Denver,CO,80202,651308081,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Bishops Block (Bishops Block),1999 Broadway Suite 1000,Denver,CO,80202,010477157,low-inc hsng,IA,na,RELATED,false,false
201632519349300313,611339396,Bluff Mercy LLC,1999 Broadway Suite 1000,Denver,CO,80202,270954394,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Boise Senior 202 Owner LP,1999 Broadway Suite 1000,Denver,CO,80202,270992784,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Boundary Village,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Brentwood Green Valley Apts,1999 Broadway Suite 1000,Denver,CO,80202,943135990,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Britton Street Assoc(Britton Court),1999 Broadway Suite 1000,Denver,CO,80202,943300509,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Cambridge Apartments,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Cascade Apartments,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Cascade Village,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Cedarwood I,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Cedarwood IV,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Centro Partners,1999 Broadway Suite 1000,Denver,CO,80202,770295344,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Cheney Gardens,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Coastside Senior Housing LP,1999 Broadway Suite 1000,Denver,CO,80202,452262853,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Colonia San Martin Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,830481233,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Commons on Main LP,1999 Broadway Suite 1000,Denver,CO,80202,208033896,low-inc hsng,OH,na,RELATED,false,false
201632519349300313,611339396,Countryside Senior Apartments LP,1999 Broadway Suite 1000,Denver,CO,80202,261483851,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Danville Veterans Housing LLC,1999 Broadway Suite 1000,Denver,CO,80202,352441770,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Dorothy Day Community LP,1999 Broadway Suite 1000,Denver,CO,80202,651308078,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Dove Family Housing Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,330975782,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Eden House LP,1999 Broadway Suite 1000,Denver,CO,80202,462704216,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,El Monte LP,1999 Broadway Suite 1000,Denver,CO,80202,461360554,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Evergreen Manor,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Evergreen Vista 1 Owner LP,1999 Broadway Suite 1000,Denver,CO,80202,274160484,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Family Tree & Lincoln Way LLLP,1999 Broadway Suite 1000,Denver,CO,80202,462841485,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Ferndale Villa,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Fircrest,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Florin Wood Assoc,1999 Broadway Suite 1000,Denver,CO,80202,680318012,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Franciscan Homes III LP,1999 Broadway Suite 1000,Denver,CO,80202,311394513,low-inc hsng,OH,na,RELATED,false,false
201632519349300313,611339396,Franciscan Homes IV LP,1999 Broadway Suite 1000,Denver,CO,80202,311463371,low-inc hsng,OH,na,RELATED,false,false
201632519349300313,611339396,Galewood SLF Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,201882654,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Grayslake senior housing,1999 Broadway Suite 1000,Denver,CO,80202,263800351,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Greenwich Park Apartments LLC,1999 Broadway Suite 1000,Denver,CO,80202,320453460,low-inc hsng,WI,na,RELATED,false,false
201632519349300313,611339396,Harold Washington Apartments,1999 Broadway Suite 1000,Denver,CO,80202,363556291,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,HWA-850 EASTWOOD LP,1999 Broadway Suite 1000,Denver,CO,80202,271257130,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Impact Family Village GP LLC,1999 Broadway Suite 1000,Denver,CO,80202,364715432,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Impact Family Village LP,1999 Broadway Suite 1000,Denver,CO,80202,800769567,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Intercommunity Mercy Washington II,1999 Broadway Suite 1000,Denver,CO,80202,911572690,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,JFK Tower LP,1999 Broadway Suite 1000,Denver,CO,80202,473477829,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Johnston Center Outlots LLC,1999 Broadway Suite 1000,Denver,CO,80202,270162550,low-inc hsng,WI,na,RELATED,false,false
201632519349300313,611339396,Johnston Center Re-Use LP,1999 Broadway Suite 1000,Denver,CO,80202,300529359,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Junipero Serra LP,1999 Broadway Suite 1000,Denver,CO,80202,651308082,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Kankakee Station Street Senior Housing L,1999 Broadway Suite 1000,Denver,CO,80202,461841937,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Kennedy Estates Hsg Assoc,1999 Broadway Suite 1000,Denver,CO,80202,680355465,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,La Playa Residential,1999 Broadway Suite 1000,Denver,CO,80202,770278613,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Lake Stevens,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Lake Village East,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mabton Gardens,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Magnolia Limited Partnership,1999 Broadway Suite 1000,Denver,CO,80202,363822288,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Malden Limited Partnership II,1999 Broadway Suite 1000,Denver,CO,80202,208746121,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Marlton Affordable Hsg Assoc,1999 Broadway Suite 1000,Denver,CO,80202,043594636,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mason Apartments (Mason School Apts),1999 Broadway Suite 1000,Denver,CO,80202,421301449,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Alston Lake LLC,1999 Broadway Suite 1000,Denver,CO,80202,202948887,low-inc hsng,SC,na,RELATED,false,false
201632519349300313,611339396,Mercy Crestview Village Housing LP,1999 Broadway Suite 1000,Denver,CO,80202,264578510,low-inc hsng,NE,na,RELATED,false,false
201632519349300313,611339396,Mercy Eden House LLC,1999 Broadway Suite 1000,Denver,CO,80202,464227209,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,MERCY FAMILY PLAZA LP,1999 Broadway Suite 1000,Denver,CO,80202,943094867,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Arizona I,1999 Broadway Suite 1000,Denver,CO,80202,860791473,low-inc hsng,AZ,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Arizona II (Page Commons),1999 Broadway Suite 1000,Denver,CO,80202,331075152,low-inc hsng,AZ,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Ca XXXIII,1999 Broadway Suite 1000,Denver,CO,80202,432100410,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Ca XXXVII,1999 Broadway Suite 1000,Denver,CO,80202,680631916,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 46 LP,1999 Broadway Suite 1000,Denver,CO,80202,272321382,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 47 LP,1999 Broadway Suite 1000,Denver,CO,80202,272930358,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 48 LP,1999 Broadway Suite 1000,Denver,CO,80202,273117667,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 49 LP,1999 Broadway Suite 1000,Denver,CO,80202,273277379,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 50 LP(St Anth,1999 Broadway Suite 1000,Denver,CO,80202,273381997,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 51 LP (200 6th,1999 Broadway Suite 1000,Denver,CO,80202,942963228,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 52 LP,1999 Broadway Suite 1000,Denver,CO,80202,452751062,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 53 LP (Madonna,1999 Broadway Suite 1000,Denver,CO,80202,452050339,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 54 LP,1999 Broadway Suite 1000,Denver,CO,80202,942963228,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 55 LP,1999 Broadway Suite 1000,Denver,CO,80202,453710672,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 56 LP,1999 Broadway Suite 1000,Denver,CO,80202,454659051,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 57 LP,1999 Broadway Suite 1000,Denver,CO,80202,454711412,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 58 LP,1999 Broadway Suite 1000,Denver,CO,80202,454486957,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 59 LP,1999 Broadway Suite 1000,Denver,CO,80202,462537487,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 60 LP,1999 Broadway Suite 1000,Denver,CO,80202,461239561,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 61 LP,1999 Broadway Suite 1000,Denver,CO,80202,463636570,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 62 LP,1999 Broadway Suite 1000,Denver,CO,80202,463424351,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 63 LP,1999 Broadway Suite 1000,Denver,CO,80202,463921420,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 64 LP,1999 Broadway Suite 1000,Denver,CO,80202,465015672,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 65 LP,1999 Broadway Suite 1000,Denver,CO,80202,471120541,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 66 LP,1999 Broadway Suite 1000,Denver,CO,80202,473441276,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 67 LP,1999 Broadway Suite 1000,Denver,CO,80202,473628711,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 68 LP,1999 Broadway Suite 1000,Denver,CO,80202,474992813,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 71 LP,1999 Broadway Suite 1000,Denver,CO,80202,475468338,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California 72 LP,1999 Broadway Suite 1000,Denver,CO,80202,811758210,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California I,1999 Broadway Suite 1000,Denver,CO,80202,841210914,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California II,1999 Broadway Suite 1000,Denver,CO,80202,943187825,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California III,1999 Broadway Suite 1000,Denver,CO,80202,943187826,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California IX,1999 Broadway Suite 1000,Denver,CO,80202,943230471,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California V,1999 Broadway Suite 1000,Denver,CO,80202,943229051,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California VI,1999 Broadway Suite 1000,Denver,CO,80202,943224528,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California VII,1999 Broadway Suite 1000,Denver,CO,80202,943229540,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California VIII,1999 Broadway Suite 1000,Denver,CO,80202,943229541,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California X (The Rose),1999 Broadway Suite 1000,Denver,CO,80202,943232501,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XI,1999 Broadway Suite 1000,Denver,CO,80202,943244521,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XII,1999 Broadway Suite 1000,Denver,CO,80202,943366333,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XIII,1999 Broadway Suite 1000,Denver,CO,80202,943377935,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XIV,1999 Broadway Suite 1000,Denver,CO,80202,943377941,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XIX,1999 Broadway Suite 1000,Denver,CO,80202,010716135,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XL,1999 Broadway Suite 1000,Denver,CO,80202,261398920,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XLI,1999 Broadway Suite 1000,Denver,CO,80202,262350027,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XLII,1999 Broadway Suite 1000,Denver,CO,80202,262575525,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XLIII,1999 Broadway Suite 1000,Denver,CO,80202,262553554,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XLIV,1999 Broadway Suite 1000,Denver,CO,80202,263583090,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XLV (Washington,1999 Broadway Suite 1000,Denver,CO,80202,651308076,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XLVII,1999 Broadway Suite 1000,Denver,CO,80202,272930358,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XV,1999 Broadway Suite 1000,Denver,CO,80202,943379316,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XVI,1999 Broadway Suite 1000,Denver,CO,80202,943381170,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XVII,1999 Broadway Suite 1000,Denver,CO,80202,943400496,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XVIII,1999 Broadway Suite 1000,Denver,CO,80202,030376881,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XX,1999 Broadway Suite 1000,Denver,CO,80202,364497277,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXI,1999 Broadway Suite 1000,Denver,CO,80202,481259652,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXII,1999 Broadway Suite 1000,Denver,CO,80202,352172040,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXIII,1999 Broadway Suite 1000,Denver,CO,80202,820560494,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXIV,1999 Broadway Suite 1000,Denver,CO,80202,743052786,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXIX,1999 Broadway Suite 1000,Denver,CO,80202,731729092,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXV,1999 Broadway Suite 1000,Denver,CO,80202,810564415,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXVI,1999 Broadway Suite 1000,Denver,CO,80202,582679059,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXVII,1999 Broadway Suite 1000,Denver,CO,80202,651207291,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXVIII,1999 Broadway Suite 1000,Denver,CO,80202,731721242,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXX,1999 Broadway Suite 1000,Denver,CO,80202,611488186,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXI,1999 Broadway Suite 1000,Denver,CO,80202,870756700,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXII,1999 Broadway Suite 1000,Denver,CO,80202,870756940,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXIV LP,1999 Broadway Suite 1000,Denver,CO,80202,510594948,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXIX,1999 Broadway Suite 1000,Denver,CO,80202,010885277,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXV,1999 Broadway Suite 1000,Denver,CO,80202,760827799,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXVI,1999 Broadway Suite 1000,Denver,CO,80202,562568833,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing California XXXVIII,1999 Broadway Suite 1000,Denver,CO,80202,331153406,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,MERCY HOUSING COLORADO I LTD,1999 Broadway Suite 1000,Denver,CO,80202,841176712,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado III,1999 Broadway Suite 1000,Denver,CO,80202,841292696,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado IV,1999 Broadway Suite 1000,Denver,CO,80202,841284749,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado V,1999 Broadway Suite 1000,Denver,CO,80202,841318329,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado VI,1999 Broadway Suite 1000,Denver,CO,80202,841361296,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado VII,1999 Broadway Suite 1000,Denver,CO,80202,841473883,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado VIII,1999 Broadway Suite 1000,Denver,CO,80202,931190349,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado XI LLC,1999 Broadway Suite 1000,Denver,CO,80202,205331841,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado-I LTD (Grace),1999 Broadway Suite 1000,Denver,CO,80202,841176712,low-inc hsng,CO,na,RELATED,false,false
