object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201632519349300313,611339396,Florin Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,680336533,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Francis of Assisi Community,1999 Broadway Suite 1000,Denver,CO,80202,942366315,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Garden Park Apt Community,1999 Broadway Suite 1000,Denver,CO,80202,680484147,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Gault Street Senior,1999 Broadway Suite 1000,Denver,CO,80202,752983979,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Guadalupe Senior Village,1999 Broadway Suite 1000,Denver,CO,80202,860897709,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Homes for Greeley,1999 Broadway Suite 1000,Denver,CO,80202,841349918,low-inc hsng,CO,501 (c) (3),9,NA,false
201632519349300313,611339396,Independence Hill Inc,1999 Broadway Suite 1000,Denver,CO,80202,721545927,low-inc hsng,ID,501 (c) (3),11a,NA,false
201632519349300313,611339396,Intercommunity Housing Ferndale,1999 Broadway Suite 1000,Denver,CO,80202,911667138,low-inc hsng,WA,501 (c) (3),9,NA,false
201632519349300313,611339396,John W King Senior Community,1999 Broadway Suite 1000,Denver,CO,80202,943282891,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Kane County Neighborhood Stabilization C,1999 Broadway Suite 1000,Denver,CO,80202,272239991,low-inc hsng,IL,501 (c) (3),9,NA,false
201632519349300313,611339396,Macleav Non-Proft Housing Development,1999 Broadway Suite 1000,Denver,CO,80202,942762529,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Maria B Freitas Senior Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,943190261,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Marin Homes for Independent Living,1999 Broadway Suite 1000,Denver,CO,80202,942787430,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Marin Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,941358291,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Marlton Affordable Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,912164481,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Marshside Village Inc,1999 Broadway Suite 1000,Denver,CO,80202,201910771,low-inc hsng,SC,501 (c) (3),9,NA,false
201632519349300313,611339396,McAuley Manor Inc,1999 Broadway Suite 1000,Denver,CO,80202,311548500,low-inc hsng,KY,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Bond Properties AZ I,1999 Broadway Suite 1000,Denver,CO,80202,943142767,low-inc hsng,AZ,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Bond Properties Colorado I,1999 Broadway Suite 1000,Denver,CO,80202,943286321,low-inc hsng,CO,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Bond Properties Nebraska I,1999 Broadway Suite 1000,Denver,CO,80202,680378674,low-inc hsng,NE,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Community Housing Georgia,1999 Broadway Suite 1000,Denver,CO,80202,582461689,low-inc hsng,GA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Gardens,1999 Broadway Suite 1000,Denver,CO,80202,330809069,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Holly Park East,1999 Broadway Suite 1000,Denver,CO,80202,841347445,low-inc hsng,CO,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Housing CA Holding Co,1999 Broadway Suite 1000,Denver,CO,80202,942834861,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Housing California,1999 Broadway Suite 1000,Denver,CO,80202,943081666,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing California Family Properti,1999 Broadway Suite 1000,Denver,CO,80202,330998451,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Housing California Senior Properti,1999 Broadway Suite 1000,Denver,CO,80202,203177114,low-inc hsng,IL,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing California Special Needs,1999 Broadway Suite 1000,Denver,CO,80202,943088260,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Housing CalWest,1999 Broadway Suite 1000,Denver,CO,80202,942963228,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Lakefront,1999 Broadway Suite 1000,Denver,CO,80202,363453183,low-inc hsng,IL,501 (c) (3),7,NA,false
201632519349300313,611339396,MERCY HOUSING MANAGEMENT GROUP,1999 Broadway Suite 1000,Denver,CO,80202,820376108,low-inc hsng,IL,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Midwest,1999 Broadway Suite 1000,Denver,CO,80202,470772351,low-inc hsng,NE,501 (c) (3),9,NA,false
201632519349300313,611339396,MERCY HOUSING MOUNTAIN PLAINS,1999 Broadway Suite 1000,Denver,CO,80202,201583332,low-inc hsng,CO,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Northwest,1999 Broadway Suite 1000,Denver,CO,80202,911546525,low-inc hsng,WA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Northwest Idaho Inc,1999 Broadway Suite 1000,Denver,CO,80202,363453183,low-inc hsng,ID,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Housing Ohio Inc,1999 Broadway Suite 1000,Denver,CO,80202,202373936,low-inc hsng,OH,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Housing Pembroke Inc,1999 Broadway Suite 1000,Denver,CO,80202,134224803,low-inc hsng,GA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Southeast,1999 Broadway Suite 1000,Denver,CO,80202,561993872,low-inc hsng,NC,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Southwest,1999 Broadway Suite 1000,Denver,CO,80202,860743192,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing West,1999 Broadway Suite 1000,Denver,CO,80202,680254564,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing 2904 N 45th St Omaha,1999 Broadway Suite 1000,Denver,CO,80202,371068780,low-inc hsng,NE,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Housing Inc,1999 Broadway Suite 1000,Denver,CO,80202,470646706,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Loan Fund,1999 Broadway Suite 1000,Denver,CO,80202,841559406,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Manor Inc,1999 Broadway Suite 1000,Denver,CO,80202,611344092,low-inc hsng,TN,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Midtown Inc,1999 Broadway Suite 1000,Denver,CO,80202,680002157,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Moscow Inc (Hawthorne),1999 Broadway Suite 1000,Denver,CO,80202,820475388,low-inc hsng,ID,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Oaks Village,1999 Broadway Suite 1000,Denver,CO,80202,753134134,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Oakwood Gardens,1999 Broadway Suite 1000,Denver,CO,80202,841344220,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Place Belmont Inc,1999 Broadway Suite 1000,Denver,CO,80202,800034784,low-inc hsng,NC,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Portfolio Services,1999 Broadway Suite 1000,Denver,CO,80202,264002114,low-inc hsng,CO,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Properties Arizona,1999 Broadway Suite 1000,Denver,CO,80202,860772987,low-inc hsng,AR,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Properties California,1999 Broadway Suite 1000,Denver,CO,80202,680233835,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Properties II Inc,1999 Broadway Suite 1000,Denver,CO,80202,820485862,low-inc hsng,ID,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Properties WA II,1999 Broadway Suite 1000,Denver,CO,80202,300117515,low-inc hsng,WA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Properties Washington,1999 Broadway Suite 1000,Denver,CO,80202,911903782,low-inc hsng,WA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Mercy Properties Inc (MPI),1999 Broadway Suite 1000,Denver,CO,80202,841173689,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Senior Housing Oxnard,1999 Broadway Suite 1000,Denver,CO,80202,943224446,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Southeast Idaho Inc,1999 Broadway Suite 1000,Denver,CO,80202,841284293,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Mercy Village Joplin,1999 Broadway Suite 1000,Denver,CO,80202,371459692,low-inc hsng,MO,501 (c) (3),9,NA,false
201632519349300313,611339396,Mesa Senior Meadows,1999 Broadway Suite 1000,Denver,CO,80202,860897708,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Most Holy Redeemer Senior Housing Corpor,1999 Broadway Suite 1000,Denver,CO,80202,943044873,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Neary Lagoon Inc,1999 Broadway Suite 1000,Denver,CO,80202,770214799,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Notre Dame Senior Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,943209503,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Oceana Senior Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,943167825,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Padre Apartments Community,1999 Broadway Suite 1000,Denver,CO,80202,840789830,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Peoria Place,1999 Broadway Suite 1000,Denver,CO,80202,860980811,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Plazas de Merced,1999 Broadway Suite 1000,Denver,CO,80202,860758961,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Presentation Senior Community,1999 Broadway Suite 1000,Denver,CO,80202,943264209,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Riverview - St Mary's Inc(St Mary's,1999 Broadway Suite 1000,Denver,CO,80202,621782683,low-inc hsng,TN,501 (c) (3),9,NA,false
201632519349300313,611339396,Roseland Place Inc NFP,1999 Broadway Suite 1000,Denver,CO,80202,262330256,low-inc hsng,IL,501 (c) (3),9,NA,false
201632519349300313,611339396,Roseland Village Inc,1999 Broadway Suite 1000,Denver,CO,80202,264723017,low-inc hsng,IL,501 (c) (3),9,NA,false
201632519349300313,611339396,Russell Manor,1999 Broadway Suite 1000,Denver,CO,80202,931189914,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Sacred Heart Village I Inc,1999 Broadway Suite 1000,Denver,CO,80202,311411531,low-inc hsng,KY,501 (c) (3),9,NA,false
201632519349300313,611339396,Sacred Heart Village II Inc,1999 Broadway Suite 1000,Denver,CO,80202,611339396,low-inc hsng,KY,501 (c) (3),9,NA,false
201632519349300313,611339396,Sacred Heart Village III Inc,1999 Broadway Suite 1000,Denver,CO,80202,611367719,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,San Juan Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,680378676,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Savannah Gardens Senior Residences Inc,1999 Broadway Suite 1000,Denver,CO,80202,273400284,low-inc hsng,GA,501 (c) (3),9,NA,false
201632519349300313,611339396,Siena Springs (Siena Springs I),1999 Broadway Suite 1000,Denver,CO,80202,311052772,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,Siena Springs II,1999 Broadway Suite 1000,Denver,CO,80202,311591780,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,South of Market Mercy,1999 Broadway Suite 1000,Denver,CO,80202,943199902,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,St Catherine Residence Inc,1999 Broadway Suite 1000,Denver,CO,80202,390857537,low-inc hsng,WI,501 (c) (3),1,NA,false
201632519349300313,611339396,St Elizabeth Housing Corp,1999 Broadway Suite 1000,Denver,CO,80202,942705149,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,St Mary's Villa at Riverview II Inc (,1999 Broadway Suite 1000,Denver,CO,80202,311723287,low-inc hsng,TN,501 (c) (3),11a,NA,false
201632519349300313,611339396,St Mary's Villa Inc,1999 Broadway Suite 1000,Denver,CO,80202,311548512,low-inc hsng,KY,501 (c) (3),9,NA,false
201632519349300313,611339396,St Theresa Village Inc,1999 Broadway Suite 1000,Denver,CO,80202,311411529,low-inc hsng,OH,501 (c) (3),9,NA,false
201632519349300313,611339396,Sterling Senior Housing,1999 Broadway Suite 1000,Denver,CO,80202,141866405,low-inc hsng,WA,501 (c) (3),9,NA,false
201632519349300313,611339396,Sunset Lane Apartments LLC,1999 Broadway Suite 1000,Denver,CO,80202,453959651,low-inc hsng,CA,501 (c) (3),11A,NA,false
201632519349300313,611339396,Tierra Del Sol Inc,1999 Broadway Suite 1000,Denver,CO,80202,753004763,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Transbay Block 6 LLC,1999 Broadway Suite 1000,Denver,CO,80202,465357713,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Villa Caridad Senior Housing,1999 Broadway Suite 1000,Denver,CO,80202,680387620,low-inc hsng,CA,501 (c) (3),9,NA,false
201632519349300313,611339396,Visitacion Valley Affordable Housing,1999 Broadway Suite 1000,Denver,CO,80202,943273336,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Vista Alegre,1999 Broadway Suite 1000,Denver,CO,80202,860947230,low-inc hsng,AZ,501 (c) (3),9,NA,false
201632519349300313,611339396,Walnut Grove,1999 Broadway Suite 1000,Denver,CO,80202,680233835,low-inc hsng,CA,501 (c) (3),11a,NA,false
201632519349300313,611339396,Willow Street Apartments,1999 Broadway Suite 1000,Denver,CO,80202,841334167,low-inc hsng,CO,501 (c) (3),9,NA,false
201642509349300209,300308421,Affiliate ListSee Attached,170 East Center Street,Marion,OH,43302,344429276
201642519349300434,650880021,PULMONARY HYPERTENSION CARE CENTERS INC,801 ROEDER ROAD NO 1000,SILVER SPRING,MD,20910,811030889,SUPPORT PULMONARY HYPERTENSION ASSOCIATION,MD,501(C)(3),"LINE 11A, I",PULMONARY HYPERTENSION ASSOCIATION INC,0
201602399349300625,050482260,CHURCH COMMUNITY HOUSING CORPORATION,50 WASHINGTON SQUARE,NEWPORT,RI,02840,050343709,SPONSOR OF ORGANIZATION,RI,501(C)(3),LINE 9,0
201612459349300426,132626135,FOUNDACION TECHNOSERVE,CALLE 75 NO 3-15,BOGOTA,CO,DEVELOPMENT,CO,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,INVESTMENT TRUST,PO BOX 663,EZULWINI,WZ,H 106,TRUST,WZ,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE BENIN,LOP P4,LES COCOTIERS COTONOU,BN,DEVELOPMENT,BN,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE BRAZIL,RUA ANTONIO LOUREIRO 346 SALA 06,SAO PAULO,BR,04376-110,DEVELOPMENT,BR,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE CHILE,OFFICE D PROVIDENCIA SANTIAGO DE,HUELEN,CI,191,DEVELOPMENT,CI,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE COTE D'IVOIRE,FACE POLYCLINIQUE II PLATEAUX LLOT,ABIDAN,IV,DEVELOPMENT,IV,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE ETHIOPIA,PO BOX 100598,ADDIS ABABA,ET,DEVELOPMENT,ET,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE EUROPE,54 COMMERCIAL STREET,LONDON,UK,E16LT,DEVELOPMENT,UK,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE INDIA,UNIT 6 NEERU SILK MILLS MATHURADA,MUMBAI,IN,400013,DEVELOPMENT,IN,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE MEXICO,ALVARO OBREGON 270 OFF 215 COL H,DEL. CUAUHTEMOC,MX,CP 06170,DEVELOPMENT,MX,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNO NICARAGUA,KILOMETRO 85 CARRETERA SUR NEJAPA,MANAGUA,NU,DEVELOPMENT,NU,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE NIGERIA,17 AMINU KANO CRESENT WUSE 2 FCT,ABUJA,NI,DEVELOPMENT,NI,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE SOUTH AFRICA,13TH FLOOR METAL BOX BUILDING 25 O,ST AUKLAND PARK,SF,DEVELOPMENT,SF,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE SWAZILAND,PO BOX 663,EZULWINI,WZ,H 106,DEVELOPMENT,WZ,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE ZAMBIA,STAND NO 35258 KASALU ROAD,KABULONGA LUSAKA,ZA,DEVELOPMENT,ZA,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300426,132626135,TECHNOSERVE KENYA,KALSON TOWERS 8TH FLOOR THE CRESC,WESTLANDS,NAIROBI,KE,DEVELOPMENT,KE,FOREIGN NGO,FOREIGN NGO,TECHNOSERVE INC,1
201612459349300431,820476202,ASPEN PARK INC,935 EAST LINCOLN ROAD,IDAHO FALLS,ID,83401,820481308,PROVIDE LOW INCOME HOUSING,ID,501(C)(3),LINE 9,EASTERN IDAHO COMMUNITY ACTION PARTNERSHIP INC,0
201612459349300431,820476202,EASTERN IDAHO COMMUNITY ACTION PARTNERSHIP INC,935 EAST LINCOLN ROAD,IDAHO FALLS,ID,83401,820297279,TO ELIMINATE POVERTY,ID,501(C)(3),LINE 7,N/A,0
201612459349300431,820476202,LINCOLN ROAD LLC,935 EAST LINCOLN ROAD,IDAHO FALLS,ID,83401,800621236,HOLD ADMINISTRATION BUILDING,ID,501(C)(2),EASTERN IDAHO COMMUNITY ACTION PARTNERSHIP INC,0
201612469349300231,364150724,RUSSELL & JOSEPHINE KOTT MEMORIAL CHARITABLE TRUST,1049 LAKE ST ST 204,OAK PARK,IL,60301,597229565,to support nonprofits that enhance services for seniors,IL,501(c)(3),PF,0
201612469349300231,364150724,kott gerontology institute,1049 LAKE ST ST 204,oak PARK,IL,60301,455081047,awards internships to graduate students who work with seniors,IL,501(c)(3),"Line 11a, I",0
201612509349300356,311358126,Affiliate ListSee Attached,170 East Center St,Marion,OH,43302,344429276
