DstrbtnAllctns_CYDstrbtblAsAdjstdAmt|Distribution allocations; Distributable amount for current year (from Section C, line 6)
DstrbtnAllctns_UndrdstrbtnsAmt|Distribution allocations; Underdistributions for years prior to current year
ExcssDstrbtnCyvYr5Amt|Distribution allocations; Excess distributions carryover - year 5
ExcssDstrbtnCyvYr4Amt|Distribution allocations; Excess distributions carryover - year 4
DstrbtnAllctns_ExcssDstrbtnCyvYr3Amt|Distribution allocations; Excess distributions carryover - year 3
DstrbtnAllctns_ExcssDstrbtnCyvYr2Amt|Distribution allocations; Excess distributions carryover - year 2
DstrbtnAllctns_ExcssDstrbtnCyvYr1Amt|Distribution allocations; Excess distributions carryover - year 1
DstrbtnAllctns_TtlExcssDstrbtnCyvAmt|Distribution allocations; Excess distributions carryover amount
DstrbtnAllctns_CyvAppldUndrdstrPYAmt|Distribution allocations; Carryover applied to underdistributions of prior years
DstrbtnAllctns_CyvAppldUndrdstrCPYAmt|Distribution allocations; Carryover applied to current year distributable amount
CrryvrPYNtAppldAmt|Distribution allocations; Carryover from prior years not applied.
DstrbtnAllctns_ExcssDstrbtnCyvAmt|Distribution allocations; Excess distributions carryover amount
DstrbtnAllctns_CYTtlAnnlDstrbtnsAmt|Distribution allocations; Total annual distributions from current year (from Section D, line 7)
DstrbtnAllctns_CYDstrbAppUndrdstrPYAmt|Distribution allocations; Current year distributions applied to underdistributions of prior years
DstrbtnAllctns_CYDstrAppDstrbtblAmt|Distribution allocations; Current year distributions applied to distributable amount
DstrbtnAllctns_ExcssDstrbtnAmt|Distribution allocations; Excess distributions current year amount
DstrbtnAllctns_RmnngUndrdstrPYAmt|Distribution allocations; Remaining underdistributions - prior years
DstrbtnAllctns_RmnngUndrdstrCYAmt|Distribution allocations; Remaining underdistributions - current years
DstrbtnAllctns_ExcssDstrCyvTNxtYrAmt|Distribution allocations; Excess distribution carryover to next year
ExcssFrmYr5Amt|Distribution allocations; Excess from year 5
DstrbtnAllctns_ExcssFrmYr4Amt|Distribution allocations; Excess from year 4
DstrbtnAllctns_ExcssFrmYr3Amt|Distribution allocations; Excess from year 3
DstrbtnAllctns_ExcssFrmYr2Amt|Distribution allocations; Excess from year 2
DstrbtnAllctns_ExcssFrmYr1Amt|Distribution allocations; Excess from year 1
