object_id,ein,DspstnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,DspstnOfAsstsDtl_DstrbtnDt,DspstnOfAsstsDtl_FrMrktVlOfAsstAmt,DspstnOfAsstsDtl_EIN,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,DspstnOfAsstsDtl_IRCSctnTxt
202011829349300306,042104300,"BUILDING, PUMPING STATION, BUILDING IMPROVEMENTS",2018-08-16,18000000,FAIR MARKET VALUE,823447166,WINTHROP PARK SCHOOL INC CO MCCARTHY LEGAL SERVICES,1188 CENTRE STREET,NEWTON CENNTRE,MA,02459,501(C)(3)
202013569349300851,430764111,"VARIOUS TRACTS OF LAND AND PROPERTY INCLUDING: 1290 ACREDALE DRIVE, FLORISSANT, MO XXX-XX-XXXX DUNN ROAD, FLORISSANT, MO XXX-XX-XXXX DUNN ROAD, UNIT A, FLORISSANT, MO XXX-XX-XXXX DUNN ROAD, FLORISSANT, MO XXX-XX-XXXX DUNN ROAD, UNIT A, FLORISSANT, MO XXX-XX-XXXX DUNN ROAD, UNIT B, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO XXX-XX-XXXX GRANDVIEW DRIVE, FLORISSANT, MO 63033",2019-09-19,2499526,SALES PRICE,274214240,THE SOLOMON FOUNDATION,16965 PINE LANE SUITE 200,PARKER,CO,80134,501C(3)
202110149349300326,930634049,CASH,2019-06-28,102541,931042868,ALL CLASSICAL PUBLIC MEDIA INC,211 SE CARUTHERS ST 200,PORTLAND,OR,97214,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,5123,930233010,AMERICAN FEDERATION OF MUSICIANS LOCAL 99,325 NE 20TH AVE,PORTLAND,OR,97232,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,10245,462649265,BRAVO YOUTH ORCHESTRAS,8191 N LOMBARD ST STE 114,PORTLAND,OR,97203,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,695946,943235649,CALDERA,224 NW 13TH AVENUE SUITE 304,PORTLAND,OR,97209,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,25105,452255077,CALIFORNIA STATE UNIVERSITY AT SAN BERNARDINO,5500 UNIERSITY PARKWAY,SAN BERNADINO,CA,92407,501(C)(3)
202110149349300326,930634049,CASH,2019-06-05,1535060,931287554,DELASALLE NORTH CATHOLIC HIGH SCHOOL,7528 N FENWICK AVE,PORTLAND,OR,97217,501(C)(3)
202110149349300326,930634049,CASH,2019-09-28,15474,930386858,LEWIS & CLARK COLLEGE,615 S PALATINE HILL RD,PORTLAND,OR,97219,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,368042,930391586,LINFIELD COLLEGE,900 SE BAKER STREET,MCMINNVILLE,OR,97128,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,61472,455334313,MARYLHURST SYMPHONY,1199 CHERRY CIRCLE,LAKE OSWEGO,OR,97034,501(C)(3)
202110149349300326,930634049,CASH,2019-06-12,1386471,930386892,PACIFIC UNIVERSITY,2043 COLLEGE WAY,FOREST GROVE,OR,97116,501(C)(3)
202110149349300326,930634049,CASH,2019-06-12,828498,930391604,PORTLAND ART MUSEUM,1219 SW PARK AVENUE,PORTLAND,OR,97205,501(C)(3)
202110149349300326,930634049,CASH,2019-03-21,20247,930619733,PORTLAND STATE UNIVERSITY,1219 SW PARK AVENUE,PORTLAND,OR,97205,501(C)(3)
202110149349300326,930634049,CASH,2019-06-12,33510,420792429,ROMAN CATHOLIC DIOCESEHOLY FAMILY CATHOLIC SCHOOL OF BOISE,3005 W KATHLEEN AVENUE,COEUR DALENE,ID,83815,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,3266125,910564993,SAINT MARTIN'S UNIVERSITY,6000 ABBEY WAY SE,LACEY,WA,98503,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,1810185,141792676,SISTERS OF THE HOLY NAMES OF JESUS AND MARY,PO BOX 411,MARYLHURST,OR,97036,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,14129,930546642,ST FRANCIS CATHOLIC SCHOOL,15643 SW OREGON STREET,SHERWOOD,OR,97140,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,868415,930386918,ST MARY'S ACADEMY,1615 SW FIFTH AVE,PORTLAND,OR,97201,501(C)(3)
202110149349300326,930634049,CASH,2019-06-05,608733,931138741,THE JOE AND FRANCES NAUMES FAMILY FOUNDATION,PO BOX 996,MEDFORD,OR,97501,501(C)(3)
202110149349300326,930634049,CASH,2019-03-25,20501,930796059,THE PORTLAND FESTIVAL SYMPHONY,PO BOX 585,PORTLAND,OR,97207,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,984597,930401259,UNIVERSITY OF PORTLAND,5000 N WILLAMETTE BLVD,PORTLAND,OR,97203,501(C)(3)
202110149349300326,930634049,CASH,2019-06-28,24999,930236600,GONZAGA UNIVERSITY,502 E BOONE AVE,SPOKANE,WA,99258,501(C)(3)
202110149349300326,930634049,CASH,2019-01-28,3000,237083114,OREGON HEALTH AND SCIENCE UNIVERSITY,1121 SW SALMON ST 100,PORTLAND,OR,972052021,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,32395,426094564,THE PEO FOUNDATION,3700 GRAND AVE,DES MOINES,IA,50312,501(C)(3)
202110149349300326,930634049,CASH,2019-02-01,3000,941156628,UNIVERSITY OF SAN FRANCISCO,2130 FULTON STREEY,SAN FRANCISCO,CA,941171080,501(C)(3)
202110149349300326,930634049,REAL AND PERSONAL PROPERTIES,2018-09-30,11034588,BOOK VALUE,141792676,SISTERS OF THE HOLY NAMES OF JESUS AND MARY,PO BOX 411,MARYLHURST,OR,97036,501(C)(3)
202121319349302797,362167921,INTEREST IN DAVIS TRUST,2019-11-30,4007378,362169157,NORTH CENTRAL COLLEGE,30 N BRAINARD ST,NAPERVILLE,IL,60540,501(C)3
