object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,13758,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,13372,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,13109,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,12047,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,12047,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,11937,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,11738,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,11331,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,11020,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,10630,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,10124,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9921,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9877,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9684,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9537,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9213,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9213,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,9097,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,8504,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,8181,Wire Transfer
201730739349300033,986001062,Sub-Saharan Africa,Research and Education,8141,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,7795,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,7336,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,7336,Wire Transfer
201730739349300033,986001062,Sub-Saharan Africa,Research and Education,7336,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,7043,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6749,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6676,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6500,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6456,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6456,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6456,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,6378,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,5935,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,5869,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,5869,Wire Transfer
201730739349300033,986001062,Europe (including Iceland and Greenland),Research and Education,5135,Wire Transfer
201700729349300710,530196549,South America,Sub-Award,15880,CHECK
201700729349300710,530196549,South America,Sub-Award,26963,CHECK
201700729349300710,530196549,East Asia and the Pacific,Sub-Award,12902,CHECK
201700729349300710,530196549,East Asia and the Pacific,Sub-Award,32759,CHECK
201700729349300710,530196549,East Asia and the Pacific,Sub-Award,35200,CHECK
201700729349300710,530196549,Europe (Including Iceland and Greenland),Sub-Award,49712,CHECK
201700729349300710,530196549,Europe (Including Iceland and Greenland),Sub-Award,51394,CHECK
201700729349300710,530196549,South America,Sub-Award,125351,CHECK
201700729349300710,530196549,South Asia,Sub-Award,115930,CHECK
201700729349300710,530196549,Sub-Saharan Africa,Sub-Award,11737,CHECK
201700729349300710,530196549,North America,Sub-Award,7500,CHECK
201700729349300710,530196549,Middle East and North Africa,Sub-Award,158098,CHECK
201700729349300710,530196549,East Asia and the Pacific,Sub-Award,59787,CHECK
201720529349300707,362167048,Europe (Including Iceland and Greenland),General Support,39151,Wire Trans.,N/A,N/A
201720529349300707,362167048,Europe (Including Iceland and Greenland),See Part V,125113,Intrn Trans.,N/A,N/A
201720529349300707,362167048,Sub-Saharan Africa,Grant Sub-Award,233780,Wire Trans.,N/A,N/A
201700479349301260,390806154,Europe,Tuition,36860,Check
201700479349301260,390806154,East Asia and the Pacific,Tuition,158388,Check
201700679349300145,986001141,"North America (including Canada and Mexico, but not the United States)",Research,48008000,Wire Cheque Draft,0
201700679349300145,986001141,Europe (including Iceland and Greenland),Research,805000,Wire Cheque Draft,0
201700679349300145,986001141,Sub-Saharan Africa,Research,268000,Wire Cheque Draft,0
201700679349300145,986001141,Central America and the Caribbean,Research,100000,Wire Cheque Draft,0
201700679349300145,986001141,South Asia,Research,67000,Wire Cheque Draft,0
201700679349300145,986001141,South America,Research,17000,Wire Cheque Draft,0
201700679349300145,986001141,East Asia and the Pacific,Research,6000,Wire Cheque Draft,0
201740909349300524,340714818,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",GENERAL SUPPORT,1348453,0
201730909349300418,362169145,Europe (Including Iceland and Greenland),study abroad,10306,Wire Trans
201730909349300418,362169145,Europe (Including Iceland and Greenland),study abroad,125796,Wire Trans
201701089349300750,850297355,"Europe (Including Iceland & Greenland) - Albania, Andorra, Austria, Belgium",TUITION/OPERATIONAL SUPPORT/STUDENT AID,2390065,WIRE/EXCHANGE
201701089349300750,850297355,"East Asia and the Pacific - Australia, Brunei, Burma, Cambodia,",TUITION/OPERATIONAL SUPPORT/STUDENT AID,1035236,WIRE/EXCHANGE
201701089349300750,850297355,"North America - Canada and Mexico, but but not the United States",TUITION/OPERATIONAL SUPPORT,837992,WIRE/EXCHANGE
201701089349300750,850297355,"Central America and the Caribbean - Antigua & Barbuda, Aruba, Bahamas,",TUITION/OPERATIONAL SUPPORT/STUDENT AID,352850,WIRE/EXCHANGE
201701089349300750,850297355,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",TUITION/OPERATIONAL SUPPORT,341725,WIRE/EXCHANGE
201701089349300750,850297355,"Russia and Neighboring States - Armenia, Azerbijan, Belarus,",TUITION/OPERATIONAL SUPPORT/STUDENT AID,172700,WIRE/EXCHANGE
201741329349304499,741613878,Europe (Including Iceland and Greenland),AIDS PREVENTION AND CARE,696853,WIRE TRANSFR
201741329349304499,741613878,South America,AIDS PREVENTION AND CARE,390350,WIRE TRANSFR
201741329349304499,741613878,Sub-Saharan Africa,AIDS PREVENTION & CARE,5408762,WIRE TRANSFR
201711089349300786,760690847,Asia,Ministry,29300,Wire & Cash
201711089349300786,760690847,Europe/Spain,Ministry,15000,Wire
201741329349305774,131740451,Europe (Including Iceland and Greenland),RESEARCH,21752,CHECK
201741329349305774,131740451,Europe (Including Iceland and Greenland),RESEARCH,15473,CHECK
201721039349300317,750827465,East Asia and the Pacific,SCIENTIFIC STUDY,13306,CHECK,0,N/A,N/A
201721039349300317,750827465,North America (Canada & Mexico only),"PROJECT: NOVEL APPROACH TO IMAGE MUCIN RELEASE AND SWELLING, SUBAWARD",45215,CHECK,0,N/A,N/A
201721039349300317,750827465,Central America and the Caribbean,Provision of financial aid and non financial aid to poor rural women in Haiti,8837,Wire Transfer,0,N/A,N/A
201721039349300317,750827465,Europe (Including Iceland and Greenland),training volunteers to teach refugee children,7000,Wire Transfer,0,N/A,N/A
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,156386,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,650107,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,50000,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,57661,WIRE
201701309349303620,362177139,SUB-SAHARAN AFRICA,SUBAWARD,103864,WIRE
201701309349303620,362177139,MIDDLE EAST AND NORTH AFRICA,SUBAWARD,50000,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,23778,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,50000,WIRE
201701309349303620,362177139,SOUTH ASIA,SUBAWARD,4549,WIRE
201701309349303620,362177139,SOUTH ASIA,SUBAWARD,179780,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,50000,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,100000,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,21950,WIRE
201701309349303620,362177139,NORTH AMERICA,SUBAWARD,29885,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,59019,WIRE
201701309349303620,362177139,SUB-SAHARAN AFRICA,SUBAWARD,109111,WIRE
201701309349303620,362177139,RUSSIA AND NEIGHBORING STATES,SUBAWARD,71190,WIRE
201701309349303620,362177139,NORTH AMERICA,SUBAWARD,968639,WIRE
201701309349303620,362177139,SOUTH ASIA,SUBAWARD,41880,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,711765,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,61440,WIRE
201701309349303620,362177139,NORTH AMERICA,SUBAWARD,8249,WIRE
201701309349303620,362177139,NORTH AMERICA,SUBAWARD,73174,WIRE
201701309349303620,362177139,SOUTH AMERICA,SUBAWARD,48384,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,67280,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,20251,WIRE
201701309349303620,362177139,MIDDLE EAST AND NORTH AFRICA,SUBAWARD,50000,WIRE
201701309349303620,362177139,SUB-SAHARAN AFRICA,SUBAWARD,200885,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,283605,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,50000,WIRE
201701309349303620,362177139,EAST ASIA AND THE PACIFIC,SUBAWARD,40748,WIRE
201701309349303620,362177139,NORTH AMERICA,SUBAWARD,219029,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,21640,WIRE
201701309349303620,362177139,EUROPE (INCLUDING ICELAND & GREENLAND),SUBAWARD,101660,WIRE
201701239349301220,231352294,Central America and the Caribbean,Study Abroad,17000,Wire/Check,N/A,N/A
201701239349301220,231352294,East Asia and the Pacific,Study Abroad,65925,Wire/CHECK,N/A,N/A
201701239349301220,231352294,Europe (Including Iceland and Greenland),Study Abroad,843700,Wire/CHECK,N/A,N/A
201701239349301220,231352294,Europe (Including Iceland and Greenland),SA Housing/Meals,545853,Wire/CHECK,N/A,N/A
201701239349301220,231352294,East Asia and the Pacific,SA Housing/Meals,46119,Wire/CHECK,N/A,N/A
201701239349301220,231352294,East Asia and the Pacific,Supplies,60292,CHECK,N/A,N/A
201701239349301220,231352294,Europe (Including Iceland and Greenland),Supplies,114217,CHECK,N/A,N/A
201721149349300802,581216007,Europe (Including Iceland and Greenland),Support,20000,wired,Donation,Cash
201721149349300802,581216007,East Asia and the Pacific,support,50000,wired,research,cash
201711239349301431,950549600,Central America and the Caribbean,Humanitarian,20067,Cash
201741089349300319,042103545,Sub-Saharan Africa,GENERAL SUPPORT,71000,WIRE TRANSFR
201741089349300319,042103545,Sub-Saharan Africa,GENERAL SUPPORT,23070,WIRE TRANSFR
201741089349300319,042103545,Sub-Saharan Africa,GENERAL SUPPORT,100040,WIRE TRANSFR
201741089349300319,042103545,Sub-Saharan Africa,GENERAL SUPPORT,100000,WIRE TRANSFR
201741089349300319,042103545,Sub-Saharan Africa,GENERAL SUPPORT,20000,WIRE TRANSFR
201741169349300129,361408475,Sub-Saharan Africa,SICKLE CELL RESEARCH,56966,WIRE TRSFR.
201741169349300129,361408475,East Asia and the Pacific,WATER QUAL RESEARCH,9295,WIRE TRSFR.
201741169349300129,361408475,Sub-Saharan Africa,METS: ENERGY & OBESITY,9461,WIRE TRSFR.
201741169349300129,361408475,Europe (Including Iceland and Greenland),MALARIA RESEARCH,14040,WIRE TRSFR.
201741169349300129,361408475,Sub-Saharan Africa,MALARIA RESEARCH,41780,WIRE TRSFR.
201741169349300129,361408475,Central America and the Caribbean,METS: ENERGY & OBESITY,43105,WIRE TRSFR.
201741169349300129,361408475,East Asia and the Pacific,WATER QUAL TESTING,10000,WIRE TRSFR.
201731159349300833,240795445,Europe (Including Iceland and Greenland),RESEARCH,8172,CHECK,N/A,N/A
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,173679,WIRE
201731249349300743,202951275,Europe (Including Iceland and Greenland),PEDIATRIC CARE,696853,WIRE
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,1716316,WIRE
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,312578,WIRE
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,83518,WIRE
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,57501,WIRE
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,25326,WIRE
201731249349300743,202951275,Sub-Saharan Africa,PEDIATRIC CARE,3039844,WIRE
201731249349300743,202951275,South America,PEDIATRIC CARE,390350,WIRE
201710459349303916,941156617,Central America and the Carribean,scholarship grants to University of Central America,5560,CASH PAYMENT,Book
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,33885,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,88512,Check/Wire
201741329349300909,350868188,Central America and the Caribbean,see Part V,1078124,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,36740,Check/Wire
201741329349300909,350868188,Central America and the Caribbean,see Part V,607375,Check/Wire
201741329349300909,350868188,East Asia and the Pacific,see Part V,543337,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,443905,Check/Wire
201741329349300909,350868188,Central America and the Caribbean,see Part V,243140,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,556723,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,400085,Check/Wire
201741329349300909,350868188,East Asia and the Pacific,see Part V,10000,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,43534,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,137240,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,94541,Check/Wire
201741329349300909,350868188,South Asia,see Part V,68399,Check/Wire
201741329349300909,350868188,Middle East and North Africa,see Part V,400919,Check/Wire
201741329349300909,350868188,Central America and the Caribbean,see Part V,160070,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,16999,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,143028,Check/Wire
201741329349300909,350868188,East Asia and the Pacific,see Part V,34867,Check/Wire
201741329349300909,350868188,East Asia and the Pacific,see Part V,9330,Check/Wire
201741329349300909,350868188,Sub-Saharan Africa,see Part V,9785,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,51727,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,9600,Check/Wire
201741329349300909,350868188,Europe (Including Iceland and Greenland),see Part V,24582,Check/Wire
201740459349303549,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1710919,Wire Transfer
201740459349303549,951744369,North America,Outreach Ministries,25540,Wire Transfer
201741359349310684,150543659,"North America (including Canada and Mexico, but not the United States)",Research,39076,Check,0
201741359349310684,150543659,Europe (including Iceland and Greenland),Research,37400,Wire Transfer,0
201741359349310684,150543659,Central America and the Caribbean,Research,23873,Check,0
201741359349310684,150543659,Central America and the Caribbean,Research,15000,Wire Transfer,0
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,1433459,Check/Wire,N/A,N/A
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,810005,Check/Wire,N/A,N/A
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,456280,Check/Wire,N/A,N/A
201731359349305328,135598093,South Asia,RESEARCH,437303,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,424999,Check/Wire,N/A,N/A
201731359349305328,135598093,East Asia and the Pacific,RESEARCH,275940,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,230462,Check/Wire,N/A,N/A
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,228609,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,228123,Check/Wire,N/A,N/A
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,226712,Check/Wire,N/A,N/A
201731359349305328,135598093,South America,RESEARCH,220176,Check/Wire,N/A,N/A
201731359349305328,135598093,East Asia and the Pacific,RESEARCH,206374,Check/Wire,N/A,N/A
201731359349305328,135598093,East Asia and the Pacific,RESEARCH,203670,Check/Wire,N/A,N/A
201731359349305328,135598093,East Asia and the Pacific,RESEARCH,199157,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,179544,Check/Wire,N/A,N/A
201731359349305328,135598093,South Asia,RESEARCH,175000,Check/Wire,N/A,N/A
201731359349305328,135598093,North America,RESEARCH,167801,Check/Wire,N/A,N/A
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,150868,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,135754,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,131134,Check/Wire,N/A,N/A
201731359349305328,135598093,South Asia,RESEARCH,128692,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,127708,Check/Wire,N/A,N/A
201731359349305328,135598093,East Asia and the Pacific,RESEARCH,115252,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,106571,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,105373,Check/Wire,N/A,N/A
201731359349305328,135598093,South America,RESEARCH,103426,Check/Wire,N/A,N/A
201731359349305328,135598093,East Asia and the Pacific,RESEARCH,98569,Check/Wire,N/A,N/A
201731359349305328,135598093,Sub-Saharan Africa,RESEARCH,95779,Check/Wire,N/A,N/A
201731359349305328,135598093,North America,RESEARCH,90040,Check/Wire,N/A,N/A
201731359349305328,135598093,Central America and the Caribbean,RESEARCH,89345,Check/Wire,N/A,N/A
201731359349305328,135598093,North America,RESEARCH,83274,Check/Wire,N/A,N/A
201731359349305328,135598093,Europe,RESEARCH,78951,Check/Wire,N/A,N/A
