object_id,ein,CntrctrNm_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201543159349300809,560529972,SODEXO,PO BOX 536922,ATLANTA,GA,30353,CAFETERIA SERVICES,3535552
201543159349300809,560529972,K12 TEACHERS ALLIANCE,20624 ABBEY WOODS COURT NORTH,FRANKFORT,IL,60423,RECRUITING SERVICES,1378282
201543159349300809,560529972,VISION POINT MARKETING,2443 LYNN ROAD SUITE 108,RALEIGH,NC,27612,CONSULTING SERVICES,1264774
201543159349300809,560529972,RODGERS BUILDERS,PO BOX 18446,CHARLOTTE,NC,28218,CONSTRUCTION SERVICES,566171
201543159349300809,560529972,CLEVELAND ACOUSTICS & DRYWALL,731 SKINNER ROAD,SHELBY,NC,28152,CONSTRUCTION SERVICES,473233
201542549349300204,350715530,CLEAR LAKE ELECTRIC INC,349 POKAGON TRAIL,ANGOLA,IN,46703,CONSTRUCTION,582845
201542549349300204,350715530,ANGOLA FIRST DEVELOPMENT LLC,PO BOX 428,ASHLEY,IN,46705,LEASING COMPANY,595922
201542549349300204,350715530,JK ICE VENTURES INC,319 POKAGON TRL STE C,ANGOLA,IN,46703,CONSTRUCTION,1652645
201542549349300204,350715530,BON APPETIT MANAGEMENT COMPANY,91337 COLLECTIONS DRIVE,CHICAGO,IL,60693,FOOD SERVICE,4107498
201542549349300204,350715530,JIM INGLEDUE CONSTRUCTION INC,319 POKAGON TRAIL SUITE A,ANGOLA,IN,46703,CONSTRUCTION,4408760
201512879349301636,410694721,A'VIANDS,1751 W COUNTY ROAD B STE 300,ROSEVILLE,MN,55113,FOOD SERVICE,2686940
201512879349301636,410694721,BARNES & NOBLE COLLEGE BOOKSELLERS,120 MOUNTAINVIEW BLVD,BASKING RIDGE,NJ,07920,BOOKSTORE PROVIDER,653481
201512879349301636,410694721,MARCO,NW 7128 PO BOX 1450,MINNEAPOLIS,MN,55485,PRINTING AND MAILING,452226
201512879349301636,410694721,NORTHSTAR SCOREBOARD INC,7600 W 27TH ST STE 208,ST LOUIS PARK,MN,55426,ATHLETIC FIELD CONSTRUCTION CONTRACTORS,293722
201512879349301636,410694721,SEXTON PRINTING,250 E LOTHENBACK AVENUE,ST PAUL,MN,55118,PRINTING PROVIDER,237182
201522879349301422,344429091,SODEXO SERVICES INC,4880 PAYSHPERE CIR,CHICAGO,IL,60674,DINING SERVICES,4729640
201522879349301422,344429091,SODEXO INC AFFILIATES,4880 PAYSPHERE CIR,CHICAGO,IL,60674,MAINTENANCE SERVICES,4306318
201522879349301422,344429091,VORYS SATER SEYMOUR AND PEASE L,P O BOX 73487,CLEVELAND,OH,44193,LEGAL SERVICES,756575
201522879349301422,344429091,160OVER90 INC,1 S BROAD ST FLOOR 10,PHILADELPHIA,PA,191073420,BRANDING CONSULTING,531752
201522879349301422,344429091,PERRY'S HEATING AIR CONDITIONING,3855 S WAPAKONETA RD,LIMA,OH,458069457,CONSTRUCTION SERVICE,298156
201533009349300718,750917417,Perkins Management Services Company Inc,129 W Trade Suite 1260,Charlotte,NC,28202,Food Service Provider,628091
201533009349300718,750917417,AA Applicators Inc,2632 Chalk Hill Road,Dallas,TX,75212,Roofing and Waterproofing,307981
201533009349300718,750917417,DPR Construction Inc,9606 N Mopac Expresway,Austin,TX,78759,Construction Contractor,170000
201533009349300718,750917417,Tyler Weathermakers Inc,2503 E Erwin Street,Tyler,TX,75702,Installation and Maintenance Contractor,267974
201533009349300718,750917417,Yarbrough & Wilcox PLLC,100 E Ferguson Street Suite 1015,Tyler,TX,75202,Legal Services,268442
201543009349301269,350895832,WEHR CONSTRUCTORS INC,2517 PLANTSIDE DRIVE,LOUISVILLE,KY,40299,CONTRACTOR SERVICES FOR THE CONSTRUCTION,4630691
201543009349301269,350895832,MEDASSETS INC,PO BOX 405652,ATLANTA,GA,303845652,REVENUE CYCLE CONSULTING SERVICES & SOFT,804565
201543009349301269,350895832,MAYO COLLABORATIVE SERVICES INC,PO BOX 9146,MINNEAPOLIS,MN,554809146,LABORATORY SERVICES,610397
201543009349301269,350895832,FIRST UROLOGY PSC,PO BOX 1087,JEFFERSONVILLE,IN,47131,CONTRACTED PHYSICIAN MEDICAL SERVICES,473203
201543009349301269,350895832,EMCARE,7032 COLLECTION CENTER DRIVE,CHICAGO,IL,60693,CONTRACTRED PHYSICIAN AND MID-LEVEL PROV,400411
201542969349300834,620548917,MELISSA WILLIAMS,902 CHERRY LANE,WEST MEMPHIS,AR,72301,CATERING/BLINK DINER,488458
201542969349300834,620548917,COMMERICAL INTERIOR FINISHES,PO BOX 18650,MEMPHIS,TN,38181,RENOVATIONS/CARPET INSTALLATION,286792
201542969349300834,620548917,LEWIS THOMAS ATTORNEYS,PO BOX 2425,KNOXVILLE,TN,37901,LEGAL,172644
201542969349300834,620548917,FLAT IRON CAPITAL,PO BOX 712195,DENVER,CO,80271,FINANCING/INSURANCE,150230
201542969349300834,620548917,SUPPLY LINE OF MEMPHIS,PO BOX 902 DEPT 410,MEMPHIS,TN,38101,PARTS,112466
201532819349301123,340714650,WILLO SECURITY,PO BOX 823473,PHILADELPHIA,PA,191823461,SECURITY,101079
201502889349300345,240795439,GEISINGER QUALITY OPTIONS INC,PO BOX 822434,PHILADELPHIA,PA,19182,HEALTH INSURANCE,454345
201502889349300345,240795439,SWEDA ADVERTISING LLC,201 LACKAWANNA AVE,SCRANTON,PA,18503,ADVERTISING FOR CAMPUS,382619
201502889349300345,240795439,METZ AND ASSOCIATES LTD,2 WOODLAND DR,DALLAS,PA,18612,FOOD SERVICE,179548
201502889349300345,240795439,BUSINESS CARD,PO BOX 15796,WILMINGTON,DE,19886,CREDIT CARDS-BUSINESS EXPENSES,152074
201502889349300345,240795439,KNOWLES ASSOCIATES INSURANCE,316 PENN AVE,SCRANTON,PA,18503,INSURANCE BROKER FOR CAMPUS,141399
201542789349300519,620535755,PIONEER CATERERS INC,303 GLENROSE AVENUE,NASHVILLE,TN,37210,CAFETERIA SERVICES,1270629
201542789349300519,620535755,COUNCIL FOR CHRISTIAN COLLEGES,321 8TH STREET NE,WASHINGTON,DC,20002,STUDY ABROAD PROGRAM,126050
201542789349300519,620535755,APPALACHIAN COLLEGE ASSOCIATION,210 CENTER STREET,BEREA,KY,40403,LIBRARY SERVICES,119933
201532829349300648,750855633,Crowe Group,PO Box 3422,Abilene,TX,79604,Construction,1384161
201532829349300648,750855633,Hardin-Simmons University,HSU Box 16020,Abilene,TX,79698,Nursing Tuition,1074832
201532829349300648,750855633,Aramark Services Inc,MCM Box 665,Abilene,TX,79697,Food Services,933197
201532829349300648,750855633,McMurry Residence Partnership,McM Box 627,Abilene,TX,79697,Housing,846391
201532829349300648,750855633,Texas Book Company,MCM Box 717,Abilene,TX,79697,Books & Supplies,388382
201502589349300015,390813418,MAYO FOUNDATION FOR MEDICAL EDUCATION &,200 FIRST STREET SW,ROCHESTER,MN,55905,PROCUREMENT/SUPPORT SERVICES,18051025
201502589349300015,390813418,MAYO CLINIC,200 FIRST STREET SW,ROCHESTER,MN,55905,MEDICAL/SUPPORT SERVICES,840679
201502589349300015,390813418,MCHS - EAU CLAIRE CLINIC INC,PO BOX 1510,EAU CLAIRE,WI,54702,MEDICAL/SUPPORT SERVICES,411853
201503179349307680,620476661,ARAMARK CORP,1101 MARKET STREET,PHILADELPHIA,PA,19107,FOOD SERVICE,1285177
201503179349307680,620476661,NATIONAL MANGAMENT RESOURCES CORP,PO BOX 1224,LA GRANGE,GA,30241,MAINTENANCE,683200
201503179349307680,620476661,FOLLETT HIGHER EDUCATION GROUP,3146 SOLUTIONS CENTER,CHICAGO,IL,60677,TEXTBOOK SERVICES,317894
201503179349307680,620476661,STARKEY PRINTING COMPANY,2710 E 30TH STREET,CHATTANOOGA,TN,37407,PRINTING,135471
201503179349307680,620476661,ROYAL CHARTER & TOUR,PO BOX 2324,CLEVELAND,TN,37320,TRAVELING SERVICES,122716
201522829349300632,381443369,Global Business Leadership Center,PO Box 1191,Holland,MI,49422,travel consulting services,475577
201522829349300632,381443369,The Christman Company,208 N Capitol Ave,Lansing,MI,489331357,Construction contractor,8661655
201522829349300632,381443369,Synergis Education Inc,1820 E Ray Rd,Chandler,AZ,85225,third party servicer of PGS program,2964104
201522829349300632,381443369,Gilson Graphics,2000 Oak Industrial Dr NE,Grand Rapids,MI,49505,printing mailing services,224297
201522829349300632,381443369,Royall & Company,1920 E Parham Rd,Richmond,VA,23228,provider of student names mailings,423000
201503209349304230,221487322,ALOYSIUS BUTLER CLARK,PO BOX 672,WILMINGTON,DE,198990672,ADVERTISING,2951466
201503209349304230,221487322,CLAUDIO BOZZO SON INC,503 FARLEY ROAD,WHITEHOUSE STATION,NJ,08889,CONSTRUCTION,2836791
201503209349304230,221487322,MAYO COLLABORATIVE SERVICES INC,PO BOX 9146,MINNEAPOLIS,MN,554809146,LABORATORY,1265979
201503209349304230,221487322,GE MEDICAL SYSTEMS INFORMATION TECH,15724 COLLECTIONS CENTER DRIVE,CHICAGO,IL,60693,MAINTENANCE/SERVICE,1215864
201503209349304230,221487322,TRIMEDX INC,PO BOX 636129,CINCINNATI,OH,452636129,MAINTENANCE/SERVICE,917173
201513519349300001,560554199,DDC CONTRUCTION COMPANY LLC,175 DAVIDSON HWY,CONCORD,NC,28027,STUDENT HOUSING CONSTRUCTION,4607595
201513519349300001,560554199,PIONEER COLLEGE CATERERS INC,303 GLENROSE AVENUE,NASHVILLE,TN,37210,FOOD SERVICE,2104035
201513519349300001,560554199,ROSE BROTHERS PAVING CO INC,PO BOX 806,AHOSKIE,NC,27910,PAVING,1367917
201513519349300001,560554199,B&M CONTRACTORS INC,790 PITTS CHAPEL RD,ELIZABETH CITY,NC,27909,CONTRACTOR,1265945
201513519349300001,560554199,ARAMARK CORPORATION,24818 NETWORK PLACE,CHICAGO,IL,60673,HOUSEKEEPING CONTRACTOR,534099
201502869349300700,710236867,ARAMARK CAMPUS SERVICES,415 N COLLEGE AVENUE,CLARKSVILLE,AR,72830,FOOD SERVICE,1280301
201502869349300700,710236867,JKJ ARCHITECTS PLLC,PO BOX 2530,ROGERS,AR,727572530,ARCHITECTURAL,1108471
201502869349300700,710236867,RUFFALO CODY LLC,PO BOX 718,DES MOINES,IA,503030718,ENROLL STRATEGY,183074
201502869349300700,710236867,LCG ASSOCIATES,400 GALLERIA PARKWAY,ATLANTA,GA,30339,INVESTMENT MGR,125000
201502869349300700,710236867,EBSCO SUBSCRIPTION SERVICES,10 ESTES STREET,IPSWICH,MA,01938,ONLINE MEDIA,118991
201503209349302675,420680452,THE IOWA CLINIC,5950 UNIVERSITY AVE,WEST DES MOINES,IA,50266,HEALTHCARE SERVICES,8761544
201503209349302675,420680452,EDGE COMMERCIAL LLC,3155 SE MIEHE DR 2,GRIMES,IA,50111,CONSTRUCTION SERVICES,8752880
201503209349302675,420680452,ARAMARK FACILITIES,22506 NETWORK PLACE,CHICAGO,IL,60673,"LAUNDRY, CLEANING AND FOOD SERVICES",7276816
201503209349302675,420680452,ASSOCIATED ANESTHESIOLOGISTS PC,1215 PLEASANT ST SUITE 400,DES MOINES,IA,50309,ANESTHESIOLOGY SERVICES,2502060
201503209349302675,420680452,SHIVE-HATTERY ENGINEERING,4125 WESTOWN PKWY SUITE 100,WEST DES MOINES,IA,50266,DESIGN CONSULTING SERVICES,2349331
201513209349304156,470424785,Zaiss & Co,11626 Nicholas Street,Omaha,NE,68154,Advertising,577641
201513209349304156,470424785,Treat America Food Services,8500 Shawnee Mission Pkwy,Merriam,KS,66202,Food Service,291812
201513209349304156,470424785,Leo A Daly Company,8600 Indian Hills Drive,Omaha,NE,68114,Architectural,231618
201513209349304156,470424785,The Weitz Company,8715 S 121 Street,LaVista,NE,68128,Construction/Renovation,173261
201513209349304156,470424785,Chartwells Dining Services,PO Box 91337,Chicago,IL,60693,Food Service,151907
201513209349307126,410956618,KRAUS-ANDERSON CONST CO,525 S EIGHTH,MINNEAPOLIS,MN,55404,CONSTRUCTION,14078043
201513209349307126,410956618,UNIVERSITY OF MINNESOTA,1300 S 2ND ST,MINNEAPOLIS,MN,55454,PHYSICIAN SERVICES,7442136
201513209349307126,410956618,CROTHALL LAUNDRY SERVICES,13028 COLLECTION CTR DRV,CHICAGO,IL,60693,CLEANING & LAUNDRY,1964957
201513209349307126,410956618,TWIN CITIES ANESTHESIA ASSOCIATES,940 WESTPORT PLAZA D,ST LOUIS,MO,63146,MEDICAL SERVICES,1595173
201513209349307126,410956618,TOTAL RENAL CARE INC,PO BOX 403008,COLLEGE PARK,GA,30349,MEDICAL SERVICES,1465714
201503209349304045,221494442,CERNER HEALTH SERVICES INC,PO BOX 959167,ST LOUIS,MO,63195,IT,6985319
201503209349304045,221494442,SODEXO INC AFFILIATES,PO BOX 360170,PITTSBURGH,PA,152516170,FOOD/MANAGEMENT,4261928
201503209349304045,221494442,RUTGERS UNIVERSITY,PO BOX 2685,NEW BRUNSWICK,NJ,08903,MEDICAL,2761627
201503209349304045,221494442,PATRIOT MEDICAL TECHNOLOGIES,PO BOX 415000,NASHVILLE,TN,37241,MEDICAL,1609243
201503209349304045,221494442,FITZPATRICK ASSOCIATES,PO BOX 1408,EATONTOWN,NJ,07724,CONSTRUCTION,1491490
201503429349300415,381360586,Aramark Facility Services,PO Box 33170,Newark,NJ,071880170,Housekeeping Services,1886388
201503429349300415,381360586,Integrity Building Group LLC,350 Madison St Fl 4,Detroit,MI,482262255,Construction Services,1104199
201503429349300415,381360586,Building Technology Services,2722 Woodmont Dr E,Canton,MI,481881669,Construction Services,1076086
201503429349300415,381360586,The Jesuit Community,UDM Lansing-Reilly Hall,4001 W McNichols Rd,Detroit,MI,482213038,Adminstration and Teaching,882656
201503429349300415,381360586,Complin Technologies Inc,1970 Bluff Ct,Troy,MI,48098,Recruitment Services,386500
201513459349300336,060646520,GASKELL MEDIA MANAGEMENT,246 GOOSE LANE SUITE 103,GUILFORD,CT,06437,ADVERTISING,727510
201513459349300336,060646520,CHARTWELLS COMPASS GROUP,C/O ALBERTUS MAGNUS COLLEGE,NEW HAVEN,CT,06511,FOOD SERVICES,691260
201513459349300336,060646520,FOLLETT HIGHER EDUCATION GROUP (FHEG),3416 SOLUTIONS CENTER,CHICAGO,IL,60677,BOOKSTORE SERVICES,602555
201513459349300336,060646520,SSC,25 CONTROLS DRIVE,SHELTON,CT,06484,SECURITY SERVICES,413654
201513459349300336,060646520,GLOBAL ENTERTAINMENT,85 WILLOW STREET,NEW HAVEN,CT,06511,MARKETING,256925
201503179349303070,141338413,HUDSON HEADWATERS HEALTH NETWORK,9 CAREY RD,QUEENSBURY,NY,12804,MEDICAL SERVICES,2533701
201503179349303070,141338413,DCCS Consulting Services LLC,205 Hackney Circle,WILMINGTON,DE,19803,Mgt Consulting Serv,1281994
201503179349303070,141338413,LEADERS FOR TODAY,981 WORCESTER STREET,WELLESLEY,MA,02482,CONTRACT LABOR,928336
201503179349303070,141338413,LAB CORP,PO Box 12141,BURLINGTON,NC,27216,Lab services,739219
201503179349303070,141338413,Healogics Wound Care Services,3087 Momentum Place,CHICAGO,IL,60689,Wound care services,645563
201503209349306050,150532254,THE HAYNER HOYT CORPORATION,625 ERIE BLVD WEST,SYRACUSE,NY,13204,CONSTRUCTION,22758718
201503209349306050,150532254,BETTE & CRING LLC,22 CENTURY HILL DRIVE SUITE 201,LATHAM,NY,12110,CONSTRUCTION,5289453
201503209349306050,150532254,GRANT THORNTON,175 W JACKSON BLVD 20TH FLOOR,CHICAGO,IL,60604,CONSULTANT,2215657
201503209349306050,150532254,SJ THOMAS CO INC,140 BARTRAM AVE,LANSDOWNE,PA,19050,CONTRACTOR,1699291
201503209349306050,150532254,TEK SYSTEMS,10 TENTH STREET NE SUITE 300,ATLANTA,GA,30309,CONSULTANT,1632687
201513209349302031,560554230,CROTHALL HEALTH CARE INC,955 CHESTERBROOK BLVD STE,WAYNE,PA,19087,FACILITY SERVICES,10087163
201513209349302031,560554230,LABORATORY CORPORATION OF AMERICA HOLDIN,PO BOX 12140,BURLINGTON,NC,27216,LAB SERVICES,9047867
201513209349302031,560554230,MORRISON MANAGEMENT SPECIALIST,PO BOX 102289,ATLANTA,GA,30368,FOOD SERVICES,8336950
201513209349302031,560554230,VANNOY CONSTRUCTION,PO BOX 635,JEFFERSON,NC,28640,CONSTRUCTION SERVICES,5881980
201513209349302031,560554230,RODGERS BUILDERS INC,PO BOX 18446,CHARLOTTE,NC,28216,CONSTRUCTION SERVICES,4508846
201503179349302525,250969492,Deloitte Consulting LLP,PO Box 84417,DALLAS,TX,75284,Consulting Services,21517853
201503179349302525,250969492,Nordick Consulting Partners Inc,740 Regent St STE 400,MADISON,WI,53715,Consulting Services,5260662
201503179349302525,250969492,ITXM Clinical Services,875 Greetree Road,PITTSBURGH,PA,15220,transfusion services,4410069
201503179349302525,250969492,MBM Contracting Inc,4999 Old Clairton Road,PITTSBURGH,PA,15236,Contracting Services,4028228
201503179349302525,250969492,Labcorp of America Holdings,358 S main St,BURLINGTON,NC,27215,laboratory services,3623124
201513179349303681,150533577,JEFFERSON ANESTHESIOLOGIST SERVICES,826 WASHINGTON ST,WATERTOWN,NY,13601,ANESTHESIA SERVICES,2579946
201513179349303681,150533577,NORTH COUNTRY ORTHOPAEDIC GROUP,1571 WASHINGTON ST,WATERTOWN,NY,13601,PURCHASED SERVICES,1063829
201513179349303681,150533577,LOCUMTENENSCOM,PO BOX 405547,ATLANTA,GA,30384,PURCHASED SERVICES,814936
201513179349303681,150533577,NORTH COUNTRY EMERGENCY MEDICAL CONSULTA,830 WASHINGTON ST,WATERTOWN,NY,13601,PURCHASED SERVICES,597780
201513179349303681,150533577,NEUROSURGICAL ASSOCIATES OF CNY,750 EAST ADAMS ST,SYRACUSE,NY,13211,PURCHASED SERVICES,512333
201503209349312020,160960470,LABORATORY ALLIANCE,1304 BUCKLEY RD,SYRACUSE,NY,13212,PROFESSIONAL MEDICAL,10150927
201503209349312020,160960470,CROUSE MEDICAL GROUP PC,401 N SALINA STREET SUITE 400,SYRACUSE,NY,13203,PROFESSIONAL MEDICAL,3316895
201503209349312020,160960470,BEACON CONSULTANTS,97 LIBBEY PARKWAY SUITE 310,WEYMOUTH,MA,02189,IT CONSULTING,3156724
201503209349312020,160960470,HAYNOR HOYT CORPORATION,625 ERIE BOULEVARD WEST,SYRACUSE,NY,13204,CONSTRUCTION,2985991
201503209349312020,160960470,CNY ANESTHESIA GROUP PC,736 IRVING AVE,SYRACUSE,NY,13210,PROFESSIONAL MEDICAL,2591794
201513199349300621,550526150,Maynard C Smith Construction Company,PO Box 11888,Charleston,WV,25339,Contractor Services,26108386
201513199349300621,550526150,Siemens Medical Solutions,PO Box 120001,Dallas,TX,75312,IT Service and Support,25820136
201513199349300621,550526150,Raymond James and Associates Inc,PO Box 15818,St Petersburg,FL,33733,Investment Consulting,20085819
201513199349300621,550526150,West Virginia Univ Physicians of Char,3110 MacCorkle Ave SE,Charleston,WV,25304,GME/Physician Services,15995030
201513199349300621,550526150,Jones Lang LaSalle,33845 Treasury Center,Chicago,IL,60694,Property Managements Services,3873983
201523179349307722,390806325,TIME WARNER CABLE,1320 DR MARTIN LUTHER KING DRIVE,MILWAUKEE,WI,53212,CABLE,163412
201523179349307722,390806325,AVAYA INC,PO BOX 5332,NEW YORK,NY,100875332,COMMUNICATIONS,136885
201523179349307722,390806325,ROBERT HALF INTERNATIONAL INC,2613 CAMINO RAMON,SAN RAMON,CA,94583,HUMAN RESOURCES AND IT CONSULTING,127680
201523179349307722,390806325,SIEMENS INDUSTRY INC,6737 WEST WASHINGTON ST SUITE 2110,MILWAUKEE,WI,53214,INDUSTRIAL SOFTWARE,105107
201523179349307722,390806325,MICHAEL BEST & FRIEDRICH,100 EAST WISCONSIN AVENUE SUITE 33,MILWAUKEE,WI,53202,LEGAL,104730
201523179349304432,410908458,REDWOOD PHILANTHROPIC,4956 OLIVER STREET SOUTH,MINNEAPOLIS,MN,55419,PHILANTHROPY CONSULTING,152431
201523179349302927,581581103,CROTHALL HEALTHCARE,13028 COLLECTION CENTER DRIVE,CHICAGO,IL,60693,PLANT & HOUSEKEEPING,9756143
201523179349302927,581581103,MORRISON MANAGEMENT HEALTHCARE INC,5353 REYNOLDS STREET,SAVANNAH,GA,31405,FOOD SERVICES,5821819
201523179349302927,581581103,NACR INC,NW 5806 PO BOX 1450,MINNEAPOLIS,MN,55485,IT SERVICES,2297141
201523179349302927,581581103,NOVANT HEALTH INC,2085 FRONTIS PLAZA,WINSTON SALEM,NC,27103,SYSTEM SUPPORT,2051073
201523179349302927,581581103,PHILIPS HEALTHCARE,PO BOX 100355,ATLANTA,GA,30384,SYSTEM SUPPORT,1967734
201523179349301747,540506331,HARRISONBURG MEDICAL ASSOCIATES,1871 EVELYN BYRD AVE,HARRISONBURG,VA,22801,MEDICAL SERVICES,14804669
201523179349301747,540506331,HARRISONBURG PHYSICIANS ANETHESIOLOGY,1840 EAST MARKET STREET,HARRISONBURG,VA,22801,MEDICAL SERVICES,8524271
201523179349301747,540506331,LANTZ CONSTRUCTION,539 SOUTH MAIN STREET,BROADWAY,VA,22815,CONSTRUCTION,3750957
201523179349301747,540506331,HEMATOLOGYONCOLOGY ASSOCIATES,605 E BEVERLY STREET,STAUNTON,VA,24401,MEDICAL SERVICES,2194398
201523179349301747,540506331,HARRISONBURG SURGICAL ASSOCIATES LTD,3320 EMMAUS ROAD,HARRISONBURG,VA,22801,MEDICAL SERVICES,2173759
201523179349303937,131740127,MED EXCEL EMER PHY,484 TEMPLE HILL ROAD,NEW WINDSOR,NY,12553,MEDICAL SERVICES,1358620
201523179349303937,131740127,RAMAPO ANESTHESIOLOGISTS,100 ROUTE 59 SUITE 105,SUFFERN,NY,10901,ANESTHESIA SERVICES,1054167
201523179349303937,131740127,YONKERS ATTENDING PHYSICIANS,484 TEMPLE HILL ROAD,NEW WINDSOR,NY,12553,MEDICAL SERVICES,979600
201523179349303937,131740127,FLAGSHIP NETWORKS,PO BOX 523,STRATFORD,CT,06615,COMPUTER SERVICES,669504
201523179349303937,131740127,YONKERS PHYSICIANS,66 WEST GILBERT STREET,RED BANK,NJ,07701,MEDICAL SERVICES,600000
201523179349300947,042104258,Nagog Real Estate Consulting Corp,530 Great Road,Acton,MA,01720,Building Renovation,1299200
201523179349300947,042104258,Wellington Trust Company,75 State Street,Boston,MA,02109,Investment Management,212649
201523179349300947,042104258,McLean Painting Company,10 Rainbow Terrace,Unit B,Danvers,MA,01923,Painting contractor,199704
201523179349300947,042104258,Tisevich Builders,56 Alderwood Avenue,Stratham,NH,03885,Building contractor,192608
201523179349300947,042104258,Grant Thornton LLP,33960 Treasury Center,Chicago,IL,60694,Auditing,174736
201513209349313401,350892672,HD SMITH WHOLESALE DRUG,3063 FIAT AVENUE,SPRINGFIELD,IL,62703,PHARMACY SUPPLIER,22369065
201513209349313401,350892672,SIEMENS MEDICAL SOLUTIONS,40 LIBERTY BOULEVARD,MALVERN,PA,19355,INFORMATION SYSTEMS,7686571
201513209349313401,350892672,SHOOK CONSTRUCTION,4977 NORTHCUTT PLACE,DAYTON,OH,45414,CONSTRUCTION,7201146
201513209349313401,350892672,BIOMET BRACING,56 EAST BELL DRIVE,WARSAW,IN,46581,MEDICAL SUPPLIER,3179763
201513209349313401,350892672,ST JUDE MEDICAL INC,ONE ST JUDE MEDICAL DRIVE,ST PAUL,MN,55117,MEDICAL SUPPLIER,2336429
201523209349303212,210634462,XEROX CONSULTANT COMPANY INC,5225 Auto Club Drive,DEARBORN,MI,48126,information techn,5131313
