object_id,ein,LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,LqdtnOfAsstsDtl_DstrbtnDt,LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt,LqdtnOfAsstsDtl_MthdOfFMVDtrmntnTxt,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,LqdtnOfAsstsDtl_IRCSctnTxt
201622519349301112,756064033,Savings and temporary cash investments,2015-08-31,5733775,Fair Market Value,471744274,3500 Camp Bowie,Ft Worth,TX,76107,501(c)(3)
201622519349301112,756064033,Investments - Publicly traded securities,2015-08-31,11840110,Fair Market Value,471744274,3500 Camp Bowie Road,Ft Worth,TX,76107,501(c)(3)
201602779349300310,451732585,Cash,2015-12-16,112814,Cash,561993458,A-B TECH FOUNDATION,340 Victoria Road,Asheville,NC,28801,501(c)(3)
201602779349300030,742226269,CASH,2015-12-31,723659,CASH,273029906,EQUAL JUSTICE WYOMING FOUNDATION,2300 CAPITAL AVE 1ST FLOOR,CHEYENNE,WY,820013644,501(C)(3)
201643199349303609,470489031,ALL ASSETS AND LIABILITIES,2016-05-01,6396853,FMV BASED ON NET ASSETS OF 4/30/2016 AUDIT REPORT,951916051,HOPE INTERNATIONAL UNIVERSITY,2500 E NUTWOOD AVE,FULLERTON,CA,92821,501(C)(3)
201720469349302672,042720310,NET ASSETS,2016-03-31,826068,BOOK VALUE,042104700,MCPHS UNIVERSITY,179 LONGWOOD AVENUE,BOSTON,MA,02115,501(C)(3)
201700459349200720,463232848,NET ASSETS,2016-03-31,48284,BOOK VALUE,462980755,COLLEGE PARK ACADEMY INC,7501 ADELPHI ROAD,HYATTSVILLE,MD,20783,501(C)(3)
201740469349200804,391146331,CASH,2015-07-01,11375,CASH,391805963,400 S UNIVERSITY DRIVE,WEST BEND,WI,53095,UNIVERSITY
201741359349313769,273739336,"CASH NONINTEREST BEARING, PLEDGES AND GRANTS RECEIVABLE, PREPAID EXPENSES AND DEFERRED CHARGES, BUILDINGS AND EQUIPMENT, ACCUMULATED DEPRECIATION, ACCOUNTS PAYABLE AND ACCRUED EXPENSES, DUE TO AFFILIATES, AND LONG-TERM DEBT.",2016-06-30,1785676,COST,463193388,ALLIANCE LEADERSHIP MIDDLE ACADEMY,2941 WEST 70TH STREET,LOS ANGELES,CA,90043,501(C)(3)
201741329349302334,383589120,RETURNED UNUSED RESTRICTED GRANT TO DONOR,2016-04-01,1043552,MARKET VALUE OF INVESTMENTS,386064925,THE MILLER FOUNDATION,310 WAHWAHTAYSEE WAY,BATTLE CREEK,MI,49015,501C(3)
201721089349300637,042126597,Cash and savings,2016-06-01,16417142,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Pledges and grants receivable,2016-06-01,2099350,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Accounts receivable,2016-06-01,156405,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Notes and loans receivable,2016-06-01,194943,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Prepaid expenses,2016-06-01,229106,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,"Land, buildings and equipment, net of depreciation",2016-06-01,25096552,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Investments,2016-06-01,660805,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Intangible assets,2016-06-01,350626,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Projects under development,2016-06-01,322639,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Accounts payable and accrued expenses,2016-06-01,-2136920,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Deferred revenue,2016-06-01,-527801,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Tax-exempt bond liabilities,2016-06-01,-24212552,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Notes payable and capitalized leases,2016-06-01,-2571873,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201721089349300637,042126597,Deferred compensation liability,2016-06-01,-450000,Audited book value,042300472,Berklee College of Music Inc,1140 Boylston St,Boston,MA,022153693,501(c)(3)
201731089349200708,455476484,NO ASSETS DISTRIBUTED OR TRANSACTION EXPENSES PAID,2016-12-31,0,454901778,LIMITED LIABILITY COMPANY
201710759349300716,111802808,Equities/Bond/Mutual Funds/Cash,2016-01-12,25337292,Market Value,472662220,PO Box 25196,Brooklyn,NY,11202,501(c)(3)
201702759349301060,383064555,CASH,2016-12-31,547827,"COST METHOD, CASH ONLY BALANCES",OTSEGO COUNTY,225 W MAIN ST,GAYLORD,MI,49735,COUNTY GOVERNMENT
