object_id,ein,BndRfrncCd,BsnssNmLn1Txt,BndIssrEIN,BndIssdDt,IssPrcAmt,PrpsDsc,DfsdInd,OnBhlfOfIssrInd,PlFnncngInd
201500309349300205,350845258,IRS990ScheduleK,D,COUNTY OF ALLEN IN ECON DEVELOPMENT SERIES 2011,356000124,2011-06-21,4726921,CONSTRUCTION OF WARRIOR ROW B RESI,false,false,false
201510369349301501,930309970,A,STATE OF OREGON - OREGON FACILITIES AUTHORITY,936001787,NONEAVAIL,2010-06-09,1930300,ANATOMICAL SCIENCES BUILDING,0,0,0
201510369349301501,930309970,B,STATE OF OREGON - OREGON FACILITIES AUTHORITY,936001787,NONEAVAIL,2010-09-07,6880425,REFUND 2005 SERIES A,0,0,0
201530349349300408,410693977,A,CLAY COUNTY MINNESOTA,416005575,2003-10-22,2300000,CONSTRUCT STUDENT HOUSING FACILITIES,0,0,0
201530349349300408,410693977,B,CLAY COUNTY MINNESOTA,416005575,2004-11-30,7000000,RESIDENCE HALL RENOVATIONS,0,0,0
201530349349300408,410693977,C,CITY OF MOORHEAD MINNESOTA,416005386,61615DAV2,2005-12-29,26553556,CONSTRUCT AND EXPAND THE COLLEGE CAMPUS CENTER,0,0,0
201500339349300705,470377991,A,CITY OF CRETE NEBRASKA,476006154,226493AS3,2013-02-28,7073654,CONSTRUCTION/REFUND BONDS 4/28/11,false,false,false
201500339349300705,470377991,B,THE COUNTY OF SALINE NEBRASKA,476006503,79517YAS4,2013-02-13,9901291,REFUND PRIOR ISSUE DATED 5/1/2009,false,false,false
201500339349300705,470377991,C,THE COUNTY OF SALINE NEBRASKA,476006503,79517YBK0,2013-04-11,8453288,CONSTRUCTION/REFUND BONDS 5/13/04,false,false,false
201510359349300401,030213180,A,VERMONT ECONOMIC DEVELOPM,036024497,924159AU0,2004-06-01,4210000,CONSTRUCTION AND BUILDING IMPR,false
201530309349301108,420680351,A,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,462460VZ6,2005-12-29,49918166,SEE PART VI,0,0,0
201530309349301108,420680351,B,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,462460VY9,2005-12-29,36706381,SEE PART VI,0,0,0
201530309349301658,381369604,A,The EDC of the County of Oakland Mi,383442443,2010-09-29,10663000,Advance Refund Series 1998A Bonds and Note Payable,0,0,0
201530309349301658,381369604,B,The EDC of the County Of Oakland Mi,383442443,2014-04-29,11980000,Construction of Student Housing,0,0,0
201510339349300726,161476258,A,Oneida County Local Development Corporation,273190422,2013-11-15,38200000,See Part VI,0,0,0
201520419349301407,150533545,A,COUNTY OF FRANKLIN IDA,141763507,2007-06-28,9340000,CAPITAL EXPENDITURES,false,false,false
201520419349301407,150533545,B,COUNTY OF FRANKLIN IDA,141763507,2011-02-24,10000000,CONSTRUCTION PROJECT,false,false,false
201500409349300625,860294012,A,IDA of County of Yavapai,866093423,2013-09-20,10400000,Refund Prior Debt,false,false,false
201520419349301982,540505922,A,Virginia College Building Authority,541249154,2010-12-21,8837932,Provides funds to refund a prior issue dtd 1/22/04 and other debt obligations,0,0,0
201520419349301982,540505922,B,Economic Development Authority of the City of Lynchburg Virginia,541225193,55123RAR7,2013-06-27,24308295,Refund two prior outstanding issues and Student Center expansion,1,0,0
201520419349301982,540505922,C,Economic Dev Authority of Amherst County Virginia,830477842,2013-05-29,7571000,Purchase and renovate the Health Sciences Bldg,0,0,0
201530409349300408,420772559,R000010,A,City of Sioux Center,426005218,2009-05-01,7250000,Classroom Building Remodel,0,1,0
201530409349300408,420772559,R000010,B,City of Sioux Center,426005218,2009-09-10,12000000,Construct Kuyper Hall,1,1,0
201530409349300408,420772559,R000010,C,City of Sioux Center,426005218,2013-09-01,4100000,Refinance Kuyper Hall,0,0,0
201530409349300408,420772559,R000010,D,Sioux County,2013-09-01,7000000,Refinance Kuyper Hall,0,0,0
201520419349300217,340714629,A,Baldwin Wallace University,340714629,67756A7A4,2012-11-29,16949810,Renovation and Refunding,false,true,false
201540429349301964,010271210,A,MAINE HEALTH HIGHER EDUCATION FACILITIES,010314384,560427JA5,2010-06-24,3090000,REFI MHHEFA SERIES 2000C,0,0,0
201540429349301964,010271210,B,CITY OF WESTBROOK,2013-09-30,3280000,PURCHASE CAMPUS BUILDING,0,0,0
201540429349301289,231352652,A,HUNTINGDON COUNTY GENERAL AUTHORITY,236632278,445865MAO,2010-07-20,23157464,REFUND PRIOR ISSUANCE,0,0,0
201540429349301289,231352652,B,HUNTINGDON COUNTY GENERAL AUTHORITY,236632278,NONEAVAIL,2004-11-30,6000000,CONSTRUCTION AND EQUIPPING CAMPUS PROJECTS,0,0,0
201540429349301289,231352652,C,HUNTINGDON COUNTY GENERAL AUTHORITY,236632278,NONEAVAIL,2007-10-01,8000000,CONSTRUCTION AND EQUIPPING CAMPUS PROJECTS,0,0,0
201540429349301289,231352652,D,HUNTINGDON COUNTY GENERAL AUTHORITY,236632278,NONEAVAIL,2013-04-30,8500000,CONSTRUCTION AND EQUIPPING CAMPUS PROJECTS,0,0,0
201530429349300843,930461940,A,CAPITAL PACIFIC BANK,331044355,2008-05-12,730000,CONSTRUCTION,0,0,0
201530429349300843,930461940,B,CAPITAL PACIFIC BANK,331044355,2008-05-12,5350000,CONSTRUCTION,0,0,0
201530429349300843,930461940,C,US BANK NATIONAL ASSOCIATION,410417860,2010-12-14,1785000,REFINANCE AND PURCHASE,1,0,0
201530439349301208,440545286,A,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF THE COUNTY OF SALINE MISSOURI,430980296,79516TBA4,2007-08-14,9175000,"REFUND A PRIOR ISSUE, ISSUED IN 2001",0,0,0
201530439349301208,440545286,B,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF THE COUNTY OF SALINE MISSOURI,430980296,79516TBB2,2010-07-01,2900000,RENOVATIONS AND NEW CONSTRUCTION,0,0,0
201510409349300646,370864020,A,ILLINOIS FINANCE AUTHORITY,861091967,45200BEM6,2004-07-22,11675000,EDUCATIONAL FACILITIES,0,0,0
201530409349300913,310536647,A,Ohio Higher Ed Facility Commission,346849674,2006-12-21,7000000,Dorm renovations,0,0,0
201530409349300913,310536647,B,Ohio Higher Ed Facility Commission,346849674,2011-12-30,5000000,Health Science Building,0,0,0
201530409349300913,310536647,C,Ohio Higher Ed Facility Commission,346849674,2013-05-30,4850000,Refinance of 2004 Bond,0,0,0
201530409349300913,310536647,D,Ohio Higher Ed Facility Commission,346849674,2013-05-30,5000000,Hill/Ann/Town #1,0,0,0
201530379349301253,470378777,A,Nebraska Educational Finance Authority,521293953,63966PQX5,2007-05-30,22651631,Construction of Facility and Refunding of prior issue (8/31/05),0,0,0
201530379349301253,470378777,B,Nebraska Educational Health and Social Services Finance Authority,521293953,2013-11-15,1689580,Lease of Equipment,0,0,0
201530419349301803,042104778,A,MASSACHUSETTS DEVELOPMENT FINANCE AGENCY,043431814,2014-02-10,20000000,"CONSTRUCTION OF NEW ACADEMIC BUILDING, RENOVATIONS TO CHALMERS FIELD HOUSE",0,0,0
201530439349301108,560657294,A,NC CAPITAL FACILITIES FINANCE AGENCY,561592154,65818PEF2,2005-10-13,24000000,REFUND SERIES 2000 BONDS,0,0,0
201530439349301108,560657294,B,NC CAPITAL FACILITIES FINANCE AGENCY,561592154,65819GHL5,2012-08-29,17613130,FUND VARIOUS CAPITAL PROJECTS,0,0,0
201510419349300416,440545914,A,HEALTH & EDUCATIONAL FACILITIES AUTHORITY OF THE STATE OF MISSOURI,431178966,606901W77,2005-09-22,17880000,"IMPROVEMENTS, REF SERIES 1996 (ISS 12/03/96), REF SERIES 1999 (ISS 12/8/99)",0,0,0
201530429349301473,941585735,A,CALIFORNIA EDUCATIONAL FACILITIES AUTHORITY,521705592,2012-12-19,45770000,"TO REFUND CEFA 2001 AND 2005; ACQUIRE, CONSTRUCT AND RENOVATE FACILITIES",0,0,0
201500439349301035,042104258,A,Massachusetts Development Finance Agency,043431814,2013-02-19,38480000,Refund prior issue (issued 10/31/2012),0,0,0
201510409349300126,237032625,A,MAINE HEALTH & HIGHER ED,010314384,560425V80,2007-11-01,6610000,CONSTRUCTION AND IMPROVEMENTS,1,1,1
201510409349300126,237032625,B,HEALTH & HIGHER ED,010314384,2011-11-30,2485000,REFINANCE OF 1998 B BONDS,1,0,0
201530439349301688,590949880,A,HIGHER EDUCATION FACILITIES FINANCING AUTHORITIES,900058227,34073TBCO,2009-01-22,31000000,FINANCING THE COSTS OF CERTAIN CAPITAL IMPROVEMENTS AND REFINANCING 2003 BOND AND COMERCIAL LOAN.,false,false,false
201530439349301828,150532239,A,St Lawrence County IDA Civic Dev Bonds,272614310,791078AZ1,2012-12-19,46819980,advance refund NYS Dorm Auth 2008 bonds,0,0,0
201530439349301828,150532239,B,NYS Dorm Authority Bonds 2008 Series,146000293,649903X55,2008-07-17,47950000,campus renovations and advance refund 1998 Series,1,0,0
201530439349301828,150532239,C,St Lawrence County IDA Civic Fac Rev Bonds,160991283,791097EH7,2005-12-07,20850000,construct new science center,0,0,0
201510419349301561,341226547,A,County of Lucas Ohio,346400806,54930GAA4,2007-05-31,8000000,"New Classroom building, equipment, and land improvements",0,0,0
201510419349301561,341226547,B,Toledo-Lucas County Port Authority,346406986,2013-12-27,20130000,"Refund prior issue dated 05/31/2007, land, and buildings and structures",0,0,0
201540439349301559,951644048,A,City of Whittier Variable Rate Demand,951644048,96677PAC8,2008-11-13,56000000,"To finance the planning, construction, renovation and/or rem",false,false
201530419349300023,470376525,A,NEBRASKA EDUCATIONAL FINANCE AUTHORITY,521293953,2009-04-02,5000000,BUILDING CONSTRUCTION,false,false,false
201530419349300023,470376525,B,NEBRASKA EDUCATIONAL FINANCE AUTHORITY,521293953,63966PLN2,2004-02-12,6913021,APARTMENT CONSTRUCTION,false,false,false
201530419349300023,470376525,C,NEBRASKA EDUCATIONAL FINANCE AUTHORITY,521293953,63966ppf5,2005-04-26,3692848,APARTMENT CONSTRUCTION,false,false,false
201520409349300862,391024723,A,WISCONSIN HEALTH AND EDUCATIONAL FACILITIES AUTHORITY,391337855,1993-07-07,2500000,STUDENT RESIDENCE AND OTHER CONSTRUCTION,0,0,0
201520409349300862,391024723,B,WISCONSIN HEALTH AND EDUCATIONAL FACILITIES AUTHORITY,391337855,97710VLB2,2003-06-26,2885000,REFUND A PRIOR ISSUE,0,0,0
201520409349300862,391024723,C,REDEVELOPMENT REVENUE BOND SERIES 2009,391190916,038127BPO,2009-10-08,2927145,EDUCATIONAL BUILDING,0,0,0
201520409349300862,391024723,D,REDEVELOPMENT REVENUE BOND SERIES 2010A & 2010B,396005450,2010-04-30,2000000,STUDENT RESIDENCE,0,0,0
201520429349300032,430652675,A,HLTH & ED FACILITIES AUTHORITY OF THE STATE OF MO,431178966,606901Z33,2006-02-24,45755000,SEE PART VI,false,false,false
201520429349300032,430652675,B,HLTH & ED FACILITIES AUTHORITY OF THE STATE OF MO,431178966,60636AFY4,2013-11-15,78293770,SEE PART VI,false,false,false
201500419349300505,591237047,A,Higher Educational Facilites Financing Authority,942567020,2012-11-29,30000000,See Part V,false,false,true
201500419349300505,591237047,B,Higher Educational Facilites Financing Authority,942567020,2012-11-29,27685000,See Part V,false,false,true
201510439349301791,956001907,A,California Statewide Communities Development,2002-04-16,16000000,Campus building and refinance of long term debt.,0,0,0
201510439349301791,956001907,B,California Statewide Communities Development,2007-08-31,14000000,Campus buildings.,0,0,0
201520419349301562,540505892,R000009,A,IDA of the Town of Saltville VA,541090126,2003-08-26,5200000,Refinance 1993 Bonds,0,0,0
201520419349301562,540505892,R000009,B,IDA of Washington County VA,541090126,2004-12-22,5000000,Campus Energy Savings Project,0,0,0
201520419349301562,540505892,R000009,C,IDA of Washington County VA,541324605,2005-12-23,2500000,Construction of 2 Student Housing Units,0,0,0
201520419349301562,540505892,R000009,D,IDA of Washington County VA,541324605,2006-12-22,10000000,Renovation of 2 Classroom & Admin Buildings,0,0,0
201510409349300951,362177133,A,ILLINOIS FINANCE AUTHORITY SERIES 2008 BONDS,861091967,45200FLH0,2008-06-25,25000000,RESIDENCE HALL CONSTRUCTION,0,0,0
201510409349300951,362177133,B,ILLINOIS FINANCE AUTHORITY SERIES 2006 BONDS,861091967,45200BYZ5,2006-06-08,10000000,RESIDENCE HALL CONSTRUCTION,0,0,0
201500409349300435,540505945,A,Town of Clifton Forge,161686776,2003-10-27,9750000,Construction of Residence Hall,0,0,0
201500409349300435,540505945,B,Virginia College Building Authority,541249154,927781EY6,2007-06-06,20741893,Renovate residence hall and academic building,0,0,0
201500409349300435,540505945,C,Virginia Small Business Financing Authority,541300845,92810PAR2,2011-03-02,14722471,Construction of Residence Hall,0,0,0
201530439349302123,591146751,A,City of Jacksonville,596000344,46936RAC6,2004-06-09,4400000,Facilities Improvements
201500409349300005,030179299,A,KEY BANK,036024497,924159AU0,2012-06-29,14657400,REFINANCE 2008 BOND,true,false
201520379349301252,381374230,A,Michigan Higher Education Facilities Authority,521258515,594519F39,2005-03-16,13066607,cover cost of dormitory/office/classroom,0,0,0
201510419349301001,820200906,A,Idaho Housing & Finance Association,820302333,45129GBGS,2008-06-19,21455000,"Restructure Debt prior bond issues 8/29/97, 11/15/01 & 3/02/02 - Dorm Renovation",0,0,0
201500439349302020,131628149,A,Dormitory Authority of the State of New York,146000293,64983U7Q7,2004-02-04,28880374,See Part VI,0,0,0
201500439349302020,131628149,B,Dormitory Authority of the State of New York,146000293,649903NL1,2007-07-11,50184096,See Part VI,0,0,0
201500439349302020,131628149,C,Dormitory Authority of the State of New York,146000293,649903ZP9,2008-04-24,28040000,See Part VI,0,0,0
201500419349301715,390477970,A,CITY OF MILWAUKEE,391186734,60242NEF4,2012-05-01,30000000,CAMPUS BUILDINGS,0,1,0
201520429349301712,630288850,A,Educational Building Authority of the City of Marion,999990484,2010-10-01,100,Renovate college buildings and retire another bond issue,0,1,0
201500379349301315,530199507,A,District of Columbia,536001131,25484JBZ2,2011-05-25,39420421,Campus Improvements,false,false,false
201500419349301300,540575812,A,IDA of the Town of Broadway VA,542028957,2008-11-18,10000000,Construct and equip residence hall,0,0,0
201500419349301300,540575812,B,IDA of the Town of Broadway VA,542028957,2010-05-01,6000000,Remodel residence halls,0,0,0
201500439349300100,951744369,A,California Municipal Finance Authority,201563466,13048THN6,2011-04-05,136685000,Refinance Series 2007 bonds,0,0,0
201520409349301312,221912028,A,NEW JERSEY EDUCATIONAL FACILITIES AUTHORITY,221829511,221829511,2006-06-30,11445000,REFUNDING OF REVENUE BONDS,0,0,0
201520409349301312,221912028,B,NEW JERSEY EDUCATIONAL FACILITIES AUTHORITY,221829511,2014-05-01,1000000,CAPITAL IMPROVEMENT BONDS,0,0,0
201540459349300014,560529982,A,NORTH CAROLINA CAPITAL FACILITIES FINANCE AGENCY,65818SAD5,2005-07-14,8075000,REFINANCE EXISTING DEBT,0,0,0
201540459349300014,560529982,B,NORTH CAROLINA CAPITAL FACILITIES FINANCE AGENCY,65818SAE3,2011-06-01,9800000,REISSUE OF EXISTING BOND,0,0,0
201540459349300014,560529982,C,NORTH CAROLINA CAPITAL FACILITIES FINANCE AGENCY,65818PGQ6,2008-09-11,16400000,REFINANCE EXISTING DEBT,0,0,0
201510479349302316,950549600,A,CA MUNICIPAL FINANCE AUTHORITY,201563466,13048TCU5,2008-03-13,94006015,"Refund of 2002, Bond & Reserve Fun",false,false,false
201510479349302316,950549600,B,CA MUNICIPAL FINANCE AUTHORITY,201563466,13048TPZO,2013-04-25,40189220,Construction Bldg/park structure,false,false,false
201510449349302496,530196640,A,DISTRICT OF COLUMBIA REVENUE BONDS SERIES 2014A,536001131,2014-06-02,15300000,REFINANCE 2001 BOND,0,0,0
201510449349302496,530196640,B,DISTRICT OF COLUMBIA REVENUE BONDS SERIES 2014B,536001131,2014-06-02,15000000,CONSTRUCTION OF ACADEMIC CENTER,0,0,0
201530479349301393,362593545,A,ILLINOIS FINANCE AUTHORITY,861091967,452029AA9,2007-12-12,32500000,CONSTRUCT AND EQUIP FACILITY,false,false,false
201540449349301824,620502739,A,LEE UNIVERSITY,620502739,2010-10-15,8960158,TO REFINANCE SEVEN OUTSTANDING LOANS INTO ONE TAX-EXEMPT BOND,0,1,0
201540449349301824,620502739,B,LEE UNIVERSITY,620502739,2009-03-18,6400000,TO FINANCE THE CONSTRUCTION OF THE SCIENCE AND MATH COMPLEX,0,1,0
201540449349301824,620502739,C,LEE UNIVERSITY,620502739,2010-12-09,9100000,TO FINANCE PROPERTY ACQUISITIONS AND DORM CONSTRUCTION,0,1,0
201540449349301824,620502739,D,LEE UNIVERSITY,620502739,2013-09-03,5100000,TO FINANCE COMMUNICATION ARTS BUILDING,0,1,0
201540499349300029,941156485,A,CEFA 2005,521705592,1301754X7,2005-05-12,18535000,FACILITIES & REFUNDING OF PRIOR BOND ISSUES,0,0,0
201540499349300029,941156485,B,CEFA 2007,521705592,130178FD3,2007-02-27,11240000,REFUNDING OF PRIOR BOND ISSUES,0,0,1
201540499349300029,941156485,C,CEFA 2012,521705592,130178S49,2012-10-25,11465000,REFUNDING OF PRIOR BOND ISSUES,0,0,0
201530479349301843,570314408,A,EDUCATION FACILITIES AUTHORITY FOR PRIV,576000286,CUSIPNONE,2009-08-05,23500000,"REFUND 27,000,000 BOND",0,0,0
201530479349301843,570314408,B,EDUCATION FACILITIES AUTHORITY FOR PRIV,576000286,CUSIPNONE,2010-07-30,3550000,"REFUND 27,000,000 BOND",0,0,0
201530479349301843,570314408,C,EDUCATION FACILITIES AUTHORITY FOR PRIV,576000286,CUSIPNONE,2011-12-21,7871000,PHARMACY BOND AND REFINANCE BANK LOAN,0,0,0
201520449349302627,133508093,A,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,649906P65,2012-08-01,31366862,REFUNDING 2002 BOND/CONSTRUCTION,false,false,false
