object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201433219349304933,263162145,CAFETERIA/FOOD SERVICE,722320,815324,815324
201433219349304933,263162145,GIFT SHOP,453220,159144,159144
201433219349304933,263162145,VENDING,900099,10441,10441
201412259349303556,260536138,MISCELLANEOUS,900099,116,116
201430989349300923,274332028,MISC INC,611000,769
201430989349300923,274332028,ITALY TRIP,611000,12400
201430989349300923,274332028,JONATHAN MONTESSORI,611000,50533
201412379349300121,616002351,NET APPRECIATION IN IN,611710,1640415,1640415
201412379349300121,616002351,ACTUARIAL ADJUSTMENTS,611710,-16703,-16703
201401329349304310,264789471,0
201401329349304310,264789471,0
201401329349304310,264789471,0
201402279349303295,571102885,GAIN/LOSS ON SALE OF ASSETS,900099,-43716,-43716
201412469349300551,610470593,Fair value change,611710,4570299,4570299
201412469349300551,610470593,Actuarial adjustments,611710,186826,186826
201411339349305446,202982549,ROOM & BORAD,18900,18900
201411339349305446,202982549,RENTAL INCOME,12000,12000
201402549349300300,522242995,Hurricane Sandy Insurance Proceeds,900099,331712
201402549349300300,522242995,Misc,900099,1140
201441349349301524,582022462,CERTIFICATION APPLICATION FEE,000000,1350,1350
201422679349300532,010681650,OTHER REVENUE,531110,26508,26508
201441349349303199,540784341,OTHER REVENUES,900099,30225,30225
201442549349300249,010833168,Miscellaneous,900099,1428,1428
201442269349303034,480851998,VOID OS CHECKS,900099,920,920
201401629349300200,263453472,MISC,900099,54,54
201412029349300321,620481463,Net transactions student loan fund,900099,3671,3671,0,0
201412029349300321,620481463,Other revenues,900099,85675,85675,0,0
201422589349300607,201204071,OTHER REVENUE,4328,4328
201402769349300805,240795439,MISCELLANEOUS (BINGHAM,611710,68459,68459
201402769349300805,240795439,MISCELLANEOUS,611710,43338,43338
201442529349300509,830454800,REFUNDS & REIMBUREMENTS,900099
201402559349300200,350715530,MISCELLANEOUS,900099,151849,151849
201402559349300200,350715530,GOLF COURSE INCOME,713910,367910,367910
201442559349300864,510205293,MISC FEES & REVENUE,611600,871,871
201422179349301372,630840844,MISCELLANEOUS REVENUE,611600,1298,1298
201412969349300241,237456795,MISC. INCOME,624100,31735,31735
201412969349300241,237456795,MISC OPER GRANTS,13000,13000
201412899349300621,562231069,OTHER INCOME,611710,15394,15394
201412839349301201,111802808,Other Income,611710,15970,15970
201412879349300241,344429091,INVESTMENT INCOME FROM K-1,523000,-79166,-79166
201412879349300241,344429091,THE INN REMEDIATION,900099,237405,237405
201412879349300626,550370901,MISCELLANEOUS,36362,36362
201412879349300626,550370901,INCREASE IN CSV LIFE INSURANC,5465,5465
201412879349300626,550370901,PARTNERSHIP INVESTMENTS,531120,4637,4637
201412879349301026,630329409,OTHER REVENUE,900099,57371,57371
201412879349301026,630329409,SECURITY SERVICE REVENUE,812900,23400,23400
201412879349301026,630329409,TELEPHONE SERVICE,812900,6636,6636
201402959349300715,621149976,BOOKSTORE SALES,611710,608,608
201402959349300715,621149976,MISCELLANEOUS INCOME,900099,18027,18027
201442889349301139,752760831,Library Income,611310,21563,21563,0,0
201442889349301139,752760831,Computer Lab Income,611310,1594,1594,0,0
201442889349301139,752760831,Copier Income,611310,917,917,0,0
201403009349300885,316064854,OTHER INCOME,611710,15452,15452
201433179349304223,421351526,MISCELLANEOUS REVENUE,900099,8523,8523
201423149349302187,420686467,K-1 PLAINS ALL AMERICAN PIPELINE,900099,-561,-561
201423149349302187,420686467,K-1 LINN ENERGY LLC,900099,-2029,-2029
201423149349302187,420686467,K-1 ENTERPRISE PRODUCT PARTNERS L,900099,-2104,-2104
201423119349301492,364303682,OTHER MISCELLANEOUS,900099,320693,320693
201433179349306808,954230730,OTHER REVENUE,4484,4484
201443159349300979,942515428,CAP IMPR REIMBURSEMENT,900099,966000,966000
201443159349300979,942515428,SUNDRY INCOME,900099,22363,22363
201443159349300979,942515428,OTHER INCOME,900099,2950,2950
201443169349304464,880121831,Student AR Adjustments,611310,7328,7328,0,0
201443169349304464,880121831,Mgmt Fees (TCES),611310,4919,4919,0,0
201443179349306614,131662715,MISCELLANEOUS,900099,18823,39765
201423169349301022,161359213,MISCELLANEOUS INCOME,900099,156269,156269
201433179349304333,250965603,STUDENT FEES,713940,126000,126000
201433179349304333,250965603,OTHER SOURCES,611600,37632,37632
201433179349304333,250965603,SUMMER CONFERENCES,531190,34296,34296
201443169349303414,541031437,MISCELLANEOUS INCOME,900099,7153,7153
201443169349303414,541031437,BANQUET ROOM RENT,531120,3547,3547
201433179349304828,362167773,MISCELLANEOUS,900099,1276508,1276508
201433179349304828,362167773,AVIATION SERVICES,611710,426558,426558
201433179349304828,362167773,CONFERENCING,900099,137343,137343
201443149349301499,731303821,Other Income,611600,415865,1300,414565
201443149349302769,341726619,0
201443149349302769,341726619,0
201443149349302769,341726619,0
201433109349300628,710462177,OTHER EXEMPT REVENU,9144,9144
201403029349300540,150532053,MISCELLANEOUS REVENUE,900099,93083,93083
201413009349301051,420680460,OTHER INCOME,611710,2064098,10454,2053644
201413009349301051,420680460,ALUMNI FEES,611710,15488,15488
201413009349301051,420680460,ATHLETIC PHOTO SALES,453220,6056,6056
201412949349300026,900131526,MISCELLANEOUS INCOME,531110,82687,82687
201443079349300249,410706151,MISCELLANEOUS INCOME,900099,95975,95975
201413019349301026,541851377,MISCELLANEOUS,611710,15348,15348
201413019349301026,541851377,TEXTBOOK SALES,611710,5841,5841
201423019349300242,580593438,Realized and Unrealized L,900099,6196753,6196753
201402809349300800,560530251,OTHER INCOME,900099,1120525,1120525
201402909349300505,562195966,OTHER REVENUE,3261,3261
201423039349300627,640303086,ADVERTISING,515100,122639,122639
201433049349300118,800257911,Other Income,900099,13182,13182
201403169349301960,460430791,OTHER,611600,3046,3046
201403159349302465,251065148,MISC INCOME,900099,539495,539495
201403159349302465,251065148,SUMMER CONFERENCE/RENTALS,531390,321019,321019
201443429349300414,166031585,commission,451211,49782,0,0,49782
201443429349300414,166031585,Transcripts,611600,6084,6084,0,0
201443429349300414,166031585,Miscellaneous,900099,230460,0,0,230460
201433469349300143,237069575,Unrealized gains,900099,47244443,47244443,0,0
201423519349300402,581494136,SEMINARS,16853,16853
201423519349300402,581494136,MISCELLANEOUS REVENUE,5185,5185
201403579349300325,521010577,MISCELLANEOUS,900099,9519,9519
201403459349300820,560767736,OTHER INCOME,900099,836990,836990
201403459349300820,560767736,CHANGE IN VALUE OF SPLIT INTE,900099,543924,543924
201403459349300820,560767736,CHANGE IN INTEREST RATE SWAP,100559,100559
201413449349300111,530196583,NONACADEMIC REGISTRATION FEES,900099,43041,43041
201413449349300111,530196583,INTEREST INCOME - STUDENTS,900099,574526,574526
201413449349300111,530196583,0
201413449349300126,363157451,MISCELLANEOUS,900099,1644,1644
201433189349302143,810231777,REALIZED GAIN AND OTHER INVESTMEN,611710,420140,420140
201433189349302143,810231777,OTHER,611710,274525,274525
201443219349309969,510305893,SECURITY,900099,254596,254596
201443219349309969,510305893,DSUSHF MANAGEMENT FEE,900099,154124,154124
201443219349309969,510305893,CONFERENCES AND EVENTS,900099,59030,59030
201443539349300524,132513162,HOUSING FEES,611710,3609936,3609936
201443539349300524,132513162,OTHER REVENUE,611710,130627,130627
201413569349300716,560532296,Other Income,900099,22509,22509
201433499349301358,720467515,AUXILIARY ENTERPRISES,611710,2715550,2715550
201433499349301358,720467515,EQUITY REVENUE IN LLC,611710,47794,47794
201433499349301358,720467515,RENT - WELL. CTR.(NET),611710,-42396,-42396
201443189349304694,540646523,MISCELLANEOUS,611600,145867,145867
201443189349304694,540646523,VENDING/LAUNDRY INCOME,611600,47791,47791
201443189349304694,540646523,SHUTTLE FEES,611600,5285,5285
201403219349306475,381673400,DISTRIBUTIONS FROM LIA,900003,50987,50987
201403219349306475,381673400,MISCELLANEOUS INCOME,611710,2073,2073
201413469349300316,237013253,0
201413469349300316,237013253,MISCELLANEOUS REVENUE,900099,5429,5429
201413469349300316,237013253,0
201403529349300320,620475691,Campus vending and other,900099,362115,362115,0,0
201403529349300400,741357323,OTHER SOURCES,611600,8143,8143
201443519349300024,541854399,INCOME FROM S-CORP,518210,8902,8902
201443519349300024,541854399,INCOME FROM PARTNERSHI,900099,-29606,-29606
201443189349306734,550357056,OTHER INCOME,443303,443303
201443459349300649,986001141,Educational Support,611710,96967000,96967000,0,0
201443459349300649,986001141,Sundry Income,561000,26923000,26923000,0,0
201443459349300649,986001141,Parking Vending Catering Conferences,812930,20762000,20762000,0,0
201423189349302672,470418641,MISC STUDENT CHARGES,611710,2137404,2137404
201423189349302672,470418641,MISCELLANEOUS REVENUE,611710,277866,277866
201423389349300602,630329409,OTHER REVENUE,900099,824005,824005
201423389349300602,630329409,SECURITY SERVICE REVENUE,812900,23400,23400
201423389349300602,630329409,TELEPHONE SERVICE,812900,6636,6636
201403359349300030,160909446,COPY MACHINE INCOME,561439,131724,131724
201403359349300030,160909446,TRAINING FEES,611710,8390,8390
201403359349300030,160909446,MISCELLANEOUS,611710,7017,7017
201403189349307150,141338310,Other,812900,1176736,1176736
201403189349306245,470424785,Other revenue,900099,71437,71437
201403189349307200,742269704,MISCELLANEOUS,900099,1058,1058
201413339349300001,530174589,MISCELLANEOUS,999999,361743,361743
201403219349306900,201612906,MISCELLANEOUS INCOME,531390,7379,7379
201423359349300032,208765327,MISCELLANEOUS,900099,3539,3539
201433189349306488,362167855,PAYMENT PLAN FEES,900099,207040,207040
201433189349306488,362167855,MONTHLY FINANCE CHARGES,900099,150462,150462
201433189349306488,362167855,PARKING AND SECURITY,900099,143199,143199
201413149349301011,232215278,MISCELLANEOUS REVENUE,900099,4019,4019
201413149349301011,232215278,GOVERNMENT ADMIN FEES,900099,1743,1743
201413149349301011,232215278,VENDING & APPAREL COMMISSIONS,900099,1121,1121
201413039349300626,560529972,MISCELLANEOUS,532000,2699198,2560210,138988
201403099349301215,260069167,OTHER,30696,30696
201403099349300925,630771624,REALIZED GAINS ON INVESTMENTS,611310,511707,511707,0,0
201403099349300925,630771624,UNREALIZED GAIN ON INVESTMENTS,611310,1089750,1089750,0,0
201403099349300925,630771624,OTHER INCOME,611310,1375662,1375662,0,0
201403149349302770,362310478,STUDENT PARKING,900099,77957,77957
201403149349302770,362310478,EMPLOYEE PARKING,900099,86395,86395
201403149349302770,362310478,CATERING - FOOD SERVICE,900099,25304,25304
201443079349301744,980149857,RELATED PARTY REIMBURSEMENTS,900099,532800,532800
201443079349301744,980149857,OTHER TRUST INCOME,900099,75000,75000
201443079349301744,980149857,MISCELLANEOUS INCOME,900099,238180,238180
201423029349300927,386080947,CELL TOWER INCOME,517000,12419,12419
201413159349301026,426081293,RESEARCH EXP RECOVERY,900099,511637,511637
201413159349301026,426081293,CAP IMPROV REIMBURSEMENT,900099,307632,307632
201413159349301026,426081293,CAMPUS BASE ADMIN INC,900099,172773,172773
201433169349302723,480543766,ALL OTHER REVENUE,900099,149888,149888
201403149349300005,382812695,Other Revenue,900099,1143,1143
201443159349303059,250965576,Student Special Events,900099,90421,90421,0,0
201443159349303059,250965576,Service Charges on Overdue Accounts,900099,34467,34467,0,0
201443159349303059,250965576,Dormitory Vending Machine Commission,900099,20370,20370,0,0
201423179349304652,136171197,MASTERS PROGRAM TUITION & RELATED FEES,900099,5488322,5488322
201423179349304652,136171197,PARKING GARAGE,812930,2951507,2951507
201423179349304652,136171197,MEDICAL EDUCATION,611710,2037482,2037482
201423179349306192,640329300,AUXILIARY INCOME,900099,3415717,3415717
201423179349306192,640329300,ENDOWMENT INCOME,900099,348434,348434
201423179349306192,640329300,OTHER REVENUES,900099,321381,316487,4894
201433159349300313,620476661,FORT SANDERS NURSING SUPPLEMENT,611600,409650,409650
201433159349300313,620476661,INSURANCE DIVIDENDS/REBATES,900099,90,90
201403119349301525,550788917,MANAGEMENT FEES,31019,31019
201403119349301525,550788917,LICENSING AND ROYALTY INCOME,2369,2369
201403119349301525,550788917,OTHER INCOME,304,304
201403179349306525,591298070,OTHER INCOME,900099,11051,11051
201403179349306665,381359083,PE CENTER USER FEE,713940,84402,84402
201423169349304182,541954969,Management fees,611710,252270,252270
201423169349304182,541954969,Other Income,611600,75,75
201411829349300246,580865852,CONCESSIONS,142,142
201403219349306145,540568200,OTHER,611710,112969,112969
201403189349300045,760796633,RECOVERIES,900099,84,84
201403219349306950,141423161,Other Income,900099,818223,818223,0,0
201403219349307475,274600814,OTHER INCOME,611430,10805,10805
201403219349307960,710236867,MISCELLANEOUS - EXEMPT,216005,216005
201403219349307960,710236867,MISCELLANEOUS - EXCLUDED,114512,114512
201403219349307960,710236867,SIGULER GUFF DISTRESSED R.E.,531390,168,168
201402249349302110,320237828,Other income,900099,19553,19553
201403189349308035,330728290,Other Income,900099,349,349
201403219349308850,230973290,MISCELLANEOUS,900099,521988,521988
201403219349308850,230973290,LAUNDRY VENDING INCOME,900099,11696,11696
201403169349301835,390806325,SUMMER CONFERENCES,721000,434972,434972
201403169349301835,390806325,OTHER INCOME,900099,-188335,-188335
201403179349302875,610444780,FOOD SERVICE,611600,240102,240102
201403179349302875,610444780,PARKING,611600,28583,28583
201403179349302875,610444780,FEES,611600,21340,21340
201403219349309665,650216638,MISCELLANEOUS INCOME,611600,187121,187121
201403219349309665,650216638,SALES TAX COLLECTION,451211,5939,5939
201403219349309665,650216638,ATM INCOME,522100,2163,2163
201403179349303890,830434307,OTHER REVENUE,900099,129297,129297
201403179349303890,830434307,CATERING,722320,82451,82451
201403219349302460,311813143,PARKING REVENUE,812930,7966,7966
201403219349302460,311813143,INSURANCE PROCEEDS,900099,3766,3766
201403149349302850,420730347,CONFERENCE INCOME,900099,115316,115316
201403149349302850,420730347,LEASED EMPLOYEES,541900,98412,98412
201403149349302850,420730347,STUDENT IT EQUIPMENT,900099,74338,74338
201402269349300205,136192377,BAD DEBT RECOVERY,193079,193079
201402269349300205,136192377,NON-CREDIT FEES,82090,82090
201403219349312715,611531458,UNAM - MEXICO SUBSIDY,1741995,1741995
201403219349312715,611531458,OTHER SOURCES,716,716
201403219349305780,112206183,REIMB OF EXPENSES FROM RELATED OR,611519,14109730,14109730
201403219349305780,112206183,REIMBURSED DISPATCHING EXPENSES,611519,380705,380705
201403219349305780,112206183,REIMBURSED MAINTENANCE EXPENSES,611519,193275,193275
201402049349300960,620730291,MISCELLANEOUS,900099,510,510
201413149349301031,461812625,MISCELLANEOUS REVENUE,14645,14645
201413039349300316,231937954,MISCELLANEOUS REVENUE,900099,89956,89956
201413149349301236,570314415,Other Revenue,900099,58513,58513,0,0
201413159349300531,274269892,MISCELLANEOUS INCOME,2129,2129
201412879349300416,381359570,AUXILIARY ACTIVITIES,957434,957434
201412879349300416,381359570,OTHER AUXILIARY AND COMMUNITY,321555,321555
201412879349300416,381359570,GAINS ON INVESTMENTS,-30009,-30009
201412879349300846,410694721,MISCELLANEOUS REVENUE,900099,1635699,1543460,92239
201413159349301816,912120259,REFUNDS,611600,282,282
201413169349303271,370706154,INSURANCE PREM REVENUE,900099,766326,766326
201413169349303271,370706154,STUDENT FEES REVENUE,900099,172940,172940
201413169349303271,370706154,FINES REVENUE,900099,80371,80371
201412889349300111,750891465,Fees,611310,188194,188194,0,0
201412889349300111,750891465,Fines,611310,21600,21600,0,0
201412889349300111,750891465,Refunds,611310,6803,6803,0,0
201423179349305002,010275130,Summer Program Food Sales,722210,29530,29530
201422909349300622,910615846,STUDENT SUPPORT FEES,611710,222338,222338
201422909349300622,910615846,ATHLETIC EVENTS,711210,18599,18599
201423179349305407,610492351,OTHER AUXILIARY INCOME,14170,14170
201423179349305407,610492351,ANNUITY INCOME,2410,2410
201423179349305407,610492351,OTHER INCOME,-53365,-53365
201423169349302382,470553011,MISCELLANEOUS INCOME,900099,9270,9270
201422959349300427,480556726,ACTUARIAL ADJUSTMENT,900099,15383,15383
201423189349307402,420681049,ADVERTISING,541800,248,248
201423179349301647,480559090,OTHER INCOME,611600,64671,64671
201422039349301252,581554537,GRADUATION EVENT,900099,1545,1545
201422039349301252,581554537,MISCELLANEOUS,900099,205,205
201422179349301137,460320561,UNREALIZED GAINS/LOSSE,900099,44669,44669
201421509349300402,202506183,Other Income,350,350
201413219349306826,570324916,Miscellaneous,900099,76618,76618,0,0
201421309349300002,367468174,Rounding Adj,4,4
201413389349300801,741238438,AUXILLARY ENTERPRISES,611310,706021,706021
201413219349309506,116039909,PTR/S CORP GROSS INCOME,148958,148958
201413219349310941,731679393,INTEREST INCOME,37,37
201413219349311906,550753754,Affiliate Transfer,900099,4646085,4646085
201442799349300779,350869063,COLLECTION COSTS RECOVE,900099,20267,20267
201442799349300779,350869063,VENDING,900099,9441,9441
201442949349300349,208434503,OTHER INCOME,541700,2,2
201441769349300834,113358541,Comm. Courses and Rentals
201443019349300859,010543513,MISCELLANEOUS INCOME,900099,182,182
201443019349300859,010543513,SNACK SALES,453000,117,117
201433429349300128,020223339,OTHER REVENUE,200000,200000
201441149349300244,866042458,MISCELLANEOUS,900099,410,410
201441149349300244,866042458,THANKSGIVING DINNER,900099,50,50
201433369349300703,590624459,HEALTH CENTER FEES,621400,662289,0,0,662289
201433369349300703,590624459,PARKING/LIBRARY FINES,900099,253247,253247,0,0
201433369349300703,590624459,FORFEITED DEPOSITS,900099,224300,224300,0,0
201432909349300023,202884155,Other Program Revenue,900099,1364,1364
201433219349312023,752220601,commissions,561520,7643,7643
201433159349302033,451732585,Other Income,900099,150,150
201432829349301033,610510937,OTHER REVENUE,900099,166519,166519
201432829349301033,610510937,SPONSORSHIPS AND COMMISSIONS,711300,24231,24231
201432829349301033,610510937,VEHICLES INCOME,480000,16021,16021
201433159349302513,954559065,OTHER REVENUE,2527,2527
201433119349301433,580685908,Miscellaneous,900099,373722,373722,0,0
201432879349300628,362919340,OTHER REVENUE - EXCLUDED,40289,40289
201432459349300803,461549605,MISCELLANEOUS INCOME,4900,4900
201433169349301138,430471057,FEDERAL FINANCIAL AID REIMBURSEMENT,611710,70210,70210
201433169349301138,430471057,LAPTOP REVENUES,611710,152651,152651
201433169349301138,430471057,STUDENT HOUSING,611710,632369,632369
201433219349308303,541863192,MISCELLANEOUS INCOME,999999,23295,23295
201432889349300313,420680323,K-1 PAXTON/PATTERSON,310000,-77145,-77145
201433359349300038,133459531,MISCELLANEOUS,611600,4410,4410
201443509349301004,275316628,OTHER REVENUE,117,117
201443099349300809,381627600,Contract Income,611310,1811480,1811480,0,0
201443099349300809,381627600,Change in Value Split Interest Agreement,525920,117258,117258,0,0
201443099349300809,381627600,Departmental Income,611710,3444853,3444853,0,0
201443539349301009,450314233,SCHOLARSHIP REVENUES,923105,923105
201443569349300704,231424055,OTHER INCOME,900099,503385,503385
201443219349311239,930999148,OTHER INCOME,611710,2400,2400
201443519349300724,510109178,MISCELLANEOUS INCOME,900099,59872,59872
201443149349302659,800957275,OTHER INCOME,900099,39458,39458
201402879349300145,381443369,changes in split interest agreements,235953,235953
201422959349300417,410795255,Miscellaneous Income,900099,26390,26390
201413499349301156,202951862,OTHER INCOME,451211,7719,7719
201423529349300812,431658069,MISCELLANEOUS,900099,10834,10834
201402949349301055,840600653,INVESTMENT IN DAVIS RANCH,110000,322869,322869
201402949349301055,840600653,MISCELLANEOUS INCOME,531390,5775,5775
201433179349305078,362166964,MISCELLANEOUS REVENUE,900099,384347,384347
201433179349305078,362166964,OTHER REVENUE,900099,16732,2617,14115
201433179349305078,362166964,ROYALTY INCOME-TELEPHONE SERVICE,900099,3428,3428
201431349349302703,630846743,OTHER REIMBURSEMENTS & FEES,5061,5061
