object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt,IdRltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt,IdRltdOrgTxblPrtnrshp_DsprprtntAllctnsInd,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd,IdRltdOrgTxblPrtnrshp_OwnrshpPct
201930659349300838,520591694,WMC CONFERENCE CENTER LP,2 COLLEGE HILL,WESTMINSTER,MD,21157,521698697,HOTEL SERVICES,MD,N/A
201803189349302955,221487258,MEDIPLEX SURGICAL CENTER ASSOCIATION LP,98 JAMES STREET,EDISON,NJ,08820,222846980,REAL ESTATE,NJ,NA
201803189349309990,362739299,ADVANCED IMAGING CENTER LLC,615 VALLEY VIEW DRIVE,MOLINE,IL,61265,364356301,DIAGNOSTIC RADIOLOGY CENTER,IA,TRINITY MEDICAL CENTER,RELATED,233769,1215687,0,1,0.50000
201803189349309990,362739299,ALLEN MEMORIAL HOSPITAL ORTHOPEDIC CO-MANAGEMENT CO LLC,1825 LOGAN AVE,WATERLOO,IA,50703,453237125,ORTHOPEDIC MANAGEMENT & ADMINISTRATIVE SERVICES,IA,N/A
201803189349309990,362739299,CENTRAL IOWA CARDIOVASCULAR CO-MANAGEMENT CO LLC,1200 PLEASANT ST,DES MOINES,IA,50309,273625869,CARDIOVASCULAR MANAGEMENT & ADMINISTRATIVE SERVICES,IA,N/A
201803189349309990,362739299,CENTRAL IOWA ONCOLOGY CO-MANAGEMENT COMPANY,1200 PLEASANT STREET,DES MOINES,IA,50309,453017991,ONCOLOGY MANAGEMENT & ADMINISTRATIVE SERVICES,IA,N/A
201803189349309990,362739299,CENTRAL IOWA PHYSIO LLC,4714 GETTYSBURG ROAD,MECHANICSBURG,PA,17055,364799633,PHYSICAL THERAPY SERVICES,IA,N/A
201803189349309990,362739299,CENTRAL IOWA SURGICAL SERVICES CO-MANAGEMENT CO LLC,1200 PLEASANT ST,DES MOINES,IA,50309,471608704,SURGICAL MANAGEMENT & ADMINISTRATIVE SERVICES,IA,N/A
201803189349309990,362739299,DUBUQUE ENDOSCOPY CENTER LC,1515 DELHI STREET SUITE 500,DUBUQUE,IA,52001,201597161,AMBULATORY SURGERY CENTER,IA,N/A
201803189349309990,362739299,FINLEY DEPT OF SURGERY CO-MGMT CO LLC,350 N GRANDVIEW AVE,DUBUQUE,IA,52001,422808785,SURGERY DEPARTMENT MANAGEMENT SERVICES,IA,N/A
201803189349309990,362739299,HEALTH CARE AFFILIATES OF THE TRI-STATES LLC,350 N GRANDVIEW AVE,DUBUQUE,IA,52001,421428503,PROVIDE ACCESS TO LICENSED SOFTWARE,IA,N/A
201803189349309990,362739299,IOWA DIAGNOSTIC IMAGING AND PROCEDURE CENTER LC,1200 PLEASANT STREET,DES MOINES,IA,50309,030482623,OUTPATIENT DIAGNOSTIC IMAGING,IA,N/A
201803189349309990,362739299,IOWA HEALTH SYSTEM CONTRACTING SERVICES LC,1776 WEST LAKES PKWY 400,WEST DES MOINES,IA,50266,421511142,GROUP PURCHASING,IA,N/A
201803189349309990,362739299,LAKEVIEW SURGERY CENTER LC,1200 PLEASANT STREET,DES MOINES,IA,50309,421516120,SURGERY CENTER,IA,N/A
201803189349309990,362739299,MERITER UW PHYSICIANS CONTRACTING COMPANY LLC,202 SOUTH PARK STREET,MADISON,WI,53715,391998819,HEALTH SERVICES,WI,N/A
201803189349309990,362739299,MISSISSIPPI VALLEY SLEEP DISORDER CENTER LC,3400 DEXTER COURT,DAVENPORT,IA,52807,421489697,MEDICAL LABORATORY SERVICES,IA,TRINITY MEDICAL CENTER,RELATED,8493,464741,0,1,0.51000
201803189349309990,362739299,MMCI ORTHOPEDIC CO-MANAGEMENT COMPANY LLC,221 NE GLEN OAK AVE,PEORIA,IL,61636,461219459,ORTHOPEDIC MANAGEMENT & ADMINISTRATIVE SERVICES,IL,N/A
201803189349309990,362739299,MR ASSOCIATES LLP,1956 1ST AVENUE NE,CEDAR RAPIDS,IA,52402,421260463,OWN AND OPERATE MR UNIT,IA,N/A
201803189349309990,362739299,ORTHOPAEDIC OUTPATIENT SURGERY CENTER LC,1200 PLEASANT STREET,DES MOINES,IA,50309,421508092,AMBULATORY SURGERY CENTER,IA,N/A
201803189349309990,362739299,REHABILITATION THERAPY SERVICES LLC,416 ST MARKS CT 110,PEORIA,IL,61603,810584193,REHABILATION THERAPY,IL,N/A
201803189349309990,362739299,THE OUTPATIENT SURGERY CENTER OF CEDAR RAPIDS LLC,1075 FIRST AVENUE SE,CEDAR RAPIDS,IA,52403,721550812,AMBULATORY SURGERY CENTER.,IA,N/A
201803189349309990,362739299,UPHT-SCA HOLDINGS LLC,569 BROOKWOOD VILLAGE SUITE 901,BIRMINGHAM,AL,35209,473564984,AMBULATORY SURGERY CENTER INVESTMENT,DE,TRINITY MEDICAL CENTER,INVESTMENT,1404240,15879566,0,0,0.51000
201803189349309990,362739299,WEST HOSPITAL ORTHOPEDIC CO-MANAGEMENT COMPANY LLC,1660 60TH STREET,WEST DES MOINES,IA,50266,271414600,ORTHOPEDIC SERVICE LINES MANAGEMENT,IA,N/A
201803189349309990,362739299,WEST LAKES SLEEP CENTER LLC,5950 UNIVERSITY AVENUE SUITE 2,WEST DES MOINES,IA,50266,263193923,SLEEP DISORDER DIAGNOSTIC TESTING FACILITY,IA,N/A
201940929349300439,350867954,HWH Business LP,216 Summerlake Circle,Anderson,IN,46011,352084392,Real estate,IN,Anderson University,Excluded,-176466,1248056,0,0,0.91000
201920609349300512,310840764,1544 CENTRAL PARKWAY LLC,20918 STATE ROUTE 251,ST MARTIN,OH,45118,364787505,"OWNERSHIP, REHABILITATION AND RENTAL OF HISTORIC STRUCTURE",OH,CHATFIELD FM PROPERTY LLC,INVESTMENT,-94,3438181,0,1,0.01000
201813169349302906,390830664,NORTH APPLETON AMBULATORY CARE CENTER BUILDING COMPANY LLC,122 E COLLEGE AVENUE,APPLETON,WI,54911,262497187,RENTAL,WI,N/A
201920899349300207,340714681,MH MANAGER LLC,1 JOHN CARROLL BLVD,UNIVERSITY HEIGHTS,OH,44118,472542966,HOLDINGS,OH,MHH INC,RELATED,311464,18500022,false,0,true,0.98800
201920899349300207,340714681,MH LLC,1 JOHN CARROLL BLVD,UNIVERSITY HEIGHTS,OH,44118,471049178,RENTAL,OH,MH MANAGER LLC,RELATED,14322,31228508,false,false,0.90000
201833169349301343,310785684,Advanced Health Select LLC,1701 Mercy Health Place,CINCINNATI,OH,45237,473666880,Clinically-Integrated Network,OH,NA,N/A
201833169349301343,310785684,NWO Integrated Laboratories Mercy LLC,2200 Jefferson Avenue,Toledo,OH,43624,341898285,Laboratory services,OH,NA,N/A
201833169349301343,310785684,Tiffin Ambulatory Surgical Associates,45 St Lawrence Drive,Tiffin,OH,44833,371567866,Ambulatory Surgery Center,OH,NA,N/A
201833169349301343,310785684,New Vision Medical Lab LLC,750 W High Street,Lima,OH,45801,341913433,Lab Services,OH,NA,N/A
201833169349301343,310785684,West Central Ohio Group Ltd,801 Medical Drive,Lima,OH,45804,341848147,Orthopedic Hospital,OH,NA,N/A
201833169349301343,310785684,Kidney Services of West Central Ohio,750 W High Street Suite 100,Lima,OH,45801,061644264,Dialysis Center,OH,NA,N/A
201833169349301343,310785684,West Central Ohio Regional Healthcare Alliance Ltd,2615 Fort Amanda Road,Lima,OH,45805,341817078,Healthcare quality,OH,NA,N/A
201833169349301343,310785684,Urologic Oncology of Mahoning Valley LLC,1044 Belmont Ave,Youngstown,OH,44501,262989686,Radiation Therapy,OH,NA,N/A
201833169349301343,310785684,OSC-HMHP LLC,6505 Market St Bldg B Ste 101,Boardman,OH,44512,010724836,Orthopedic Surgery Center,OH,NA,N/A
201833169349301343,310785684,Lourdes Ambulatory Surgery Center,225 Medical Center Drive,Paducah,KY,42003,205588350,Surgery Center,KY,NA,N/A
201833169349301343,310785684,Marshall County MRI LLC,615 Old Symsonia Road,Benton,KY,42025,610601267,MRI facility,KY,NA,N/A
201833169349301343,310785684,PREMIUM SURGERY CENTER LLC,5217 Maryland Way,SUITE 200,Brentwood,TN,37027,200400753,Surgery Center,TN,NA,N/A
201833169349301343,310785684,MERCY HEALTH INNOVATIONS LLC,1701 MERCY HEALTH PLACE,CINCINNATI,OH,45237,820639499,BUSINESS DEVELOPMENT,OH,NA,N/A
201912279349301841,640306253,BAPTIST-DESOTO SURGERY CENTER,310 SEVEN SPRINGS WAY SUITE 500,BRENTWOOD,TN,37027,200804946,AMBULATORY SURGERY,MS,N/A
201912279349301841,640306253,BAPTIST-EAST MEMPHIS SURGERY CENTER,80 HUMPHREYS CENTER STE 101,MEMPHIS,TN,38120,621846584,AMBULATORY SURGERY,TN,N/A
201912279349301841,640306253,BAPTIST-GERMANTOWN SURGERY CENTER LP,310 SEVEN SPRINGS WAY SUITE 500,BRENTWOOD,TN,37027,621829424,AMBULATORY SURGERY,TN,N/A
201912279349301841,640306253,BAPTIST MEMORIAL REHABILITATION HOSPITAL GP,680 FOURTH STREET,LOUISVILLE,KY,40202,461613457,REHABILITATION SERVICES,TN,N/A
201912279349301841,640306253,BAPTIST N MS IMAGING SERVICES LLC,504 AZALEA DR,OXFORD,MS,38655,262641267,DIAGNOSTIC SERVICES,MS,N/A
201912279349301841,640306253,BAPTIST OUTPATIENT IMAGING LLC,1107 HIGHLAND COLONY PKWY STE 209,RIDGELAND,MS,39157,452968057,DIAGNOSTIC SERVICES,MS,MISSISSIPPI BAPTIST HEALTH SYSTEMS INC,RELATED,864643,1436116,0,0,0.51000
201912279349301841,640306253,BAPTIST & PHYSICIANS OUTPATIENT SURGERY CENTER OF N MS,310 SEVEN SPRINGS WAY SUITE 500,BRENTWOOD,TN,37027,640925692,AMBULATORY SURGERY,MS,N/A
201912279349301841,640306253,BAPTIST STERN CARDIOVASCULAR CO-MANAGEMENT LLC,350 N HUMPHREYS BLVD,MEMPHIS,TN,381202177,820605766,MEDICAL MANAGEMENT,TN,N/A
201912279349301841,640306253,BAPTIST - UCH INSTITUTE FOR PLASTIC AND RECONSTRUCTIVE SURGERY LLC,350 N HUMPHREYS BLVD,MEMPHIS,TN,381202177,821046465,MEDICAL MANAGEMENT,TN,N/A
201912279349301841,640306253,BRAIN AND SPINE NETWORK BAPTIST SEMMES-MURPHEY LLC,350 N HUMPHREYS BLVD,MEMPHIS,TN,381202177,475240436,MEDICAL MANAGEMENT,TN,N/A
201912279349301841,640306253,CANCER CARE CENTER OF UNION CITY LP,322 HOSPITAL BLVD,JACKSON,TN,38305,263425045,CANCER CARE SERVICES,TN,N/A
201912279349301841,640306253,EAST MEMPHIS UROLOGY CENTER LP,310 SEVEN SPRINGS WAY SUITE 500,BRENTWOOD,TN,37027,621810940,AMBULATORY UROLOGICAL SERVICES,TN,N/A
201912279349301841,640306253,MAYS & SCHNAPP PAIN CENTER,55 HUMPHREYS CENTER STE 200,MEMPHIS,TN,38120,621512849,PAIN MANAGEMENT SERVICES,TN,N/A
201912279349301841,640306253,NORTHWEST TN SURGERY CENTER LLC,1722 E REELFOOT,UNION CITY,TN,38261,621685508,AMBULATORY SURGERY,TN,N/A
201912279349301841,640306253,PRIMARY CARE PROPERTIES II,2859 VAN LEER DR,MEMPHIS,TN,38133,621774052,MEDICAL OFFICE BUILDING,TN,N/A
201912279349301841,640306253,WEST TENNESSEE IMAGING LLC,840 CRESCENT CENTRE DR SUITE 200,FRANKLIN,TN,37067,901022012,MEDICAL SERVICES,TN,N/A
201912279349301841,640306253,DOWNTOWN FITNESS LLC,100 EAST CAPITOL STREET SUITE 107,JACKSON,MS,39201,611852202,FITNESS CENTER,MS,N/A
201942279349303564,540506332,Franklin County Ventures LLC,PO Box 12385,Roanoke,VA,24025,474365316,Real estate,VA,Carilion Clinic,Related,2530,39466,0,0,0.10000
201942279349303564,540506332,Carilion Clinic Medicare Shared Savings Company LLC,PO Box 12385,Roanoke,VA,24025,455235473,Medicare HMO,VA,Carilion Clinic,Related,2500000,2500000,0,0,0.50000
201942279349303564,540506332,Community Medical Associates LLP,PO Box 12385,Roanoke,VA,24025,541517662,Real estate,VA,Carilion Clinic,Related,492597,707131,0,0,0.47300
201922259349301202,060646554,SHORELINE ENDOSCOPY CENTER LLC,800 BOSTON POST ROAD,GUILFORD,CT,06437,900110459,HEALTHCARE SERVICES,CT,N/A
201922259349301202,060646554,SSC II LLC - TECHNICAL TERMINATED ON 1217,111 GOOSE LANE,GUILFORD,CT,06437,261709382,HEALTHCARE SERVICES,CT,N/A
201922259349301202,060646554,ORTHOPAEDIC & NEUROSURGERY CENTER - DISSOLVED ON 518,55 HOLLY HILL LANE,GREENWICH,CT,06830,273477197,HEALTHCARE SERVICES,CT,N/A
201922259349301202,060646554,TOTAL HEALTH CONNECTICUT LLC,789 HOWARD AVENUE,NEW HAVEN,CT,06519,474070024,HEALTHCARE SERVICES,CT,N/A
201922259349301202,060646554,YALE NEW HAVEN HEALTH SYSTEM INVESTMENT,20 YORK STREET,NEW HAVEN,CT,06510,271374301,INVESTMENT,DE,N/A
201922259349301202,060646554,YNHHSCUSP SURGERY CENTERS LLC,15305 DALLAS PKWY STE 1600,ADDISON,TX,75001,384021595,HEALTHCARE SERVICES,TX,N/A
201912259349302266,362167060,Ravine Way Surgery Center LLC,2401 Ravine Way,Glenview,IL,60025,201245279,Healthcare,IL,NorthShore University HealthSystem,Related,418960,976626,false,0,true,0.285
201912259349302266,362167060,HPMOB Limited Partnership,1301 Central Street,Evanston,IL,60201,363497502,Healthcare,IL,NorthShore University HealthSystem,Excluded,99009,118875,false,0,true,0.3482
201922259349300417,060646652,SHORELINE ENDOSCOPY CENTER LLC,800 BOSTON POST ROAD,GUILFORD,CT,06437,900110459,HEALTHCARE SERVICES,CT,N/A
201922259349300417,060646652,SSC II LLC - TECHNICAL TERMINATION ON 1217,111 GOOSE LANE,GUILFORD,CT,06437,261709382,HEALTHCARE SERVICES,CT,N/A
201922259349300417,060646652,ORTHOPAEDIC & NEUROSURGERY CENTER - DISSOLVED ON 518,55 HOLLY HILL LANE,GREENWICH,CT,06830,273477197,HEALTHCARE SERVICES,CT,N/A
201922259349300417,060646652,TOTAL HEALTH CONNECTICUT LLC,789 HOWARD AVENUE,NEW HAVEN,CT,06519,474070024,HEALTHCARE SERVICES,CT,N/A
201922259349300417,060646652,YALE NEW HAVEN HEALTH SYSTEM INVESTMENT,20 YORK STREET,NEW HAVEN,CT,06510,271374301,INVESTMENT,DE,YALE NEW HAVEN HEALTH SERVICES CORPORATION,RELATED,139017225,1585798230,0,0,0.82800
201922259349300417,060646652,YNHHSCUSP SURGERY CENTERS LLC,15305 DALLAS PKWY STE 1600,ADDISON,TX,75001,384021595,HEALTHCARE SERVICES,CT,N/A
201932259349300543,060646768,New Britain MRI Limited Partnership,100 Grand St,New Britain,CT,06050,061271349,Magnetic Resonance Imaging,CT,CenConn Services Inc,Related,2537764,-134141,0,0,0.43430
201932259349300543,060646768,Ambulance Service of Manchester LLC,PO Box 300,Manchester,CT,064500300,061557358,Ambulatory Services,CT,N/A
201932259349300543,060646768,Connecticut Imaging Partners LLC,111 Founders Plaza,East Hartford,CT,06108,134298940,Imaging Services,CT,N/A
201932259349300543,060646768,Glastonbury Endoscopy Center LLC,300 Western Blvd Suite B,Glastonbury,CT,06033,261721234,Endoscopy Services,CT,N/A
201932259349300543,060646768,Glastonbury Surgery Center LLC,195 Eastern Blvd,Glastonbury,CT,06033,262600828,Surgery Services,CT,N/A
201932259349300543,060646768,Hartford-Middlesex Clinical System LLC,80 Seymour Street,Hartford,CT,06102,061543605,Affiliate Support Services,CT,N/A
201932259349300543,060646768,Med East Assoc LLC,1703 West Main Street,Willimantic,CT,06226,061469575,Outpatient Care Clinic,CT,N/A
201932259349300543,060646768,Omni Home Health Services E CT LLC,12 Case Street 317,Norwich,CT,06360,061458837,Home Care Services,CT,N/A
201932259349300543,060646768,HHC Southington Surgery Center LLC,100 Avon Meadow Lane PO Box 1281,Avon,CT,06001,465500829,Surgery Services,CT,The Hospital of Central Connecticut,Related,1652390,538125,0,0,0.26000
201932259349300543,060646768,Constitution Surgery Center East LLC,174 Cross Road,Waterford,CT,06385,061574704,Surgery Services,CT,N/A
201932259349300543,060646768,CT GI Endoscopy Center LLC,4 Northwestern Drive,Bloomfied,CT,06002,061573358,GI Services,CT,N/A
201932259349300543,060646768,HHC Hartford Surgery Center LLC,100 Avon Meadow Lane,Avon,CT,06001,812637261,Surgery Services,CT,N/A
201932259349300543,060646768,HHC Urgent Care Go Health LLC,2711 Centerville Road Suite 400,Willmington,DE,19808,815112698,Urgent Care Services,DE,N/A
201932259349300543,060646768,Wallingford Endoscopy Center LLC,85 Seymour Street Suite 1000,Hartford,CT,06106,824601730,Endoscopy Services,CT,N/A
201932259349300543,060646768,Central Connecticut Endoscopy Center,440 New Britain Avenue,Plainville,CT,06062,141855010,Endoscopy Services,CT,The Hospital of Central Connecticut,Related,37392,442637,0,0,0.51000
201932259349300543,060646768,Urology Center of NW CT LLC,538 Litchfield Street,Torrington,CT,06790,582674029,Equipment Rental,CT,N/A
201932259349300543,060646768,The Endoscopy Center of Northwest Connecticut LLC,245 Alvord Park Road,Torrington,CT,06790,061609993,Endoscopy Services,CT,N/A
201932259349300543,060646768,Advanced Medical Imaging of NW CT LLC,57 Commercial Blvd,Torrington,CT,06790,061594854,Magnetic Resonance Imaging,CT,N/A
201932259349301218,060646966,New Britain MRI Limited Partnership,100 Grand Street,New Britain,CT,06050,061271349,Magnetic Resonance Imaging,CT,N/A
201932259349301218,060646966,Ambulance Service of Manchester LLC,PO Box 300,Manchester,CT,06450,061557358,Ambulatory Services,CT,N/A
201932259349301218,060646966,Connecticut Imaging Partners LLC,111 Founders Plaza,East Hartford,CT,06108,134298940,Imaging Services,CT,N/A
201932259349301218,060646966,Glastonbury Endoscopy Center LLC,300 Western Blvd Suite B,Glastonbury,CT,06033,261721234,Endoscopy Services,CT,N/A
201932259349301218,060646966,Glastonbury Surgery Center LLC,195 Eastern Boulevard,Glastonbury,CT,06033,262600828,Surgery Services,CT,N/A
201932259349301218,060646966,Hartford-Middlesex Clinical System LLC,80 Seymour Street,Hartford,CT,06110,061543605,Affiliate Support Services,CT,N/A
201932259349301218,060646966,Med-East Assoc LLC,1703 West Main Street,Willimantic,CT,06226,061469575,Outpatient Care Clinic,CT,N/A,Related,-47898,134038,0,0,0.50000
201932259349301218,060646966,Urology Center of NW CT LLC,538 Litchfield Street,Torrington,CT,06790,582674029,Equipment Rental,CT,N/A
201932259349301218,060646966,HHC Southington Surgery Center LLC,100 Avon Meadow Lane,Avon,CT,06001,465500829,Surgery Services,CT,N/A
201932259349301218,060646966,Constitution Surgery Center,174 Cross Road,Waterford,CT,06385,061574704,Surgery Services,CT,N/A
201932259349301218,060646966,CT GI Endoscopy Center LLC,4 Northwestern Drive,Bloomfield,CT,06002,061573358,GI Services,CT,N/A
201932259349301218,060646966,HHC Hartford Surgery Center LLC,100 Avon Meadow Lane,Avon,CT,06001,812637261,Surgery Services,CT,N/A
201932259349301218,060646966,HHC Urgent Care Go Health LLC,2711 Centerville Road Suite 400,Willmington,DE,19808,815112698,Urgent Care,DE,N/A
201932259349301218,060646966,Wallingford Endoscopy Center LLC,85 Seymout Street Suite 1000,Hartford,CT,06106,824601730,Endoscopy Services,CT,N/A
201932259349301218,060646966,Central Connecticut Endoscopy Center,440 New Britain Avenue,Plainville,CT,06062,141855010,Endoscopy Services,CT,N/A
201932259349301218,060646966,Advanced Medical Imaging of NW Ct LLC,57 Commercial Blvd,Torrington,CT,06790,061594854,Magnetic Resonance Imaging,CT,N/A
201932259349301218,060646966,The Endoscopy Center of Northwest Connecticut LLC,245 Alvord Park Road,Torrington,CT,06790,061609993,Endoscopy Services,CT,N/A
201932259349301218,060646966,Omni Home Health Services E CT LLC dba Backus Home HealthCare,Case Street 317,Norwich,CT,06860,061458837,Home Health Care,CT,N/A
201833139349301403,540506331,MANAGEMENT SERVICES LLC,814 GREENBRIER CIRCLE,CHESAPEAKE,VA,23320,541365012,HLTH MGT SV,VA,N/A
201833139349301403,540506331,OBICI REAL ESTATE HOLDINGS LLC,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,261749881,RE RENTAL,VA,N/A
201833139349301403,540506331,PRINCESS ANNE AMB SURG MGT LLC,1975 GLENN MITCHELL STE 300,VA BEACH,VA,23456,204920880,HEALTH CARE,VA,N/A
201833139349301403,540506331,VA BEACH AMBULATORY SURGERY CENTER,1700 WILL O WISP DRIVE,VA BEACH,VA,23454,541448218,HEALTH CARE,VA,N/A
201833139349301403,540506331,CANCER CENTERS OF VA LLC,5900 LAKE WRIGHT DRIVE,NORFOLK,VA,23502,201338518,HEALTH CARE,VA,N/A
201833139349301403,540506331,HAMPTON ROADS LITHOTRIPSY LLC,225 CLEARFIELD AVE,VIRGINIA BEACH,VA,23462,200942600,HEALTH CARE,VA,N/A
201833139349301403,540506331,RADIOLOGY SERVICES OF HAMPTON ROADS LC,814 GREENBRIER CIRCLE STE L,CHESAPEAKE,VA,23320,541774472,HEALTH CARE,VA,N/A
201833139349301403,540506331,SENTARA OBICI AMBULATORY SURGERY LLC,2750 GODWIN BLVD,SUFFOLK,VA,23434,260144898,HEALTH CARE,VA,N/A
201833139349301403,540506331,ST LUKES PROPERTIES LLC,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,272774684,MOB RENTAL,VA,N/A
201833139349301403,540506331,POTOMAC INOVA HEALTHCARE ALLIANCE LLC,8110 GATEHOUSE RD STE 400W,FALLS CHURCH,VA,22042,541802733,HEALTHCARE,VA,N/A
201833139349301403,540506331,ORTHOPAEDIC HOSPITAL MANAGEMENT LLC,3000 COLISEUM DRIVE,HAMPTON,VA,23666,274185117,MGT SVCS,VA,N/A
201833139349301403,540506331,CAREPLEX ORTHOPAEDIC ASC LLC,3000 COLISEUM DRIVE,HAMPTON,VA,23666,271867311,HEALTH CARE,VA,N/A
201833139349301403,540506331,PHYSICAL THERAPY ACACLLC,501 ALBEMARLE SQUARE,CHARLOTTESVILLE,VA,22901,260080717,HEALTH CARE,VA,N/A
201833139349301403,540506331,MNS SUPPLY CHAIN NETWORK LLC,11525 N COMMUNITY HOUSE RD STE 450,CHARLOTTE,NC,28277,454235238,GPO,DE,N/A
201833139349301403,540506331,LAKE RIDGE AMBULATORY SURGERY CENTER LLC,12825 MINNIEVILLE RD STE 204,WOODBRIDGE,VA,22192,455347932,HEALTH CARE,VA,N/A
201833139349301403,540506331,ALETA HEALTH LLC,2300 OPITZ BLVD,WOODBRIDGE,VA,22191,465661314,MSO,DE,N/A
201833139349301403,540506331,OPACC I LLC,18000 W SARAH LANE SUITE 250,BROOKFIELD,WI,53045,392021431,RE RENTAL,WI,N/A
201833139349301403,540506331,MEDSTREAMING LLC,9840 WILLOWS ROAD NE SUITE 200,REDMOND,WA,98052,451573625,SOFTWARE DEV,WA,N/A
201833139349301403,540506331,HIGHLAND CORE FIXED INCOME FUND,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474618533,POOLED INV FD,DE,N/A
201833139349301403,540506331,HIGHLAND EQUITY FUND,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474606269,POOLED INV FD,DE,N/A
201833139349301403,540506331,HIGHLAND PUBLIC INFLATION HEDGES FD,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474601867,POOLED INV FD,DE,N/A
201902279349301575,953432210,SOUTHERN CA RADIATION ONCOLOGY,PO BOX 819067,DALLAS,TX,75381,MGMT SERVICES,CA,NA,N/A
