object_id,ein,BsnssNmLn1Txt,TrnsctnTxt,MthdOfAmntDtrmntnTxt
201900799349300340,540505922,Historic Sandusky Foundation Inc,o,43782,The University shares a paid faculty position with Historic Sandusky. This faculty member is the Director of Historic Sandusky and also teaches courses at the University. We estimate that 75% of the Director's salary should be considered a transaction with the related organization. This transaction amount represents 75% of the Director's salary.
201900809349300240,030482006,AVE MARIA UNIVERSITY LAND TRUST INC,S,2577000,FMV
201910889349300616,042111203,Jonas Realty Corp,b,80000,Value of assets transferred as a capital contribution.
201910889349300616,042111203,Jonas Realty Corp,d,9700000,Original principal on four loans.
201910889349300616,042111203,Jonas Realty Corp,k,182000,Negotiated rate-deemed fair market value.
201910749349300116,941021164,Fresno Pacific University Foundation,C
201910749349300116,941021164,Fresno Pacific University Foundation,K
201910749349300116,941021164,Fresno Pacific University Foundation,N
201910749349300116,941021164,Fresno Pacific University Foundation,O
201910749349300116,941021164,Fresno Pacific University Foundation,Q
201910749349300116,941021164,MBBS-US Inc,N
201930639349300998,956002998,VANGUARD UNIVERSITY FOUNDATION,C,385822,CASH
201930639349300998,956002998,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF THE ASSEMBLIES OF GOD,C,66670,CASH
201930679349301138,390833608,Concordia University Wisconsin Foundation,m,395691,"Form 990, Part IX, Col. D"
201930679349301138,390833608,Concordia University Wisconsin Foundation,n,295189,"Form 990, Part IX, Col. D"
201930679349301138,390833608,Concordia University Wisconsin Foundation,o,2211184,"Form 990, Part IX, Col. D"
201930679349301138,390833608,Concordia University Wisconsin Foundation,s,70675,"Form 990, Part IX, Col. D"
201921009349300802,951684793,The Westmont College Foundation,c,48926,The Foundation board determines the amount to transfer to the college.
201900929349300835,250965430,Mercyhurst College Ireland,p,106434,Actual Cost of Educational Programs
201900929349300910,390808497,BELOIT POWERHOUSE LLC,B,531,FMV
201900929349300910,390808497,POWERHOUSE MASTER TENANT LLC,B,16398,FMV
201900929349300910,390808497,BELOIT POWERHOUSE HOLDINGS INC,B,265511,FMV
201900929349300910,390808497,BELOIT POWERHOUSE HOLDINGS II LLC,B,5044181,FMV
201920849349300032,390806154,SCHOOL SISTERS OF NOTRE DAME,C,11250,ACTUAL COST
201910889349300401,231352641,GETTYSBURG HOTEL INVESTORS LP,A,420529,FMV
201910889349300401,231352641,GETTYSBURG HOTEL INVESTORS LP,D,7668552,FMV
201910889349300401,231352641,EMPLOYER-CONTRIBUTION VEBA TRUST,R,293240,FMV
201910889349300401,231352641,BULLET LAND INC,S,1150000,FMV
201920169349300722,233069199,COMMUNITY SERVICE FOUNDATION,L,259440
201920169349300722,233069199,COMMUNITY SERVICE FOUNDATION,D,72896
201920169349300722,233069199,BUXMONT ACADEMY,K,80400
201920169349300722,233069199,BUXMONT ACADEMY,L,262080
201920169349300722,233069199,BUXMONT ACADEMY,E,603751
201920169349300722,233069199,BUXMONT ACADEMY,D,1392
201920949349300927,520591661,MICA GRADUATE STUDIO CENTER INC,d,3143884,COST
201920949349300927,520591661,MICA Graduate Studio Center Inc,K,679633,COST
201910929349300631,951643992,BRANDMAN UNIVERSITY,d,9615845,LOAN BALANCE
201910929349300631,951643992,BRANDMAN UNIVERSITY,e,371315713,LOAN BAL GUTY
201910929349300631,951643992,BRANDMAN UNIVERSITY,l,257273,TUITION WAIVED
201910929349300631,951643992,BRANDMAN UNIVERSITY,m,223133,TUITION WAIVED
201910929349300631,951643992,BRANDMAN UNIVERSITY,n,276730,FMV SHARED SVS
201910929349300631,951643992,BRANDMAN UNIVERSITY,o,160828,FMV SHARED SVS
201910929349300631,951643992,BRANDMAN UNIVERSITY,q,250815,EXP AMOUNT PAID
201930929349300113,381308480,WALSH COLLEGE FOUNDATION,C,830293,CASH TRANSACTION
201920529349300302,390988997,Shepherds Foundation Inc,C
201920529349300302,390988997,Shepherds Foundation Inc,M
201920529349300302,390988997,Shepherds Foundation Inc,N
201920529349300302,390988997,Shepherds Foundation Inc,O
201901009349300730,900394713,The Chicago School - Washington DC Inc,Q,6445331,Actual
201901009349300730,900394713,The Chicago School - Washington DC Inc,R,2100000,Actual
201901009349300730,900394713,The Chicago School - Washington DC Inc,S,9605726,Actual
201901009349300730,900394713,The Chicago School of Professional Psychology,Q,22306994,Actual
201901009349300730,900394713,The Chicago School of Professional Psychology,R,5725000,Actual
201901009349300730,900394713,The Chicago School of Professional Psychology,S,34113250,Actual
201901009349300730,900394713,TCSPP Counseling Centers,Q,279300,Actual
201901009349300730,900394713,TCSPP Counseling Centers,R,435472,Actual
201901009349300730,900394713,TCSPP Counseling Centers,S,207,Actual
201901009349300730,900394713,Pacific Oaks Education Corporation,R,1000000,Actual
201901009349300730,900394713,Pacific Oaks Education Corporation,S,1000000,Actual
201901009349300730,900394713,Saybrook University,R,2550000,Actual
201901009349300730,900394713,Saybrook University,S,2550000,Actual
201901009349300800,942155109,The Chicago School - California Inc,R,2550000,Actual
201901009349300800,942155109,The Chicago School - California Inc,S,2550000,Actual
201930869349300018,581216007,Life University Inc,b,4247479,Acutal
201930869349300018,581216007,Life University Inc,j,268912,Actual
201930869349300018,581216007,Life University Inc,l,0,Actual
201930869349300018,581216007,Life University Inc,o,863477,Actual
201930869349300018,581216007,Life University Inc,q,478406,Actual
201940949349300419,570324906,South Carolina Baptist Convention,C
201930949349300733,570474291,South Carolina Baptist Convention,C,0
201930949349300733,570474291,Charleston Interstate Development Corp,D,8756408,Fair market value
201930949349300733,570474291,Charleston Interstate Development Corp,O,0
201910679349300516,208384273,VERMONT COLLEGE OF FINE ARTS FOUNDATION INC,B,443087,FMV
201911019349300506,042620216,M GORMAN PSYCHOLOGY ASSOCIATES INC,L,970387,BOOK VALUE
201911019349300506,042620216,TEACHERS21 INC,M,8277,BOOK VALUE
201911019349301001,480730814,MidAmerica Nazarene University Foundation,C
201911019349301001,480730814,MidAmerica Nazarene University Foundation,E
201911019349301001,480730814,MidAmerica Nazarene University Foundation,M
201911019349301001,480730814,MidAmerica Nazarene University Foundation,N
201911019349301001,480730814,MidAmerica Nazarene University Foundation,O
201911019349301001,480730814,MidAmerica Nazarene University Foundation,Q
201911019349301001,480730814,MidAmerica Nazarene University Foundation,S
201930809349300813,135562314,PACE UNIVERSITY FUND LP,1C,37844686,BOOK
201930739349300018,530196583,ALBERT E FARONE & ANGELA T FARONE FOUNDATION,c,794900,SCHOLARSHIPS AWARDED TO UNIVERSITY STUDENTS
201930739349300018,530196583,ALBERT E FARONE & ANGELA T FARONE FOUNDATION,q,658280,REIMBURSEMENT FOR PAYMENT OF EXPENSE
201900579349301350,540505892,E&H STATE INVESTOR LLC,a-i,30000
201900579349301350,540505892,E&H MASTER TENANT LLC,k,1045000
201900579349301350,540505892,E&H LANDLORD LLC,j,1045000
201900579349301350,540505892,E&H MASTER TENANT LLC,j,1055200
201900579349301350,540505892,E&H MASTER TENANT LLC,a-i,39375
201910329349301001,542052107,ACADEMIC PRIMARY CARE ASSOCIATESLLC,1O,1034138,FMV
201910329349301001,542052107,ACADEMIC PRIMARY CARE ASSOCIATESLLC,1P,295150,FMV
201910329349301001,542052107,ACADEMIC PRIMARY CARE ASSOCIATESLLC,1J,230154,FMV
201910329349301001,542052107,ACADEMIC PRIMARY CARE ASSOCIATESLLC,1B,985683,FMV
201910329349301001,542052107,HARVEY W PETERS (VA) HOLDING CORPORATION,1K,1215500,FMV
201910329349301001,542052107,ViASTAR,1Q,68113,FMV
201910329349301001,542052107,ViASTAR,1B,100000,FMV
201803199349303295,111631796,MSO OF KINGS COUNTY LLC,P,6185002,COST
201803199349303295,111631796,NEWYORK-PRESBYTERIAN HOSPITAL,m,26077499,COST
201803199349303295,111631796,BROOKLYN RADIOLOGY SERVICES PC,m,2998355,COST
201803199349303295,111631796,PARK SLOPE EMERGENCY PHYSICIANS PC,m,3621324,COST
201803199349303295,111631796,NETWORK RECOVERY SERVICES INC,M,1235303,COST
201803199349303295,111631796,BROOKLYN FOOT & ANKLE PC,O,376146,COST
201803199349303295,111631796,BROOKLYN FOOT & ANKLE PC,Q,252630,COST
201803199349303295,111631796,BROOKLYN DENTAL SERVICES PC,O,229878,COST
201803199349303295,111631796,BROOKLYN DENTAL SERVICES PC,Q,258587,COST
201803199349303295,111631796,BROOKLYN DENTAL SERVICES PC,C,80073,COST
201803199349303295,111631796,PARK SLOPE EMERGENCY SERVICES PC,Q,3318997,COST
201803199349303295,111631796,PARK SLOPE EMERGENCY SERVICES PC,O,14477531,COST
201803199349303295,111631796,PARK SLOPE HEMATOLOGY & ONCOLOGY PC,C,119609,COST
201803199349303295,111631796,PARK SLOPE HEMATOLOGY & ONCOLOGY PC,Q,1055958,COST
201803199349303295,111631796,KINGS PHYSICIAN SERVICES PC,Q,8882168,COST
201803199349303295,111631796,ROGOSIN institute,j,341295,cost
201803199349303295,111631796,PARK SLOPE MEDICAL SERVICES PC,C,1266304,COST
201803199349303295,111631796,PARK SLOPE MEDICAL SERVICES PC,O,9404391,COST
201803199349303295,111631796,PARK SLOPE MEDICAL SERVICES PC,Q,2688615,COST
201803199349303295,111631796,PARK SLOPE OBSTETRIC & GYNECOLOGY PC,C,1063954,COST
201803199349303295,111631796,PARK SLOPE OBSTETRIC & GYNECOLOGY PC,O,6975668,COST
201803199349303295,111631796,PARK SLOPE OBSTETRIC & GYNECOLOGY PC,Q,3466639,COST
201803199349303295,111631796,PARK SLOPE MEDICINE PC,O,20732655,COST
201803199349303295,111631796,PARK SLOPE MEDICINE PC,Q,7642998,COST
201803199349303295,111631796,PARK SLOPE MEDICINE PC,C,1569496,COST
201803199349303295,111631796,PARK SLOPE PATHOLOGY SERVICES PC,Q,316063,COST
201803199349303295,111631796,PARK SLOPE PATHOLOGY SERVICES PC,O,1296426,COST
201803199349303295,111631796,PARK SLOPE PEDIATRIC MEDICINE PC,C,492775,COST
201803199349303295,111631796,PARK SLOPE PEDIATRIC MEDICINE PC,O,4871461,COST
201803199349303295,111631796,PARK SLOPE PEDIATRIC MEDICINE PC,Q,1530654,COST
201803199349303295,111631796,PARK SLOPE PHYSICIAN SERVICES PC,C,449159,COST
201803199349303295,111631796,PARK SLOPE PHYSICIAN SERVICES PC,O,14407813,COST
201803199349303295,111631796,PARK SLOPE PHYSICIAN SERVICES PC,Q,10357654,COST
201803199349303295,111631796,BROOKLYN RADIOLOGY SERVICES PC,O,6357995,COST
201803199349303295,111631796,BROOKLYN RADIOLOGY SERVICES PC,Q,560802,COST
201803199349303295,111631796,PARK SLOPE HEMATOLOGY & ONCOLOGY PC,O,3489009,cost
201803199349303295,111631796,new york presbyterian healthcare system Inc,m,597614,cost
201803199349303295,111631796,new york presbyterian healthcare system Inc,c,41000,cost
201803199349303295,111631796,KINGS PHYSICIAN SERVICES PC,C,1854002,COST
201803199349303295,111631796,KINGS PHYSICIAN SERVICES PC,O,231964,COST
201803199349303295,111631796,NEW YORK PRESBYTERIAN HOSPITAL,e,327000000,COST
201803199349303295,111631796,NEW YORK PRESBYTERIAN HOSPITAL,R,14622532,COST
201803199349303295,111631796,PARK SLOPE MEDICINE PC,J,599005,COST
201803199349303295,111631796,PARK SLOPE OBSTETRICS & GYNECOLOGY PC,J,345840,COST
201803199349303295,111631796,PARK SLOPE MEDICAL SERVICES PC,J,337150,COST
201803199349303295,111631796,PARK SLOPE HEMATOLOGY & ONCOLOGY PC,J,465795,COST
201803199349303295,111631796,PARK SLOPE PEDIACTRIC MEDICINE PC,J,282590,COST
201803199349303295,111631796,PARK SLOPE PATHOLOGY SERVICES PC,J,19800,COST
201803199349303295,111631796,PARK SLOPE PHYSICIAN SERVICES PC,J,843095,COST
201803199349303295,111631796,BROOKLYN DENTAL SERVICES PC,J,109560,COST
201931009349300243,750926755,UD PROPERTY MANAGEMENT CORPORATION,S,17717535,CASH VALUE
201910919349300611,340714818,FOUNDATION MARIA THRON-PAYMENTS FOR FACILITY USE,K,9484,FMV
201910919349300611,340714818,KARTAUSENBETRIEBSGMBH & CO NFG - PAYMENTS FOR FACILITY USE,K,1048304,FMV
201910919349300611,340714818,KARTAUSENBETRIEBSGMBH & CO NFG - PAYMENT FOR FOOD SERVICES,M,608163,FMV
201910919349300611,340714818,FOUNDATION MARIA THRON-SUPPORT PAYMENTS,B,1042446,FMV
201833189349304138,363196629,Advocate Health & Hospitals Corp,1-B,75000000,COST
201833189349304138,363196629,Hispanocare Inc,1-B,150000,COST
201833189349304138,363196629,ADVOCATE CHARITABLE FOUNDATION,1-C,5102072,COST
201833189349304138,363196629,ADVOCATE HEALTH & HOSPITALS CORP,1-J,800197,COST
201833189349304138,363196629,Advocate Health & Hospitals Corp,1-L,1091461,COST
201833189349304138,363196629,Advocate Health & Hospitals Corp,1-M,67818727,COST
201833189349304138,363196629,Advocate Health & Hospitals Corp,1-P,77992251,COST
201833189349304138,363196629,ADVOCATE HEALTH & HOSPITALS CORP,1-Q,42936515,COST
201833189349304138,363196629,ADVOCATE HEALTH & HOSPITALS CORP,1-R,5847664,COST
201833189349304138,363196629,Advocate Health & Hospitals Corp,1-S,13380136,COST
201833189349304138,363196629,MASONIC FAMILY HEALTH FOUNDATION,1-B,64775,COST
201833189349304138,363196629,MASONIC FAMILY HEALTH FOUNDATION,1-C,512008,COST
201930099349300013,590624401,POLK MUSEUM OF ART AT FLORIDA SOUTHERN COLLEGE,S,168200,CASH PAID
201900649349300920,420680372,CHARITABLE REMAINDER UNITRUST,S,169948,CASH
201940469349300739,131632522,PODIA INSURANCE LIMITED,P,87500,COST
201920859349301112,250965557,SETON HILL PROPERTIES,D,1790875,ACTUAL
201940429349301179,420686467,K RAYMOND CLARK ALUMNI CENTER TRUST,C,43020,ACTUAL
201940429349301179,420686467,K RAYMOND CLARK ALUMNI CENTER TRUST,Q,45583,ACTUAL
201940429349301179,420686467,K RAYMOND CLARK ATHLETIC FACILITIES,C,169550,ACTUAL
201940429349301179,420686467,K RAYMOND CLARK RACQUET CENTER TRUST,C,85764,ACTUAL
201940429349301179,420686467,K RAYMOND CLARK RACQUET CENTER TRUST,Q,241256,ACTUAL
201803189349309990,362739299,TRINITY PHYSICIAN HOSPITAL ORGANIZATION LTD,O,65017,"BASED ON GAAP, CASH, AND/OR FMV."
201900499349300015,610444650,BEREA COLLEGE SCIENCE AND HEALTH FOUNDATION INC,B,1254178,FAIR MARKET VALUE
201900499349300015,610444650,BEREA COLLEGE SCIENCE AND HEALTH FOUNDATION INC,D,19983333,FAIR MARKET VALUE
201900499349300015,610444650,BEREA COLLEGE SCIENCE AND HEALTH FOUNDATION INC,R,59046649,FAIR MARKET VALUE
201920399349301112,530199507,gallaudet foundation,d,436519,cost
201910429349300636,311601569,ART ACADEMY HOUSING INC,D,58281,FMV
201940929349300439,350867954,Orangehaus Records Inc,N
201940929349300439,350867954,Orangehaus Records Inc,O
201940359349300349,561065978,MID-ATLANTIC CHRISTIAN UNIVERSITY,C,95585,CASH RECEIVED
201940359349300349,561065978,FOUNDATION INC GAVE MID-ATLANTIC
201940359349300349,561065978,CHRISTIAN UNIVERSITY GRANTS FOR
201940359349300349,561065978,FUNDING STUDENT AND FACULTY SCHOLAR-
201940359349300349,561065978,SHIPS AND FOR INSTITUTIONAL OPERA-
201940359349300349,561065978,TIONS (GENERAL FUND LIBRARY ETC)
201940359349300349,561065978,PAID EMPLOYEES OF MID-ATLANTIC,L
201940359349300349,561065978,CHRISTIAN UNIVERSITY PERFORM FUNDRAISING
201940359349300349,561065978,SOLICITATION FOR MID-ATLANTIC CHRISTIAN
201940359349300349,561065978,UNIVERSITY FOUNDATION INC
201940359349300349,561065978,MID-ATLANTIC CHRISTIAN UNIVERSITY AND,N
201940359349300349,561065978,MID-ATLANTIC CHRISTIAN UNIVERSITY FOUND-
201940359349300349,561065978,ATION INC SHARE FACILITIES EQUIPMENT
201940359349300349,561065978,AND MAILING LISTS
201940359349300349,561065978,MID-ATLANTIC CHRISTIAN UNIVERSITY SHARES,O
201940359349300349,561065978,PAID EMPLOYEES WITH MID-ATLANTIC CHRIST-
201940359349300349,561065978,IAN UNIVERSITY FOUNDATION INC WHICH
201940359349300349,561065978,HAS NO PAID EMPLOYEES
201921009349301067,920174205,NEW HOPE COUNSELING CENTER,J,25846,FMV
201921009349301067,920174205,NEW HOPE COUNSELING CENTER,Q,23820,FMV
201900379349301120,390821861,LAKELAND UNIVERSITY FOUNDATION INC,C,449620,CASH
201930649349300708,420707114,GRACELAND COLLEGE CENTER FOR PROFESSIONAL DEVELOPMENT AND LIFELONG LEARNING,C,4010001,CASH
201930649349300708,420707114,COMMUNITY OF CHRIST,C,22782,CASH
201930649349300708,420707114,COMMUNITY OF CHRIST,E,100000,LOAN GUARANTEE
201930649349300708,420707114,COMMUNITY OF CHRIST,Q,52218,CASH
201930649349300708,420707114,COMMUNITY OF CHRIST,R,738492,CASH
201813169349302906,390830664,THEDACARE FAMILY OF FOUNDATIONS INC,C,130562,ACTUAL
201940949349300609,741159753,BRAZOS VALLEY PUBLIC BROADCASTING FOUNDATION DBA KWBU-fm,B,225376,CASH CONTRIBUTIONS
201940949349300609,741159753,BRAZOS VALLEY PUBLIC BROADCASTING FOUNDATION DBA KWBU-FM,L,260595,COST
201940949349300609,741159753,BRAZOS VALLEY PUBLIC BROADCASTING FOUNDATION DBA KWBU-FM,M,151566,COST
201940949349300609,741159753,BRAZOS VALLEY PUBLIC BROADCASTING FOUNDATION DBA KWBU-FM,N,84089,ESTIMATED FAIR MARKET VALUE
201940949349300609,741159753,FB KIRCHNER SCHOLARSHIP FUND #6886,A,13675,CASH
201940949349300609,741159753,BRYAN NICHOLS SCHOLARSHIP TRUST 332,A,5740,CASH
201940949349300609,741159753,KOKERNOT TRUST,A,284191,CASH
201940949349300609,741159753,CHARITABLE LEAD TRUST (3),A,253112,CASH
201940949349300609,741159753,Grantor Trust,S,42952,Cash
201900949349301200,640428676,RTS Foundation Inc,C,78000,FMV
201900949349301200,640428676,RTS Foundation Inc,L
201900949349301200,640428676,RTS Foundation Inc,N
201900949349301200,640428676,RTS Foundation Inc,O
201900949349301200,640428676,RTS Foundation Inc,P
201940569349301059,610470593,CUMBERLAND WELLNESS PROPERTIES INC,K,165064,FAIR MARKET VALUE
201920899349300207,340714681,MURPHY HALL HOLDINGS INC,A,320630,LOAN AGREEMENT
201920899349300207,340714681,MURPHY HALL MASTER TENANT,K,154287,LEASE AGREEMENT
201920899349300207,340714681,1886 COMPANY LTD,Q,68000,AGREEMENT
201920899349300207,340714681,MURPHY HALL HOLDINGS INC,D,8306986,LOAN AGREEMENT
201940929349300744,410695524,Pooled Life Income Fund,k,171376,Cash Paid
201940739349301509,730568096,TRACO ADVERTISING INC,P,1479104
201803199349313400,410693856,KATE L DUNWOODY TRUST - OUTSTANDING LOAN AMOUNT,E,2400000,LOAN AMOUNT
201803199349313400,410693856,KATE L DUNWOODY TRUST - CASH DISTRIBUTIONS,S,473208,CASH TRANSFERRED
201833179349300403,340753531,Southwest General Medical Group,b,9326379,Amount Contributed
201833179349300403,340753531,Southwest General Medical Group,a,678763,Amount paid
201833179349300403,340753531,Southwest General Medical Group,l,127600,Amount paid
201833179349300403,340753531,Southwest General Medical Group,q,54013,Amount paid
201833179349300403,340753531,Southwest General Medical Group,m,289519,Amount paid
201833179349300403,340753531,Southwest Community Health Foundation,p,61955,Amount paid
201833179349300403,340753531,Southwest Community Health Foundation,q,211942,Amount paid
201833179349300403,340753531,Southwest Community Health Foundation,r,199131,Amount paid
201833179349300403,340753531,Southwest Holdings Inc,p,119789,Amount paid
201833179349300403,340753531,Southwest Holdings Inc,l,162202,Amount paid
201833179349300403,340753531,Southwest Holdings Inc,m,306766,Amount paid
201912279349301841,640306253,BAPTIST HEALTH FOUNDATION INC,B,88464,CASH
201912279349301841,640306253,MJMH IMPROVEMENT CORPORATION INC,C,440000,CASH
201912279349301841,640306253,BAPTIST HEALTH FOUNDATION INC,D,253207,CASH
201912279349301841,640306253,BAPTIST MEMORIAL HEALTH CARE CORPORATION,D,200671136,CASH
201912279349301841,640306253,MEDICAL PRACTICE SOLUTIONS INC,D,2000995,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - LEAKE INC,E,15301726,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - YAZOO INC,E,12451643,CASH
201912279349301841,640306253,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI INC,E,335988,CASH
201912279349301841,640306253,MISSISSIPPI BAPTIST MEDICAL CENTER INC,E,119196104,CASH
201912279349301841,640306253,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI INC,J,486318,CASH
201912279349301841,640306253,MISSISSIPPI BAPTIST MEDICAL CENTER INC,J,432429,CASH
201912279349301841,640306253,MJMH IMPROVEMENT CORPORATION INC,K,600000,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - LEAKE INC,L,206446,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - YAZOO INC,L,160846,CASH
201912279349301841,640306253,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI INC,L,1698000,CASH
201912279349301841,640306253,MISSISSIPPI BAPTIST MEDICAL CENTER INC,L,51792288,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - YAZOO INC,M,124587,CASH
201912279349301841,640306253,BAPTIST MEMORIAL HEALTH CARE CORPORATION,M,1540356,CASH
201912279349301841,640306253,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI INC,M,520176,CASH
201912279349301841,640306253,MEDICAL PRACTICE SOLUTIONS INC,M,1098433,CASH
201912279349301841,640306253,MISSISSIPPI BAPTIST MEDICAL CENTER INC,M,245272,CASH
201912279349301841,640306253,BAPTIST MEMORIAL HEALTH CARE CORPORATION,O,88783,CASH
201912279349301841,640306253,BAPTIST MEMORIAL HEALTH CARE CORPORATION,R,229300000,CASH
201912279349301841,640306253,BAPTIST MEMORIAL MEDICAL MINISTRIES EMPLOYEE HEALTH AND WELFARE TRUST,R,660146,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - LEAKE INC,S,16737812,CASH
201912279349301841,640306253,BAPTIST MEDICAL CENTER - YAZOO INC,S,12816700,CASH
201912279349301841,640306253,BAPTIST OUTPATIENT IMAGING LLC,S,808929,CASH
201912279349301841,640306253,MEDICAL FOUNDATION OF CENTRAL MISSISSIPPI INC,S,46277000,CASH
201912279349301841,640306253,MISSISSIPPI BAPTIST MEDICAL CENTER INC,S,5764765,CASH
201912279349301841,640306253,MISSISSIPPI HOSPITAL FOR RESTORATIVE CARE INC,E,351883,CASH
201942279349303564,540506332,Carilion Clinic Foundation,A,31992,Cost
201942279349303564,540506332,Carilion Emergency Services,A,94524,Cost
201942279349303564,540506332,Carilion Healthcare Corporation,A,26592,Cost
201942279349303564,540506332,Carilion Services Inc,A,1681789,Cost
201942279349303564,540506332,CHS Inc,A,74873,Cost
201942279349303564,540506332,Carilion Emergency Services,L,233859,Cost
201942279349303564,540506332,Carilion Franklin Memorial Hospital,L,2398284,Cost
201942279349303564,540506332,Carilion Giles Community Hospital,L,1432410,Cost
201942279349303564,540506332,Carilion Healthcare Corporation,L,322522,Cost
201942279349303564,540506332,Carilion New River Valley Medical Center,L,3534153,Cost
201942279349303564,540506332,Carilion Services Inc,L,2033330,Cost
201942279349303564,540506332,Carilion Stonewall Jackson Hospital,L,1597089,Cost
201942279349303564,540506332,Carilion Tazewell Community Hospital,L,1858708,Cost
201942279349303564,540506332,MedKey Inc,L,471635,Cost
201942279349303564,540506332,Carilion Behavioral Health,M,133606,Cost
201942279349303564,540506332,Carilion Giles Community Hospital,M,58219,Cost
201942279349303564,540506332,Carilion New River Valley Medical Center,K,82332,Cost
201942279349303564,540506332,Carilion Services Inc,K,55380,Cost
201942279349303564,540506332,Carilion Services Inc,M,170507147,Cost
201942279349303564,540506332,Carilion Stonewall Jackson Hospital,M,75006,Cost
201942279349303564,540506332,Carilion Tazewell Community Hospital,K,149763,Cost
201942279349303564,540506332,CHS Inc,K,2451399,Cost
201942279349303564,540506332,CHS Inc,M,5884894,Cost
201942279349303564,540506332,SCA Credit Services Inc,M,1026833,Cost
201942279349303564,540506332,Carilion Services Inc,R,54906591,Cash
201922259349301202,060646554,YALE NEW HAVEN HOSPITAL,M,3033014,COMPARABLE MARKET VALUE
201922259349301202,060646554,YALE NEW HAVEN HOSPITAL,L,10709488,COMPARABLE MARKET VALUE
201922259349301202,060646554,YALE NEW HAVEN HOSPITAL,Q,10056212,TRANSACTION REVIEW
201922259349301202,060646554,YALE NEW HAVEN HOSPITAL,P,1243094,TRANSACTION REVIEW
201922259349301202,060646554,BRIDGEPORT HOSPITAL FOUNDATION INC,L,2766455,TRANSACTION REVIEW
201922259349301202,060646554,BRIDGEPORT HOSPITAL FOUNDATION INC,Q,3666929,TRANSACTION REVIEW
201922259349301202,060646554,BRIDGEPORT HOSPITAL FOUNDATION INC,S,2782004,CASH
201922259349301202,060646554,NORTHEAST MEDICAL GROUP INC,M,31408668,TRANSACTION REVIEW
201922259349301202,060646554,NORTHEAST MEDICAL GROUP INC,P,30441727,TRANSACTION REVIEW
201922259349301202,060646554,MEDICAL CENTER PHARMACY & HOME CARE CENTERINC,P,349498,TRANSACTION REVIEW
201922259349301202,060646554,YALE NEW HAVEN HEALTH SERVICES CORP,M,84300149,TRANSACTION REVIEW
201922259349301202,060646554,YALE NEW HAVEN HEALTH SERVICES CORP,L,4251145,COMPARABLE MARKET VALUE
