object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,DsrgrddEnttyNm_BsnssNmLn2Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclFrgnCntryCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_DrctCntrllngNACd,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201920469349300112,455507328,MONTANA STATE UNIVERSITY FOUNDATION,1501 SOUTH 11TH AVENUE,BOZEMAN,MT,597172750,816001649,UNIVERSITY SUPPORT,MT,501(C)(3),LINE 5,0
201920469349300112,455507328,MONTANA STATE UNIVERSITY - BOZEMAN,PO BOX 172720,BOZEMAN,MT,597172750,363412482,PUBLIC UNIVERSITY,MT,115,0
201900109349301770,521555346,GREATER GRACE WORLD OUTREACH,6025 MORAVIA PARK DRIVE,BALTIMORE,MD,21206,521528186,TO TEACH AND TO PRACTICE AND PROMOTE A CHRISTIAN LIFESTYLE,MD,501(C)(3),LINE 1,N/A,0
201910929349300631,951643992,BRANDMAN UNIVERSITY,16355 LAGUNA CANYON ROAD,IRVINE,CA,92618,260152908,EDUCATION,CA,501(C)(3),2,CHAPMAN UNIV,true
201910929349300631,951643992,CHAPMAN UNIVERSITY FOUNDATION,ONE UNIVERSITY DRIVE,ORANGE,CA,92866,300563618,SUPPORTING,CA,501(C)(3),11A,CHAPMAN UNIV,true
201920859349300327,560556753,PIEDMONT EDUCATIONAL FOUNDATION,PO BOX 7280,HICKORY,NC,28603,566061289,PROVIDE ATHLETIC SCHOLARSHIPS FOR LENOIR RHYNE UNIVERSITY,NC,501(C)(3),"LINE 12B, II",N/A,0
201930929349300113,381308480,THE WALSH COLLEGE FOUNDATION,3838 LIVERNOIS,TROY,MI,480077006,200664128,RAISE FUNDS FOR SCHOLARSHIPS AND GENERAL SUPPORT OF WALSH COLLEGE,MI,501(C)(3),7,WALSH COLLEGE,1
201920319349301202,860711495,Bible Education Legacy Fund,7901 E Shea Blvd,Scottsdale,AZ,85260,208667680,"Supporting organization for Phoenix Seminary, Inc.",AZ,501(c)(3),11a,Phoenix Seminary Inc,false
201901009349300800,942155109,TCS Education System,203 N LaSalle Suite 1900,Chicago,IL,60601,270717860,Support Organization,IL,501(c)(3),"Line 12b, II",N/A,0
201901009349300800,942155109,The Chicago School of Professional Psychology,325 North Wells,Chicago,IL,60654,363005527,Education,IL,501(c)(3),Line 2,The Chicago School - California Inc,1
201901009349300800,942155109,TCSPP Counseling Centers,1990 Westwood Blvd Suite 330,Los Angeles,CA,90025,952556403,Education,CA,501(c)(3),Line 2,The Chicago School - California Inc,1
201901009349300800,942155109,The Chicago School Washington DC Inc,901 15th Street NW,Washington,DC,20005,800477644,Education,DC,501(c)(3),Line 2,The Chicago School - California Inc,1
201901009349300800,942155109,The Chicago School - California Inc,617 West 7th St,Los Angeles,CA,90017,900394713,Education,CA,501(c)(3),Line 2,TCS Education System,1
201901009349300800,942155109,Pacific Oaks Education Corporation,45 Eureka St,Pasadena,CA,91103,951716809,Education,CA,501(c)(3),Line 2,TCS Education System,1
201901009349300800,942155109,Santa Barbara & Ventura Colleges of Law,4475 Market St,Ventura,CA,93003,952592468,Education,CA,501(c)(3),Line 2,TCS Education System,1
201901009349300800,942155109,TCS Education - Texas Inc,203 N LaSalle Suite 1900,Chicago,IL,60601,364769956,Education,TX,501(c)(3),Line 2,TCS Education System,1
201901009349301060,911838771,Metropolitan Community College,PO Box 3777,Omaha,NE,681030777,470557228,Education Government,NE,N/A,N/A,0
201900389349300330,521010577,MARYLAND UNIVERSITY OF INTEGRATIVE HEALTH FOUNDATION INC,7750 MONTPELIER ROAD,LAUREL MD,MD,20723,825217465,CHARITY,MD,501(C)(3),"LINE 12A, I",MARYLAND UNIVERSITY OF INTEGRATIVE HEALTH INC,1
201940949349300419,570324906,South Carolina Baptist Convention,190 Stoneridge Drive,Columbia,SC,29210,570360087,Convention of churches,SC,501(c)(3),Line 1,N/A,0
201940949349300419,570324906,The Baptist Foundation of South Carolina,190 Stoneridge Drive,Columbia,SC,29210,570348054,Institution of SCBC designated for the management of trust funds,SC,501(c)(3),Line 1,N/A,0
201930949349300733,570474291,South Carolina Baptist Convention,190 Stoneridge Drive,Columbia,SC,29210,570360087,Association of Southern Baptist Churches,SC,501(c)(3),Line 1,N/A,0
201930949349300733,570474291,The Baptist Foundation of South Carolina,190 Stoneridge Drive,Columbia,SC,29210,570348054,Institution of SCBC designated for the management of trust funds,SC,501(c)(3),Line 1,N/A,0
201910679349300516,208384273,VERMONT COLLEGE OF FINE ARTS FOUNDATION INC,36 COLLEGE STREET,MONTPELIER,VT,05602,474302610,PROVIDE FINANCIAL SUPPORT FOR THE EDUCATIONAL MISSION OF THE COLLEGE,VT,501(C)(3),"LINE 12A, I",VERMONT COLLEGE OF FINE ARTS INC,1
201911009349300226,952592468,The Chicago School of Professional Psychology,325 North Wells,Chicago,IL,60654,363005527,Education,IL,501(c)(3),Line 2,The Chicago School - California Inc,1
201911009349300226,952592468,TCS Education System,203 N LaSalle Street Suite 1900,Chicago,IL,60601,270717860,Supporting Organization,IL,501(c)(3),"Line 12b, II",N/A,0
201911009349300226,952592468,The Chicago School - Washington DC Inc,901 15th Street NW,Washington,DC,20005,800477644,Education,DC,501(c)(3),Line 2,The Chicago School - California Inc,1
201911009349300226,952592468,TCSPP Counseling Centers,1990 Westwood Blvd Suite 330,Los Angeles,CA,90025,952556403,Education,CA,501(c)(3),Line 2,The Chicago School - California Inc,1
201911009349300226,952592468,The Chicago School - California Inc,617 W 7th Street,Los Angeles,CA,90017,900394713,Education,CA,501(c)(3),Line 2,TCS Education System,1
201911009349300226,952592468,Pacific Oaks Education Corporation,45 Eureka Street,Pasadena,CA,91103,951716809,Education,CA,501(c)(3),Line 2,TCS Education System,1
201911009349300226,952592468,TCS Education - Texas Inc,203 N LaSalle Street Suite 1900,Chicago,IL,60601,364769956,Education,TX,501(c)(3),Line 2,TCS Education System,1
201911009349300226,952592468,Saybrook University,475 14th Street,Oakland,CA,94612,942155109,Education,CA,501(c)(3),Line 2,TCS Education System,1
201920639349300507,480777079,KANSAS INDEPENDENT COLLEGE FUND,700 S KANSAS AVENUE NO 622B,TOPEKA,KS,66603,480636041,SUPPORT,KS,501(C)(3),12A,NA,false
201940719349300979,952962604,CALIFORNIA LUTHERAN EDUCATIONAL FOUNDATION,60 WEST OLSEN ROAD M/C 1200,THOUSAND OAKS,CA,91360,770076535,FUNDRAISING,CA,501(C)(3),"LINE 12A, I",CALIFORNIA LUTHERAN UNIVERSITY,1
201910729349300631,530196549,Washington Research Library Consortium,901 Commerce Drive,Upper Marlboro,MD,20774,521559828,Library Svcs,MD,501(c)(3),12 type II,NA,false
201911019349300506,042620216,M GORMAN PSYCHOLOGICAL ASSOCIATES INC,ONE WELLS AVENUE,NEWTON,MA,02459,841669692,"PROVIDE PSYCHO-EDUCATIONAL ASSESSMENTS, PSYCHOTHERAPY AND PSYCHOLOGICAL",MA,501(C)(3),"LINE 12A, I",WILLIAM JAMES COLLEGE INC,1
201911019349300506,042620216,TEACHERS21 INC,ONE WELLS AVENUE,NEWTON,MA,02459,043174042,IMPROVE THE PROFESSIONAL PRACTICE OF EDUCATORS,MA,501(C)(3),LINE 10,WILLIAM JAMES COLLEGE INC,1
201911019349301001,480730814,MidAmerica Nazarene University Foundation,2030 E College Way,Olathe,KS,66062,480996330,Support MNU,KS,501(c)(3),7,Mid-America Nazarene University,0
201930809349300813,135562314,PACE ENVIRONMENTAL LITIGATION CLINIC,78 NORTH BROADWAY,WHITE PLAINS,NY,10603,133709483,EDUCATION,NY,501(C)(3),11(A),NA,true
201930809349300813,135562314,JOHN JAY LEGAL SERVICES INC,80 NORTH BROADWAY,WHITE PLAINS,NY,10603,133403308,EDUCATION,NY,501(C)(3),11(A),NA,true
201930739349300018,530196583,THE CATHOLIC UNIVERSITY OF AMERICA FOUNDATION,620 MICHIGAN AVE NE,WASHINGTON,DC,20064,521284733,SUPPORT UNIV PROGRAMS,DC,501(C)(3),12 TYPE I,CATHOLIC UNIVERSITY,1
201930739349300018,530196583,ALBERT E FARONE & ANGELA T FARONE FOUNDATION,620 MICHIGAN AVE NE,WASHINGTON,DC,20064,160911612,TO PROVIDE SCHOLARSHIPS,NY,501(C)(3),12 TYPE I,CATHOLIC UNIVERSITY,1
201930739349300018,530196583,WASHINGTON RESEARCH LIBRARY CONSORTIUM,901 COMMERCE DRIVE,UPPER MARLBORO,MD,20774,RESEARCH RESOURCES,MD,501 (C)(3),12 TYPE I,N/A,0
201931009349300243,750926755,UD PROPERTY MANAGEMENT CORPORATION,1845 E NORTHGATE DR,IRVING,TX,75062,752563041,MANAGE APTS,TX,501(C)(3),"12, TYPE I",UoD,true
201910919349300611,340714818,FOUNDATION MARIA THRON,3292 GAMING,KARTAUSE,EUROPE,AU,HISTORIC MONASTERY SITE OF THE UNIVERSITY'S STUDY ABROAD PROGRAM,AU,N/A,N/A,N/A,0
201910919349300611,340714818,BILDUNGSVEREIN KARTAUSE GAMING,3292 GAMING,KARTAUSE,EUROPE,AU,"EDUCATE, PUBLISH ACADEMIC WORKS, HOLD LECTURES, IMPLEMENT CULTURAL EVENTS",AU,N/A,N/A,N/A,0
201930099349300013,590624401,FLORIDA CONFERENCE OF THE UNITED METHODIST CHURCH,1140 EAST MCDONALD STREET,LAKELAND,FL,33801,590904361,RELIGIOUS ORGANIZATION,FL,501(C)(3),LINE 1,N/A,0
201930099349300013,590624401,FLORIDA UNITED METHODIST FOUNDATION INC,PO BOX 3549,LAKELAND,FL,33802,591148710,INVESTMENT MANAGEMENT,FL,501(C)(3),"LINE 12C, III-FI",FLORIDA CONFERENCE OF THE UMC,0
201930099349300013,590624401,POLK MUSEUM OF ART AT FLORIDA SOUTHERN COLLEGE,800 EAST PALMETTO STREET,LAKELAND,FL,33801,591226011,MUSEUM,FL,501(C)(3),LINE 7,FLORIDA SOUTHERN COLLEGE,1
201900649349300920,420680372,UPPER IOWA UNIVERSITY MALAYSIA FOUNDATION,NO 9 JALAN TEKNOLOGI TAMAN SAINS,PETALING JAYA,SELANGOR,MY,47810,EDUCATION,MY,UPPER IOWA UNIVERSITY,1
201940469349300739,131632522,FOOT CLINICS OF NEW YORK,55 EAST 124TH STREET,NEW YORK,NY,10035,131655230,AMBULATORY PODIATRIC SERVICES,NY,501(C)(3),LINE 10,NEW YORK COLLEGE OF PODIATRIC MEDICINE,1
201910579349300546,237213309,FRIENDS OF MCMASTER INC,1280 MAIN STREET WEST SUITE DTC414,HAMILTON,ONTARIO,CA,L8S 4L8,136163055,SOLICITATION,CA,501(C)(3),McMaster Uni,true
201910579349300546,237213309,McMaster University Trust,1280 MAIN STREET WEST SUITE DTC414,HAMILTON,ONTARIO,CA,L8S 4L8,SOLICITATION,CA,501(C)(7),McMaster Uni,true
201910579349300546,237213309,McMaster University Hong Kong Foundation,1280 MAIN STREET WEST SUITE DTC414,HAMILTON,ONTARIO,CA,L8S 4L8,SOLICITATION,CA,Foreign,McMaster Uni,true
201940749349301604,760765625,KANSAS STATE UNIVERSITY,ANDERSON HALL,MANHATTAN,KS,66506,480771751,EDUCATION,KS,501C3,170B1A,0
201911009349300211,111630830,St John's Bread & Life Program Inc,795 Lexington Avenue,Brooklyn,NY,11221,113174514,Meals/SVCS,NY,501(c)(3),7,StJohn'sNY,true
201910779349300101,461256842,UNITED CEREBRAL PALSY OF CENTRAL PENNSYLANIA,55 UTLEY DRIVE,CAMP HILL,PA,17011,231433882,PROGRAM SUPPORT,PA,501(C)(3),LINE 7,0
201910239349300021,271870108,ASPIRE PUBLIC SCHOOLS,1001 22ND AVENUE 100,OAKLAND,CA,94606,943311088,PUBLIC EDUCATION,CA,501(C)(3),LINE 2,N/A,0
201910239349300021,271870108,ALDER GRADUATE SCHOOL OF EDUCATION,2946 BROADWAY ST SUITE B,REDWOOD CITY,CA,94062,474649648,PUBLIC EDUCATION,CA,501(C)(3),LINE 7,N/A,0
201920859349301112,250965557,SETON HILL PROPERTIES,ONE SETON HILL DRIVE,GREENSBURG,PA,15601,020790268,ORGANIZED TO CARRY OUT THE PURPOSES OF SETON HILL UNIVERSITY.,PA,501(C)(3),509(A)(3) TYPE I,SETON HILL UNIVERSITY,1
201940429349301179,420686467,K RAYMOND CLARK CHARITABLE TRUST,1220 FIRST AVE NE,CEDAR RAPIDS,IA,52402,396787527,SUPPORTING TRUST,IA,501(C)(3),11A,COE COLLEGE,1
201940429349301179,420686467,K RAYMOND CLARK ATHLETIC FACILTIES TRUST,1220 FIRST AVE NE,CEDAR RAPIDS,IA,52402,396787027,SUPPORTING TRUST,IA,501(C)(3),11A,COE COLLEGE,1
201940429349301179,420686467,K RAYMOND CLARK ALUMNI CENTER TRUST,1220 FIRST AVE NE,CEDAR RAPIDS,IA,52402,396787028,SUPPORTING TRUST,IA,501(C)(3),11A,COE COLLEGE,1
201940429349301179,420686467,K RAYMOND CLARK RACQUET CENTER TRUST,1220 FIRST AVE NE,CEDAR RAPIDS,IA,52402,396787026,SUPPORTING TRUST,IA,501(C)(3),11A,COE COLLEGE,1
201940819349301049,630400608,Miles Law School,5500 Myron Massey Blvd,Fairfield,AL,35064,630829631,School of Law,AL,501c3,2,N/A,false
201940819349301049,630400608,Miles College Community Development,4901 Lloyd Nolan Parkway,Birmingham,AL,35064,264379022,Real Estate Mgmt.,AL,501c3,7,Miles College,false
201940829349300304,820200907,NORTHWEST NAZARENE UNIVERSITY FOUNDATION INC,623 S UNIVERSITY BLVD,NAMPA,ID,83686,820432900,PROVIDE SUPPORT TO NW NAZARENE UNIVERSITY INC,ID,501(C)(3),"LINE 12A, I",NORTHWEST NAZARENE UNIVERSITY INC,1
201900499349300015,610444650,BEREA INTERCHANGE DEVELOPMENT CORP,STE 220 LINCOLN HALL,BEREA,KY,40404,611124566,HOLDS LAND,KY,501(c)(2),BEREA COLLEGE,true
