object_id,ein,Dsc
201930659349300838,520591694,ACCUMULATED POST RETIREMENT BENEFIT OBLIGATION,3908959
201900219349300015,592961536,CAPITAL LEASE OBLIGATION,137729
201900219349300015,592961536,LINE OF CREDIT - CITY NATIONAL,200000
201900599349301365,640303093,Federal income taxes
201900599349301365,640303093,Capital lease obligation,83623
201940189349300604,240795505,PENSION SHORTFALL LIABILITY,33500000
201940359349301054,231352664,accrued post retirement benefit cost,3098349
201940359349301054,231352664,deposits/withholdings to be paid to others,-34481
201940359349301054,231352664,Employee flexible spending withholdings,80422
201940359349301054,231352664,liability for outstanding health care claims,524620
201940359349301054,231352664,miscellaneous receivables,-89615
201940359349301054,231352664,liability for interest rate swaps on debt,8377817
201900799349300340,540505922,US Government grants refundable,855170
201900799349300340,540505922,Interest rate swap agreement liability,861314
201900809349300230,020222154,CAPITAL LEASE PAYABLE,182242
201900809349300230,020222154,DEPOSITS,161753
201900809349300230,020222154,MARKET VALUE OF INTEREST RATE SWAP,630623
201900809349300240,030482006,GIFT ANNUITIES PAYABLE,1200830
201930869349300613,200940772,DUE TO DISTRICT,784534
201930869349300613,200940772,COMPENSATED ABSENCES PAYABLE,623028
201930869349300613,200940772,PENSION DEFERRED INFLOWS,92676
201930869349300613,200940772,FRS PENSION LIABILITY,2004393
201930869349300613,200940772,HIS PENSION LIABILITY,1034689
201930869349300613,200940772,OPEB LIABILITY,307655
201930869349300613,200940772,OPEB DEFERRED OUTLFOWS,17271
201930869349300613,200940772,HIS DEFERRED INFLOW,91864
201930869349300613,200940772,DUE TO OTHERS - AGENCY FUNDS,163366
201930869349300133,930386858,SPLIT INTEREST AGREEEMENTS,1110771
201930869349300133,930386858,US GOVT GRANTS REFUNDABLE,4721605
201930869349300133,930386858,INTEREST RATE SWAPS LIABILITY,4347405
201910919349300316,231352621,Annuity Obligation,7290783
201910919349300316,231352621,Asset Retirement Obligation,2769441
201910889349300616,042111203,Annuities payable,6734476
201910889349300616,042111203,Perkins federal liability contra,5325634
201910889349300616,042111203,Conditional Asset Retir.Obligation,1068739
201910889349300616,042111203,Pilot Liability,1009383
201910889349300616,042111203,Capital lease obligation,270984
201910889349300616,042111203,Deferred compensation - President,200000
201910889349300616,042111203,Agency - HECCMA,159217
201910889349300616,042111203,FIN 48 Liability,89495
201910889349300616,042111203,China tax liability reserve,78621
201910889349300616,042111203,Cash Card liability,43568
201910889349300616,042111203,Agency-NE Education Ins Assoc,41962
201910889349300616,042111203,Potter unitrust Salvation Army 49%,31362
201910889349300616,042111203,Agency-NEBUG,5691
201910889349300616,042111203,Miscellaneous tax liabilities and other,272
201910889349300616,042111203,Payroll Deduction gift Clearing-RE,153
201930529349300968,620570060,Deposit & Other Liabilities,36102
201930529349300968,620570060,Deposit held in custody for others,1628
201930529349300968,620570060,other current liabilities,668261
201920319349300137,030179299,Agency Liabilities,43759
201920119349300102,131916574,FEDERAL STUDENT LOANS PAYABLE,1386580
201920119349300102,131916574,ASSET RETIREMENT OBLIGATION,2236775
201920919349300307,340714687,DEPOSIT AND OTHER,1904778
201920919349300307,340714687,ANNUITY OBLIGATIONS,1575922
201900889349300810,370673484,STUDENT DEPOSITS,564594
201900889349300810,370673484,ANNUITIES PAYABLE,162433
201900889349300810,370673484,FEDERAL STUDENT LOAN FUNDS,325203
201900889349300810,370673484,OBLIGATIONS UNDER CAPITAL LEASE,109408
201900889349300810,370673484,INTEREST PAYABLE,84211
201930659349300228,510109178,ADVANCED TUITION & FEES,1889657
201930659349300228,510109178,STUDENT DEPOSITS,253430
201930659349300228,510109178,ACCRUED PAYROLL,823052
201930659349300228,510109178,OTHER LIABILITIES,4541
201930659349300228,510109178,DEFERRED REVENUE,32308
201930659349300333,350868096,ANNUITIES PAYABLE,2272354
201900509349300600,750827421,Stu depositsrefundable advances,1734216
201900509349300600,750827421,Annuity obligation,3309824
201900509349300600,750827421,Liab under split-int agreements,114503
201900509349300600,750827421,Asset retirement obligations,772862
201900509349300600,750827421,Liab for pension benefits,12656444
201920159349300102,620535755,OTHER ACCRUED LIABILITIES AND PAYABLES,319186
201920159349300102,620535755,ADVANCES FROM FEDERAL GOVERNMENT FOR STUDENT LOANS,862061
201920159349300102,620535755,ANNUITY PAYMENT LIABILITIES,659120
201920159349300102,620535755,REMAINDER TRUST LIABILITY,77283
201940459349300519,340868798,TUITION DEPOSITS,336882
201940459349300519,340868798,INTEREST PAYABLE,205320
201940459349300519,340868798,US GOVT GRANTS REFUNDABLE,948276
201940459349300519,340868798,CHARITABLE REMAINDER UNITRUST PAYABLE,312087
201910749349300116,941021164,Interest Rate Swap Obligation,74799
201930959349300208,560529953,TRUST & ANNUITY OBLIGATIONS,217283
201930959349300208,560529953,US GOVERNMENT GRANTS REFUNDABLE,369625
201930959349300208,560529953,AMOUNTS HELD ON BEHALF OF OTHERS,140722
201930959349300208,560529953,STUDENT AND OTHER DEPOSITS,94072
201930959349300628,042103585,FMV INTEREST RATE SWAPS,4513534
201930959349300628,042103585,REFUNDABLE ADVANCES - PERKINS LOAN PROGRAM,321014
201930959349300628,042103585,CONDITIONAL ASSET RETIREMENT OBLIGATION,44500
201930959349300628,042103585,ANNUITY OBLIGATIONS,392900
201930959349300628,042103585,CAPITAL LEASE LIABILITY,99394
201930959349300628,042103585,457 PLAN LIABILITY,200000
201930979349300603,620485733,ACCRUED PENSION BENEFIT LIABILITY,245609
201930979349300603,620485733,ACCRUED POSTRETIREMENT BENEFIT OBLIGATION,6451293
201930979349300603,620485733,FEDERAL STUDENT LOANS REFUNDABLE,1966581
201900799349300125,941712371,Capital Lease Obligation,115570
201930329349300928,370681530,Annuities and trusts payable,119239
201930329349300928,370681530,Student deposits,134074
201930329349300928,370681530,Asset retirement obligations,530205
201931009349300028,800477644,Due to Affiliates,4726376
201931009349300028,800477644,Deferred Rent,1620652
201900079349300305,350868101,FUNDS HELD FOR OTHERS,2363427
201900079349300305,350868101,LIABILITY FOR DERIVATIVE CONTRACTS,961000
201900079349300305,350868101,LIABILITY FOR ANNUITY CONTRACTS,617370
201910919349300006,540505977,STUDENT AND OTHER DEPOSITS,994058
201910919349300006,540505977,U.S. GOVERNMENT GRANTS REFUNDA,1148361
201910919349300006,540505977,SPLIT INTEREST AGREEMENT OBLIG,32169987
201910919349300006,540505977,POSTRETIREMENT BENEFIT OBLIGAT,20049677
201910919349300006,540505977,ASSET RETIREMENT OBLIGATIONS,686557
201910919349300006,540505977,CAPITAL LEASE OBLIGATIONS,706311
201930639349300998,956002998,TUITION REMISSION LIABILITY,91882
201930639349300998,956002998,TRUST REMAINDER LIFE OBLIGATONS,319010
201930639349300998,956002998,PERKINS LOAN LIABILITY,1780759
201930639349300998,956002998,STUDENT REFUNDABLE CREDITS,61333
201900919349300850,160755807,STUDENT DEPOSITS,1609407
201900919349300850,160755807,SPLIT INTEREST AGREEMENTS,93028
201900919349300850,160755807,ACCRUED EXPENSES FOR EARLY RETIREMENT BENEFITS,524000
201900919349300850,160755807,ASSET RETIREMENT OBLIGATION,1301164
201900849349300635,344431169,FEDERAL PERKINS LOAN FUND,1236930
201900849349300635,344431169,FUNDS HELD FOR AGENCY
201900849349300635,344431169,Funds Held in Trust,726288
201900849349300635,344431169,TUITION AND ROOM ADVANCES,854691
201900849349300635,344431169,INTEREST RATE SWAP,-46184
201930679349301138,390833608,Deposits Payable,531327
201930679349301138,390833608,Funds Held for Others,4022607
201910329349301231,751081109,HELD IN CUSTODY FOR OTHERS,858840
201910329349301231,751081109,ANNUITY CONTRACTS AND TRUSTS,1287675
201910329349301231,751081109,DEPOSITS,297048
201930299349300218,042108346,PREPAYMENTS AND DEPOSITS,4918892
201930299349300218,042108346,ASSETS HELD FOR FEDERAL PERKINS LOAN PROGRAM,56499
201940999349300919,350868086,Advances from federal agency for student loans,1585963
201940999349300919,350868086,Liabilities under charitable annuity and unitrust agreements,643096
201940999349300919,350868086,Capital lease obligation,38598
201930749349301253,941339635,Student Deposits,251515
201930749349301253,941339635,Long term debt,21020463
201930749349301253,941339635,Loans from US Gov,327254
201833179349306403,420681049,STUDENT DEPOSITS,551816
201833179349306403,420681049,US GOVT GRANTS REFUNDABLE,829030
201921009349300802,951684793,Long term faculty housing commitments,12366256
201921009349300802,951684793,Student Deposits,2447208
201921009349300802,951684793,Annuities Payable,448131
201940999349300529,560529999,FEDERAL LOAN MONIES,1308356
201900929349300835,250965430,Federal Government Advance for Student Loans,1232416
201900929349300835,250965430,Student Deposits,506353
201900929349300835,250965430,Trusts Payable,64043
201940149349300984,610660795,DEPOSITS HELD IN CUSTODY FOR OTHERS,250
201940149349300984,610660795,ASSET RETIREMENT OBLIGATION,96146
201900929349300865,240795495,SPLIT INTEREST AGREEMENTS,1861668
201900929349300865,240795495,PREMIUMS ON UNIVERSITY BONDS,10159900
201900929349300865,240795495,CAPITAL LEASE OBLIGATIONS,101690
201900929349300910,390808497,STUDENT DEPOSITS AND DEFERRED GRANT REVENUE,490893
201900929349300910,390808497,ANNUITIES PAYABLE,3649938
201900929349300910,390808497,SWAP LIABILITY,5057023
201900929349300910,390808497,REFUNDABLE ADVANCES,1773389
201900929349300910,390808497,OTHER LIABILITIES,155795
201900919349300525,231627436,REIMBURSEMENT CONTINGENCY,1307868
201900919349300420,410693979,ASSET RETIREMENT OBLIGATION,2654819
201920849349300032,390806154,ANNUITY OBLIGATIONS,46685
201920849349300032,390806154,REFUNDABLE ADVANCES FROM THE U.S. GOVERNMENT,767263
201920849349300032,390806154,INTEREST RATE SWAP,45982
201930859349300928,131740445,U.S. GOVERNMENT GRANTS REFUNDABLE,399190
201930859349300928,131740445,CONDITIONAL ASSET RETIREMENT OBLIGATION,1580658
201910889349300401,231352641,STUDENT'S ADV. PYMT & DEPOSITS,2355036
201910889349300401,231352641,ADVANCES FROM FEDERAL GOV'T,1427335
201910889349300401,231352641,DEP HELD IN CUSTODY FOR OTHERS,875558
201910889349300401,231352641,ANNUITIES PAYABLE,6466629
201910889349300401,231352641,ACCRUED POST RETIREMENT COSTS,15482935
201901019349300135,620465076,Interest Rate Swaps,985240
201940179349300129,620599339,FEDERAL STUDENT LOAN FUNDS,127046
201910959349301001,560530242,STUDENT DEPOSITS,274180
201910959349301001,560530242,ACCRUED RETIREMENT OBLIGATIONS,8626654
201910959349301001,560530242,DUE TO DONORS OF TRUSTS,254996
201910959349301001,560530242,ASSET RETIREMENT OBLIGATION,1719657
201920169349300722,233069199,DUE TO RELATED PARTY,74288
201920949349300927,520591661,REFUNDABLE ADVANCES FROM US GO,2067090
201920949349300927,520591661,LIABILITY TRUST AGREEMENTS,169121
201920959349300347,370711798,ANNUITY LIABILITY,290158
201920959349300347,370711798,CHARITABLE TRUST LIABILITY,544336
201920959349300347,370711798,FEDERAL PERKINS LIABILITY,406836
201900709349300125,340714629,ANNUITY OBLIGATIONS,4281087
201900709349300125,340714629,US GOVERNMENT ADVANCES FOR PERKINS LOANS,2059119
201900709349300125,340714629,ASSET IMPAIRMENT EXTIMATES,843886
201900709349300125,340714629,FUNDS HELD FOR STUDENT GROUPS,547163
201900779349300880,166031585,US Government Loans Refundable,208757
201920439349300852,112157078,ADVANCES FROM LENDERS,2309548
201920999349300147,314379515,STUDENT DEPOSIT PAYABLE,1704862
201920999349300147,314379515,ANNUITIES PAYABLE,1638905
201910299349301411,820309302,ANNUITY PAYMENT LIABILITY,53692
201910299349301411,820309302,IRREVOCABLE SPLIT INTEREST AGREEMENT PAYMENT LIABILITY,132573
201910309349300731,731303821,ANNUITIES PAYABLE,6121
201900109349301920,420681046,ANNUITIES PAYABLE,74000
201900109349301920,420681046,DUE TO US GOVT PROGRAM,747491
201920869349300407,363657734,Advances from insurance proceeds,243775
201920869349300407,363657734,Refundable advances,33703
201901019349300965,240795441,CAPITAL LEASE OBLIGATIONS,288947
201901019349300965,240795441,REFUNDABLE ADVANCES FROM GOVERNMENT AGENCIES,463325
201901019349300965,240795441,INTEREST RATE SWAP,198513
201901019349300960,410693968,STUDENT AID - GOVERNMENT PORTION,1016887
201901019349300960,410693968,ASSET RETIREMENT OBLIGATION,1204329
201901019349300960,410693968,DEPOSIT AGREEMENTS,1000
201900849349301455,942356338,MISCELLANEOUS PAYABLE,46000
201910869349300216,756001300,OTHER LIABILITIES,803336
201910869349300216,756001300,ANNUITIES PAYABLE,665541
201910869349300216,756001300,ROOM AND KEY DEPOSITS,17950
201910869349300216,756001300,STATE FINANCIAL AID TO BE AWARDED,19744
201910869349300216,756001300,AGENCY ACCOUNTS,174093
201910529349300116,231352692,FUNDS HELD IN CUSTODY FOR OTHERS,235077
201910529349300116,231352692,CAPITAL LEASE OBLIGATIONS,394945
201910529349300116,231352692,OBLIGATIONS UNDER INTEREST-RATE SWAP AGREEMENTS,2328036
201910529349300116,231352692,ADVANCES FROM US GOVERNMENT FOR STUDENT LOANS,556460
201900939349300820,540646523,OBLIGATION UNDER CAPITAL LEASE,2984002
201900939349300820,540646523,DEPOSIT,200260
201900939349300820,540646523,ANNUITY PAYABLE,25766
201910929349300631,951643992,OTHER LIABILITIES,11668942
201910929349300631,951643992,ANNUITIES PAYABLE,2394327
201910929349300631,951643992,RETIREE BENEFIT LIABILIY,1230814
201910929349300631,951643992,INTEREST RATE SWAP,5912927
201920859349300327,560556753,GOVERNMENT ADVANCES FOR STUDENT LOANS,1196483
201920859349300327,560556753,INTEREST RATE SWAP,55755
201920859349300327,560556753,ASSET RETIREMENT OBLIGATIONS,827098
201900989349300705,420680408,Due to US Government - loan programs,1418229
201900989349300705,420680408,Conditional asset retirement obligation,1004740
201900989349300705,420680408,Annuities payable,24306
201900849349301450,160743942,DEPOSITS HELD IN CUSTODY,173600
201900849349301450,160743942,GOVERNMENT GRANTS REFUNDABLE,2498321
201900849349301450,160743942,ASSET RETIREMENT OBLIGATION,6235376
201930929349300113,381308480,ACCRUED PENSION,3943642
201833259349300803,251186257,DEFERRED INCOME-UNEARNED INCOME,398691
201833259349300803,251186257,STUDENT DEPOSITS,142914
201833259349300803,251186257,PAYROLL TAXES WITHHELD,9985
201833259349300803,251186257,ACCRUED PTO,9244
201920529349300302,390988997,Accrued post retirement benefits,779376
201920529349300302,390988997,Discount for future interest in pooled income fund,238798
201920529349300302,390988997,Annuity obligations,372603
201920529349300407,580568687,PENSION ACTUARIAL LIABILITY,260489
201920529349300407,580568687,ANNUITY LIABILITIES,68072
201920529349300407,580568687,NATIONAL ADVANCE,34602
201920529349300407,580568687,BUS & 2 VAN LEASE,78278
201920529349300407,580568687,STUDENT REFUND CONTROL,3342
201901009349300730,900394713,Deferred Rent,1092153
201901009349300730,900394713,Student Refunds,351665
201901009349300730,900394713,Retirement Plan Liabilities,259628
201901009349300800,942155109,Deferred Rent,133570
201901009349300800,942155109,Retirement Plan Liabilities,11623
201910599349300706,344427516,FUNDS HELD FOR OTHERS,5321
201930859349300728,620475690,Federal income taxes
201930859349300728,620475690,Capital lease obligations
201930869349300018,581216007,OTHER LIABILITIES,879921
201920539349301007,131740469,CAPITAL LEASE OBLIGATIONS,304158
201920539349301007,131740469,US GOVERNMENT GRANTS REFUNDABLE,1341648
201920539349301007,131740469,CONDITIONAL ASSET RETIREMENT OBLIGATION,561814
201920589349300232,250965212,STUDENTS DEPOSITS,1610808
201920589349300232,250965212,TRUSTS HELD FOR OTHERS,428299
201920589349300232,250965212,ADVANCES FOR STUDENT LOANS,5555988
201900389349300330,521010577,CHARITABLE ANNUITY,166690
201930369349300113,131628149,Liability under split interest agreements,5757484
201930369349300113,131628149,Postretirement benefits obligation,24032402
201930369349300113,131628149,Asset retirement obligations,2789142
201910089349301006,566061483,HVAC PURCHASE,15956
201910089349301006,566061483,VENDING MACHINE PURCHASE,3236
201940949349300419,570324906,Student deposits,303699
201940949349300419,570324906,Funds held in federal loan programs,2388722
201940949349300419,570324906,Interest rate swap,532329
201940949349300419,570324906,Health insurance liability,518601
201940949349300419,570324906,Capital lease obligation,2906492
201940949349300419,570324906,Annuities payable,314582
201940949349300419,570324906,Food service contract,1560000
201930949349300733,570474291,US Government Loan Funds Refundable,2866320
201930949349300733,570474291,Other Liabilities,954854
201910679349300516,208384273,BUILDING SECURITY DEPOSITS,22940
201911009349300226,952592468,Capital Lease Obligation,507946
201911009349300226,952592468,Due to Affiliates,73491
201911009349300226,952592468,Retirement Plan Liabilities,3194
201920639349300507,480777079,STUDENT AND OTHER DEPOSITS,399766
201920639349300507,480777079,REFUNDABLE GOVT LOAN PROGRAMS,2920893
201920639349300507,480777079,ASSET RETIREMENT OBLIGATION,15024
201920639349300507,480777079,ANNUITY & TRUST OBLIGATIONS,325594
201920379349300432,420680460,ANNUITIES PAYABLE,1237603
201920379349300432,420680460,INTEREST RATE SWAP AGREEMENT LIABILITY,3988985
201920379349300432,420680460,REAL ESTATE DEPOSITS,74913
201920379349300432,420680460,AGENCY FUND,261504
201920379349300432,420680460,FIN 47 LIABILITY,1724812
201910099349300526,386080947,STUDENT DEPOSITS,30505
201910099349300526,386080947,ANNUITY LIABILITY,90421
201940719349300979,952962604,ANNUITIES PAYABLE,1052186
201940719349300979,952962604,DEPOSITS HELD IN TRUST FOR OTHERS,-350487
201940719349300979,952962604,GOVERNMENT GRANTS REFUNDABLE,1674486
201910729349300631,530196549,DERIVATIVE INSTRUMENTS,58711000
201910729349300631,530196549,REFUNDABLE ADVANCE FROM US GOVT,10143955
201910729349300631,530196549,ASSET RETIREMENT OBLIGATION,1750827
201911019349300016,237121060,DUE TO ACADEMIC AFFILIATE,144174
201911019349300111,411607453,ADVANCE DEPOSITS,255701
201911019349300236,941156628,Federal Student Loans Refundable,9859732
201911019349300236,941156628,Interest Rate Swap Agreements,10155615
201911019349300236,941156628,Liability Under Split Interest Agreement,1935825
201911019349300441,150545841,ACCRUED LIABILITIES,7863404
201911019349300441,150545841,DEPOSITS & ADVANCE RECEIVED,6150039
201911019349300441,150545841,ANNUITY AND TRUST OBLIGATIONS,413956
201911019349300441,150545841,REFUNDABLE GOVERNMENT LOANS,2756889
201911019349300441,150545841,POST RETIREMENT CARE,2240897
201911019349300441,150545841,ASSET RETIREMENT OBLIGATIONS,4453049
201911019349301001,480730814,Student Deposits,155868
201911019349301001,480730814,Refundable Loan Program,1478684
201930809349300813,135562314,DEFERRED RENTAL REVENUE,1888393
201930809349300813,135562314,ACCRUED PSTRETIRE. BEN. OBLG.,65759242
201930809349300813,135562314,ASSET RETIREMENT OBLIGATION,6635277
201833189349305598,141423161,POST RETIREMENT HEALTH CARE BENEFIT OBLIGATION,2279514
201833189349305598,141423161,DEPOSIT HELD IN CUSTODY FOR OTHERS,385897
201833189349305598,141423161,LEASE OBLIGATIONS,372680
201833189349305598,141423161,OTHER LIABILITIES,800624
201930739349300018,530196583,ASSET RETIREMENT OBLIGATIONS,9250066
201930739349300018,530196583,REFUNDABLE ADVANCES FROM THE US GOV,6578868
201930739349300018,530196583,SPLIT-INTEREST AGREEMENTS,1864882
201930739349300018,530196583,AGENCY LIABILITY,117603
201900579349301350,540505892,TRUST & ANNUITY OBLIGATIONS,862410
201900579349301350,540505892,AMOUNTS HELD FOR OTHERS,169871
201900579349301350,540505892,STUDENT & OTHER DEPOSITS,205489
201910859349300346,610448560,OTHER LIABILITIES,1132079
201803199349307340,942933165,SECURITY DEPOSITS,222720
201910329349301001,542052107,CAPITAL LEASE OBLIGATION NOTE,1247034
201920789349300127,620475689,Federal income taxes
201920789349300127,620475689,Accrued Payroll,114577
201920789349300127,620475689,Delinquent Payroll Taxes,467205
201803199349303295,111631796,PROF. INSURANCE LIABILITY,208837162
201803199349303295,111631796,THIRD PARTY PAYABLE,122104462
201803199349303295,111631796,DUE TO RELATED ORGANIZATIONS,2082646
201803199349303295,111631796,DUE TO NEWYORK-PRESBYTERIAN HOSPITAL,324020121
201803199349303295,111631796,CAPITAL LEASES PAYABLE,3775714
201931009349300243,750926755,Refundable Student Deposits,1050747
201931009349300243,750926755,US Govt Refundable Advances,2713228
201910919349300611,340714818,STUDENT AND OTHER DEPOSITS,1043201
201833189349304138,363196629,THIRD PARTY SETTLEMENTS,34974016
201833189349304138,363196629,REMEDIATION COST LIABILITY,622936
201930099349300013,590624401,POSTRETIREMENT BENEFIT OBLIGATION,2755734
201930099349300013,590624401,CHARITABLE GIFT ANNUITY OBLIGATION,1406251
201930099349300013,590624401,DEPOSITS,670535
201930099349300013,590624401,ADVANCES FROM FEDERAL AGENCY FOR STUDENT LOANS,823620
201930099349300013,590624401,INTEREST PAYABLE,381148
201900649349300920,420680372,STUDENT DEPOSITS AND DEFERRED TUITION,873399
201900649349300920,420680372,POST RETIREMENT BENEFIT PAYABLE,849778
201900649349300920,420680372,FEDERAL STUDENT LOAN FUNDS,120738
201900649349300920,420680372,LEASE PAYABLE,386553
201940169349300519,560547511,AGENCY FUNDS,132035
201940169349300519,560547511,ADVANCES FROM FEDERAL GOVERNMENT FOR STUDENT LOANS,196086
201940469349300739,131632522,REFUNDABLE LOAN PROGRAMS,3988049
201900929349300215,420680389,"Student, Personnel and Sundry Deposits",920379
201900929349300215,420680389,Interest Rate Swap Agreements,47711
201900929349300215,420680389,U.S. Government Loan Funds Refundable,2440276
201940329349301309,237373765,ACCRUED COMPENSATION AND VACATION,306424
201940329349301309,237373765,ACCRUED RETIREMENT,232133
201940329349301309,237373765,DUE TO STUDEN ACTIVITY,1819
201940189349300504,240795505,PENSION SHORTFALL LIABILITY,31695000
201940189349300504,240795505,DUE TO WVCHS RETENTION COMPANY,675000
201900669349300315,541851377,ACCRUED EXPENSES,5400
201803199349310525,810231774,STUDENT DEPOSITS,34650
201803199349310525,810231774,ANNUITIES PAYABLE,801753
201803199349310525,810231774,OTHER LIABILITIES,33808
201803199349310525,810231774,FAIR VALUE OF SWAP CONTRACT,1488259
201930569349300018,381284777,ACCRUED EXPENSES,140356
201900889349300000,951744370,LOAN - CHEON,1000000
201900889349300000,951744370,DORM DEPOSIT,7630
201900889349300000,951744370,ACCRUED EXPENSES,762
201900889349300000,951744370,INCOME TAX PAYABLE,402
201900889349300000,951744370,PAYROLL TAX PAYABLE,-1758
201940759349300009,581363100,DEPOSITS HELD IN CUSTODY FOR OTHERS,226203
201940759349300009,581363100,OTHER ACCRUED LIABILITIES AND PAYABLES,644928
201940759349300009,581363100,"UNREDEEMED BONDS, COUPONS",31650
201940759349300009,581363100,CAPITAL LEASES,271319
201940759349300009,581363100,LIABILITY UNDER UNITRUST AGREEMENTS,68007
201940759349300009,581363100,U.S. GOVERNMENT LOAN FUNDS REFUNDABLE,908917
201911009349300211,111630830,REFUNDABLE U.S. GOVERNMENT ADVANCES,13216706
201911009349300211,111630830,PRESENT VALUE OF ANNUITIES PAYABLES,4240889
201911009349300211,111630830,INTEREST RATE SWAP LIABILITY,2375337
201940939349300234,590859121,POST RETIREMENT BENEFITS & DEFERRAL,357464
201910509349301201,341695897,Capital Lease obligations,11499811
201910509349301201,341695897,Interest Rate Swap agreement,748823
201910509349301201,341695897,Accrued Liabilities,3347009
201940779349300324,231352668,ANNUITY LIABILITIES,162824
201940779349300324,231352668,OTHER LIABILITIES,199736
201920579349300612,430652667,INTEREST RATE SWAP LIABILITY,1896300
201920579349300612,430652667,DEPOSITS AND OTHER,732034
201920579349300612,430652667,LIABILITIES UNDER SPLIT-INTEREST AGREEMENTS,14918375
201920579349300612,430652667,CONDITIONAL ASSET RETIREMENT OBLIGATION,6027992
201930919349300543,362166964,DEPOSITS,349116
201930919349300543,362166964,RETIREMENT BENEFIT OBLIGATION,422366
201930919349300543,362166964,ANNUITIES PAYABLE,496063
201930919349300543,362166964,GOVT. ADVANCES FOR STUDENT LOANS,170335
201930919349300543,362166964,FAIR VALUE OF INTEREST RATE SWAPS
201930919349300543,362166964,ASSET RETIREMENT OBLIGATION,542000
201930919349300543,362166964,VOLUNTARY SEPARATION PLAN LIABILITY,584236
201921009349300427,240795506,DEPOSITS HELD IN CUSTODY,121996
201921009349300427,240795506,LIABILITY UNDER SPLIT INTEREST,311639
201921009349300427,240795506,INVESTMENTS HELD IN TRUST FOR OTHERS,4172374
201921009349300427,240795506,ADVANCES FROM FEDERAL GOVERNMENT,3314522
201921009349300427,240795506,POSTRETIREMENT BENEFITS,551571
201921009349300427,240795506,CAPITAL LEASE OBLIGATIONS,3409718
201900379349300805,941700607,CONDITIONAL CONTRIBUTION,62431
201900379349300805,941700607,DORMITORY DEPOSITS,1500
201920859349301112,250965557,DEPOSITS HELD FOR OTHERS,107392
