SkdG_LcnsSspnddEtcInd|Were any gaming licenses revoked, suspended, or terminated during the tax year?
GmngInfrmtn_GrssRvnPllTbsAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Gross revenue, pull tabs
GmngInfrmtn_GrssRvnOthrGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Gross revenue, other gaming
GmngInfrmtn_GrssRvnTtlGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Gross revenue, total
GmngInfrmtn_CshPrzsBngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Cash prizes, bingo
GmngInfrmtn_CshPrzsPllTbsAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Cash prizes, pull tabs
GmngInfrmtn_CshPrzsOthrGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Cash prizes, other gaming
GmngInfrmtn_CshPrzsTtlGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Cash prizes, total
GmngInfrmtn_NnCshPrzsBngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Non-cash prizes, bingo
GmngInfrmtn_NnCshPrzsPllTbsAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Non-cash prizes, pull tabs
GmngInfrmtn_NnCshPrzsOthrGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Non-cash prizes, other gaming
GmngInfrmtn_NnCshPrzsTtlGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Non-cash prizes, total
GmngInfrmtn_RntFcltyCstsBngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Rent or facility costs, bingo
GmngInfrmtn_RntFcltyCstsPllTbsAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Rent or facility costs, pull tabs
GmngInfrmtn_RntFcltyCstsOthrGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Rent or facility costs, other gaming
GmngInfrmtn_RntFcltyCstsTtlGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Rent or facility costs, total
GmngInfrmtn_OthrDrctExpnssBngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Other direct expenses, bingo
GmngInfrmtn_OthrDrctExpnssPllTbsAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Other direct expenses, pull tabs
GmngInfrmtn_OthDrctExpnssOthrGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Other direct expenses, other gaming
GmngInfrmtn_OthDrctExpnssTtlGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Other direct expenses, total
GmngInfrmtn_VlntrLbrBngPct|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; volunteer labor percentage, bingo
GmngInfrmtn_VlntrLbrBngInd|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; volunteer labor, bingo
GmngInfrmtn_VlntrLbrPllTbsPct|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; volunteer labor percentage, pull tabs
GmngInfrmtn_VlntrLbrPllTbsInd|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; volunteer labor, pull tabs
GmngInfrmtn_VlntrLbrOthrGmngPct|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; volunteer labor percentage, other gaming
GmngInfrmtn_VlntrLbrOthrGmngInd|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; volunteer labor, other gaming
GmngInfrmtn_DrctExpnsSmmryGmngAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Direct expense summary
GmngInfrmtn_NtGmngIncmSmmryAmt|Complete this part if the organization reported more than $15,000 on Form 990, Part VIII, line 9a or on Form 990-EZ, line 6a; Net gaming income summary
