object_id,ein,BsnssNmLn1Txt,PrmryActvtsTxt,OrgPrftOrOwnrshpPct,PhyscnsPrftOrOwnrshpPct
201922889349302017,350892672,ROSE LLC,OUTPATIENT SURGICAL SERVICS,0.55,0.45,0.45
201933159349302223,310785684,Mercy Medical Office Condominium Association,Real Property Management,0.496,0.0,0.504
201933159349302223,310785684,Northpark Condominium Association,Real Property Management,0.55,0.0,0.45
201803189349310405,420680452,1 CENTRAL IOWA CARDIOVASCULAR CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF CARDIAC SERVICE LINE,0.20000,0.80000
201803189349310405,420680452,2 CENTRAL IOWA ONCOLOGY CO-MANAGEMENT COMPANY,MANAGEMENT OF ONCOLOGY SERVICE LINE,0.20000,0.80000
201803189349310405,420680452,3 CENTRAL IOWA SURGICAL SERVICES CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF SURGERY SERVICE LINE,0.20000,0.80000
201803189349310405,420680452,4 IOWA DIAGNOSTIC IMAGING AND PROCEDURE CENTER LC,OUTPATIENT DIAGNOSTIC IMAGING,0.50000,0.50000
201803189349310405,420680452,5 LAKEVIEW SURGERY CENTER LC,SURGERY CENTER,0.50000,0.50000
201803189349310405,420680452,6 ORTHOPAEDIC OUTPATIENT SURGERY CENTER LC,AMBULATORY SURGERY CENTER,0.50000,0.50000
201803189349310405,420680452,7 WEST HOSPITAL ORTHOPAEDIC CO-MANAGEMENT COMPANY,MANAGEMENT OF METHODIST WEST ORTHO SERVICE LINE,0.20000,0.80000
201803189349310405,420680452,8 WEST LAKES SLEEP CENTER LLC,TREATMENT OF CHRONIC SLEEP DISORDERS,0.50000,0.50000
201813189349310421,350892672,ROSE LLC,OUTPATIENT SURGICAL SERVICES,0.55,0.6,0.45
201843199349301599,560554230,1 SOUTHPARK SURGERY CENTER,HEALTHCARE,0.60000,0.00000,0.40000
201843199349303374,470378779,1 HASTINGS SURGICAL CENTER LLC,SURGICAL CENTER,0.21050,0.00000,0.16330
201803199349301330,210634484,OAK & MAIN
201803199349301330,210634484,SURGICENTER LLC,MEDICAL SERVICES,0.85,0.15
201803199349301330,210634484,THE KIDNEY CENTER AT
201803199349301330,210634484,VINELAND LLC,medical services,0.5,0.5
201813189349309901,160743134,1 LATTIMORE SERVICES ORGANIZATION LLC,MANAGEMENT SERVICES,0.19000,0.81000
201803199349301775,141338413,Imaging Svc of NENY,Diagnostic Radiology,0.5,0.5,0.5
201803199349301775,141338413,N Country Eye Ctr,Eye center,0.3,0.3,0.3
201813189349312621,150532245,1 MVEC,GASTROENTEROLOGY SERVICES,0.20000,0.00000,0.00000
201813199349302226,570828733,1 Lowcountry Surgery Center (DBA Roper St Francis Eye Surgery),Eye Surgery,0.64650,0.35350
201803189349304600,710236856,SURGICAL PAVILLION,ASC,0.5,0.5
201803189349304600,710236856,SPRINGHILL SURGERY,ASC,0.52356,0.47644
201803189349304600,710236856,AUTUMN ROAD LLC,REAL ESTATE,0.5972,0.4028
201803189349304600,710236856,ORTHOARKANSAS,ASC,0.51,0.49
201833139349301123,541547408,1 PRINCESS ANNE AMB SURG MGT,OUTPATIENT SURGERY CENTER,0.51520,0.48480
201833139349301123,541547408,2 SENTARA OBICI AMB SURG CTR,OUTPATIENT SURGERY CENTER,0.54550,0.45450
201833139349301123,541547408,3 VA BEACH AMB SURG CTR,OUTPATIENT SURGERY CENTER,0.50000,0.50000
201833139349301123,541547408,4 CANCER CENTERS OF VA LLC,EQUIPMENT LEASING,0.50000,0.50000
201833139349301123,541547408,5 OBICI REAL EST HOLDINGS LLC,REAL ESTATE RENTAL,0.61540,0.38460
201833139349301123,541547408,6 PET INSTITUTE OF HAMPTON ROADS LLC,MEDICAL SERVICES,0.13750,0.45000
201833139349301123,541547408,7 CAREPLEX ORTHO AMBULATORY SURG CTR,OUTPATIENT SURGERY CENTER,0.50000,0.50000
201833139349301123,541547408,8 ORTHOPAEDIC HOSPITAL MANAGEMENT LLC,ORTHO MGT SVCS,0.40000,0.60000
201813199349317311,364195126,KANKAKEE VALLEY DIALYSIS CENTER,DIALYSIS CENTER,0.5,0.5
201813199349317311,364195126,DRYER MERCY AMBULATORY SURGERY CENTER,AMBULATORY SURGERY CENTER,0.4,0.6
201813199349317311,364195126,CENTER FOR DIGESTIVE DISEASE,DIGESTIVE HEALTH SERVICES,0.1,0.9
201813199349317311,364195126,PRESENCE SAINT JOSEPH HOSPITAL ORTHOPEDIC CLINICAL CO-MANAGEMENT COMPANY LL,C,MANAGEMENT OF ORTHOPEDIC SERVICE LINE,0.2,0.8
201931339349304198,223431049,1 CENTRAL NEW JERSEY HEART SERVICESLLC,CARDIAC CATH LAB MANAGEMENT,0.59760,0.25440
201941209349300039,231352204,TRH SURGICENTER LLC,OUTPATIENT SURGERY,0.50000,0.50000
201942179349300099,060646813,1 SAINT FRANCIS GI ENDOSCOPY LLC,HEALTH CARE SERVICES - ENDOSCOPY,0.49000,0.51000
201941339349305979,150532254,1 MDRMRI TECHNICAL SERVICES LLC,MRI SERVICES,0.40000,0.00000,0.60000
201941339349305979,150532254,2 BREAST CARE PARTNERS LLC,WOMEN'S HEALTH AND CANCER CARE,0.14280,0.00000,0.51480
201813239349300211,112868878,STATEN ISLAND PERFOR,PERFORMING PROVIDER SYSTEM,0.5
201823169349303242,131624135,HSS ASC OF MANHATTAN,HEALTH CARE,0.51,0.49
201823169349303242,131624135,HSS WEST SIDE ASC,HEALTH CARE,0.67,0.33
201823169349303242,131624135,HS2 LLC,SURGEON TALENT MANAGEMENT CO,0.1033,0.1034,0.7933
201843199349315984,160960470,1 MDRCROUSE TECHNICAL SERVICES LLC,IMAGING,0.25000,0.75000
201813189349301591,340714585,1 AKRON SURGICAL ASSOCIATES,SURGICAL SERVICES,0.55120,0.41280
201901349349302410,231352213,THE CENTER FOR ORAL
201901349349302410,231352213,& MAXILLOFACIAL
201901349349302410,231352213,SURGERY & IMPLANT,ORAL SURGERY,0.5,0.5
201941309349303229,250965600,WPHO,LOCAL HEALTHCARE NETWORK,0.5,0.0078,0.4922
201941359349306924,362174823,1 Rush Surgicenter,Healthcare,0.51090,0.48910
201911339349302481,470757164,LAKESIDE AMBULATORY SURGICAL CENTER LLC,AMBULATORY SURGICAL CENTER,0.6037,0.48
201911339349302481,470757164,LAKESIDE ENDOSCOPY CENTER LLC,AMBURLATORY SURGICAL CENTER,0.5337,0.48
201911339349302481,470757164,AH-NORTHWEST IMAGING CENTER LLC,DIAGNOSTIC TESTING,0.51,0.49
201911339349302481,470757164,NEBRASKA SPINE LLC,SPINE HOSPITAL,0.51,0.49
201911339349302481,470757164,BERGAN MERCY SURGICAL CENTER,AMBULATORY SURGICAL CENTER,0.5305,0.3606
201941359349307069,231352152,MCA MED IM LLC,MEDICAL SERVICES,0.5,0.5
201941359349307069,231352152,AB SURG SVCS LP,MEDICAL SERVICES,0.39245,0.60755
201941359349307069,231352152,PAIN MGT CTR AM LLC,MEDICAL SERVICES,0.29033,0.70967
201941359349307069,231352152,NEW BRITAIN SURG LLC,MEDICAL SERVICES,0.25,0.75
201941359349307069,231352152,AB SURG SVCS GP LLC,MEDICAL SERVICES,0.5,0.5
201921349349303922,250965406,Lawrence County MRI,Outpatient radiology center,0.505,0.0,0.0
201902249349301685,020222215,1 FIRST CHOICE PHO,PHYSICIAN HOSPITAL ORGANIZATION,0.50000,0.00000,0.50000
201941359349305744,720423889,University Healthcare System,Operation of a hospital facility,0.1725,0,0
201921349349305412,470757164,LAKESIDE AMBULATORY SURGICAL CENTER LLC,AMBULATORY SURGICAL CENTER,0.6037,0.48
201921349349305412,470757164,LAKESIDE ENDOSCOPY CENTER LLC,AMBURLATORY SURGICAL CENTER,0.5337,0.48
201921349349305412,470757164,AH-NORTHWEST IMAGING CENTER LLC,DIAGNOSTIC TESTING,0.51,0.49
201921349349305412,470757164,NEBRASKA SPINE LLC,SPINE HOSPITAL,0.51,0.49
201921349349305412,470757164,BERGAN MERCY SURGICAL CENTER,AMBULATORY SURGICAL CENTER,0.5305,0.3606
201942279349300444,390884478,1 BELLIN ORTHOPEDIC SURGERY CENTER LLC,ORTHOPEDIC SURGERY CENTER,0.55000,0.45000
201921359349301747,951642394,SEE PART VI,AMBULATORY SURGICAL,0.2
201833189349310353,420504780,1 MEDLABS OF EASTERN IOWA LC,LABORATORY SERVICES,1.00000,0.00000
201833189349310353,420504780,2 THE OUTPATIENT SURGERY CENTER OF CEDAR RAPIDS LLC,AMBULATORY SURGERY CENTER,0.50000,0.50000
201833189349310353,420504780,3 MR ASSOCIATES LLP,"PURCHASE, OWN & OPERATE MOBILE & FIXED-BASED MRI UNITS",0.33330,0.33330
201833189349310353,420504780,4 EASTERN IOWA SLEEP CENTER LLC,PROVIDE SLEEP STUDIES,0.33330,0.33330
