object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt
201541969349301369,900790361,EMORY UNIVERSITY,580566256,02,true,76772573
201500779349300435,640902475,UNIVERSITY OF SOUTHERN MISSISSIPPI,646000818,2,1,167226,0
201531349349302068,137096544,University of Virginia,546001796,School,true,100000,0
201511359349202401,341568219,OBERLIN COLLEGE,340714363,02,true,0
201521359349307572,270869586,GREEN DOT PUBLIC SCHOOLS,954679811,501(C)(3),1,596684
201521359349307572,270869586,ASPIRE PUBLIC SCHOOLS,943311088,501(C)(3),1,272008
201521359349307572,270869586,ALLIANCE FOR COLLEGE-READY PUBLIC SCHOOLS,954779029,501(C)(3),1,762925
201521359349307572,270869586,PARTNERSHIPS TO UPLIFT COMMUNITIES,743102820,501(C)(3),1,1063828
201531359349302028,201304472,UNIVERSITY OF TOLEDO,346401483,SECTION 115,1,400
201541359349301824,550665758,WEST VIRGINIA UNIVERSITY,556000842,IRC SECTION 115,1,121375373
201512259349303116,237008276,University of California San Diego,956006144,Section 501(c)3,1,0,0
201512749349300831,760765625,KANSAS STATE UNIVERSITY,480771751,02,0,139863,0
201522269349303342,264359927,KYUSHU UNIVERSITY,981083876,2,true,65200,0
201512269349301336,541744996,OLD DOMINION UNIVERSITY,546000884,115,1,5412,60000
201512269349301336,541744996,OLD DOMINION UNIVERSITY EDUCATIONAL FOUNDATION,546052014,501(C)(3),1,0,0
201500349349300880,454808258,WEST VALLEY MISSION COMM COLLEGE,770268786,GOVNT,false,0
201510449349302431,952492344,University of California SB,956006145,college,false,0
201521339349305272,010802914,Cal State UnivChannel Islands,912153805,University,false,0
201540449349200449,202928582,SANTA FE COMMUNITY COLLEGE,850311615,3,true,0
201532689349300303,364500805,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY,364500805,6,true,504895,0
201540479349200759,571021641,PRESBYTERIAN COLLEGE,570314408,2,1,0
201540429349300229,208096718,LUTHERAN THEOLOGICAL,231365169,1,1,1285354
201541289349301794,367468174,B'ham Southern College,630288811,2,true,0,0
201541339349304729,550713410,GLENNVILLE STATE COLLEGE,556000779,2,1,0
201530409349301118,911838771,Metropolitan Community College,470557228,6,1,0
201521959349300927,464071746,STANFORD HEALTH CARE,946174066,03,true,0
201520239349300242,134356799,FLORIDA STATE UNIVERSITY,591961248,02,true,685107
201532519349300803,980150041,METROPOLITAN ANDREY SHEPTYTSKY INST ST PAUL UNIV OTTAWA ONTARIO CANADA,000000000,2,1,339447,0
201541329349301634,721304948,LSU HEALTH SCIENCES CENTER,726087770,2,1,50872149
201540159349300134,237133739,City of Arlington Texas,756004503,6,1,0
201540159349300134,237133739,City of Denton Texas,756000514,6,1,0
object_id,ein,BsnssNmLn1Txt,EIN,OrgnztnCd,GvrnngDcmntLstdInd,SpprtAmt
201443509349300529,593086453,UNIVERSITY OF CENTRAL FLORIDA,592924021,5,1,2216011
201443189349300934,237275366,Kents Hill School,010211532,501(c)(3),0,43268
201430929349300603,640902475,UNIVERSITY OF SOUTHERN MISSISSIPPI,646000818,2,1,139078
201401209349301165,942514843,UNIVERSITY OF CALIFORNIA LOS ANGELES,956006143,6,false,15000
201411359349305136,264078735,UNIVERSITY OF THE PEOPLE EDUCATION LTD,514228139,9,1,727006
201441609349300709,486106237,KANSAS STATE UNIVERSITY,480771751,509(A)(3),1,283533
201432259349301133,541744996,OLD DOMINION UNIVERSITY,546000884,115,1,6394
201432259349301133,541744996,OLD DOMINION UNIVERSITY EDUCATIONAL FOUNDATION,546052014,501(C)(3),1,0
201401699349300610,137096544,University of Virginia,546001796,School,true,90000
201412979349301111,237008276,University of California San Diego,956006144,Section 501(c)3,1,0
201433179349202123,391896366,UNI FOUNDATION,426058591,5,1,74877
201423169349304367,541666531,VIRGINIA COMMONWEALTH UNIVERSITY,546001758,6,1,137100
201423019349300342,364500805,CENTRAL MICHIGAN UNIVERSITY,364500805,6,false,540715
201402939349300010,760765625,KANSAS STATE UNIVERSITY,480771751,02,0,350000
201413569349300436,061256949,UNIVERSITY OF HARTFORD,060731360,2,true,449524
201443519349300024,541854399,VIRGINIA COMMONWEALTH UNIVERSITY,546001758,LINE 6,1,1533632
201403539349300710,562244952,CENTRAL PIEDMONT COMMUNITY COLLEGE,560797174,115(1),1,0
201403239349200620,522247526,SALISBURY UNIVERSITY FOUNDATION INC,521127396,7,1,0
201403219349200435,363447685,NEBRASKA CHRISTIAN COLLEGE,470489031,6,1,430097
201413189349301601,550777066,ALDERSON BROADDUS COLLEGE,550357072,2,0,137695
201413189349301601,550777066,BETHANY COLLEGE,550356985,2,0,171452
201413189349301601,550777066,DAVIS & ELKINS COLLEGE,550357021,2,0,144385
201413189349301601,550777066,EMORY & HENRY COLLEGE,540505892,2,0,165562
201413189349301601,550777066,UNIVERSITY CHARLESTON,550357039,2,0,206869
201413189349301601,550777066,WV WESLEYAN COLLEGE,550357056,2,0,207108
201413189349301601,550777066,TUSCULUM COLLEGE,620484185,2,0,308774
201413189349301601,550777066,WILLIAM PEACE UNIVERSITY,560529988,2,0,181655
201403219349306900,201612906,LONGWOOD UNIVERSITY,546001788,6,1,0
201403119349301525,550788917,EAST TENNESSEE STATE UNIVERSITY,EAST TENNESSEE STATE UNIVERSITY,626021046,5,true,86069
201403189349300045,760796633,KALAMAZOO VALLEY COMMUNITY COLLEGE,381850178,SECTION 115,1,0
201403219349302460,311813143,UNIVERSITY OF MISSISSIPPI,646001159,02,true,869599
201421309349300002,367468174,B'ham Southern College,630288811,2,true,67892
201413219349311906,550753754,Charleston Area Medical Center Inc,550526150,3,1,5675173
201431339349301643,271441054,JACKSON COMMUNITY FOUNDATION,386070739,8,1,0
201433219349308303,541863192,CHRISTOPHER NEWPORT UNIVERSITY,540701501,2,1,1571908
201443249349300209,204273074,Regent University,541061178,A school,1,0
201443149349302659,800957275,COE COLLEGE,420686467,2,1,203040
201402949349301055,840600653,COLORADO STATE UNIVERSITY,846000545,6,1,689065
201401359349309405,264359927,KYUSHU UNIVERSITY,981083876,2,true,51429
201423219349303617,264468758,UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER INC,300541840,9,1,0
