object_id,ein,FrmAndLnRfrncDsc
201540489349301704,314379584,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201540129349200789,391455764,"PART II, LINE 12"
201532689349300303,364500805,"PART IV, SECTION E, LINE 2A","THE ORGANIZATION PROVIDES AN INCUBATOR FOR START UP COMPANIES, AND SEEKS TO FURTHER ECONOMIC DEVELOPMENT WITHIN THE LOCAL AREA."
201532689349300303,364500805,"PART IV, SECTION E, LINE 2B",THE RESEARCH CORPORATION IS OPERATING TO FURTHER CENTRAL MICHIGAN UNIVERSITY'S DESIRE TO BE A CONTRIBUTOR TO ECONOMIC DEVELOPMENT WITHIN THE LOCAL AREA. USING A SEPARATE ENTITY TO DO SO PROVIDES ADDITIONAL TRANSPARENCY OF THE ACTIVITIES PERFORMED.
201540459349300244,131624158,"Form 990, Schedule A, Line 7"
201541289349301794,367468174,"Schedule A, Part IV, Section B",The trust document outlines how the trust is administered and the duties and powers of the trustee.
201541329349202599,263430065,"Schedule A, Part II, Line 10","Housetop Center administers Catherine of Siena Virtual College. The amounts indicated in line 10 represent tuition paid for women and men enrolled for courses with our college. Catherine of Siena Virtual College is an international educational enterprise working to empower women for life and leadership through transformative women's and gender studies. Our inter- disciplinary courses promote gender equity, as well as, international and inter-cultural understanding and respect. We combine the best Information Communications Technology (ICT) with a student-focused pedagogical practice that takes seriously the way authentic, transformative learning occurs. We create small interactively engaged communities where students find the safety and support they need to examine issues that are important to their lives, strengthening their skills and confidence and enhancing their leadership potential for creating positive change in the world. On 01 July 2014, the content of our courses and the administration of the college were handed over to Roehampton University. The University was chosen for its dedication to empowering women and men and for its willingness to take over the name and the functions of the online college. See catherinecollege.net for details."
201541329349202599,263430065,"Schedule A, Part III, Line 12",Monies received as student tuition.
201541319349301944,050258956,"SCHEDULE A, PART II, LINE 10"
201541339349304279,160743140,"Schedule A, Part II, Line 10, Other Income"
201500939349300115,562535892,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:"
201502269349301730,113135077,Pt III Line 12
201502269349301730,113135077,Pt III Line 12
201502269349301730,113135077,Pt III Line 12
201502269349301730,113135077,Pt III Line 12
201502269349301730,113135077,Pt III Line 12
201502269349301730,113135077,Pt III Line 12
201500449349302610,610444650,"Schedule A, Part II, Line 10, Other Income"
201501329349302005,520595110,"SCHEDULE A, PART II"
201511359349302631,141338587,"Schedule A, Part II, Line 10"
201511339349201661,760790483,"PART III, LINE 12","9,125"
201521049349300112,060653264,"Schedule A, Part I, Line 7"
201521049349300112,060653264,"Schedule A, Part II, Line 10"
201521059349300737,310725957,"Schedule A, Part II, Line 10, Other Income"
201520999349300627,951643992,"SCHEDULE A, PART II"
201521319349300017,620476822,Part II Section B Line 10:
201501339349301120,046130872,REASON FOR PUBLIC CHARITY STATUS - PARTS I AND II:
201522169349301407,264789471,"Schedule A, Part II, Line 17a 10% FACTS & CIRCUMSTANCES TEST 2014","TREAS. REGS. SECTION 1.170A-9(F)(3)(I) PROVIDES THAT IN ORDER TO MEET THE ""FACTS AND CIRCUMSTANCES"" TEST, THE ORGANIZATION MUST NORMALLY RECEIVE SUBSTANTIAL SUPPORT (MORE THAN 10%) FROM GOVERNMENTAL CONTRIBUTION. INFORMATION INDICATES THAT COMPLETE COLLEGE HAS RECEIVED APPROXIMATELY 16.69% IN PUBLIC SUPPORT, SUBSTANTIALLY ABOVE THE 10% THRESHOLD. IN ADDITION TO THE 10% THRESHOLD TEST, TREAS. REGS. SECTION 1.170A-9(F)(3)(II) PROVIDES THAT THE ORGANIZATION MUST BE ORGANIZED AND OPERATED SO AS TO ATTRACT NEW AND ADDITIONAL PUBLIC OR GOVERNMENTAL SUPPORT ON A CONTINUOUS BASIS. AN ORGANIZATION WILL MEET THIS REQUIREMENT IF IT: - MAINTAINS A CONTINUOUS AND BONA FIDE PROGRAM FOR THE SOLICITATION OF FUNDS FROM THE GENERAL PUBLIC, OR - IT CARRIES ON ACTIVITIES DESIGNED TO ATTRACT SUPPORT FROM THE GOVERNMENT OR 509(A)(1) CHARITIES. COMPLETE COLLEGE SATISFIES BOTH TESTS. IT MAINTAINS A CONTINUOUS AND BONA FIDE PROGRAM FOR CHARITABLE CONTRIBUTIONS FROM THE PUBLIC AND CARRIES ON THE TYPE OF CHARITABLE ACTIVITIES THAT ARE DESIGNED TO ATTRACT SUPPORT FROM GOVERNMENTAL UNITS AND THE GENERAL PUBLIC AS IS EVIDENCED BY THE SIGNIFICANT STATE GOVERNMENT INVOLVEMENT WITH COMPLETE COLLEGE IN ITS ""COMPLETION PROGRAM"""
201511319349302071,050306206,"PART I, REASON FOR PUBLIC CHARITY STATUS:"
201532519349300803,980150041,PART IV LINE 1,"THIS ORGANIZATION SUPPORTS THE METROPOLITAN ANDREY SHEPTYTSKY INSTITUTE OF EASTERN CHRISTIAN STUDIES (""MASI"") WHICH IS LOCATED AT SAINT PAUL UNIVERSITY IN OTTAWA, ONTARIO, CANADA. THE SUPPORTED ORGANIZATION, MASI, IS AN INSTITUTE AT THE UNIVERSITY OF SAINT PAUL. THE RELATIONSHIP BETWEEN THE ORGANIZATIONS IS HISTORICAL AND CONTINUING AS THE FOUNDATION HAS BEEN SUPPORTING THE INSTITUTE SINCE 1989. THE FOUNDATION'S PRIMARY FUNCTION IS TO DETERMINE ANNUALLY OR AS NEEDED THE AMOUNTS TO BE CONTRIBUTED TO THE SUPPORTED ORGANIZATION."
201532519349300803,980150041,"PART IV SECTION D, LINE 3","THE SUPPORTED ORGANIZATION (""MASI"") HAS A CLOSE CONTINUOUS WORKING RELATIONSHIP WITH THE FOUNDATION. IT MAINTAINS A SIGNIFICANT VOICE BY WAY OF TWO KEY ORGANIZATIONAL MEMBERS, THE ACTING DIRECTOR OF MASI AND A FORMER PRESIDENT AND BOARD MEMBER. THESE INDIVIDUALS ARE INVOLVED IN BOTH ORGANIZATIONS' OPERATIONS AND DISCUSSIONS. IN ADDITION, THESE INDIVIDUALS PREPARE THE INSTUTUTE'S BUDGET WHICH IS REVIEWED, MODIFIED AND THEN APPROVED BY THE FOUNDATION'S BOARD. THE BUDGET IS THE BASIS FOR THE CONTRIBUTIONS GRANTED BY THE FOUNDATION TO MASI."
201532329349200108,203881302,Pt II Ln 10,"Other Income Part II, Line 10 Description: Other receipts 2012: 342."
201531359349305158,314379537,"SCHEDULE A, PART II, PUBLIC SUPPORT TEST"
201541329349301634,721304948,"SCHEDULE A, PART I, LINE 11, COLUMN VII"
201541329349302134,020222182,"Schedule A, Part II, Line 10"
