object_id,ein,FrmAndLnRfrncDsc
201633149349201903,465430698,"SCHEDULE E, LINE 3","THIS SCHOOL ADMITS STUDENTS OF ANY RACE, COLOR,NATIONAL AND ETHNIC ORIGIN TO ALL THE RIGHTS, PRIVILEGES,PROGRAMS, AND ACTIVITIES GENERALLY ACCORDED OR MADE AVAILABLE TO STUDENTS AT THE SCHOOL. IT DOES NOT DISCRIMINATE ON THE BASIS OF RACE, COLOR, NATIONAL AND ETHNIC ORIGIN IN ADMINISTRATION OF ITS EDUCATIONAL POLICIES, ADMISSIONS POLICIES, SCHOLARSHIP AND LOAN PROGRAMS, AND ATHLETIC AND OTHER SCHOOL-ADMINISTERED PROGRAMS."
201613029349301206,750827409,"SCHEDULE E, LINE 3",THE RACIALLY NONDISCRIMINATORY POLICY IS PUBLISHED IN THE ANNUAL BULLETIN AS WELL AS IN THE INITIAL SOLICITATION TO ALL PROSPECTIVE STUDENTS; ALSO PUBLISHED AT THE BEGINNING OF THE FALL TERM IN THE LOCAL NEWSPAPER.
201613029349301206,750827409,"SCHEDULE E, LINE 6","A LIST OF RECIPIENTS OF SCHOLARSHIPS, GRANTS AND FELLOWSHIPS IS ON FILE AT THE COLLEGE AND IS AVAILABLE UPON REQUEST. ALTHOUGH THERE MAY BE RECIPIENTS WHO ARE RELATED TO PERSONS HAVING AN INTEREST IN THE COLLEGE, SUCH RECIPIENTS ARE SELECTED ON AN EQUAL, OBJECTIVELY DETERMINABLE BASIS WITH OTHER RECIPIENTS. THAT IS, ALL STUDENTS RECEIVING SCHOLARSHIPS, GRANTS AND FELLOWSHIPS ARE JUDGED WORTHY BY THE COLLEGE'S ASSESSMENT ON THE BASIS OF ACADEMIC, FINANCIAL NEED, AND OTHER SIMILAR STANDARDS."
201612959349300701,208757406,"SCHEDULE E, PART I, LINE 3",ORGANIZATION PUBLICIZES ITS RACIALLY NONDISCRIMINATORY POLICY WITH ALL ADVERTISING AND PUBLICATIONS PRODUCED.
201623019349300972,270497639,Line 3,ALL INFORMATION IS PROVIDED IN WRITTEN FORMAT IN ALL REGISTRATION FORMS AND COURSE CATALOG ALL INFORMATION IS PROVIDED IN WRITTEN FORMAT IN ALL REGISTRATION FORMS AND COURSE CATALOG
201622889349301537,420680323,"SCHEDULE E, PART I, LINE 3",THE POLICY IS PUBLISHED IN VARIOUS NEWSPAPERS AND BROCHURES FOR PROSPECTIVE STUDENTS.
201622889349301537,420680323,"SCHEDULE E, PART I, LINE 6",FINANCIAL AID OR ASSISTANCE FROM A GOVERNMENTAL AGENCY IS DISTRIBUTED TO STUDENTS USING FEDERALLY APPROVED FINANCIAL NEED ANALYSIS CRITERIA.
201602609349300105,582533742,"SCHEDULE E, LINE 3","SOUTHERN CATHOLIC HAS INCLUDED ITS RACIALLY NONDISCRIMINATORY POLICY IN ITS INCORPORATION DOCUMENTS AND PUBLICIZES ITS POLICY IN ITS CATALOGUES, BROCHURES, ADMISSIONS APPLICATIONS, AND IN VARIOUS OTHER PRINT AND BROADCAST MEDIA."
201602999349300145,330606003,"SCHEDULE E, LINE 3",THIS IS A SMALL SCHOOL WITH FEW STUDENTS. THE POLICY IS AVAILABLE UPON REQUEST.
201603199349204150,454072571,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized"
201603199349204150,454072571,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201603199349204150,454072571,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201632949349300148,480556726,"SCHEDULE E, PART I, LINE 3","THE FOLLOWING STATEMENT IS INCLUDED IN THE COLLEGE CATALOG WHICH IS DISTRIBUTED TO ALL PROSPECTIVE STUDENTS: TABOR COLLEGE DOES NOT DISCRIMINATE ON THE BASIS OF RACE, COLOR, GENDER, RELIGION, DISABILITY, OR NATIONAL OR ETHNIC ORIGIN IN ITS ADMINISTRATION OF ITS EDUCATIONAL POLICIES, FEDERAL, STATE, AND INSTITUTIONAL FINANCIAL AID POLICIES, SCHOLARSHIP PROGRAMS, LOAN PROGRAMS, ATHLETIC PROGRAMS, ADMISSIONS CRITERIA, OR ANY OTHER COLLEGE-ADMINISTERED PROGRAMS."
201632949349300148,480556726,"SCHEDULE E, PART I, LINE 6",TABOR COLLEGE RECEIVES MONEY FROM FEDERAL STUDENT LOAN PROGRAMS FOR ITS STUDENTS
201612999349300146,330934393,"SCHEDULE E, LINE 3",NONDISCRIMINATORY POLICY WAS AVAILALBE UPON REQUEST.
201613059349300756,133705284,"SCHEDULE E, PART I, LINE 3","THE COLLEGE PUBLICIZES ITS RACIALLY NONDISCRIMINATORY POLICY THROUGH SEVERAL VENUES, INCLUDING ITS WEBSITE, IN ITS HUMAN RESOURCES AND STUDENT BROCHURES AND MANUALS AND ON OTHER DOCUMENTATION PROVIDED TO POTENTIAL APPLICANTS TO THE COLLEGE."
201613059349300756,133705284,LINE 6:,"HELENE FULD COLLEGE OF NURSING RECEIVED THE FOLLOWING GRANTS IN 2015: 1. BUNDY AID (STATE GRANT) - $6,620 2. HIGH NEEDS NURSING AID (STATE GRANT) - $23,650 3. LIBRARY COLLECTION AID (STATE GRANT) - $4,096 4. FEDERAL PELL GRANT - $1,375 5. FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY (FSEOG) GRANT - $2,558 GRANTS AND AID DETAILS: TYPE OF FINANCIAL AID PROVIDED # OF RECIPIENTS: LOUIS & RACHEL RUDIN FOUNDATION - 147 SWITZER AWARD - 22 WILLIAM T. MORRIS FOUNDATION - 14 AID FOR PART-TIME STUDY - 18 NYS TUITION ASSISTANCE PROGRAM - 169 FEDERAL SUPPLEMENTAL EDUCATION OPPORTUNITY GRANT - 123 PELL GRANT - 365 TOTAL NUMBER OF RECIPIENTS - 858 **THE COLLEGE RECEIVES THE FOLLOWING AWARDS THAT DO NOT IMPACT THE COLLEGE'S PROFIT AND LOSS STATEMENT AS THE AWARDS ARE RECEIVED AND IMMEDIATELY DISBURSED TO SCHOLARSHIP/GRANT RECIPIENTS. US DEPARTMENT OF EDUCATION FEDERAL PELL GRANT PROGRAM - $714,646 FSEOG GRANT - $45,048 AID FOR PART-TIME STUDY (PART TIME TAP) - $12,288 NYS TUITION ASSISTANCE PROGRAM (TAP) - $207,184 TOTAL GRANTS - $979,166 LOANS - # OF RECIPIENTS - AMOUNT PRIVATE EDUCATIONAL LOAN - 22 - $156,715 FEDERAL SUBSIDIZED LOAN - 519 - $1,263,358 FEDERAL UNSUBSIDIZED LOAN - 567 - $2,169,677 TOTAL LOANS - $3,589,750"
201613009349300146,111802808,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized","Through newspaper print advertisements, in the school brochure for enrollment, and on the institution's web site."
201613009349300146,111802808,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained",Contributions are not solicited
201613009349300146,111802808,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201613009349200816,462929994,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized"
201613009349200816,462929994,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained","As the organization has just now commenced its functional operations, the data on racial/ethnic makeup and documentation of nondiscriminatory are in process and not yet complete. It is anticipated that these will be in place in early 2016."
201613009349200816,462929994,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201602609349300320,237417722,Line 3,OUR NON-DISCRIMINATORY POLICIES ARE WELL KNOWN TO OUR STUDENTS AND FACULTY. THIS IS BECAUSE WE OPERATE MAINLY IN CENTRAL AMERICA WHERE RACIAL DISCRIMINATION IS UNKNOWN. OUR NON-DISCRIMINATORY POLICIES ARE WELL KNOWN TO OUR STUDENTS AND FACULTY. THIS IS BECAUSE WE OPERATE MAINLY IN CENTRAL AMERICA WHERE RACIAL DISCRIMINATION IS UNKNOWN.
201602609349300320,237417722,Line 4d,SEE STATEMENT ON LINE 3 ABOVE SEE STATEMENT ON LINE 3 ABOVE
201602609349300320,237417722,Line 5h,N/A N/A
201602609349300320,237417722,Line 6b,N/A
201612669349300306,751786007,"Schedule E, Part I, Line 3","Non-discrimination policy is stated in the University's Catalog, which is available online through the University's website and electronic publications, at no charge to any individual/entity."
201602679349200205,261353976,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized"
201602679349200205,261353976,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201602679349200205,261353976,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201622659349300842,562538741,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized"
201622659349300842,562538741,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201622659349300842,562538741,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201612669349300781,463103295,"Schedule E, Part I, Line 3","The Academy annually publicizes its racially nondiscriminatory policy towards students in the Orlando Sentinel, a newspaper of general circulation that serves all racial segments of the community."
201612649349300516,272190032,Line 3,PUBLISHED ON WEBSITE AND INCLUDED IN ALL PRINTED RECRUITING MATERIAL.
201602649349300650,616002351,"Schedule E, Part I, Line 6","The college receives Federal funds through the PELL, SEOG, and Federal Workstudy programs."
201612639349300046,462795989,"SCHEDULE E, PART I, LINE 3","JC:HEM PROVIDES HIGHER EDUCATION AT REFUGEE CAMPS IN KENYA, MALAWI, JORDAN, THE CONGO, RWANDA, SOMALIA, SUDAN, UGANDA, BURUNDI, IRAQ, SYRIA & ETHIOPIA. THE REFUGEES PROVIDE THE RACIAL COMPOSITION; IT IS NOT DETERMINED BY THE ORGANIZATION."
201612639349300046,462795989,"SCHEDULE E, PART I, LINE 4","JC:HEM PROVIDES HIGHER EDUCATION AT REFUGEE CAMPS IN KENYA, MALAWI, JORDAN, THE CONGO, RWANDA, SOMALIA, SUDAN, UGANDA, BURUNDI, IRAQ, SYRIA & ETHIOPIA. THE REFUGEES PROVIDE THE RACIAL COMPOSITION; IT IS NOT DETERMINED BY THE ORGANIZATION."
201612639349300046,462795989,"SCHEDULE E, PART I, LINE 7","JC:HEM SERVICES: -BRING TOGETHER THOSE WHO WOULD NORMALLY BE UNABLE TO ACCESS HIGHER EDUCATION, WITH INSTITUTIONS SEEKING A PRACTICAL WAY TO TAKE EDUCATION WHERE IT IS NEEDED MOST; -ENABLE US TO COLLABORATE FULLY AND FREELY TO CREATE GLOBAL, VIRTUAL, IMMERSIVE LEARNING ENVIRONMENTS THROUGH WHICH JESUIT HIGHER EDUCATION CAN BE DELIVERED IN A MANNER THAT IS SCALABLE, SUSTAINABLE AND TRANSFERABLE -PROMOTE HUMAN DIGNITY AND GENDER EQUALITY WITH EDUCATORS ACCOMPANYING LEARNERS; -GIVE LIFE TO THE PRINCIPLES OF IGNATIAN PEDAGOGY OFFERING HIGHER EDUCATION CAPABLE OF TRANSFORMATIONAL LEARNING; -SHARE THE COMMON HUMAN AND SPIRITUAL VALUES OF ALL RELIGIONS AND CULTURES. THE ENTIRE MISSION OF THE ORGANIZATION IS PROVIDING SERVICES TO THOSE ON THE MARGINS OF OUR SOCIETY. NO FURTHER CERTIFICATION REGARDING RACIAL NONDISCRIMINATION HAS BEEN PROVIDED."
201642579349300429,200258004,"SCHEDULE E, PART I, LINE 3","GRADUATE COLLEGE DOES NOT DISCRIMINATE ON THE BASIS OF AGE, SEX, RACE, RELIGION, HANDICAP OR NATIONAL ORIGIN. RACIALLY NONDISCRIMINATORY POLICY IS PUBLISHED IN AREA NEWSPAPER."
201642579349300429,200258004,"SCHEDULE E, PART I, LINE 6",GOVERNMENT GRANTS ARE AWARDED TO THE COLLEGE FOR TEACHING AND RESEARCH.
201622679349300547,850164940,"SCHEDULE E, LINE 3","THE UNIVERSITY CATALOG, WHICH INCLUDES THE RACIALLY NONDISCRIMINATORY POLICY, IS POSTED ON THE UNIVERSITY WEBSITE. THE POLICY HAS ALSO BEEN PUBLISHED IN THE LOCAL NEWSPAPER. MEDIA EFFORTS ENCOURAGE INQUIRIES FROM ALL INTERESTED PARTIES. RECRUITING EFFORTS TARGET ALL RACIAL POPULATIONS. UNIVERSITY OF THE SOUTHWEST HAS BEEN CLASSIFIED AS A HISPANIC- SERVING INSTITUTION BY THE US DEPARTMENT OF EDUCATION."
201622679349300547,850164940,"SCHEDULE E, LINE 6",STUDENTS ATTENDING UNIVERSITY OF THE SOUTHWEST ARE ELIGIBLE TO RECEIVE FEDERAL TITLE IV FINANCIAL ASSISTANCE ADMINISTERED THROUGH THE UNIVERSITY. NEW MEXICO RESIDENTS ATTENDING THE UNIVERSITY ARE ELIGIBLE TO RECEIVE FINANCIAL ASSISTANCE FROM THE STATE OF NEW MEXICO ADMINISTERED TRHOUGH THE UNIVERSITY.
201643029349301114,450231180,"Schedule E, Part I, Line 3","University of Jamestown employs direct mail in the solicitation for students. Written communications used in the solicitation process include a statement of the University of Jamestown nondiscriminatory policy. Further, written communications used in the application process include the statement of our nondiscriminatory policy."
201643029349301114,450231180,"Schedule E, Part I, Line 6","University of Jamestown receives federal funding. The major program was the Student Financial Aid cluster consisting of: Federal Pell Grant Program, Federal Work Study Program, FSEOG Program, Perkins Loan Program, Federal Direct Student Loan Program, and Parents Loans for Undergraduate Students Loan Program."
201623069349300122,980149857,"Form 990, Schedule E, Line 3","In Costa Rica, the University is not required to maintain a racial discrimination policy as it is perceived that Racial discrimination is virtually non existent in the country. The University's diversity is acknowledged not only in all literature prepared by the University (brochures, applications etc), but it is also highlighted in the organization's annual report and on its website. The University believes its racial equality policy is, therefore, self-evident."
201623069349300122,980149857,"Form 990, Schedule E, line 6A",This organization has received governmental assistance from the royal embassy of norway.
201602919349300015,240795439,"SCHEDULE E, PART I, LINE 3","ALL BROCHURES, CATALOGS, AND COMMUNICATIONS WITH THE PUBLIC STRESS THE NON-DISCRIMINATORY POLICY OF THE SCHOOL."
201602919349300015,240795439,"SCHEDULE E, PART I, LINE 6","THE COLLEGE RECEIVES VARIOUS GRANT FUNDING AND ASSISTANCE FROM THE DEPARTMENT OF EDUCATION, THE STATE OF PENNSYLVANIA, ETC. WHICH FURTHER THE OVERALL EDUCATIONAL GOALS OF THE SCHOOL."
201642989349301074,710236867,"SCHEDULE E, PART I, LINE 3","ALL BROCHURES, NEWSPAPER ADVERTISEMENTS, UNIVERSITY CATALOGS, ETC. INCLUDE THE NONDISCRIMINATORY POLICY."
201642989349301074,710236867,"SCHEDULE E, PART I, LINE 6","THE UNIVERSITY RECEIVED FUNDS FROM THE US DEPARTMENT OF EDUCATION. SEOG, TEACH, AND PELL GRANTS, PERKINS LOANS, COLLEGE WORK STUDY FUNDS AND FEDERAL DIRECT LOANS ARE RECEIVED TO ENABLE THE UNIVERSITY TO PROVIDE FINANCIAL ASSISTANCE TO STUDENTS ATTENDING THE UNIVERSITY. FUNDS WERE RECEIVED FROM THE SPECIAL SERVICES FOR DISADVANTAGED STUDENTS PROGRAM UNDER TITLE IV. THOSE FUNDS COVERED THE EXPENSES OF THE UNIVERSITY'S STUDENT SUPPORT PROGRAM."
201622919349301112,951916051,"Schedule E, Part I, Line 3","The Non-Discrimination policy is published in Hope International University's advertisements in printed media, the University Student Handbook, newspaper and magazine advertisements, and various electronic media."
201622919349301112,951916051,"Schedule E, Part I, Line 6",Federal financial aid funds under Title IV are received by the University and awarded and disbursed to its students.
201623029349200602,541779894,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized"
201623029349200602,541779894,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201623029349200602,541779894,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201602939349200805,270023016,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized",The Non Discrimination Policy is disclosed on the home page of the website and available to the general public.
201602939349200805,270023016,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201602939349200805,270023016,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201633029349300518,263664845,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized",THE NONDISCRIMINATORY POLICY IS MADE PUBLIC THROUGH PUBLICATION IN A LOCAL NEWSPAPER.
201633029349300518,263664845,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201633029349300518,263664845,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201613029349300501,561388743,"SCHEDULE E, LINE 3","NONDISCRIMINATORY POLICY IS PUBLISHED ANNUALLY IN THE COLLEGE CATALOG, WHICH IS AVAILABLE AT THE COLLEGE IN HARD COPY FORM AND ON THE WEBSITE"
201613139349201181,454047696,"SCHEDULE E, PART I, LINE 3",THE ORGANIZATION PUBLISHED THE NON-DISCRIMINATION NOTICE DURING THE PERIOD OF SOLICITATION OF STUDENTS AND DURING THE REGISTRATION PERIOD IN THE LOCAL NEWSPAPER AVAILABLE FOR GENERAL CIRCULATION.
201613159349201461,050459858,"SCHEDULE E, PART I, LINE 3",NOTICE OF NONDISCRIMINATORY POLICY PUBLISHED IN THE PROVIDENCE JOURNAL SERVING THE GREATER PROVIDENCE AREA.
201602919349301055,344429091,"SCHEDULE E, PART I, LINE 3",OHIO NORTHERN UNIVERSITY POSTS ITS RACIALLY NONDISCRIMINATORY POLICY ON ITS WEBSITE AND MARKETING MATERIALS.
201602919349301055,344429091,"SCHEDULE E, PART I, LINE 6A","OHIO NORTHERN UNIVERSITY RECEIVES GOVERNMENTAL ASSISTANCE SUCH AS PELL, FSEOG AND FEDERAL WORK-STUDY GRANTS AND STAFFORD, PERKINS, HEALTH PROFESSIONS, AND NURSING STUDENT LOANS."
201602879349300925,942401323,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized","New College for Advanced Christian Studies admits students of any race, creed, color, national or ethnic origin to all of its programs."
201602879349300925,942401323,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained",New College for Advanced Christian Studies has records of the racial composition of the faculty and directors. New College for Advanced Christian Studies draws students from a diverse local population but does not keep records of the racial composition of those students.
201602879349300925,942401323,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201632749349300108,541743079,"SCHEDULE E, LINE 3",THE NONDISCRIMINATORY POLICY IS INCLUDED IN ALL RECRUITING MATE RIALS AS WELL AS MATERIALS FOR ADVERTISING.
201632749349300108,541743079,"SCHEDULE E, LINE 6",THE LAW SCHOOL PARTICIPATES IN THE FEDERAL FAMILY EDUCATION LOA N PROGRAM.
201602939349300415,462298596,"SCHEDULE E, LINE 3",WE HAVE A K12 WEBSITE WITH OUR EQUAL EMPLOYMENT OPPORTUNITY POLICY AND AMERICAN WITH DISABILITIES ACT INFORMATION AVAILABLE TO THE PUBLIC.
201602939349300415,462298596,"SCHEDULE E, LINE 6",WE RECEIVE FUNDS FROM THE STATE DEPARTMENT OF EDUCATION AND FEDERAL TITLE MONIES FOR THE EDUCATION OF STUDENTS IN OUR K-12 CLASSES. WE ARE AN ON- LINE PUBLIC CHARTER SCHOOL AND RECEIVE FUNDS FOR EDUCATION PURPOSES.
201622599349300892,611124267,"Schedule E, Part I, Line 3 RACIALLY NONDISCRIMINATORY POLICY",The school publishes a notice of its racially nondiscriminatory policy in a newspaper of general circulation that serves all racial segments of the community. This publication is repeated at least once annually during the period of solicitation for students or during the school's registration period. The notice appears in a section of the newspaper and in a manner likely to be read by prospective students and their families. The school also uses broadcast media to publicize the policy. The announcements are made on stations at a time and of sufficient duration likely to be listened to by a substantial number of all racial segments of the general community the school serves.
201622599349300892,611124267,"Schedule E, Part I, Line 6(a) FINANCIAL AID OR ASSISTANCE FROM A GOVERNMENT",The school receives various grants from the health resources and services administration to fund programs and program development for the education of nurse midwives and family nurse practitioners.
201622729349300122,561065978,"SCHEDULE E, PART I, LINE 3","THE POLICY IS PUBLISHED IN THE UNIVERSITY CATALOG, NEWSLETTERS, THE MID-ATLANTIC CHRISTIAN UNIVERSITY WEBSITE, ADMISSIONS, STUDENT APPLICATIONS, EMPLOYMENT APPLICATIONS, AND SOLICITATIONS."
201622729349300122,561065978,"SCHEDULE E, PART I, LINE 6",MID-ATLANTIC CHRISTIAN UNIVERSITY PARTICIPATES IN THE TITLE IV STUDENT FINANCIAL AID PROGRAMS OF THE UNITED STATES DEPARTMENT OF EDUCATION. THE UNIVERSITY ALSO RECEIVES ASSISTANCE FROM THE NORTH CAROLINA NEED-BASED SCHOLARSHIP.
201632859349300403,480559090,"SCHEDULE E, PART I, LINE 3",THE NONDISCRIMINATION POLICY IS POSTED ON THE WEBSITE
201632859349300403,480559090,"SCHEDULE E, PART I, LINE 6",THE COLLEGE PARTICIPATES IN SEVERAL FEDERAL FINANCIAL AID PROGRAMS INCLUDING PELL AND FEDERAL DIRECT LOANS.
201642889349301169,800257911,"Schedule E, Part I, Line 3","The University Preparatory Charter School for Young Men publicizes its racially nondiscriminatory policy through WDKX-103.9 during the period of solicitation for students, as well as during the registration period, in a way that the policy is known and understood to the Greater Rochester Area Community."
201642889349301169,800257911,"Schedule E, Part I, Line 4",The University Preparatory Charter School for Young Men does not solicit contributions.
201642889349301169,800257911,"Schedule E, Part I, Line 6","6a) 1. Title I and Title IIA/Federal Government Grants 2. CNMS Child Nutrition Federal and State Reimbursement 3. New York State Education Department 2013-2016 21st Century Community Learning Centers Grant 4. We are currently in our seventh year of receiving funds for student aid, which is formula driven for regular education and special education students with special needs. 5. IDEA Grant 6. New York State Education Textbook Aid 7. New York State Special Additional Funding for Charter Schools 8. E-Rate Grant"
201602889349300030,020344073,"SCHEDULE E, LINE 3",PUBLICIZED IN POSTERS AND THE COLLEGE HANDBOOK.
201602889349300030,020344073,"SCHEDULE E, LINE 6","THE COLLEGE ADMINISTERS FEDERAL ASSISTANCE ON BEHALF OF THE STUDENTS IN THE FORMS OF PELL GRANTS, FSEOG AND FEDERAL DIRECT LOANS."
201622819349300402,381443369,6a,Funds are received from the State of Michigan and Federal government agencies for student financial aid and work study programs.
201602929349301000,562231069,"SCHEDULE E, PART I, LINE 3",THROUGH PRINT AND ELECTRONIC MEDIA
201602929349301000,562231069,"SCHEDULE E, PART I, LINE 6",HOOD THEOLOGICAL SEMINARY STUDENTS RECEIVE FINANCIAL ASSISTANCE THROUGH THE U.S. DEPARTMENT OF EDUCATION FEDERAL DIRECT STUDENT LOAN PROGRAM. FUNDS RECEIVED ARE USED TO PAY TUITION AND FEES. FEDERAL WORK STUDY AWARDS ASSIST STUDENTS THROUGH PARTIAL PAYMENT OF ON-CAMPUS JOBS TO ASSIST IN MEETING STUDENT FINANCIAL NEED.
201632879349300743,750855633,"Schedule E, Line 6 - Explanation of Aid or Assistance from Governmental Agency",Explanation of government financial aid: The university receives support through the department of education that is used for student financial assistance.
201632879349300743,750855633,"Schedule E, Line 3 - Racially Nondiscriminatory Policy Publicized",The university publishes its nondiscriminatory policy in the university catalog.
201632879349300743,750855633,"Schedule E, Line 4 - Explanation of Records and Materials Not Maintained"
201632879349300743,750855633,"Schedule E, Line 5 - Explanation of Organization Discrimination by Race"
201622849349301117,461549605,"SCHEDULE E, LINE 3","THE INSTITUTE HAS A NONDISCRIMINATORY POLICY. A COPY OF THE POLICY WILL BE PROVIDED IN SCHOOL PACKETS PROVIDED TO ITS STUDENTS, INCLUDED IN SOLICITATION MATERIALS FOR PROSPECTIVE STUDENTS, AND HAS APPEARED IN NEWSPAPER ADVERTISEMENTS."
201602859349300515,203185510,"SCHEDULE E, PART I, LINE 3",THE WASHINGTON POST 5/4/2015
201612949349300501,596605703,"SCHEDULE E, PART I, LINE 3","THE UNIVERSITY'S POLICY STATEMENT IS INCLUDED IN ITS MESSAGE TO THE PUBLIC: HODGES UNIVERSITY, AS AN OPEN, CREATIVE AND COMMUNITY-CONSCIOUS EDUCATIONAL INSTITUTION, MUST FULFILL ITS MISSION IN THE CLIMATE OF A CHANGING WORLD. THAT EACH STUDENT, AS A UNIQUE PERSON, DESERVES A PROGRAM OF STUDIES AND VARIED EXPERIENCES FOR PERSONAL GROWTH WITHOUT REGARD TO RACE, COLOR, GENDER, SEXUAL ORIENTATION, RELIGION, CREED, NATIONAL ORIGIN, POLITICAL OPINIONS OR AFFILIATIONS, DISABLED VETERAN STATUS, DISABILITY, OR AGE AS PROVIDED BY LAW AND IN ACCORDANCE WITH THE UNIVERSITY'S RESPECT FOR PERSONAL DIGNITY."
201612949349300501,596605703,"SCHEDULE E, PART I, LINE 6","HODGES UNIVERSITY, INC. PARTICIPATES IN BOTH STATE AND FEDERAL STUDENT FINANCIAL ASSISTANCE PROGRAMS. VIRTUALLY ALL FUNDS RECEIVED THROUGH THESE PROGRAMS ARE IMMEDIATELY CREDITED TO STUDENT ACCOUNTS FOR PAYMENT OF TUITION, FEES AND BOOKS. EXCESS FUNDS ARE DELIVERED TO STUDENTS ACCORDING TO PROGRAM REQUIREMENTS. SOME PROGRAMS PROVIDE A SMALL ADMINISTRATIVE ALLOWANCE FOR THE INSTITUTION."
201602799349300315,850303705,"Schedule E, Part I, Line 3",School website and posted information and student handbook.
201602799349300315,850303705,"Schedule E, Part I, Line 5","As a tribally-controlled university, required to follow the Navajo Nation's Navajo Preference in Employment Law."
201602799349300315,850303705,"Schedule E, Part I, Line 6",The University receives an annual appropriation from the Navajo Nation to supplement operational funding.
201613149349302221,420680408,"Schedule E, Part I, Line 3","Clarke does not make any public disclosures in the media regarding its nondiscrimination policy when recruiting students. However, Clarke does include a statement in the Magazine of Clarke, the website and other printed materials such as brochures and applications. All public job postings include a statement that Clarke is an equal opportunity employer."
