object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt
201930859349300928,131740445,X,Sculpture,1,499,FMV
201910889349300401,231352641,X,EVENT EXPENSES,2,11079,FMV
201910889349300401,231352641,X,SUPPLIES,3,1002,FMV
201940179349300129,620599339,X,PIPE ORGAN,1,475000
201940179349300129,620599339,X,USE OF SPACE/RENT,1,225000,FAIR MARKET VALUE OF
201940179349300129,620599339,X,OTHER,99,70178
201940179349300129,620599339,X,PATRONS PARTY HOSTING,1,42550
201940179349300129,620599339,X,DENTAL SERVICES,1,7500
201940179349300129,620599339,X,MUSICAL INSTRUMENTS,1,6484
201940179349300129,620599339,X,PLANE RIDE,1,4000
201940179349300129,620599339,X,LOUNGE/VENUE RENTAL,1,3000
201920949349300927,520591661,X,ART SUPPLIES,11,0,0
201920949349300927,520591661,X,EQUIPMENT,7,0,0
201900709349300125,340714629,X,"Computer ctrl 8"" telescope",1,1000,Expert opinion
201900159349300415,411968798,X,SUPPLIES FOR FUNDRAISING EVENTS,43,24849,COST
201900159349300415,411968798,X,SCHOOL SUPPLIES,11,17035,COST
201900159349300415,411968798,X,STUDENT PRIZES,107,12096,COST
201900459349301750,981358092,X,Insurance,5,6128,FMV
201900459349301750,981358092,X,Lab Equipment,1,3253,FMV
201900459349301750,981358092,X,Sports Memorabilia,2,1215,FMV
201900459349301750,981358092,X,Chair,1,1075,FMV
201900459349301750,981358092,X,Trees,1,144,FMV
201910869349300216,756001300,X,OTHER,14,18330,THRIFT STORE VALUE
201910869349300216,756001300,X,PIANO,1,10000,EXPERT OPINION
201910869349300216,756001300,X,SILVERWARE,1,5253,THRIFT STORE VALUE
201910529349300116,231352692,X,FURNITURE AND EQUIPMENT,5,13444,FAIR MARKET VALUE
201910529349300116,231352692,X,GIFT CERTIFICATES/GIVEAWAYS,23,6714,FAIR MARKET VALUE
201910529349300116,231352692,X,SERVICES/MATERIALS,16,1671,FAIR MARKET VALUE
201900939349300820,540646523,X,FURNITURE & EQUIPMENT,12,482848,FMV
201910929349300631,951643992,X,LIFE INSURANCE,1,45042,CASH VALUE
201920859349300327,560556753,X,FURNITURE & EQUIPMENT,1,250000,OWNER'S ESTIMATE
201920859349300327,560556753,X,MUSICAL INSTRUMENTS,1,12000,OWNER'S ESTIMATE
201900989349300705,420680408,X,Gift certificates,38,10598,Cost
201900989349300705,420680408,X,Furniture,3,5130,Cost
201900989349300705,420680408,X,Travel,8,3786,Cost
201900989349300705,420680408,X,Tickets,5,2597,Cost
201900989349300705,420680408,X,Jewelry,3,1039,Cost
201900989349300705,420680408,X,Rental,2,950,Cost
201900989349300705,420680408,X,Print,1,180,Cost
201900849349301450,160743942,X,MISCELLANEOUS,18,51926,COST
201900849349301450,160743942,X,TICKETS/PASSES,10,1204,COST
201900849349301450,160743942,X,GIFT CARDS,14,774,COST
201920319349301202,860711495,X,Forgiveness of debt,1,400000,Fair value
201920319349301202,860711495,Books,1,1000,Fair value
201920319349301202,860711495,Floral arrange,1,1890,Fair value
201940949349300339,042271070,X,MISCELLANEOUS,7,36194,FMV
201940949349300339,042271070,X,AUCTION ITEMS,62,28673,FMV
201940949349300419,570324906,X,Other,3,5217,Fair market value
201920639349300507,480777079,X,MISCELLANEOUS ITEMS,27,11175,FMV
201920379349300432,420680460,X,PROGRAM EQUIPMENT & RESOURCES,266,96191,"ITEMS < 5,000 EACH"
201920379349300432,420680460,X,PROGRAM EQUIPMENT & RESOURCES,2,14700,ACTUAL COST
201910729349300631,530196549,X,Meals & Gift Cards,1,15000,Market Value
201910729349300631,530196549,X,Furniture and Equipment,3,8358,Market Value
201910729349300631,530196549,X,Software & Licenses,1,840000,Market Value
201911019349300111,411607453,X,PAINTING AND ADS,2,21833,FAIR MARKET VALUE
201911019349300111,411607453,X,COMPUTERS,10,13550,FAIR MARKET VALUE
201911019349300111,411607453,X,CAMERA,1,27,FAIR MARKET VALUE
201911019349300441,150545841,X,TRAVEL EXPENSES,6,8479,FMV
201930809349300813,135562314,X,Various items for Auction,184,60632,Retail Value
201930809349300813,135562314,X,Catering,1,1984,Retail Value
201833189349305598,141423161,X,LAB EQUIPMENT,1,51672,FAIR MARKET VALUE
201833189349305598,141423161,X,FUNDRAISING PRIZES FOR RAFFLES,7,29383,FAIR MARKET VALUE
201833189349305598,141423161,X,T-SHIRTS FOR HEALTH FAIR,1,4060,FAIR MARKET VALUE
201930739349300018,530196583,X,EVENT DONATIONS,4,17762,COST
201900579349301350,540505892,X,Horses,6,299499,Appraisals
201900579349301350,540505892,X,Video System,1,6812,FMV
201910859349300346,610448560,X,EQUIPMENT,5,14117,FAIR MARKET VALUE
201910859349300346,610448560,X,SUPPLIES,11,8884,FAIR MARKET VALUE
201931009349300243,750926755,X,furniture,1,447815,fmv
201920379349300807,381393841,X,SPORTS INVENTORY,1,18000,FMV
201920379349300807,381393841,X,GRAND PIANO/FURNITURE,1,15300,FMV
201920379349300807,381393841,X,SOFTWARE,1,7000,FMV
201930099349300013,590624401,X,VARIOUS ITEMS,11,19,VALUED AT $1 EACH
201940169349300519,560547511,X,LEGAL SERVICES,1,35000,MARKET VALUE
201940169349300519,560547511,X,SPORTS EQUIPMENT,1,15621,MARKET VALUE
201940169349300519,560547511,X,OTHER,23,9528,MARKET VALUE
201940169349300519,560547511,X,FURNITURE,1,5800,MARKET VALUE
201900929349300215,420680389,X,Athletic Fundraising,63,20992,FMV
201900929349300215,420680389,X,Misc. Gifts in Kind,18,32385,FMV
201900929349300215,420680389,X,Use of Vehicle Provided,1,9375,Dealer Lease Rate
201910579349300546,237213309,X,Scientific Equipment,1,43029,Indep. Appraisal
201910579349300546,237213309,X,Life insurance,8,10363,Annual Premium
201803199349310525,810231774,X,DONATED AUCTION ITEMS,205,78331,MARKET VALUE-GIFT DA
201803199349310525,810231774,X,CHAPEL DONATION OF FURNITURE AND ART,1,42251,MARKET VALUE-GIFT DA
201803199349310525,810231774,X,AUTO LEASE,3,22475,MARKET VALUE-GIFT DA
201803199349310525,810231774,X,MISC SUPPLIES AND GIFTS,101,9214,MARKET VALUE-GIFT DA
201940939349300234,590859121,X,MUSICAL INSTRUMENT,1,13000,APPRAISAL
201940939349300234,590859121,X,MARINE EQUIPMENT,48,48,FMV
201940939349300234,590859121,X,PROMOTIONAL ITEMS,19,19,FMV
201940939349300234,590859121,X,RECREATIONAL EQUIPMENT,1,1,FMV
201921009349300427,240795506,X,EQUIPMENT,7,29103,ESTIMATED FMV
201920859349301112,250965557,X,ORTHODONTIC SUPPLIES/EQUIPMENT,6,211327,FAIR MARKET VALUE
201920859349301112,250965557,X,GIFT CARD/BASKET,19,1254,FAIR MARKET VALUE
201920859349301112,250965557,X,JEWELRY,2,770,FAIR MARKET VALUE
201920859349301112,250965557,X,EQUIPMENT,1,156,FAIR MARKET VALUE
201920859349301112,250965557,X,ADMISSION TICKETS,1,124,FAIR MARKET VALUE
201920859349301112,250965557,X,SIGNAGE,1,108,FAIR MARKET VALUE
201920859349301112,250965557,X,MUSICAL INSTRUMENT,1,100,FAIR MARKET VALUE
201940429349301179,420686467,X,AUCTION ITEMS,39,18595,ACTUAL
201940829349300304,820200907,X,ORGAN FOR THE MUSIC DEPARTMENT,1,15955,APPRAISED
201931059349300828,042103545,X,SPRINKLER SYSTEMS/EQUIP,2,583609,ACTUAL INVOICE PRICE
201931059349300828,042103545,X,EVENTS/RECEPTIONS,13,50805,ACTUAL INVOICE PRICE
201931059349300828,042103545,X,GAME TICKETS,1,2040,ACTUAL INVOICE PRICE
201931059349300828,042103545,X,FLOWERS,1,28770,ACTUAL INVOICE PRICE
201900499349300020,440545286,X,HORSES,7,5250,COST
201900499349300020,440545286,X,SERVICES,2,2314,COST
201900499349300015,610444650,X,CRAFT ITEMS,2,2501,Market value
201900499349300015,610444650,X,REMAINDER OF ANNUITY TRUST,2,23893,Market value
201900499349300015,610444650,X,LOOM,1,4990,Market value
201900499349300015,610444650,X,CATERING,1,75,Market value
201940929349300439,350867954,X,Company prod.,6,82103,Fair market value
201940929349300439,350867954,X,Equipment,1,11604,Fair market value
201940929349300439,350867954,X,Gift cards,2,1670,Fair market value
201940929349300439,350867954,X,Office/travel,7,1223,Fair market value
201930989349301213,930309970,X,CLINIC EQUIPMENT,0,35250,FMV
201900959349300810,630288811,X,miscellaneous,3,4320,COST
201900529349300605,042002060,X,RAFFLE ITEMS,0,2015,FMV
201900379349301120,390821861,X,OTHER,5,2735,FMV
201900379349301120,390821861,X,LABOR & MATERIALS - WALL PLASTERING,1,2000,FMV
201900379349301120,390821861,X,QUOTEPADS,1,1392,FMV
201920609349300512,310840764,X,FOOD AND BEVERAGES - EVENT,7,2677,FAIR VALUE
201920609349300512,310840764,X,EVENT TICKETS,4,2251,FAIR VALUE
201920609349300512,310840764,X,GIFT CARDS,6,775,FAIR VALUE
201930649349300708,420707114,X,TICKETS,1,10620,COST
201930649349300708,420707114,X,TRAVEL EXPENSES,9,10388,COST
201930649349300708,420707114,X,SUPPLIES,2,2411,COST
201930649349300708,420707114,X,AUCTION ITEMS,8,1138,COST
201940949349300609,741159753,X,Equestrian Supplies,2,1853,Cost
201940949349300609,741159753,X,Equipment,4,8802,Other - Cost & Opinions of Experts
201940949349300609,741159753,X,Horses,5,35003,Opinions of experts
201940949349300609,741159753,X,Jet Engine,1,90000,Market value
201940949349300609,741159753,X,Discount on Audio/Visual Equipment & Related Items,1,7818,Cost
201940949349300609,741159753,X,Trumpet and accessories,1,1350,Market value
201940949349300609,741159753,X,Football Tickets,1,233,Cost
201940949349300609,741159753,X,Mineral Rights,1,364886,Market value
201940949349300609,741159753,X,Decorations/Flowers,2,13147,Cost
201940949349300609,741159753,X,Jewelry,1,54,Cost
201940949349300609,741159753,X,Furniture,1,35640,Opinions of experts
201940949349300609,741159753,X,Light Fixtures,1,7800,Opinions of experts
201940949349300609,741159753,X,Tapestry,1,5400,Opinions of experts
201940949349300609,741159753,X,Vases,1,760,Opinions of experts
201940949349300609,741159753,X,Dishes,1,1813,Opinions of experts
201940949349300609,741159753,X,Decorative Items,1,5912,Opinions of experts
201940949349300609,741159753,X,CD's,1,100,Opinions of experts
201940949349300609,741159753,X,Baylor Paraphernalia,1,558,Opinions of experts
201940949349300609,741159753,X,Electronics,1,60,Opinions of experts
201940949349300609,741159753,X,linens,1,655,Opinions of experts
201940949349300609,741159753,X,Rugs,1,500,Opinions of experts
201940949349300609,741159753,X,Expenses for Use of Airplane,5,77781,Cost
201940949349300609,741159753,X,Supplies,1,1,NONE
201940569349300114,042104778,X,AUCTION ITEMS,5,875,FMV
201940569349301059,610470593,X,MISCELLANEOUS SMALL ITEMS,23,24404,FAIR MARKET VALUE
201940569349301059,610470593,X,LIFE INSURANCE PREMIUM,1,1112,FAIR MARKET VALUE
201930439349300448,381369604,X,EQUIPMENT,4,42305,FMV
201900379349300975,237099472,X,PIANO,1,27398,Appraisal
201900959349301150,350868158,X,"Piano, Camera, TV",4,8028,Opinions of experts
201931059349301333,630288841,X,FURNITURE,2,34600,FAIR MARKET VALUE
201931059349301333,630288841,X,MEDICAL EQUIPMENT,1,500,FAIR MARKET VALUE
201940929349300744,410695524,X,8 Rank Pipe Organ,1,220000,Qualified Independent Appraisal
201940929349300744,410695524,X,Research Equipment,1,257916,Fair Market Value
201940929349300744,410695524,X,Auction Items,457,76237,Donated Value
201910949349301021,410695527,X,EQUIPMENT,3,28435,COST
201940609349300904,430653369,X,RAWLINGS SPORTING GOODS COMPANY - COMPANY PRODUCT,1,50648,FMV
201940609349301024,390477970,X,MISCELLANEOUS,128,184806,DONOR VALUE
201803199349313400,410693856,X,"TOOLS, MACHINERY, EDUCATIONAL EQUIPMENT, MISC SUPPLIES",16,79025,FAIR MARKET VALUE
201803189349308010,541919810,X,DEBT FORGIVENESS,1,3382538,LOAN FORGIVENESS AGR
201803189349308010,541919810,X,GIFT IN KIND,1,9533,FAIR MARKET VALUE
201901359349311240,570314365,X,Laptops,1,7600,FMV
201901359349311240,570314365,X,Furniture,1,2800,FMV
201911629349300016,370662594,X,GIFTS IN KIND,7,6644,FAIR VALUE
201833389349300933,840442429,X,4 NIghts Lodging,1,500,FMV
201833389349300933,840442429,X,Gift Spa Bags,40,400,FMV
201833389349300933,840442429,X,GIFT CARD,50,250,FMV
201833389349300933,840442429,X,Race Car Rental & Track Time,1,5075,FMV
201833389349300933,840442429,X,Drum Kit,1,800,FMV
201942249349300934,951643307,X,EQUIPMENT,3,125829,INVENTORY&PLACE MARK
201912279349300316,980391928,X,Scientific Equipment,1,14021,FMV
201912279349300316,980391928,X,Electronic Equipment & Supplies,23,31415,FMV
201823349349300717,560657294,X,PROF SVCS,1,2650,APPRAISALS
201901139349300240,931139187,X,MISCELLANEOUS GOODS,100,42426,FMV
201823519349300817,620548913,X,FURNITURE,1,2200,FMV
201823519349300817,620548913,X,OFFICE FURNITURE,1,1400,FMV
201823519349300817,620548913,X,PIANO,1,600,FMV
201823179349303002,430471057,X,AIRLINE VOUCHERS,20,10000,CASH VALUE
201823179349303002,430471057,X,ASSORTED METERS AND SUPPLIES,10,5131,FAIR MARKET VALUE
201941349349310549,953127273,X,Golf Tournament Materials,1,12329,Market Value
201941349349310549,953127273,X,Pet Food,1,70726,Market Value
201903119349301020,136171197,X,DINING & ENTERTAINMENT,4,7367,RESALE VALUE
201903119349301020,136171197,X,GIFT BASKET,13,21711,RESALE VALUE
201903119349301020,136171197,X,CERTIFICATE/VOUCHER,12,4583,RESALE VALUE
201903119349301020,136171197,X,DECORATIONS,1,5325,RESALE VALUE
201903119349301020,136171197,X,EVENTS & PROGRAMS,2,1040,RESALE VALUE
201903119349301020,136171197,X,JEWELRY,1,2500,RESALE VALUE
201903119349301020,136171197,X,PHOTOGRAPHY,2,2212,RESALE VALUE
201903119349301020,136171197,X,TRAVEL,1,475,RESALE VALUE
201911359349311616,042103547,X,"OTHER- EQUIP. - MED, RESEARCH, EDU",5,252363,INDEP. APPRAISAL
201911359349311616,042103547,X,OTHER - EVENT SUPPORT,7,17231,EVENT SUPPORT COST
201911359349311616,042103547,X,OTHER - MISCELLANEOUS,2,1,INDEP. APPRAISAL
201911359349307076,472654761,X,4,106014,FMV
201940089349300964,420680408,X,Gift certificates,38,10598,Cost
201940089349300964,420680408,X,Furniture,3,5130,Cost
201940089349300964,420680408,X,Travel,8,3786,Cost
201940089349300964,420680408,X,Tickets,5,2597,Cost
201940089349300964,420680408,X,Jewelry,3,1039,Cost
201940089349300964,420680408,X,Rental,2,950,Cost
201940089349300964,420680408,X,Print,1,180,Cost
201911359349311821,910565553,X,Equipment,6,27920,FMV
201911359349311821,910565553,X,Airplane Vouchers,1,13750,FMV
201913059349300341,410693856,X,"TOOLS, MACHINERY, EDUCATIONAL EQUIPMENT, MISC SUPPLIES",10,58190,FAIR MARKET VALUE
201911359349300236,580531392,X,CONSTRUCTION OF STUDENT REC CENTER,0,215611
201912739349300246,942245517,X,GROUNDWORKS,3,7500,ACTUAL VALUE
201912739349300246,942245517,X,"SUPPLIES, ETC",18,44100,ACTUAL VALUE
201931209349301243,160743140,X,Equipment,13,418425,Market value
201931209349301243,160743140,X,Consumables,19,507298,Market value
201931209349301243,160743140,X,Other,10,9716,Market value
201931349349307983,231653718,X,SUPPLIES,3,7090,COMPARABLE SALES
201931349349307983,231653718,X,AUCTION - TICKETS,20,5244,COMPARABLE SALES
201931349349307983,231653718,X,AUCTION - OTHER,21,4618,COMPARABLE SALES
201931349349307983,231653718,X,AUCTION - TRAVEL,2,2825,COMPARABLE SALES
201903129349303045,205606926,X,Event supplies,1,3840,FMV
201903129349303045,205606926,X,Office supplies,3,191,FMV
201941359349300304,910564993,X,GALA AUCTION,190,143126,FAIR MARKET VALUE
201941359349300304,910564993,X,FILL DIRT,1,38500,FAIR MARKET VALUE
201901269349300335,240795445,X,ATHLETICS EQUIPMENT/CLOTHING,5,26933,RECEIPTS
201900189349301135,237069575,X,Equipment and Furnishing,1,2271,Fair value
201900189349301135,237069575,X,Life Insurance,17,33959,Fair Value
201900189349301135,237069575,X,Research Projects,30,3117590,Fair Value
201900749349301420,314379584,X,Golf fees - Pioneer Golf Challenge,1,600,Cost
201900749349301420,314379584,X,"Lunch, dinner, and cruise - Pioneer Golf Challenge",1,400,Cost
201900749349301420,314379584,X,Green fees with cart and misc. labor - Pioneer Golf Challenge,1,3040,Cost
201900749349301420,314379584,X,"Misc. items for golf outing - deposits, glasses, etc. - Pioneer Golf Challenge",1,1196,Cost
201900749349301420,314379584,X,Custom golf club with cover - Pioneer Golf Challenge,1,250,Cost
201900749349301420,314379584,X,Table for chemistry department - materials and assembly,1,366,Cost
201900749349301420,314379584,X,Dinner - First Year Experience,1,446,Cost
201900749349301420,314379584,X,Dinner - Baseball team in Port Charlotte,1,958,Cost
201900749349301420,314379584,X,Security camera,1,3124,Cost
201900749349301420,314379584,X,2 bottles of wine - Pioneer Golf Challenge,1,150,Cost
201900749349301420,314379584,X,Old barn beam - Pioneer Golf Challenge,1,125,Cost
201900749349301420,314379584,X,Marietta Weathervane - Pioneer Golf Challenge,1,200,Cost
201900749349301420,314379584,X,Pianos,1,114220,Cost
201900749349301245,860702049,X,PRODUCT CREDIT,1,12500,FAIR MARKET VALUE
201900749349301245,860702049,X,MISCELLANEOUS,1,45294,FAIR MARKET VALUE
201901149349300335,941156617,X,EQUIPMENT,3,306005,SELLING PRICE
201901149349300335,941156617,X,MISC SUPPLIES,14,197014,SELLING PRICE
201921149349300707,231352648,X,Piano,1,22000,FMV
201921149349300707,231352648,X,Photographic Archives,1,4674,FMV
201921149349300707,231352648,X,Gift Certificates,13,1012,FMV
201921149349300707,231352648,X,Golf Hole Signs,1,819,FMV
201921149349300707,231352648,X,Tickets,2,208,FMV
201910789349300721,956001907,X,Violins,1,400080,Fair Market Value
201910789349300721,956001907,X,HVAC Equip.,1,30888,Fair Market Value
201910789349300721,956001907,X,Piano,1,4000,Fair Market Value
201910789349300721,956001907,X,Props/Constr. Material,2,426,Cost
201910249349300826,660177776,X,EQUIPMENT,1,9750,FMV
201930669349300313,221500484,X,HORSES,15,1507000,CERTIFIED APPRAISAL
201930669349300313,221500484,X,8 FT. MOTT COMBINATION HOODS FOR LABS,1,8000,APPRAISAL
201930669349300313,221500484,X,VARIOUS EQUIPMENT & SUPPLIES,3,4578,APPRAISAL
201930669349300313,221500484,X,HARPSICHORD AND MAHOGANY OFFICE FURNITURE,1,0,VALUE NOT RECORDED O
201910469349301391,440545914,X,OFFICE FURNITURE,1,0,N/A
201910469349301391,440545914,X,MISCELLANEOUS SUPPLIES,1,0,N/A
201930449349300038,390806325,X,MUSICAL INSTRUMENT,1,21500,APPRAISAL
201930449349300038,390806325,X,FURNITURE AND FIXTURES,2,6870,FMV
201930449349300038,390806325,X,SCIENTIFIC EQUIPMENT,1,3694,FMV
201833179349301503,251065148,X,TRAVEL EXPENSES,14,25637,TRAVEL REPORT/RECEIP
201833179349301503,251065148,X,EVENT EXPENSES,2,368,RECEIPTS
201910449349301681,943204136,X,OFFICE FURNITURE,1,5969,FMV
201910189349301356,566049935,X,SOFTWARE,2,188125,DONOR STATED
201910189349301356,566049935,X,FURNISHINGS,2,131420,DONOR STATED
201910189349301356,566049935,X,EQUPMENT,3,11833,DONOR STATED
201910189349301356,566049935,X,AWARDS,4,1640,DONOR STATED
201910289349300681,420680466,X,ACCOMODATIONS,1,3200,COST
201910289349300681,420680466,X,BOARD MEETING EXP,3,2831,COST
201910289349300681,420680466,X,SCIENTIFIC INSTRUMENT,2,1499,APPRAISAL
201910289349300681,420680466,X,EVENT MEALS/BEVERAGES,2,136,COST
201803199349318125,263162145,X,MEDICAL EQUIPMENT,1,31100,FMV
201940729349300444,570314374,X,CONF. REGISTRATION,1,12000
201940729349300444,570314374,X,SUPPLIES,9,2507,FMV
201920779349300837,620475691,X,Horse,1,80000,Professional Appraisal
201920779349300837,620475691,X,Furniture,1,4250,Cost or Selling Price
201920779349300837,620475691,X,Construction Materials,1,2578,Cost or Selling Price
201843199349309869,454620000,X,AIRCRAFT,1,718000,FMV
201843189349309659,391620530,X,ULTRASOUND MACHINE,1,3000,FAIR MARKET VALUE
201843189349309659,391620530,X,"VARIETY OF VIEW BOXES, SUTURES, WALKERS",3,680,DETERMINED BY DONOR
201833179349307968,136171197,X,DINING & ENTERTAINMENT,4,11781,RESALE VALUE
201833179349307968,136171197,X,GIFT BASKET,2,14345,RESALE VALUE
201833179349307968,136171197,X,STATIONARY,1,2910,RESALE VALUE
201900739349300015,410693977,X,PERSONAL PROPERTY,28,0,N/A
201803199349307730,560529972,X,INSURANCE,1,61625,FMV
201803199349307730,560529972,X,SOFTWARE,1,13188,FMV
201803409349301005,954559065,X,1,67000
201931349349301278,591083502,X,See Part II,10,0
201931349349301278,591083502,X,See Part II,21,0
201803389349300415,640329300,X,LAND,1,15000,FMV
201803389349300415,640329300,X,ART & OTHER COLLECTIBLES,4,11802,FMV
201803389349300415,640329300,X,FURNISHINGS,3,2976,COST
201803389349300415,640329300,X,STUDENT MEALS,1,1167,COST
201931349349306393,560623936,X,"FURNITURE,EQUIPMENT",8,25465,COST
201931349349306393,560623936,X,MISCELLANEOUS SMALL GIFTS,15,11583,COST
201931349349306393,560623936,X,GIFT CARDS,5,805,COST
201931349349308178,314379459,X,POLITICAL MEMOR.,1,0,N/A-REV.NOT BOOKED
201931349349308368,231352630,X,LAB EQUIPMENT,3,61192,FAIR MARKET VALUE
201931029349300348,741193459,X,MISCELLANEOUS SURPLUS,9,39522,FAIR MARKET VALUE
201931029349300348,741193459,X,SCIENCE EQUIPMENT,2,1549,FAIR MARKET VALUE
201931029349300348,741193459,X,SOUND EQUIPMENT,1,700,FAIR MARKET VALUE
201931029349300348,741193459,X,MATERIALS FOR SPECIAL EVENTS,4,291,FAIR MARKET VALUE
201931039349300328,030179424,X,PRIZES,87,63005,FMV
