object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201932959349301018,850474926,TUITION AND FEES,49360,49360
201932959349301018,850474926,MISCELLANEOUS,111,111
201932839349301028,616002351,"Tuition, fees, room an",611710,477130,477130
201932839349301028,616002351,Auxiliary enterprises,611710,296476,296476
201932839349301028,616002351,Other sources,611710,20354,20354
202041979349305184,042103542,TUITION AND OTHER STUDENT FEES,611310,99703600,99703600
202041979349305184,042103542,ROOM & BOARD,721000,25733327,25733327
202041979349305184,042103542,BOX OFFICE/EVENTS,711130,2285283,2271393,13890
202041979349305184,042103542,SUMMER CONFERENCES,611710,1414619,1086297,328322
202041979349305184,042103542,DINING SERVICES,611600,828130,828130
202041979349307414,951664112,Tuition and Fees,611710,88316298,88316298
202041979349307414,951664112,Room and Board,611710,24422635,24422635
202041979349307414,951664112,Auxilary & Educational Support,611710,3343636,3343636
202041979349307414,951664112,Other sources,611710,106239,106239
202031969349302723,580603153,TUITION AND FEES,611710,30624489,30624489
202031969349302723,580603153,AUXILIARY SERVICES,611710,6978704,6978704
202031969349302723,580603153,STUDENT ACTIVITIES,611710,560037,560037
202021929349302767,820200907,TUITION AND FEES,611600,42866366,42866366
202021929349302767,820200907,AUXILIARY SERVICES,611710,4892966,4892966
202021929349302767,820200907,ATHLETIC REVENUE,611710,595809,595809
202021929349302767,820200907,STUDENT GOVT RECEIPTS,611710,265933,265933
202021929349302767,820200907,OTHER STUDENT FEES,611710,56000,56000
201912849349300401,381443369,Tuition fee revenue,611710,35617071,35617071
201912849349300401,381443369,Organized activity revenue,611710,808745,808745
201912849349300401,381443369,Auxiliary revenue,611710,8650575,8650575
202031019349301603,231937954,STUDENT TUTITION AND FEES,900099,1725897,1725897
202041069349300824,160743040,Tuition and Fees,611600,120141760,120141760
202041069349300824,160743040,Residence Halls,721310,13637275,13637275
202041069349300824,160743040,Dining Services,722320,10377571,10377571
202041069349300824,160743040,Bookstore,451211,1506996,1506996
202041069349300824,160743040,Other Program Service Revenue,611600,1393162,1393162
202001909349302800,942340692,TUITION,611600,27823186,27823186
202001909349302800,942340692,COURSE FEES,611600,3964550,3964550
202001909349302800,942340692,CLINIC INCOME,611710,763562,763562
202001909349302800,942340692,OTHER PROGRAM INCOME,611710,86853,86853
201943169349302124,352194526,EDUCATIONAL REVENUE,611600,110671,110671
202002329349301510,630623466,APARTMENT RENTAL,531110,63570,63570
202002329349301510,630623466,TENANT CHARGES,531110,3413,3413
202002329349301510,630623466,LAUNDRY AND VENDING RE,531110,1000,1000
202002329349301510,630623466,MISCELLANEOUS,531110,107,107
202020699349301007,042111203,Tuition and fees,611310,132291490,132291490,0,0
202020699349301007,042111203,Housing,721310,9372103,9372103,0,0
202020699349301007,042111203,Food services,722310,5649703,5649703,0,0
202020699349301007,042111203,Geographic software,443120,253095,253095,0,0
202020699349301007,042111203,Campus store,453000,215550,215550,0,0
202020319349300222,620485733,TUITION AND FEES,611710,146873752,146873752
202020319349300222,620485733,AUXILIARY REVENUE,611710,21539886,21539886
202020319349300222,620485733,MISCELLANEOUS INCOME,611710,8283875,8283875
202020849349300317,237428512,APPLICATION & ADMISSION,611710,44534,44534
202020849349300317,237428512,PATIENT FEES,611710,92943,92943
202020849349300317,237428512,RENTAL INCOME,900099,37200,37200
202020849349300317,237428512,SUPERVISOR FEES,611710,19000,19000
202020849349300317,237428512,TUITION AND MATRICULATION,611430,21192,21192
201913179349306311,204905370,SERVICE FEES,192168,192168
201933269349301003,930386890,INSTRUCTION,9629336,9629336
201933269349301003,930386890,HOUSING & FOODSERVICE,1752622,1752622
201933269349301003,930386890,BOOKSTORE,474010,474010
201933269349301003,930386890,OTHER STUDENT SERVICES,184575,184575
202030449349301658,610445823,Tuition,611310,10089114,10089114,0,0
202030449349301658,610445823,Auxiliary Services,611310,2501154,2501154,0,0
202020639349301012,231627436,TUITION AND FEES,900099,18019912,18019912,0,0
201933239349300428,953752337,CONFERENCES
201933239349300428,953752337,MEMBERSHIP DUES,29601,29601
201933239349300428,953752337,OTHER MISC INCOME
201933239349300428,953752337,SPONSORSHIP
201942949349301614,640579585,TUITION AND FEES,611600,717523,717523
201942949349301614,640579585,STUDENT HOUSING/AUXILIARY,611710,5953,5953
202042249349300309,980391928,ORDINARY TUITION,611710,81220276,81220276
202042249349300309,980391928,SPECIAL PROGRAMS TUITION,611710,40572947,40572947
202042249349300309,980391928,PROJECTS AND PROGRAMMING,611710,34814474,34814474
202011689349300911,630312914,Tuition & fees,611310,171669980,171669980
202011689349300911,630312914,Dormitory & utilities,721310,15717577,15717577
202011689349300911,630312914,Food services & vending,722514,8846832,8846832
202011689349300911,630312914,Athletics,711210,2730521,2730521
202011689349300911,630312914,Educational workshops/programs,711710,3229809,3229809
202001149349301525,951641455,TUITION AND FEES,611710,94522078,94522078
202001149349301525,951641455,HOUSING,721310,4342216,4342216
202001149349301525,951641455,FOOD SERVICE,721310,4182404,4182404
202001149349301525,951641455,FILM INCOME,611710,717039,717039
202001149349301525,951641455,DA CAMERA SOCIETY,611710,252907,252907
202000799349300935,520705392,TUITION AND FEES,900099,103809794,103809794
202000799349300935,520705392,STUDENT HOUSING,611710,14335272,14335272
202000799349300935,520705392,FOOD SERVICE,611710,6627847,6627847
202000799349300935,520705392,BOOKSTORE,451211,971892,971892
202000799349300935,520705392,VENDOR COMMISSIONS,531120,162557,153532,9025
201933369349300203,160909446,STUDENT TUITION AND FEES,611710,19216730,19216730
201933369349300203,160909446,LIFELONG LEARNING,611710,79599,79599
202011969349301031,936002614,TUITION & FEES,611710,1369329,1369329
202011969349301031,936002614,STUDENT HOUSING & MEAL,611710,657298,657298
202010569349300701,560657294,TUITION AND FEES,611310,58377142,58377142
202010569349300701,560657294,DORM REVENUES,611310,6349515,6349515
202010569349300701,560657294,BOARD REVENUES,611310,3571562,3571562
201943579349300209,562476876,Sales,511120,6366,6366,0,0
201943579349300209,562476876,Tuition & fees,611710,256091,256091,0,0
201943579349300209,562476876,Services to COA,561000,1118155,1118155,0,0
201913119349301796,810231774,TUITION AND FEES,611600,43094712,43094712
201913119349301796,810231774,AUXILIARY ENTERPRISES,611600,6688722,6688722
201913119349301796,810231774,OTHER SOURCES,611600,1003790,1003790
201913119349301796,810231774,ATHLETICS,611600,791936,791936
202010079349300536,362216176,TUITION AND FEES,611710,34755318,34755318
202010079349300536,362216176,AUXILIARY,611710,5987299,5987299
202010079349300536,362216176,STUDENT FEES,611710,740261,740261
202010079349300536,362216176,OTHER INCOME,611710,283341,283341
202010079349300536,362216176,CAMP TIMBER-LEE,721210,4328286,4328286
202041369349305314,951664123,"Tuition, Room & Board",611600,73573209,73573209
202041369349305314,951664123,Co-Curricular Op.,611600,303257,303257
202041369349305314,951664123,Fed Grants & Contracts,611600,237049,237049
202041369349305314,951664123,Summer Programs,611600,82188,82188
201902949349301660,237456795,PATIENT SERVICES,624100,2490668,2490668
202040949349300014,560556753,TUITION AND FEES,611710,69583877,69583877
202040949349300014,560556753,AUXILIARY SERVICES,611710,11505570,11505570
202040229349300214,363157451,TUITION AND FEES,611600,1311772,1311772
202040229349300214,363157451,JOSEPH PALOMBO CENTER,611710,15220,15220
202000379349300105,131624158,Housing,532000,19158123,19158123
202000379349300105,131624158,Press Operations,511120,9036972,9036972
202000379349300105,131624158,Food Service,722210,5063116,5063116
201923199349304272,581494136,TUITION AND FEES,6555510,6555510
201923199349304272,581494136,AFFILIATION REVENUES,577613,577613
201923199349304272,581494136,ADVANCED PHYSIOLOGIC INSTRUCT,112500,112500
202010919349301701,952962604,TUITION AND FEES,611310,142412375,142412375
202010919349301701,952962604,RESIDENT HALLS,721000,12636125,12636125
202010919349301701,952962604,CAFETERIA,611310,5753805,5753805
202010919349301701,952962604,AUXILIARY INCOME,722210,1798530,1798530
202010919349301701,952962604,EDUCATIONAL PROGRAMS,611310,1266582,1266582
201922819349300522,202506183,RENTAL INCOME,531190,284893,284893
201913119349301786,237050293,PROPERTY MANAGEMENT,561700,134007,134007
201913119349301786,237050293,FOOD SERVICE VENDING,561700,69009,69009
202030509349301018,942515428,TUITION AND FEES,611600,12311271,12311271
202030509349301018,942515428,CLINIC REVENUE,611710,530022,530022
202030509349301018,942515428,AUXILIARY SERVICES,611710,277544,277544
202021399349300237,540573801,TUITION,611310,90232740,90232740
202021399349300237,540573801,AUXILIARY SERVICES,532000,15079939,15063104,16835
202021399349300237,540573801,FEES,611710,3006652,2607697,398955
202011899349301786,050312747,TUITION INCOME,611710,82060968,82060968
202011899349301786,050312747,MISC. OTHER INCOME,611710,557419,557419
202011899349301786,050312747,BOOKS AND SUPPLIES,611710,527881,527881
202011899349301786,050312747,GRANT REVENUE,611710,398474,398474
202041419349301659,951699394,Tuition,611310,25368709,25368709
202041419349301659,951699394,Auxiliary Services,623000,6059052,6059052
202041419349301659,951699394,Psychological Center,611310,1442487,1442487
202041419349301659,951699394,Fees,611310,876719,876719
201903399349301320,460320561,CAMP AND RETREAT FEES,900099,2538805,2538805
201943199349319864,942933165,TUITION FEES,611310,873462,873462
201923189349312837,471080353,Tutoring,611710,27306,27306
201923189349312837,471080353,Service contracts,611710,17823,17823
201923189349312837,471080353,Tuition and fees,611710,186965,186965
202021489349300987,420703280,EDUCATION/GENERAL,611710,81659326,81659326
202021489349300987,420703280,AUXILIARY ENTERPRISES,624410,17695071,17101719,593352
202010729349300726,840402707,TUITION AND FEES,900099,145912237,145912237
202010729349300726,840402707,STUDENT AUXILIARY SERVICES,721000,11749588,11749588
202010729349300726,840402707,OTHER PROGRAM SERVICE REVENUE,900099,1866108,1866108
202041419349301764,941156566,TUITION AND FEES,611710,34037445,34037445
202041419349301764,941156566,AUXILIARY SERVICES,611710,13873950,13873950
202031369349300313,560623936,STUDENT TUITION AND FEES,611310,37974452,37974452
202031369349300313,560623936,AUXILIARY ENTERPRISES,611310,4867480,4867480
202031369349300313,560623936,OTHER PROGRAM INCOME,611310,670465,670465
202031369349300313,560623936,FLIGHT SCHOOL,611512,25795,25795
202031369349303828,020274509,TUITION AND STUDENT FEES,611310,855667814,855667814
202031369349303828,020274509,RESIDENCE AND DINING,611710,23726339,23726339
202031369349303828,020274509,OTHER AUXILIARY ENTERPRISES,611710,3692034,3692034
202040839349300359,410694747,TUITION AND FEES,611710,111098733,111098733
202040839349300359,410694747,ROOM AND BOARD,611710,23984530,23984530
202040839349300359,410694747,SUMMER TEACHING INSTIT,611310,1363510,1363510
202041359349301949,591023117,Student Tuition and related fees,611710,92708074,92708074
202041359349301949,591023117,"Residence hall, room and board fees",611710,15296615,15296615
202041359349301949,591023117,Camp fees,900099,2107922,2107922
202041359349301949,591023117,Campus store sales,451211,218497,218497
202041359349301949,591023117,Student activity income,611710,354787,354787
202010809349301121,452475221,CHANGEBUILDERS,611710,84000,84000
202010809349301121,452475221,VISTA PROJECT,611710,37514,37514
201933129349301853,042104451,TUITION AND FEES,900099,76624480,76624480
201933129349301853,042104451,AUXILIARY ENTERPRISES,900099,11379570,11379570
202011919349301236,131624067,TUITION & FEES,616000,43650984,43650984
202011919349301236,131624067,RESIDENCE HALL,611710,5964208,5448753,515455
202011919349301236,131624067,"USER FEES, EDUCATION PROGRAM",611710,733108,733108
202011919349301236,131624067,STUDENT LOAN INCOME,900099,1501,1501
202011919349301236,131624067,INT'L PROGRAM DEV AND OPERATIONS,900099,14161463,14161463
202041979349301829,450314233,TUITION & FEES,2972744,2972744
202041979349301829,450314233,BOOKS & OTHER SALES,668757,668757
202041979349301854,210634501,Tuition and Fees,900099,394184000,394184000
202041979349301854,210634501,Sales and Services of Auxiliary Activities,900099,94690000,94690000
202041979349301854,210634501,Conference/Event Services,812990,28763,28763
202041979349301854,210634501,Advertising,511120,470224,470224
202041979349307089,370661219,Tuition and fees,611310,51253740,51253740,0,0
202041979349307089,370661219,Room and board,611710,9395149,9395149,0,0
202010499349300046,381359083,STUDENT TUITION AND FEES,55004594,55004594
202010499349300046,381359083,STUDENT ROOM AND BOARD,14090106,14090106
202010499349300046,381359083,STUDENT PROGRAM FEES,2999881,2999881
202010499349300046,381359083,STUDENT RECRUITING,407525,407525
201913199349319751,541954969,STUDENT TUITION,900099,3854350,3854350
201913199349319751,541954969,SERVICE INCOME - EVENING ESL,900099,187790,187790
201913199349319751,541954969,CONSULTING INCOME,900099,130520,130520
201913199349319751,541954969,CONFERENCE INCOME,900099,12731,12731
202001369349301620,330413730,STUDENT TUITION AND FEES,611600,59545023,59545023
202001369349301620,330413730,SALES AND SERVICES,611600,10431082,10431082
202021409349300347,362181973,Tuition & Fees,611310,90762755,90762755
202021409349300347,362181973,Patient care,621400,5990533,5990533
202021409349300347,362181973,Student housing revenue,611310,2257688,2257688
202021409349300347,362181973,Income from Student Loan Interest,611310,181263,181263
202022309349302522,464588696,PER CAPITA APPROPRIATION FROM SIMR,561000,1285700,1285700
202030159349300018,420698196,Tuition and Fees,611310,31114327,31114327,0,0
202030159349300018,420698196,Sales and Services,611310,329425,329425,0,0
202030159349300018,420698196,Auxiliary Expenses,611310,7527411,7527411,0,0
201902959349300845,581418202,INCOME FROM SUBCONTRACT WITH AU,900099,98907,98907
201903179349302475,160743126,TUITION AND FEES,611310,42057513,42057513
201903179349302475,160743126,SALES & SERVICES OF AUXILIARY ENTERPRISES,611310,4976001,4976001
201903179349302475,160743126,OTHER PROGRAM REVENUE,611310,257621,257621
201903399349301020,237099472,OPERATING PROGRAM,900099,338129614,338129614
201903399349301020,237099472,ANCILLARY SERVICES,900099,65727197,65727197
201903399349301020,237099472,RESEARCH PROJECTS,900099,56514108,56514108
201923189349307612,203185510,TUITION,611710,978243,978243
201923189349307612,203185510,PROGRAM INCOME,611710,20200,20200
201923199349305957,231352008,Solomon S. Huebner Sch,611310,15259173,15259173
201923199349305957,231352008,Richard D. Irwin Gradu,611310,2375324,2375324
201923199349305957,231352008,FSCP,611310,803679,803679
201923199349305957,231352008,Integrated Learning Pl,611310,212000,212000
202020179349301217,650621012,TUITION AND FEES,900099,1189513,1189513
202020179349301217,650621012,CLINICAL TREATMENTS,900099,192079,192079
202020179349301217,650621012,BOOK STORE SALES,900099,8887,8887
202011959349303621,462470807,TUITION INCOME,611710,189971,189971
201943189349306574,463683453,Program Services,611110,457873,457873
202021959349303612,050258810,TUITION AND FEES,900099,162418587,162418587
202021959349303612,050258810,AUXILIARY ENTERPRISES,721310,45869543,44412415,417599,1039529
202021959349303612,050258810,STUDENT SERVICES REVENUES,900099,2407970,2395220,12750
202021959349303612,050258810,PUBLIC SERVICE PROGRAMS,900099,236516,236516
202001919349303150,951644048,Auxiliary Enterprises,611710,11254351,11254351
202001919349303150,951644048,"Tuition, Fees and Income",611710,87737680,87404337,333343
201923609349300112,452208063,TUITION REVENUE,611600,278113,278113
201923609349300112,452208063,OTHER REVENUE,561000,26169,26169
202030569349300503,455507328,RENTAL INCOME,900099,82616,82616
202041289349300339,274269892,TUITION,611600,246288,246288
202041289349300339,274269892,DAY & NIGHT COLLEGE FEES,611600,26462,26462
202021329349303062,113135077,THEOLOGICAL COURSES,611000,46507,0,0
202021329349303062,113135077,PROGRAMS ACTIVITIES INCOME,611000,4534,0,0
202001949349300600,610444763,TUITION AND FEES,611310,47287316,47287316
202001949349300600,610444763,ROOM AND BOARD,611310,9528125,9528125
202001949349300600,610444763,BOOK STORE AND ANCILLARY SERVICES,611310,2213246,1519916,693330
202022069349300232,311817233,PROGRAM SERVICE REVENUE,92883,92883
202020289349301607,596046500,TUITION & FEES,134559547,134559547
202020289349301607,596046500,HOUSING & FOOD SERVICE,20034086,20034086
202020289349301607,596046500,"FIT AVIATION, LLC",611710,7757303,7757303
202020289349301607,596046500,OTHER,7509966,7509966
202020289349301607,596046500,INDIRECT COST RECOVERY,2769154,2769154
202021769349301407,920170234,BILLABLE EXPENDITURE REVE,2975,2975
202021769349301407,920170234,BOOKS,97699,97699
202021769349301407,920170234,Fees & Contracts Gov Agencies,474147,474147
202021769349301407,920170234,Membership Dues & Assessments,25275,25275
202021769349301407,920170234,SERVICES,213028,213028
202000079349302115,131916574,TUITION & FEES,611310,24154966,24154966
202000079349302115,131916574,AUXILLIARY SERVICES,611710,1353428,1353428
202000079349302115,131916574,CLINIC REVENUES,621400,707070,707070
202020599349301402,956001907,Student Tuition & Fees,611710,30786991,30786991
202020599349301402,956001907,Auxiliary Enterprises,611710,8406656,8406656
202020599349301457,272017442,PATIENT REVENUE,1701700,1701700
201923199349317357,264509303,TUITION FEES,3708,3708
202001089349301300,741109631,TUITION AND FEES,611600,66424664,66424664
202001089349301300,741109631,AUXILIARY ENTERPRISES,611600,1215058,1215058
202001089349301300,741109631,EDUCATIONAL ACTIVITIES,611710,2073102,2073102
202010419349300701,231416559,TUITION,900099,605124,0,0
202001749349301100,112357063,TUITION FEES,611710,517495,517495
202030699349301008,986001141,Tuition Fees Credit Courses,611310,1125982000,1125982000,0,0
202030699349301008,986001141,Tuition Fees Non Credit Courses,611310,46596000,46596000,0,0
202030699349301008,986001141,Miscellaneous Student Fees,611310,140293000,140293000,0,0
202030699349301008,986001141,Residence and Meal Plan Fees,721310,70675000,70675000,0,0
202030699349301008,986001141,Bookstore Revenue,451211,35253000,35253000,0,0
202031979349306293,237367633,Culinary Arts Program,611600,57238,57238,0
202031979349306293,237367633,Athletics Councils,900099,149200,149200,0
202031979349306293,237367633,Fine Arts Councils,900099,62569,62569,0
202031979349306293,237367633,0,0,0
202031979349306293,237367633,0,0,0
202001429349300900,440545813,TUITION AND FEES,611600,71547905,71547905
202001429349300900,440545813,HOUSING INCOME,611710,5888172,5888172
202041719349300524,381368367,Tuition and fees,611710,3072894,3072894
202041719349300524,381368367,Auxiliary income,611710,462647,462647
202040599349301229,231501197,TUITION AND FEES,611600,63945704,63945704
202040599349301229,231501197,AUXILIARY ENTERPRISES,611600,2617703,2617703
202040599349301464,262023346,MEMBERSHIP DUES AND AS,611600,118153,118153
201933199349320313,640902475,RESEARCH CONTRACT,541700,309464,309464
201933199349320313,640902475,RESEARCH SYMPOSIUM,541700,285186,285186
202031689349300528,362593545,Student Tuition & Fees,611600,6262372,6262372,0,0
202031689349300528,362593545,Clinical and Training,611600,2633768,2633768,0,0
202031689349300528,362593545,0,0,0,0
202031689349300528,362593545,0,0,0,0
202031689349300528,362593545,0,0,0,0
202000769349300545,350867954,Tuition and fees,611310,42569558,42569558
202000769349300545,350867954,Auxiliary services,611310,8413424,8413424
202010219349301106,620502739,TUITION & FEES,611310,80111556,80111556
202010219349301106,620502739,RESIDENCE HALLS,611710,7929206,7929206
202010219349301106,620502739,DINING HALL,611710,5422875,5422875
202010219349301106,620502739,OTHER,611710,3935021,3935021
202010219349301106,620502739,OTHER AUXILIARY,611710,371911,371911
202020419349301207,620475689,College Station Revenue,203508,203508
202020419349301207,620475689,TN Specialty License Plates,36334,36334
202030429349300313,741400699,TUITION AND FEES,611600,85263587,85263587
202030429349300313,741400699,AUXILIARY SERVICES,611600,2979589,2979589
202010099349300401,061149131,TUITION AND FEES,2695388,2695388
202010099349300401,061149131,OTHER REVENUE,33829,33829
202030169349301308,251491411,PROG.SERV.REVENUE,611710,103230,103230
201922849349301677,341037893,OTHER REVENUE,611600,360,360
201922849349301677,341037893,TUITION / FEE REVENUE,611600,1835735,1835735
202020629349300912,461812625,TUITION AND FEES,1367600,1367600
202020629349300912,461812625,DISCOUNTS,-298599,-298599
202000709349300415,620484185,TUITION AND FEES,611710,29293816,29293816
202000709349300415,620484185,AUXILIARY ENTERPRISES,611710,7037737,7037737
202000709349300415,620484185,OTHER INCOME,611710,1196077,1196077
201903169349301975,240795439,TUITION & FEES,611710,7399149,7399149
201903169349301975,240795439,HOUSING/FOOD SERVICES,611710,243132,243132
201903169349301975,240795439,AUXILIARY PROGRAMS,611710,234828,234828
201933179349304883,420730347,TUITION & FEES,611710,60331871,60331871
201933179349304883,420730347,PATIENT CARE,621110,4299258,4299258
202030489349300103,620535755,TUITION AND FEES,611710,30695648,30695648
202030489349300103,620535755,AUXILIARY ENTERPRISES,611710,4148644,4148644
202030489349300103,620535755,STUDENT HOUSING,611710,401327,401327
202030489349300103,620535755,SUMMER CAMPS,611710,360607,360607
202030489349300103,620535755,OTHER INCOME,611710,248853,248853
202011059349300036,160755807,TUITION,611600,94317609,94317609
202011059349300036,160755807,ROOM AND BOARD,611600,14140325,14140325
202011059349300036,160755807,AUXILIARY ENTERPRISES,611710,3149563,3149563
202011059349300036,160755807,EDUCATIONAL SALES,611710,121895,121895
202001259349300000,953127273,NET TUITION REVENUE,611710,189480092,189480092,0,0
202001259349300000,953127273,BOOKSTORE REVENUE,621400,1966117,1966117,0,0
202001259349300000,953127273,STUDENT FEES,611710,1164789,1164789,0,0
202001259349300000,953127273,MEDICAL CLINIC REVENUE,621400,10884683,10884683,0,0
202001259349300000,953127273,STUDENT PARKING,812930,502906,502906,0,0
202001699349301000,390980974,TUITION AND FEES,611710,7534807,7534807
202001699349301000,390980974,CAFETERIA,611710,481385,481385
202001699349301000,390980974,STUDENT HOUSING,611710,440240,440240
202001699349301000,390980974,RELATED PARTY RENTAL,532000,21321,21321
202001699349301000,390980974,TRANSCRIPTS AND CREDENTIALS,611710,5785,5785
201903189349302870,454620000,TUITION AND FEES,611600,14548606,14548606
202041609349301424,340714363,TUITION AND FEES,900099,156975938,156975938
202041609349301424,340714363,RESIDENTIAL & DINING SERVICES,900099,35776928,35776928
202041609349301424,340714363,EDUCATIONAL ACTIVITIES,900099,4893896,4893896
202041609349301424,340714363,AUXILIARY SERVICES,900099,569808,569808
202041609349301424,340714363,SUMMER CONFERENCE PROGRAM,900099,534964,534964
201913109349302336,463103295,Tuition and fees,611600,746642,746642
201913109349302336,463103295,Conferences,611600,4675,4675
202000339349300250,237032625,TUITION & FEES,13891406,13891406
202000339349300250,237032625,HOUSING & MEALS,1550849,1550849
202000339349300250,237032625,RESEARCH PROJECTS,499108,499108
202000339349300250,237032625,SUMMER SCHOOL PROGRAMS,423987,423987
202041609349301094,590949880,"TUITION AND FEES, NET",611710,41932745,41932745
202041609349301094,590949880,ROOM AND BOARD,611710,3416110,3416110
202020509349300927,390808497,TUITION AND FEES,812900,57535729,57535729
202020509349300927,390808497,"ROOM, BOARD, & OTHER",812900,8561535,8561535
202031479349301053,362167773,STUDENT TUITION AND FEES,611310,143073927,143073927
202031479349301053,362167773,STUDENT HOUSING,611310,7528061,7528061
202031479349301053,362167773,STUDENT MEAL PLANS,611310,3900730,3900730
202031479349301053,362167773,AVIATION SERVICES,611310,587772,587772
202031479349301053,362167773,CONFERENCING,611310,159377,159377
202010429349300541,231352664,tuition and fees,900099,114827705,114827705,0,0
202010429349300541,231352664,auxiliary enterprises,721000,22945929,22837406,108523,0
202010429349300541,231352664,game admissions,711210,1000,1000,0,0
202011269349302156,480547702,TUITION & FEES,611600,29533309,29533309
202011269349302156,480547702,AUXILIARY,611710,2677577,2677577
202011269349302156,480547702,SALES & SERVICES,900099,167787,167787
202011269349302156,480547702,_
202011269349302156,480547702,_
201933369349301353,954230730,TUITION AND FEES,2132495,2132495
201933369349301353,954230730,FEDERAL FINANCIAL AID,364137,364137
201933369349301353,954230730,LESS:SCHOLARSHIP,-126195,-126195
201933369349301353,954230730,LESS: TUITION ALLOWANCES,-360113,-360113
201933369349301353,954230730,LESS: DISCOUNT,-402375,-402375
201903189349305390,461001797,TUITION,611600,258973,258973
201943129349301744,330291523,621110
201943129349301744,330291523,621110
201943129349301744,330291523,621110
201943129349301744,330291523,621110
201943129349301744,330291523,Net patient service,621110,29516,29516
202030169349301013,510109178,STUDENT TUITION & FEES,611310,30931698,30931698
202030169349301013,510109178,RESIDENCE HALL FEES,721000,1870550,1870550
202030169349301013,510109178,FOOD SERVICE REVENUE,611710,147948,147948
202030169349301013,510109178,CAMPUS STORE REVENUE,451211,36997,36997
202010989349300831,930386858,TUITION AND FEES,611600,142514662,142514662
202010989349300831,930386858,AUXILIARY SERVICES,900099,18330852,18330852
202010989349300831,930386858,CONTRACTS/EXCHANGE TRANSACTIONS,900099,283310,283310
202031699349301613,390806428,TUITION AND FEES,611310,19596012,19596012
202031699349301613,390806428,AUXILIARY ENTERPRISES,611710,3457459,3457459
202011069349301816,510198454,Conferences,813000,33007,0,0
