object_id,ein,BsnssNmLn1Txt,PrmryActvtsTxt,OrgPrftOrOwnrshpPct
202031959349300318,231352213,SURGERY & IMPLANT,ORAL SURGERY,0.5,0.5
202021979349304112,362170866,NONE
202043149349300204,550526150,1 General Division Medical Office Building LLC,Medical Office Space Rental,0.79930,0.20070
202043149349300204,550526150,2 Charleston Area Radiation Therapy Centers LLC,Radiation Therapy,0.20000,0.30000
202001979349303330,362174823,1 Rush SurgiCenter at the Professional Building LP,Healthcare,0.51080,0.48920
202001979349303330,362174823,2 Rush Oak Brook Orthopaedic Center LLC,Healthcare,0.65000,0.35000
202001979349303330,362174823,3 Rush Oak Brook Surgery Center LLC,Healthcare,0.25000,0.75000
202001979349303330,362174823,4 Rush Radiosurgery LLC,Healthcare,0.49000,0.51000
202043169349302539,150532245,1 MVEC,GASTROENTEROLOGY SERVICES,0.20000,0.00000,0.00000
202001959349300130,231352152,MCA MED IM LLC,MEDICAL SERVICES,0.5,0.5
202001959349300130,231352152,AB SURG SVCS LP,MEDICAL SERVICES,0.39245,0.60755
202001959349300130,231352152,PAIN MGT CTR AM LLC,MEDICAL SERVICES,0.29033,0.70967
202001959349300130,231352152,NEW BRITAIN SURG LLC,MEDICAL SERVICES,0.25,0.75
202001959349300130,231352152,AB SURG SVCS GP LLC,MEDICAL SERVICES,0.5,0.5
202021889349300312,150532254,1 MDRMRI TECHNICAL SERVICES LLC,MRI SERVICES,0.40000,0.00000,0.60000
202021889349300312,150532254,2 BREAST CARE PARTNERS LLC,WOMEN'S HEALTH AND CANCER CARE,0.14280,0.00000,0.51480
202043039349300639,020222215,1 First Choice PHO,Physician Hospital Organization,0.50000,0.00000,0.50000
202011369349301736,364195126,KANKAKEE VALLEY DIALYSIS CENTER,DIALYSIS CENTER,0.5,0.5
202011369349301736,364195126,DREYER MERCY AMBULATORY SURGERY CENTER,AMBULATORY SURGERY CENTER,0.4,0.6
202011369349301736,364195126,CENTER FOR DIGESTIVE HEALTH,DIGESTIVE HEALTH SERVICES,0.1,0.9
202011369349301736,364195126,PRESENCE SAINT JOSEPH HOSPITAL ORTHOPEDIC CLINICAL CO-MANAGEMENT COMPANY LL,C,MANAGEMENT OF ORTHOPEDIC SERVICE LINE,0.2,0.8
202011649349300021,231352204,TRH SURGICENTER LLC,OUTPATIENT SURGERY,0.50000,0.50000
202013119349300201,141338413,Imaging Svc of NENY,Diagnostic Radiology,0.5,0.5,0.5
202013119349300201,141338413,N Country Eye Ctr,Eye center,0.3,0.3,0.3
202003189349305995,420680452,1 ANKENY MEDICAL PARK SURGERY CENTER LC,AMBULATORY SURGERY CENTER,0.45000,0.55000
202003189349305995,420680452,2 CENTRAL IOWA CARDIOVASCULAR CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF CARDIAC SERVICE LINE,0.20000,0.80000
202003189349305995,420680452,3 CENTRAL IOWA ONCOLOGY CO-MANAGEMENT COMPANY,MANAGEMENT OF ONCOLOGY SERVICE LINE,0.20000,0.80000
202003189349305995,420680452,4 CENTRAL IOWA SURGICAL SERVICES CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF SURGERY SERVICE LINE,0.20000,0.73000
202003189349305995,420680452,5 IOWA DIAGNOSTIC IMAGING AND PROCEDURE CENTER LC,OUTPATIENT DIAGNOSTIC IMAGING,0.50000,0.50000
202003189349305995,420680452,6 LAKEVIEW SURGERY CENTER LC,SURGERY CENTER,0.50000,0.50000
202003189349305995,420680452,7 ORTHOPAEDIC OUTPATIENT SURGERY CENTER LC,AMBULATORY SURGERY CENTER,0.50000,0.50000
202003189349305995,420680452,8 WEST HOSPITAL ORTHOPAEDIC CO-MANAGEMENT COMPANY,MANAGEMENT OF METHODIST WEST ORTHO SERVICE LINE,0.20000,0.80000
202003189349305995,420680452,9 WEST LAKES SLEEP CENTER LLC,TREATMENT OF CHRONIC SLEEP DISORDERS,0.50000,0.50000
202131349349302063,150532254,2 BCP PARTNERS LLC,WOMEN'S HEALTH AND CANCER CARE,0.14290,0.00000,0.51480
202033079349300023,112868878,STATEN ISLAND PERFOR,PERFORMING PROVIDER SYSTEM,0.5
202023099349301907,470378779,1 HASTINGS SURGICAL CENTER LLC,SURGICAL CENTER,0.21050,0.00000,0.16330
202023099349301907,470378779,2 HASTINGS MOB LLC,REAL ESTATE,0.51000,0.00000,0.39000
202023039349300302,340753531,Foundation Surgery of Middleburg,Ambulatory Surgery,0.20000,0.70000
202023039349300302,340753531,SW General Heart & Vascular Institute,Cardiovascular Services,0.40000,0.13860,0.46140
202043029349301519,310785684,Mercy Medical Office Condominium Association,Real Property Management,0.496,0.0,0.504
202043029349301519,310785684,Northpark Condominium Association,Real Property Management,0.55,0.0,0.45
202003189349305740,440545297,KANSAS CITY ORTHOPAEDIC INSTITUTE LLC,ORTHOPAEDIC SERVICES,0.51,0.4091
202003189349305740,440545297,SAINT LUKES GI DIAGNOSTICS LLC,GASTROENTEROLOGY SERVICES,0.51,0.49
202003189349307055,362739299,1 MISSISSIPPI VALLEY SLEEP DISORDER CENTER,SLEEP STUDY CLINIC,0.51000,0.49000
202003189349307055,362739299,2 ADVANCED IMAGING CENTER LLC,DIAGNOSTIC RADIOLOGY CENTER,0.50000,0.50000
202003179349302325,470376552,Doctors Outpatient Surgery Center,Outpatient Surgery Center,0.51,0.0,0.49
202003179349302325,470376552,Lincoln Digestive Health Center LLC,Ambulatory Surgery Center,0.51,0.0,0.49
202003179349302325,470376552,Head and Neck Surgical Partners LLC,Ambulatory Surgery Center,0.51,0.0,0.49
202043179349302649,430654874,CAPE GIRARDEAU BEHAV,HEALTHCARE SERVICES,0.25
202043179349308729,160743134,1 LATTIMORE SERVICES ORGANIZATION LLC,MANAGEMENT SERVICES,0.29000,0.71000
202033109349302168,540715569,CENTRAL VIRGINIA IMA,IMAGING SERVICES,0.5,0.0,0.5
202033109349302168,540715569,THE SURGERY CENTER O,OUTPATIENT SURGERY SVCS,0.5,0.01,0.49
202013079349301901,560554230,1 SOUTHPARK SURGERY CENTER,HEALTHCARE,0.60000,0.40000
202013079349301901,560554230,3 RADIATION ONCOLOGY CENTERS OF THE CAROLINAS LLC,HEALTHCARE,0.50000,0.50000
202013529349300421,420680452,1 ANKENY MEDICAL PARK SURGERY CENTER LC,AMBULATORY SURGERY CENTER,0.45000,0.55000
202013529349300421,420680452,2 CENTRAL IOWA CARDIOVASCULAR CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF CARDIAC SERVICE LINE,0.20000,0.80000
202013529349300421,420680452,3 CENTRAL IOWA ONCOLOGY CO-MANAGEMENT COMPANY,MANAGEMENT OF ONCOLOGY SERVICE LINE,0.20000,0.80000
202013529349300421,420680452,4 CENTRAL IOWA SURGICAL SERVICES CO-MANAGEMENT COMPANY LLC,MANAGEMENT OF SURGERY SERVICE LINE,0.20000,0.73000
202013529349300421,420680452,5 IOWA DIAGNOSTIC IMAGING AND PROCEDURE CENTER LC,OUTPATIENT DIAGNOSTIC IMAGING,0.50000,0.50000
202013529349300421,420680452,6 LAKEVIEW SURGERY CENTER LC,SURGERY CENTER,0.50000,0.50000
202013529349300421,420680452,7 ORTHOPAEDIC OUTPATIENT SURGERY CENTER LC,AMBULATORY SURGERY CENTER,0.50000,0.50000
202013529349300421,420680452,8 WEST HOSPITAL ORTHOPAEDIC CO-MANAGEMENT COMPANY,MANAGEMENT OF METHODIST WEST ORTHO SERVICE LINE,0.20000,0.80000
202013529349300421,420680452,9 WEST LAKES SLEEP CENTER LLC,TREATMENT OF CHRONIC SLEEP DISORDERS,0.50000,0.50000
202101339349302960,470757164,1 LAKESIDE AMBULATORY SURGICAL CENTER LLC,AMBULATORY SURGICAL CENTER,0.63370,0.00000,0.36630
202101339349302960,470757164,2 LAKESIDE ENDOSCOPY CENTER LLC,AMBULATORY SURGICAL CENTER,0.51020,0.00000,0.48980
202101339349302960,470757164,3 NEBRASKA SPINE LLC,AMBULATORY SURGICAL CENTER,0.51000,0.00000,0.44000
202101339349302960,470757164,4 BERGAN MERCY SURGICAL CENTER LLC,SPINE HOSPITAL,0.53490,0.00000,0.46510
202111339349306551,364195126,KANKAKEE VALLEY DIALYSIS CENTER,DIALYSIS CENTER,0.5,0.5
202111339349306551,364195126,DREYER MERCY AMBULATORY SURGERY CENTER,AMBULATORY SURGERY CENTER,0.4,0.6
202111339349306551,364195126,CENTER FOR DIGESTIVE HEALTH,DIGESTIVE HEALTH SERVICES,0.1,0.9
202111339349306551,364195126,PRESENCE SAINT JOSEPH HOSPITAL ORTHOPEDIC CLINICAL CO-MANAGEMENT COMPANY LL,C,MANAGEMENT OF ORTHOPEDIC SERVICE LINE,0.2,0.8
202023189349312782,752765566,1 METHODIST DIAGNOSTIC,HEALTHCARE,0.60000,0.40000
202023189349312782,752765566,2 COVENANT LONG-TERM CARE LP,HEALTHCARE,0.85220,0.14780
202023189349312782,752765566,3 COVENANT HIGH PLAINS SURGERY CENTER LLC,HEALTHCARE,0.31070,0.68930
202023189349312782,752765566,4 COVENANT REHABILITATION HOSPITAL OF LUBBOCK,HEALTHCARE,0.49000,0.51000
202121329349300807,223431049,1 CENTRAL NEW JERSEY HEART SERVICESLLC,CARDIAC CATH LAB MANAGEMENT,0.59760,0.25440
202131359349302593,362174823,Rush SurgiCenter at the Professional Building LP,Healthcare,0.5108,0.4892
202131359349302593,362174823,Rush Oak Brook Orthopaedic Center LLC,Healthcare,0.65,0.35
202131359349302593,362174823,Rush Oak Brook Surgery Center LLC,Healthcare,0.25,0.75
202131359349302593,362174823,Rush Radiosurgery LLC,Healthcare,0.49,0.51
202101349349302860,250965600,WPHO,LOCAL HEALTHCARE NETWORK,0.5,0.0081,0.4919
202121329349302942,231352204,TRH SURGICENTER LLC,OUTPATIENT SURGERY,0.50000,0.50000
202033219349312913,350892672,ROSE LLC,OUTPATIENT SURGICAL SERVICS,0.55,0.45,0.45
202121339349305602,231352213,THE CENTER FOR ORAL
202121339349305602,231352213,& MAXILLOFACIAL
202121339349305602,231352213,SURGERY & IMPLANT,ORAL SURGERY,0.5,0.5
202141349349302024,362170866,NONE
202033189349313093,131624135,HSS ASC OF MANHATTAN,HEALTH CARE,0.5468,0.4532
202033189349313093,131624135,HSS WEST SIDE ASC,HEALTH CARE,0.67,0.33
202033189349313093,131624135,HS2 LLC,SURGEON TALENT MANAGEMENT CO,0.1009,0.0886,0.8105
202013219349311446,710236856,SURGICAL PAVILLION,ASC,0.5,0.5
202013219349311446,710236856,SPRINGHILL SURGERY,ASC,0.5277,0.4723
202013219349311446,710236856,AUTUMN ROAD LLC,REAL ESTATE,0.5972,0.4028
202013219349311446,710236856,ORTHOARKANSAS,ASC,0.51,0.49
202043189349301649,160743905,Ivy Street Development Corp,Third-Party Collections Service,1,0,0
202023189349308062,951643359,1 COMPREHENSIVE IMAGING,DIAGNOSTIC IMAGING CENTER,0.45000,0.55000
202023189349308062,951643359,2 ST JOSEPH PHYSICIAN,REAL ESTATE: DOCTOR OFFICES,0.59190,0.40800
202023189349308062,951643359,3 ST JOSEPH SATELLITE DIALYSIS,DIALYSIS SERVICE,0.60770,0.39220
202023189349308062,951643359,4 PAVILION SURGERY CENTER,OUTPATIENT SURGERY CENTER,0.46000,0.54000
202131379349301298,951642394,SEE PART VI,AMBULATORY SURGICAL,0.2
